Trading_Code,Date,Open,High,Low,Close,Volume
ROBI,2025-04-08,26.4,26.4,25.9,26.0,1821472.0
ROBI,2025-04-07,26.5,26.7,26.2,26.3,1875857.0
ROBI,2025-04-06,25.8,26.5,25.5,26.1,2006719.0
ROBI,2025-03-27,26.1,26.1,25.9,26.1,737955.0
ROBI,2025-03-25,25.8,26.1,25.7,26.0,781853.0
ROBI,2025-03-24,25.6,25.9,25.6,25.6,966993.0
ROBI,2025-03-23,26.0,26.1,25.5,25.6,1053151.0
ROBI,2025-03-20,26.3,26.3,25.9,26.0,1080216.0
ROBI,2025-03-19,26.6,26.6,26.1,26.2,921670.0
ROBI,2025-03-18,26.2,26.8,26.2,26.4,1261686.0
ROBI,2025-03-17,27.3,27.3,26.1,26.2,2802355.0
ROBI,2025-03-16,0.0,0.0,0.0,28.1,0.0
ROBI,2025-03-13,28.1,28.3,27.9,28.1,2558722.0
ROBI,2025-03-12,28.3,28.4,27.9,28.0,2712266.0
ROBI,2025-03-11,28.6,28.7,28.2,28.3,2869872.0
ROBI,2025-03-10,28.9,28.9,28.5,28.6,1851587.0
ROBI,2025-03-09,29.2,29.2,28.8,28.8,1962368.0
ROBI,2025-03-06,28.8,29.2,28.7,29.1,3635651.0
ROBI,2025-03-05,28.7,28.9,28.6,28.7,1204891.0
ROBI,2025-03-04,28.8,28.9,28.7,28.7,1608221.0
ROBI,2025-03-03,28.8,28.9,28.5,28.7,1790489.0
ROBI,2025-03-02,28.5,28.7,28.4,28.6,1724246.0
ROBI,2025-02-27,28.6,28.9,28.5,28.5,2251075.0
ROBI,2025-02-26,28.8,28.9,28.5,28.6,1870288.0
ROBI,2025-02-25,29.0,29.1,28.7,28.8,2499466.0
ROBI,2025-02-24,29.0,29.2,28.8,28.9,2353503.0
ROBI,2025-02-23,29.2,29.3,28.9,28.9,4235117.0
ROBI,2025-02-20,29.4,29.6,28.7,28.9,3865127.0
ROBI,2025-02-19,29.6,29.6,28.9,29.0,3481662.0
ROBI,2025-02-18,30.8,30.8,29.1,29.3,10863612.0
ROBI,2025-02-17,29.7,29.8,29.2,29.4,3745718.0
ROBI,2025-02-16,29.7,30.2,29.5,29.7,6655371.0
