Trading_Code,Date,Open,High,Low,Close,Volume
RSRMSTEEL,2025-04-08,11.2,11.3,11.1,11.1,79878.0
RSRMSTEEL,2025-04-07,11.6,11.8,11.1,11.1,152978.0
RSRMSTEEL,2025-04-06,11.8,12.0,11.5,11.6,118336.0
RSRMSTEEL,2025-03-27,12.5,12.5,11.9,12.0,9783.0
RSRMSTEEL,2025-03-25,12.5,12.6,12.0,12.1,98618.0
RSRMSTEEL,2025-03-24,12.4,12.8,12.4,12.5,90834.0
RSRMSTEEL,2025-03-23,13.0,13.0,12.3,12.4,98456.0
RSRMSTEEL,2025-03-20,13.3,13.4,12.7,12.8,185612.0
RSRMSTEEL,2025-03-19,12.9,13.6,12.7,13.3,340523.0
RSRMSTEEL,2025-03-18,13.6,13.7,12.5,12.7,170397.0
RSRMSTEEL,2025-03-17,12.2,13.5,12.2,13.5,896435.0
RSRMSTEEL,2025-03-16,13.0,13.0,12.2,12.3,196234.0
RSRMSTEEL,2025-03-13,11.9,12.9,11.9,12.6,596486.0
RSRMSTEEL,2025-03-12,11.8,11.8,11.3,11.8,107156.0
RSRMSTEEL,2025-03-11,11.8,11.9,11.2,11.3,190972.0
RSRMSTEEL,2025-03-10,11.6,12.1,11.2,11.6,222059.0
RSRMSTEEL,2025-03-09,12.0,12.1,11.1,11.2,179966.0
RSRMSTEEL,2025-03-06,12.1,12.8,11.9,12.0,343176.0
RSRMSTEEL,2025-03-05,13.5,13.5,12.3,12.4,450170.0
RSRMSTEEL,2025-03-04,13.1,14.4,12.9,13.6,602754.0
RSRMSTEEL,2025-03-03,14.9,14.9,12.7,13.1,1475954.0
RSRMSTEEL,2025-03-02,13.6,13.6,13.6,13.6,182046.0
RSRMSTEEL,2025-02-27,12.4,12.4,12.4,12.4,56227.0
RSRMSTEEL,2025-02-26,10.6,11.3,10.3,11.3,427705.0
RSRMSTEEL,2025-02-25,10.3,10.5,10.2,10.3,119788.0
RSRMSTEEL,2025-02-24,9.7,10.1,9.7,10.0,235618.0
RSRMSTEEL,2025-02-23,9.4,9.9,9.3,9.8,73103.0
RSRMSTEEL,2025-02-20,9.8,9.8,9.3,9.4,34489.0
RSRMSTEEL,2025-02-19,9.5,9.7,8.9,9.5,224640.0
RSRMSTEEL,2025-02-18,9.6,9.6,9.4,9.4,59928.0
RSRMSTEEL,2025-02-17,9.8,9.9,9.6,9.7,61766.0
RSRMSTEEL,2025-02-16,10.2,10.3,9.6,9.8,90666.0
RSRMSTEEL,2025-02-13,9.6,10.1,9.6,10.0,99402.0
RSRMSTEEL,2025-02-12,9.7,9.7,9.3,9.4,55549.0
RSRMSTEEL,2025-02-11,9.5,9.9,9.5,9.6,43603.0
RSRMSTEEL,2025-02-10,9.5,9.5,9.3,9.5,39656.0
RSRMSTEEL,2025-02-09,9.6,9.6,9.4,9.4,35260.0
RSRMSTEEL,2025-02-06,8.8,9.7,8.8,9.4,56215.0
RSRMSTEEL,2025-02-05,9.5,9.6,9.2,9.3,44476.0
RSRMSTEEL,2025-02-04,9.6,9.6,9.2,9.3,41839.0
RSRMSTEEL,2025-02-03,9.5,9.7,9.3,9.4,76247.0
RSRMSTEEL,2025-02-02,9.2,9.6,9.2,9.4,46689.0
RSRMSTEEL,2025-01-30,9.6,9.8,9.1,9.3,39791.0
RSRMSTEEL,2025-01-29,9.7,9.7,9.2,9.5,19785.0
RSRMSTEEL,2025-01-28,9.4,9.6,9.4,9.4,22678.0
RSRMSTEEL,2025-01-27,9.9,9.9,9.1,9.2,30410.0
RSRMSTEEL,2025-01-26,9.5,9.8,9.5,9.5,8793.0
RSRMSTEEL,2025-01-23,10.1,10.1,9.7,9.7,29941.0
RSRMSTEEL,2025-01-22,10.2,10.2,9.6,9.7,13451.0
RSRMSTEEL,2025-01-21,9.8,10.0,9.7,9.8,107527.0
RSRMSTEEL,2025-01-20,9.2,9.7,9.2,9.5,21014.0
RSRMSTEEL,2025-01-19,10.0,10.0,9.1,9.2,50454.0
RSRMSTEEL,2025-01-16,9.7,10.0,9.7,9.8,138288.0
RSRMSTEEL,2025-01-15,9.5,9.8,9.5,9.7,37975.0
RSRMSTEEL,2025-01-14,9.5,9.5,9.2,9.3,12285.0
RSRMSTEEL,2025-01-13,9.4,9.5,8.8,8.9,63085.0
RSRMSTEEL,2025-01-12,10.1,10.1,9.4,9.4,19901.0
RSRMSTEEL,2025-01-09,11.0,11.2,9.6,9.8,76089.0
RSRMSTEEL,2025-01-08,9.5,10.3,9.5,10.3,103843.0
RSRMSTEEL,2025-01-07,9.4,9.4,9.2,9.4,65818.0
RSRMSTEEL,2025-01-06,9.1,9.3,9.1,9.2,23800.0
RSRMSTEEL,2025-01-05,9.3,9.3,9.0,9.0,15961.0
RSRMSTEEL,2025-01-02,9.2,9.4,9.1,9.2,18234.0
RSRMSTEEL,2025-01-01,9.5,9.5,9.0,9.1,7984.0
RSRMSTEEL,2024-12-30,9.4,9.4,9.0,9.0,43260.0
RSRMSTEEL,2024-12-29,8.7,9.3,8.7,9.0,9044.0
RSRMSTEEL,2024-12-26,9.0,9.1,9.0,9.0,8311.0
RSRMSTEEL,2024-12-24,9.2,9.4,8.7,9.0,22926.0
RSRMSTEEL,2024-12-23,9.5,9.5,9.1,9.2,1614.0
RSRMSTEEL,2024-12-22,9.8,9.8,9.1,9.2,24314.0
RSRMSTEEL,2024-12-19,9.4,9.5,9.2,9.2,50822.0
RSRMSTEEL,2024-12-18,10.2,10.2,9.0,9.3,47401.0
RSRMSTEEL,2024-12-17,9.5,9.5,9.4,9.4,13851.0
RSRMSTEEL,2024-12-15,9.0,9.6,9.0,9.5,4939.0
RSRMSTEEL,2024-12-12,9.9,9.9,9.3,9.3,10419.0
RSRMSTEEL,2024-12-11,9.6,9.6,9.5,9.5,8527.0
RSRMSTEEL,2024-12-10,9.8,9.8,9.3,9.5,67999.0
RSRMSTEEL,2024-12-09,9.7,9.8,9.4,9.7,32050.0
RSRMSTEEL,2024-12-08,9.5,9.8,9.3,9.7,27356.0
RSRMSTEEL,2024-12-05,9.8,9.9,9.6,9.6,63598.0
RSRMSTEEL,2024-12-04,9.8,10.0,9.6,9.8,63624.0
RSRMSTEEL,2024-12-03,9.8,9.8,9.6,9.8,57831.0
RSRMSTEEL,2024-12-02,9.6,9.9,9.6,9.8,15249.0
RSRMSTEEL,2024-12-01,9.5,10.1,9.3,9.5,8111.0
RSRMSTEEL,2024-11-28,10.1,10.1,9.5,9.5,24963.0
RSRMSTEEL,2024-11-27,9.8,9.9,9.8,9.8,61605.0
RSRMSTEEL,2024-11-26,10.3,10.3,9.5,9.8,21453.0
RSRMSTEEL,2024-11-25,9.9,9.9,9.4,9.5,23031.0
RSRMSTEEL,2024-11-24,9.6,9.9,9.6,9.7,49375.0
RSRMSTEEL,2024-11-21,9.7,9.9,9.6,9.6,4210.0
RSRMSTEEL,2024-11-20,10.0,10.0,9.5,9.8,16326.0
RSRMSTEEL,2024-11-19,10.1,10.1,9.2,9.3,6602.0
RSRMSTEEL,2024-11-18,10.0,10.1,9.8,9.9,6037.0
RSRMSTEEL,2024-11-17,10.5,10.5,9.8,10.0,9258.0
RSRMSTEEL,2024-11-14,10.0,10.2,9.7,10.1,39884.0
RSRMSTEEL,2024-11-13,9.2,10.0,9.2,9.5,26046.0
RSRMSTEEL,2024-11-12,10.1,10.1,9.6,9.8,63458.0
RSRMSTEEL,2024-11-11,9.2,10.2,9.2,9.4,49867.0
RSRMSTEEL,2024-11-10,10.5,10.5,9.4,9.6,12284.0
RSRMSTEEL,2024-11-07,10.6,10.6,9.9,10.1,42874.0
RSRMSTEEL,2024-11-06,10.2,10.9,10.0,10.2,73743.0
RSRMSTEEL,2024-11-05,10.1,11.0,10.0,10.2,72897.0
RSRMSTEEL,2024-11-04,9.8,10.3,9.8,10.0,25200.0
RSRMSTEEL,2024-11-03,10.0,10.0,9.6,9.8,23956.0
RSRMSTEEL,2024-10-31,9.9,10.3,9.4,9.7,44526.0
RSRMSTEEL,2024-10-30,8.9,9.7,8.9,9.7,178282.0
RSRMSTEEL,2024-10-29,8.8,8.9,8.5,8.9,82578.0
RSRMSTEEL,2024-10-28,9.0,9.0,8.1,8.1,72979.0
RSRMSTEEL,2024-10-27,9.1,9.1,8.7,8.7,90532.0
RSRMSTEEL,2024-10-24,9.5,9.9,9.5,9.6,4610.0
RSRMSTEEL,2024-10-23,9.9,9.9,9.5,9.6,24380.0
RSRMSTEEL,2024-10-22,9.7,10.0,9.7,10.0,3213.0
RSRMSTEEL,2024-10-21,9.4,10.0,9.4,9.8,12139.0
RSRMSTEEL,2024-10-20,10.0,10.2,9.5,9.6,46515.0
RSRMSTEEL,2024-10-17,10.6,10.6,9.4,9.7,89585.0
RSRMSTEEL,2024-10-16,10.6,10.6,10.2,10.4,13097.0
RSRMSTEEL,2024-10-15,11.1,11.1,10.1,10.4,81179.0
RSRMSTEEL,2024-10-14,12.1,12.1,10.9,11.0,123624.0
RSRMSTEEL,2024-10-09,11.8,12.2,11.0,12.1,68824.0
RSRMSTEEL,2024-10-08,11.8,11.8,10.9,11.2,67782.0
RSRMSTEEL,2024-10-07,11.8,11.9,11.7,11.8,945.0
RSRMSTEEL,2024-10-06,11.3,12.1,11.3,11.7,10797.0
RSRMSTEEL,2024-10-03,10.8,11.6,10.8,11.4,36250.0
RSRMSTEEL,2024-10-02,11.7,12.0,11.3,11.5,27156.0
RSRMSTEEL,2024-10-01,12.4,12.4,12.0,12.2,4887.0
RSRMSTEEL,2024-09-30,12.1,12.4,11.9,12.1,39223.0
RSRMSTEEL,2024-09-29,13.2,13.2,11.9,12.0,27561.0
RSRMSTEEL,2024-09-26,13.4,13.4,12.0,12.2,18909.0
RSRMSTEEL,2024-09-25,13.2,13.4,12.9,13.0,67230.0
RSRMSTEEL,2024-09-24,13.6,13.7,13.1,13.2,36374.0
RSRMSTEEL,2024-09-23,14.8,14.8,13.1,13.2,67561.0
RSRMSTEEL,2024-09-22,13.3,14.0,13.3,13.9,22933.0
RSRMSTEEL,2024-09-19,13.9,14.2,13.8,13.9,44811.0
RSRMSTEEL,2024-09-18,14.0,14.3,13.8,14.0,22210.0
RSRMSTEEL,2024-09-17,14.8,14.8,13.8,14.0,5944.0
RSRMSTEEL,2024-09-15,13.7,14.2,13.4,14.1,69899.0
RSRMSTEEL,2024-09-12,13.7,13.7,13.5,13.5,53533.0
RSRMSTEEL,2024-09-11,13.8,14.5,13.7,13.8,18190.0
RSRMSTEEL,2024-09-10,13.7,13.9,13.7,13.8,19141.0
RSRMSTEEL,2024-09-09,14.3,14.3,13.7,13.9,26232.0
RSRMSTEEL,2024-09-08,15.2,15.2,13.9,14.0,50490.0
RSRMSTEEL,2024-09-05,13.9,14.8,13.9,14.0,71085.0
RSRMSTEEL,2024-09-04,15.5,15.5,14.3,14.4,18517.0
RSRMSTEEL,2024-09-03,14.3,15.2,14.3,14.4,32810.0
