Trading_Code,Date,Open,High,Low,Close,Volume
RUPALIINS,2025-04-08,22.0,22.0,21.4,21.5,61138.0
RUPALIINS,2025-04-07,21.7,21.9,21.6,21.6,46222.0
RUPALIINS,2025-04-06,21.0,22.0,21.0,21.5,25313.0
RUPALIINS,2025-03-27,21.7,21.9,21.6,21.7,5048.0
RUPALIINS,2025-03-25,21.6,21.9,21.6,21.6,49107.0
RUPALIINS,2025-03-24,21.5,21.7,21.4,21.5,22214.0
RUPALIINS,2025-03-23,21.4,21.4,21.2,21.3,18889.0
RUPALIINS,2025-03-20,21.7,21.7,21.3,21.4,60951.0
RUPALIINS,2025-03-19,21.8,21.9,21.4,21.6,31952.0
RUPALIINS,2025-03-18,22.0,22.0,21.7,21.8,82468.0
RUPALIINS,2025-03-17,22.0,22.5,21.7,21.8,111226.0
RUPALIINS,2025-03-16,21.6,22.7,21.6,22.3,413368.0
RUPALIINS,2025-03-13,21.1,21.8,20.9,21.6,164430.0
RUPALIINS,2025-03-12,21.3,21.4,21.1,21.1,49486.0
RUPALIINS,2025-03-11,21.2,21.4,21.1,21.2,33740.0
RUPALIINS,2025-03-10,21.1,21.1,20.8,21.1,42593.0
RUPALIINS,2025-03-09,21.1,21.3,20.9,20.9,24828.0
RUPALIINS,2025-03-06,21.3,21.4,21.1,21.1,31468.0
RUPALIINS,2025-03-05,21.2,21.4,21.2,21.3,19815.0
RUPALIINS,2025-03-04,21.2,21.6,21.1,21.2,45332.0
RUPALIINS,2025-03-03,21.5,21.5,21.1,21.3,138613.0
RUPALIINS,2025-03-02,21.7,21.7,21.3,21.3,40347.0
RUPALIINS,2025-02-27,21.8,21.9,21.5,21.7,103342.0
RUPALIINS,2025-02-26,22.2,22.2,21.7,21.8,117391.0
RUPALIINS,2025-02-25,21.7,22.5,21.6,22.0,445002.0
RUPALIINS,2025-02-24,21.4,21.8,21.4,21.6,122136.0
RUPALIINS,2025-02-23,21.1,21.8,21.0,21.6,142642.0
RUPALIINS,2025-02-20,21.0,21.2,20.9,20.9,65159.0
RUPALIINS,2025-02-19,21.1,21.4,21.0,21.0,20037.0
RUPALIINS,2025-02-18,21.8,22.0,20.9,21.1,41708.0
RUPALIINS,2025-02-17,21.8,21.8,21.3,21.4,21194.0
RUPALIINS,2025-02-16,21.7,21.8,21.1,21.3,45003.0
RUPALIINS,2025-02-13,21.7,21.7,21.3,21.4,65710.0
RUPALIINS,2025-02-12,21.7,21.8,21.4,21.6,33400.0
RUPALIINS,2025-02-11,21.6,21.9,21.4,21.5,61538.0
RUPALIINS,2025-02-10,21.7,21.7,21.3,21.4,72948.0
RUPALIINS,2025-02-09,22.0,22.0,21.6,21.7,47371.0
RUPALIINS,2025-02-06,21.6,21.9,21.5,21.8,38618.0
RUPALIINS,2025-02-05,21.7,21.8,21.5,21.6,79750.0
RUPALIINS,2025-02-04,21.9,21.9,21.5,21.6,33451.0
RUPALIINS,2025-02-03,21.6,22.0,21.4,21.7,109400.0
RUPALIINS,2025-02-02,21.8,21.8,21.2,21.4,47054.0
RUPALIINS,2025-01-30,21.8,21.9,21.5,21.6,34808.0
RUPALIINS,2025-01-29,21.7,22.1,21.5,21.7,45382.0
RUPALIINS,2025-01-28,21.8,22.1,21.6,21.8,86079.0
RUPALIINS,2025-01-27,21.8,21.9,21.6,21.7,38050.0
RUPALIINS,2025-01-26,21.8,22.0,21.5,21.7,13431.0
RUPALIINS,2025-01-23,22.1,22.4,21.8,22.0,56010.0
RUPALIINS,2025-01-22,22.4,22.5,22.0,22.1,52484.0
RUPALIINS,2025-01-21,22.4,22.8,22.2,22.3,144177.0
RUPALIINS,2025-01-20,22.8,22.8,22.0,22.2,129616.0
RUPALIINS,2025-01-19,22.0,22.8,21.9,22.7,424418.0
RUPALIINS,2025-01-16,21.3,22.0,21.3,21.8,72344.0
RUPALIINS,2025-01-15,21.2,21.5,21.1,21.3,45940.0
RUPALIINS,2025-01-14,21.9,21.9,21.3,21.3,53250.0
RUPALIINS,2025-01-13,21.5,21.6,21.3,21.5,24356.0
RUPALIINS,2025-01-12,21.7,21.8,21.2,21.4,30009.0
RUPALIINS,2025-01-09,21.7,21.9,21.6,21.6,38868.0
RUPALIINS,2025-01-08,22.0,22.0,21.0,21.7,65402.0
RUPALIINS,2025-01-07,22.3,22.5,21.9,22.0,163553.0
RUPALIINS,2025-01-06,21.9,22.3,21.9,22.2,17611.0
RUPALIINS,2025-01-05,22.5,22.5,21.8,21.8,53096.0
RUPALIINS,2025-01-02,22.4,22.4,22.1,22.2,33975.0
RUPALIINS,2025-01-01,22.8,23.0,22.2,22.4,40391.0
RUPALIINS,2024-12-30,22.6,23.0,22.6,22.7,65972.0
RUPALIINS,2024-12-29,22.8,23.8,22.3,22.7,89075.0
RUPALIINS,2024-12-26,22.2,22.7,22.1,22.5,27815.0
RUPALIINS,2024-12-24,22.2,22.3,21.8,22.2,30913.0
RUPALIINS,2024-12-23,22.0,22.3,21.9,21.9,37805.0
RUPALIINS,2024-12-22,22.5,22.6,21.8,21.9,47717.0
RUPALIINS,2024-12-19,22.5,22.7,22.0,22.5,127729.0
RUPALIINS,2024-12-18,23.0,23.3,22.6,22.8,73858.0
RUPALIINS,2024-12-17,23.0,23.4,22.9,23.0,51102.0
RUPALIINS,2024-12-15,22.6,22.8,22.5,22.6,19311.0
RUPALIINS,2024-12-12,22.4,22.8,22.4,22.5,28581.0
RUPALIINS,2024-12-11,23.0,23.0,22.6,22.7,51685.0
RUPALIINS,2024-12-10,22.5,23.4,22.5,22.8,108411.0
RUPALIINS,2024-12-09,22.7,22.7,22.3,22.3,59947.0
RUPALIINS,2024-12-08,23.1,23.1,22.4,22.5,74324.0
RUPALIINS,2024-12-05,23.8,23.8,22.8,23.0,128241.0
RUPALIINS,2024-12-04,24.0,24.0,23.7,23.7,56489.0
RUPALIINS,2024-12-03,23.9,24.1,23.7,23.9,113594.0
RUPALIINS,2024-12-02,23.7,24.1,23.6,23.8,150679.0
RUPALIINS,2024-12-01,23.9,24.1,23.5,23.6,50919.0
RUPALIINS,2024-11-28,23.9,24.2,23.7,23.8,133213.0
RUPALIINS,2024-11-27,23.4,24.0,23.3,23.8,103415.0
RUPALIINS,2024-11-26,23.6,23.6,23.2,23.3,44554.0
RUPALIINS,2024-11-25,23.9,24.1,23.4,23.5,87854.0
RUPALIINS,2024-11-24,23.4,24.1,23.4,23.7,101483.0
RUPALIINS,2024-11-21,24.5,24.6,23.2,23.4,126990.0
RUPALIINS,2024-11-20,25.5,25.5,24.2,24.5,207928.0
