Trading_Code,Date,Open,High,Low,Close,Volume
SAFKOSPINN,2025-04-08,12.2,12.2,11.5,11.5,118523.0
SAFKOSPINN,2025-04-07,12.1,12.1,11.8,11.8,52486.0
SAFKOSPINN,2025-04-06,11.6,12.3,11.5,11.9,150843.0
SAFKOSPINN,2025-03-27,13.0,13.0,12.7,12.7,76130.0
SAFKOSPINN,2025-03-25,13.2,13.2,12.7,12.9,61761.0
SAFKOSPINN,2025-03-24,12.9,12.9,12.6,12.7,70378.0
SAFKOSPINN,2025-03-23,13.0,13.0,12.4,12.7,130479.0
SAFKOSPINN,2025-03-20,13.4,13.4,12.8,13.0,123227.0
SAFKOSPINN,2025-03-19,14.0,14.1,13.1,13.2,306135.0
SAFKOSPINN,2025-03-18,12.6,13.5,12.5,13.5,369262.0
SAFKOSPINN,2025-03-17,12.4,12.6,12.2,12.3,142290.0
SAFKOSPINN,2025-03-16,12.6,12.7,12.1,12.2,285067.0
SAFKOSPINN,2025-03-13,12.8,13.2,12.4,12.5,396064.0
SAFKOSPINN,2025-03-12,12.8,13.6,12.6,12.7,342288.0
SAFKOSPINN,2025-03-11,13.3,13.7,12.5,12.6,381561.0
SAFKOSPINN,2025-03-10,13.7,14.0,13.0,13.4,259882.0
SAFKOSPINN,2025-03-09,12.3,13.3,12.3,13.1,479673.0
SAFKOSPINN,2025-03-06,12.3,12.4,11.9,12.1,102474.0
SAFKOSPINN,2025-03-05,12.6,12.8,12.2,12.4,56997.0
SAFKOSPINN,2025-03-04,13.0,14.3,12.9,13.0,522074.0
SAFKOSPINN,2025-03-03,13.4,13.5,12.8,13.0,331023.0
SAFKOSPINN,2025-03-02,12.0,12.9,12.0,12.9,564745.0
SAFKOSPINN,2025-02-27,11.0,12.5,11.0,11.8,196211.0
SAFKOSPINN,2025-02-26,11.0,11.8,10.7,11.5,249331.0
SAFKOSPINN,2025-02-25,10.5,11.3,10.1,11.3,326057.0
SAFKOSPINN,2025-02-24,10.3,10.9,10.2,10.3,186482.0
SAFKOSPINN,2025-02-23,9.6,10.2,9.4,10.1,267528.0
SAFKOSPINN,2025-02-20,9.6,9.6,9.2,9.3,61854.0
SAFKOSPINN,2025-02-19,9.4,9.4,9.2,9.3,23987.0
SAFKOSPINN,2025-02-18,9.6,9.6,9.6,9.6,75630.0
SAFKOSPINN,2025-02-17,9.6,9.6,9.4,9.5,28583.0
SAFKOSPINN,2025-02-16,9.6,9.6,9.3,9.5,73122.0
SAFKOSPINN,2025-02-13,9.2,9.7,9.0,9.2,120151.0
SAFKOSPINN,2025-02-12,9.3,9.6,9.2,9.5,85354.0
SAFKOSPINN,2025-02-11,9.3,9.5,9.2,9.3,51002.0
SAFKOSPINN,2025-02-10,9.4,9.5,9.3,9.4,98268.0
SAFKOSPINN,2025-02-09,9.4,9.5,9.4,9.4,36565.0
SAFKOSPINN,2025-02-06,9.5,9.9,9.2,9.5,83780.0
SAFKOSPINN,2025-02-05,9.5,10.0,9.2,9.7,107408.0
SAFKOSPINN,2025-02-04,9.8,9.9,9.3,9.4,144227.0
SAFKOSPINN,2025-02-03,10.7,10.7,9.8,9.8,258733.0
SAFKOSPINN,2025-02-02,9.5,9.9,9.3,9.8,34268.0
SAFKOSPINN,2025-01-30,10.1,10.3,9.5,9.6,94529.0
SAFKOSPINN,2025-01-29,10.2,10.3,9.8,9.9,96998.0
SAFKOSPINN,2025-01-28,9.9,10.2,9.8,10.0,117477.0
SAFKOSPINN,2025-01-27,9.1,9.9,9.1,9.5,132562.0
SAFKOSPINN,2025-01-26,9.1,9.3,8.9,9.1,65814.0
SAFKOSPINN,2025-01-23,9.1,9.1,8.8,8.9,32403.0
SAFKOSPINN,2025-01-22,9.1,9.2,8.9,8.9,40575.0
SAFKOSPINN,2025-01-21,9.4,9.4,8.9,9.0,65472.0
SAFKOSPINN,2025-01-20,8.9,9.3,8.8,9.0,80500.0
SAFKOSPINN,2025-01-19,8.9,9.0,8.7,8.8,36346.0
SAFKOSPINN,2025-01-16,9.3,9.3,8.7,8.9,15626.0
SAFKOSPINN,2025-01-15,8.8,9.4,8.8,9.0,37036.0
SAFKOSPINN,2025-01-14,8.8,8.8,8.6,8.7,13706.0
SAFKOSPINN,2025-01-13,8.8,8.8,8.6,8.7,6870.0
SAFKOSPINN,2025-01-12,8.7,8.8,8.6,8.7,25833.0
SAFKOSPINN,2025-01-09,8.8,9.0,8.8,8.9,6706.0
SAFKOSPINN,2025-01-08,8.7,9.0,8.7,9.0,52154.0
SAFKOSPINN,2025-01-07,9.0,9.0,8.7,8.7,32506.0
SAFKOSPINN,2025-01-06,8.7,8.8,8.3,8.7,75311.0
SAFKOSPINN,2025-01-05,9.4,9.4,8.4,8.4,106381.0
SAFKOSPINN,2025-01-02,9.8,9.8,8.6,8.9,14839.0
SAFKOSPINN,2025-01-01,9.4,9.4,8.5,9.0,3164.0
SAFKOSPINN,2024-12-30,9.5,9.5,8.6,8.7,29377.0
SAFKOSPINN,2024-12-29,9.2,9.3,8.8,8.8,17998.0
SAFKOSPINN,2024-12-26,8.8,9.2,8.1,9.1,32325.0
SAFKOSPINN,2024-12-24,8.9,8.9,8.5,8.6,14512.0
SAFKOSPINN,2024-12-23,9.2,9.3,8.2,8.2,97884.0
SAFKOSPINN,2024-12-22,10.0,10.0,8.5,8.8,46833.0
SAFKOSPINN,2024-12-19,10.1,10.1,9.2,9.3,114284.0
SAFKOSPINN,2024-12-18,11.1,11.1,9.3,9.4,65989.0
SAFKOSPINN,2024-12-17,10.2,10.5,10.0,10.3,47356.0
SAFKOSPINN,2024-12-15,10.6,10.6,9.6,9.8,20506.0
SAFKOSPINN,2024-12-12,10.2,10.3,9.5,9.8,64917.0
SAFKOSPINN,2024-12-11,10.2,10.2,9.4,9.4,31054.0
SAFKOSPINN,2024-12-10,9.9,10.0,9.4,9.9,7231.0
SAFKOSPINN,2024-12-09,9.9,9.9,9.1,9.4,11040.0
SAFKOSPINN,2024-12-08,9.9,9.9,9.1,9.5,7766.0
SAFKOSPINN,2024-12-05,9.5,9.9,9.5,9.6,1993.0
SAFKOSPINN,2024-12-04,10.2,10.3,9.8,10.0,31644.0
SAFKOSPINN,2024-12-03,10.3,10.3,10.0,10.1,20535.0
SAFKOSPINN,2024-12-02,10.3,10.3,10.0,10.1,63903.0
SAFKOSPINN,2024-12-01,9.8,10.2,9.6,9.9,46936.0
SAFKOSPINN,2024-11-28,9.3,10.2,9.3,9.7,142857.0
SAFKOSPINN,2024-11-27,8.8,9.4,8.8,9.3,83106.0
SAFKOSPINN,2024-11-26,8.5,8.6,8.5,8.6,25527.0
SAFKOSPINN,2024-11-25,8.2,8.5,7.8,7.9,62387.0
SAFKOSPINN,2024-11-24,9.2,9.2,8.3,8.4,2549.0
SAFKOSPINN,2024-11-21,8.5,8.8,8.4,8.6,5268.0
SAFKOSPINN,2024-11-20,9.0,9.0,8.3,8.5,3670.0
SAFKOSPINN,2024-11-19,0.0,0.0,0.0,9.0,0.0
SAFKOSPINN,2024-11-18,9.3,9.3,8.9,9.0,7788.0
SAFKOSPINN,2024-11-17,9.6,9.6,9.2,9.3,13806.0
SAFKOSPINN,2024-11-14,9.1,9.6,9.1,9.5,46554.0
SAFKOSPINN,2024-11-13,9.0,9.5,9.0,9.2,14616.0
SAFKOSPINN,2024-11-12,9.8,9.8,9.1,9.2,22313.0
SAFKOSPINN,2024-11-11,9.0,9.3,9.0,9.3,32593.0
SAFKOSPINN,2024-11-10,9.3,9.3,8.9,9.0,48176.0
SAFKOSPINN,2024-11-07,8.6,9.0,8.6,8.9,14720.0
SAFKOSPINN,2024-11-06,9.0,9.0,8.6,8.7,9546.0
SAFKOSPINN,2024-11-05,8.9,9.2,8.9,9.1,33894.0
SAFKOSPINN,2024-11-04,8.7,8.8,8.2,8.4,31048.0
SAFKOSPINN,2024-11-03,8.4,8.8,8.2,8.4,11952.0
SAFKOSPINN,2024-10-31,8.2,8.8,8.2,8.4,33145.0
SAFKOSPINN,2024-10-30,8.0,8.3,8.0,8.2,34427.0
SAFKOSPINN,2024-10-29,8.2,8.2,7.8,7.9,47966.0
SAFKOSPINN,2024-10-28,8.3,8.6,8.1,8.4,6002.0
SAFKOSPINN,2024-10-27,8.5,8.5,7.8,7.9,52211.0
SAFKOSPINN,2024-10-24,8.8,8.8,8.5,8.6,24102.0
SAFKOSPINN,2024-10-23,9.1,9.1,8.7,8.8,1672.0
SAFKOSPINN,2024-10-22,8.5,9.0,8.5,8.9,18148.0
SAFKOSPINN,2024-10-21,8.2,8.4,8.0,8.3,41575.0
SAFKOSPINN,2024-10-20,8.9,8.9,8.2,8.4,31626.0
SAFKOSPINN,2024-10-17,8.9,8.9,8.5,8.6,21564.0
SAFKOSPINN,2024-10-16,9.1,9.2,8.5,8.6,107308.0
SAFKOSPINN,2024-10-15,9.5,9.5,9.2,9.4,7383.0
SAFKOSPINN,2024-10-14,9.4,9.4,9.1,9.3,13159.0
SAFKOSPINN,2024-10-09,9.3,9.7,9.1,9.5,20383.0
SAFKOSPINN,2024-10-08,9.7,9.7,9.1,9.4,11926.0
SAFKOSPINN,2024-10-07,9.6,9.8,9.5,9.6,17087.0
SAFKOSPINN,2024-10-06,9.4,9.9,9.4,9.7,10951.0
SAFKOSPINN,2024-10-03,9.2,9.9,9.1,9.3,45369.0
SAFKOSPINN,2024-10-02,9.7,9.7,9.5,9.5,18032.0
SAFKOSPINN,2024-10-01,10.5,10.5,9.7,9.8,73482.0
SAFKOSPINN,2024-09-30,9.9,10.6,9.9,10.0,9294.0
SAFKOSPINN,2024-09-29,10.0,10.5,9.9,10.4,15206.0
SAFKOSPINN,2024-09-26,9.6,11.2,9.5,10.3,28811.0
SAFKOSPINN,2024-09-25,11.0,11.0,10.2,10.2,35554.0
SAFKOSPINN,2024-09-24,11.0,11.2,10.5,10.8,30869.0
SAFKOSPINN,2024-09-23,11.0,11.4,10.9,11.1,33813.0
SAFKOSPINN,2024-09-22,11.2,11.4,10.9,11.0,83562.0
SAFKOSPINN,2024-09-19,11.4,11.5,11.3,11.3,16900.0
SAFKOSPINN,2024-09-18,11.5,11.7,11.3,11.4,43644.0
SAFKOSPINN,2024-09-17,11.9,12.0,11.6,11.7,32123.0
SAFKOSPINN,2024-09-15,11.7,12.1,11.7,11.9,25010.0
SAFKOSPINN,2024-09-12,11.1,11.9,11.0,11.6,22682.0
SAFKOSPINN,2024-09-11,11.9,12.0,11.7,11.8,32062.0
SAFKOSPINN,2024-09-10,11.5,11.9,11.5,11.7,2705.0
SAFKOSPINN,2024-09-09,12.0,12.0,11.4,11.6,26909.0
SAFKOSPINN,2024-09-08,12.6,12.6,11.5,11.6,35471.0
SAFKOSPINN,2024-09-05,11.7,12.0,11.7,11.9,13769.0
SAFKOSPINN,2024-09-04,12.0,12.2,11.6,11.8,40226.0
SAFKOSPINN,2024-09-03,12.1,12.5,12.0,12.0,9806.0
SAFKOSPINN,2024-09-02,12.6,12.8,12.2,12.6,21505.0
SAFKOSPINN,2024-09-01,13.5,13.5,12.2,12.8,18783.0
SAFKOSPINN,2024-08-29,12.0,12.7,11.9,12.7,50144.0
SAFKOSPINN,2024-08-28,12.1,12.3,11.4,11.6,55529.0
SAFKOSPINN,2024-08-27,11.8,12.3,11.5,11.7,52406.0
SAFKOSPINN,2024-08-25,11.7,12.4,11.7,11.8,62792.0
SAFKOSPINN,2024-08-22,12.5,12.5,12.0,12.0,32196.0
SAFKOSPINN,2024-08-21,12.4,12.9,12.3,12.3,34293.0
SAFKOSPINN,2024-08-20,12.7,13.0,12.6,12.6,31182.0
SAFKOSPINN,2024-08-19,13.6,13.6,12.8,12.9,43519.0
SAFKOSPINN,2024-08-18,14.0,14.1,13.1,13.1,43183.0
SAFKOSPINN,2024-08-15,13.1,13.9,13.1,13.5,106818.0
SAFKOSPINN,2024-08-14,14.0,14.2,13.2,13.3,43799.0
SAFKOSPINN,2024-08-13,13.2,13.9,13.2,13.6,71802.0
SAFKOSPINN,2024-08-12,14.8,14.8,13.6,13.6,91147.0
SAFKOSPINN,2024-08-11,14.2,15.2,13.6,14.0,232359.0
SAFKOSPINN,2024-08-08,13.8,13.9,12.4,13.9,125774.0
SAFKOSPINN,2024-08-07,12.3,12.8,12.3,12.7,159351.0
SAFKOSPINN,2024-08-06,11.7,11.7,11.7,11.7,31528.0
SAFKOSPINN,2024-08-04,10.7,11.2,10.7,10.7,41665.0
SAFKOSPINN,2024-08-01,11.5,11.5,10.9,11.0,7755.0
SAFKOSPINN,2024-07-31,12.3,12.3,10.9,11.0,66822.0
SAFKOSPINN,2024-07-30,11.9,11.9,11.2,11.2,24609.0
SAFKOSPINN,2024-07-29,12.7,12.7,11.5,11.5,54126.0
SAFKOSPINN,2024-07-28,12.5,12.5,11.7,11.7,23565.0
SAFKOSPINN,2024-07-25,12.1,12.4,11.7,12.0,8445.0
SAFKOSPINN,2024-07-24,11.8,11.9,11.8,11.8,8000.0
SAFKOSPINN,2024-07-18,12.0,12.1,12.0,12.0,27055.0
SAFKOSPINN,2024-07-16,12.5,12.5,12.3,12.3,121539.0
SAFKOSPINN,2024-07-15,13.4,13.4,12.6,12.6,91912.0
SAFKOSPINN,2024-07-14,13.7,13.7,12.9,12.9,32869.0
SAFKOSPINN,2024-07-11,13.2,13.7,13.1,13.2,29894.0
SAFKOSPINN,2024-07-10,13.9,14.3,13.5,13.5,88667.0
SAFKOSPINN,2024-07-09,14.5,14.5,13.8,13.9,44571.0
SAFKOSPINN,2024-07-08,13.8,14.2,13.5,13.9,69218.0
SAFKOSPINN,2024-07-07,13.6,13.6,13.4,13.5,48917.0
SAFKOSPINN,2024-07-04,13.2,13.3,13.0,13.3,33596.0
SAFKOSPINN,2024-07-03,12.9,13.3,12.6,12.8,11142.0
SAFKOSPINN,2024-07-02,13.4,13.4,12.8,12.9,34210.0
SAFKOSPINN,2024-06-30,13.0,13.3,12.9,13.0,31628.0
SAFKOSPINN,2024-06-27,13.0,13.4,12.9,13.2,46444.0
SAFKOSPINN,2024-06-26,13.0,13.6,13.0,13.1,51514.0
SAFKOSPINN,2024-06-25,13.8,13.8,13.2,13.3,63963.0
SAFKOSPINN,2024-06-24,12.6,13.9,12.6,13.6,118794.0
SAFKOSPINN,2024-06-23,13.4,13.4,12.9,12.9,56919.0
SAFKOSPINN,2024-06-20,13.6,13.9,13.2,13.2,105986.0
SAFKOSPINN,2024-06-19,13.0,13.7,12.9,13.6,206646.0
SAFKOSPINN,2024-06-13,12.5,12.5,11.8,12.5,161034.0
SAFKOSPINN,2024-06-12,11.2,11.9,10.9,11.4,77611.0
SAFKOSPINN,2024-06-11,10.7,11.0,10.6,10.9,24672.0
SAFKOSPINN,2024-06-10,11.4,11.4,10.5,10.5,38076.0
SAFKOSPINN,2024-06-09,10.7,11.6,10.6,10.7,31313.0
SAFKOSPINN,2024-06-06,11.7,11.7,10.6,10.9,31417.0
SAFKOSPINN,2024-06-05,10.9,11.7,10.7,10.8,108443.0
SAFKOSPINN,2024-06-04,11.5,11.5,10.9,10.9,73910.0
SAFKOSPINN,2024-06-03,11.8,11.8,10.7,11.1,41032.0
SAFKOSPINN,2024-06-02,11.0,11.7,10.8,11.0,42089.0
SAFKOSPINN,2024-05-30,10.9,11.0,10.5,10.7,58522.0
SAFKOSPINN,2024-05-29,10.7,11.1,10.5,10.6,14816.0
SAFKOSPINN,2024-05-28,11.7,11.7,10.7,10.8,7099.0
SAFKOSPINN,2024-05-27,11.5,11.5,10.6,10.7,91129.0
SAFKOSPINN,2024-05-26,10.9,11.1,10.9,10.9,6785.0
SAFKOSPINN,2024-05-23,11.5,11.5,11.1,11.2,19059.0
SAFKOSPINN,2024-05-21,12.7,12.7,11.3,11.3,40409.0
SAFKOSPINN,2024-05-20,12.0,12.0,11.5,11.6,10115.0
SAFKOSPINN,2024-05-19,11.8,12.4,11.8,11.8,33018.0
