Trading_Code,Date,Open,High,Low,Close,Volume
SAIFPOWER,2025-04-08,11.0,11.4,10.7,10.9,550336.0
SAIFPOWER,2025-04-07,11.5,11.6,11.1,11.3,384034.0
SAIFPOWER,2025-04-06,11.5,11.7,11.3,11.4,471642.0
SAIFPOWER,2025-03-27,11.8,11.8,11.5,11.6,158351.0
SAIFPOWER,2025-03-25,11.7,11.7,11.5,11.6,234433.0
SAIFPOWER,2025-03-24,11.5,11.7,11.4,11.6,369438.0
SAIFPOWER,2025-03-23,11.9,11.9,11.5,11.5,984558.0
SAIFPOWER,2025-03-20,11.8,11.9,11.7,11.8,798778.0
SAIFPOWER,2025-03-19,12.1,12.1,11.6,11.7,1587036.0
SAIFPOWER,2025-03-18,11.8,12.0,11.8,12.0,367385.0
SAIFPOWER,2025-03-17,12.0,12.0,11.7,11.8,594408.0
SAIFPOWER,2025-03-16,12.0,12.0,11.8,11.8,345173.0
SAIFPOWER,2025-03-13,12.0,12.1,11.8,11.9,263456.0
SAIFPOWER,2025-03-12,12.0,12.2,11.9,11.9,698835.0
SAIFPOWER,2025-03-11,12.0,12.0,11.8,11.9,491271.0
SAIFPOWER,2025-03-10,11.8,12.0,11.8,11.9,407131.0
SAIFPOWER,2025-03-09,12.1,12.1,11.8,11.8,389838.0
SAIFPOWER,2025-03-06,12.1,12.2,12.0,12.0,180563.0
SAIFPOWER,2025-03-05,12.2,12.2,12.0,12.0,489672.0
SAIFPOWER,2025-03-04,12.4,12.4,12.0,12.1,447086.0
SAIFPOWER,2025-03-03,12.4,12.5,12.2,12.3,346041.0
SAIFPOWER,2025-03-02,12.3,12.4,12.2,12.4,400880.0
SAIFPOWER,2025-02-27,12.3,12.5,12.1,12.2,550948.0
SAIFPOWER,2025-02-26,12.2,12.7,12.2,12.4,1763704.0
SAIFPOWER,2025-02-25,12.1,12.3,12.0,12.1,566383.0
SAIFPOWER,2025-02-24,12.0,12.2,11.8,12.0,770919.0
SAIFPOWER,2025-02-23,12.0,12.0,11.7,11.9,691471.0
SAIFPOWER,2025-02-20,11.8,11.9,11.6,11.7,625621.0
SAIFPOWER,2025-02-19,12.0,12.1,11.7,11.8,649057.0
SAIFPOWER,2025-02-18,12.2,12.2,11.9,12.0,439921.0
SAIFPOWER,2025-02-17,12.0,12.3,12.0,12.1,698514.0
SAIFPOWER,2025-02-16,12.1,12.2,12.0,12.0,442980.0
SAIFPOWER,2025-02-13,12.2,12.2,12.0,12.1,176778.0
SAIFPOWER,2025-02-12,11.9,12.2,11.9,12.1,355093.0
