Trading_Code,Date,Open,High,Low,Close,Volume
SAIHAMTEX,2025-04-08,14.3,14.4,13.9,14.0,268461.0
SAIHAMTEX,2025-04-07,14.3,14.5,14.0,14.1,416618.0
SAIHAMTEX,2025-04-06,14.5,14.5,14.0,14.3,244376.0
SAIHAMTEX,2025-03-27,15.3,15.3,14.7,14.8,155174.0
SAIHAMTEX,2025-03-25,15.3,15.3,14.8,14.9,103249.0
SAIHAMTEX,2025-03-24,15.2,15.2,14.8,14.9,68454.0
SAIHAMTEX,2025-03-23,15.4,15.4,14.9,15.0,536402.0
SAIHAMTEX,2025-03-20,15.2,15.3,15.0,15.2,376719.0
SAIHAMTEX,2025-03-19,14.9,15.2,14.8,15.0,266869.0
SAIHAMTEX,2025-03-18,14.8,15.0,14.7,14.8,183639.0
SAIHAMTEX,2025-03-17,14.9,15.0,14.7,14.8,315906.0
SAIHAMTEX,2025-03-16,15.0,15.0,14.7,14.8,282365.0
SAIHAMTEX,2025-03-13,14.9,15.0,14.7,14.9,150483.0
SAIHAMTEX,2025-03-12,14.6,14.9,14.6,14.8,344234.0
SAIHAMTEX,2025-03-11,14.8,14.9,14.5,14.6,458874.0
SAIHAMTEX,2025-03-10,14.8,14.9,14.6,14.8,150989.0
SAIHAMTEX,2025-03-09,14.8,15.0,14.7,14.8,450364.0
SAIHAMTEX,2025-03-06,15.0,15.0,14.7,14.8,103946.0
SAIHAMTEX,2025-03-05,14.9,15.1,14.8,14.8,547415.0
SAIHAMTEX,2025-03-04,15.2,15.3,14.8,14.9,362263.0
SAIHAMTEX,2025-03-03,15.5,15.5,15.1,15.2,392472.0
SAIHAMTEX,2025-03-02,15.2,15.5,15.1,15.3,556885.0
SAIHAMTEX,2025-02-27,15.4,15.5,15.3,15.3,471977.0
SAIHAMTEX,2025-02-26,15.4,15.5,15.2,15.2,303927.0
SAIHAMTEX,2025-02-25,15.5,15.5,15.2,15.3,684275.0
SAIHAMTEX,2025-02-24,15.6,15.9,15.4,15.4,824361.0
SAIHAMTEX,2025-02-23,15.5,15.8,15.4,15.5,514974.0
SAIHAMTEX,2025-02-20,15.2,15.5,15.1,15.4,676011.0
SAIHAMTEX,2025-02-19,15.3,15.3,14.9,15.2,469623.0
SAIHAMTEX,2025-02-18,15.3,15.4,15.0,15.0,832809.0
SAIHAMTEX,2025-02-17,14.9,15.3,14.9,15.1,271695.0
SAIHAMTEX,2025-02-16,15.2,15.2,14.8,14.9,195363.0
SAIHAMTEX,2025-02-13,15.1,15.3,15.0,15.0,610396.0
SAIHAMTEX,2025-02-12,15.2,15.3,14.8,14.9,224072.0
SAIHAMTEX,2025-02-11,15.0,15.4,15.0,15.2,503758.0
SAIHAMTEX,2025-02-10,14.9,15.0,14.8,14.9,206818.0
SAIHAMTEX,2025-02-09,15.0,15.1,14.8,14.8,380520.0
SAIHAMTEX,2025-02-06,14.8,15.5,14.8,15.2,390986.0
SAIHAMTEX,2025-02-05,14.8,15.1,14.8,14.8,290842.0
SAIHAMTEX,2025-02-04,15.0,15.1,14.7,14.8,315975.0
SAIHAMTEX,2025-02-03,14.9,15.2,14.9,14.9,668359.0
SAIHAMTEX,2025-02-02,14.9,15.0,14.7,14.8,306285.0
SAIHAMTEX,2025-01-30,15.1,15.1,14.8,14.9,187560.0
SAIHAMTEX,2025-01-29,15.2,15.2,15.0,15.1,106250.0
SAIHAMTEX,2025-01-28,15.3,15.3,15.1,15.2,180180.0
SAIHAMTEX,2025-01-27,15.4,15.4,15.1,15.2,223363.0
SAIHAMTEX,2025-01-26,15.3,15.5,15.2,15.3,479338.0
SAIHAMTEX,2025-01-23,15.0,15.3,15.0,15.2,740992.0
SAIHAMTEX,2025-01-22,15.1,15.1,14.7,14.7,386170.0
SAIHAMTEX,2025-01-21,15.1,15.4,14.9,15.0,317616.0
SAIHAMTEX,2025-01-20,14.9,15.3,14.9,15.0,470555.0
SAIHAMTEX,2025-01-19,14.8,15.0,14.5,14.9,270995.0
SAIHAMTEX,2025-01-16,14.8,15.2,14.7,14.8,293071.0
SAIHAMTEX,2025-01-15,15.0,15.7,14.9,15.0,375201.0
SAIHAMTEX,2025-01-14,15.2,15.3,14.9,15.0,263848.0
SAIHAMTEX,2025-01-13,15.4,15.4,14.9,15.0,280828.0
SAIHAMTEX,2025-01-12,15.5,15.5,15.0,15.0,251387.0
SAIHAMTEX,2025-01-09,15.5,15.6,15.2,15.3,289638.0
SAIHAMTEX,2025-01-08,15.5,15.5,15.2,15.4,158795.0
SAIHAMTEX,2025-01-07,15.3,15.8,15.3,15.5,529172.0
SAIHAMTEX,2025-01-06,15.6,15.7,15.2,15.3,750113.0
SAIHAMTEX,2025-01-05,15.4,15.8,15.2,15.3,203776.0
SAIHAMTEX,2025-01-02,15.7,15.8,15.4,15.5,492984.0
SAIHAMTEX,2025-01-01,15.6,15.6,15.3,15.5,193702.0
SAIHAMTEX,2024-12-30,15.7,15.7,15.3,15.3,324909.0
SAIHAMTEX,2024-12-29,15.5,15.8,15.3,15.5,184652.0
SAIHAMTEX,2024-12-26,15.4,15.8,15.3,15.6,393877.0
SAIHAMTEX,2024-12-24,15.5,15.9,15.3,15.4,351030.0
SAIHAMTEX,2024-12-23,15.9,16.1,15.4,15.5,440247.0
SAIHAMTEX,2024-12-22,16.0,16.3,15.7,15.8,579442.0
SAIHAMTEX,2024-12-19,15.8,16.4,15.7,16.3,445955.0
SAIHAMTEX,2024-12-18,16.1,16.4,15.6,15.8,570584.0
SAIHAMTEX,2024-12-17,16.5,16.6,15.9,16.0,1015251.0
SAIHAMTEX,2024-12-15,16.5,17.0,16.3,16.4,594880.0
SAIHAMTEX,2024-12-12,16.3,17.3,16.2,16.7,1677145.0
SAIHAMTEX,2024-12-11,16.9,17.1,16.3,16.5,1018234.0
SAIHAMTEX,2024-12-10,15.6,16.9,15.5,16.9,2929781.0
SAIHAMTEX,2024-12-09,15.1,15.6,15.1,15.4,425233.0
SAIHAMTEX,2024-12-08,15.0,15.3,15.0,15.2,184644.0
SAIHAMTEX,2024-12-05,15.3,15.6,15.1,15.3,226650.0
SAIHAMTEX,2024-12-04,15.7,15.8,15.3,15.4,650573.0
SAIHAMTEX,2024-12-03,15.6,15.8,15.4,15.6,457662.0
SAIHAMTEX,2024-12-02,15.6,15.8,15.4,15.5,529104.0
SAIHAMTEX,2024-12-01,14.8,15.7,14.8,15.5,386965.0
SAIHAMTEX,2024-11-28,15.4,15.5,14.6,14.9,635829.0
SAIHAMTEX,2024-11-27,14.8,15.4,14.7,15.3,418121.0
SAIHAMTEX,2024-11-26,15.0,15.0,14.6,14.8,354182.0
SAIHAMTEX,2024-11-25,14.9,15.0,14.7,14.8,200303.0
SAIHAMTEX,2024-11-24,15.0,15.0,14.5,14.7,397153.0
SAIHAMTEX,2024-11-21,15.0,15.3,14.7,14.7,230337.0
SAIHAMTEX,2024-11-20,15.1,15.2,14.9,15.0,562129.0
SAIHAMTEX,2024-11-19,0.0,0.0,0.0,15.6,0.0
SAIHAMTEX,2024-11-18,15.8,16.2,15.5,15.6,817885.0
SAIHAMTEX,2024-11-17,15.9,16.7,15.9,16.1,1439178.0
SAIHAMTEX,2024-11-14,14.5,15.5,14.5,15.2,637443.0
SAIHAMTEX,2024-11-13,14.7,14.7,14.2,14.3,209489.0
SAIHAMTEX,2024-11-12,15.0,15.1,14.4,14.5,395291.0
SAIHAMTEX,2024-11-11,14.9,15.0,14.6,14.7,301782.0
SAIHAMTEX,2024-11-10,15.3,15.4,14.7,14.8,344075.0
SAIHAMTEX,2024-11-07,15.1,15.3,14.9,15.0,222776.0
SAIHAMTEX,2024-11-06,15.6,16.0,14.9,15.0,1027806.0
SAIHAMTEX,2024-11-05,15.7,16.0,15.4,15.5,660451.0
SAIHAMTEX,2024-11-04,14.8,15.7,14.5,15.5,1076252.0
SAIHAMTEX,2024-11-03,14.7,14.8,14.4,14.5,419609.0
SAIHAMTEX,2024-10-31,15.0,15.0,14.4,14.6,597152.0
SAIHAMTEX,2024-10-30,14.5,15.0,14.2,14.8,696310.0
SAIHAMTEX,2024-10-29,14.5,14.6,14.0,14.4,400632.0
SAIHAMTEX,2024-10-28,13.7,14.5,13.6,14.2,594502.0
SAIHAMTEX,2024-10-27,14.4,14.8,13.5,13.7,528420.0
SAIHAMTEX,2024-10-24,14.3,14.6,14.0,14.5,269577.0
SAIHAMTEX,2024-10-23,15.0,15.0,14.2,14.3,153585.0
SAIHAMTEX,2024-10-22,14.9,15.1,14.7,14.8,268563.0
SAIHAMTEX,2024-10-21,14.6,15.0,14.3,14.7,490094.0
SAIHAMTEX,2024-10-20,14.9,14.9,14.3,14.4,201095.0
SAIHAMTEX,2024-10-17,14.9,15.4,14.7,14.8,139219.0
SAIHAMTEX,2024-10-16,15.8,15.8,15.0,15.1,251382.0
SAIHAMTEX,2024-10-15,16.1,16.2,15.4,15.6,263200.0
SAIHAMTEX,2024-10-14,15.4,16.2,15.3,15.9,482310.0
SAIHAMTEX,2024-10-09,14.9,15.4,14.9,15.3,263650.0
SAIHAMTEX,2024-10-08,15.4,15.7,14.7,14.8,192441.0
SAIHAMTEX,2024-10-07,15.7,15.7,14.6,14.8,558414.0
SAIHAMTEX,2024-10-06,16.1,16.2,15.6,15.7,338122.0
SAIHAMTEX,2024-10-03,15.8,16.0,15.4,15.7,326106.0
SAIHAMTEX,2024-10-02,16.2,16.2,15.5,15.6,251975.0
SAIHAMTEX,2024-10-01,16.2,16.9,16.1,16.2,497292.0
SAIHAMTEX,2024-09-30,16.0,16.5,16.0,16.3,219008.0
SAIHAMTEX,2024-09-29,16.4,16.8,16.0,16.1,451732.0
SAIHAMTEX,2024-09-26,17.2,17.2,15.9,16.5,631659.0
SAIHAMTEX,2024-09-25,18.3,18.5,17.1,17.4,987716.0
SAIHAMTEX,2024-09-24,18.3,18.5,18.0,18.1,624199.0
SAIHAMTEX,2024-09-23,18.5,18.6,18.0,18.1,430787.0
SAIHAMTEX,2024-09-22,18.2,18.9,18.1,18.4,1561015.0
SAIHAMTEX,2024-09-19,18.1,18.4,18.0,18.1,378158.0
SAIHAMTEX,2024-09-18,18.4,18.6,18.0,18.1,751229.0
SAIHAMTEX,2024-09-17,18.6,18.8,18.2,18.3,658449.0
SAIHAMTEX,2024-09-15,18.8,18.9,18.4,18.5,552174.0
SAIHAMTEX,2024-09-12,18.8,19.0,18.4,18.5,708772.0
SAIHAMTEX,2024-09-11,18.8,19.2,18.6,18.8,1019847.0
SAIHAMTEX,2024-09-10,18.7,18.9,18.2,18.6,492223.0
SAIHAMTEX,2024-09-09,18.3,18.9,18.1,18.4,1003931.0
SAIHAMTEX,2024-09-08,18.8,19.5,18.0,18.1,949843.0
SAIHAMTEX,2024-09-05,19.0,19.0,18.3,18.5,932420.0
SAIHAMTEX,2024-09-04,19.4,19.6,18.7,18.9,738911.0
