Trading_Code,Date,Open,High,Low,Close,Volume
SAJIBKNIT,2009-12-04,22.75,22.75,22.75,22.75,50.0
SAJIBKNIT,2009-12-03,24.25,24.25,24.25,24.25,100.0
SAJIBKNIT,2009-12-02,26.5,26.75,26.0,26.5,2800.0
SAJIBKNIT,2009-11-06,26.0,27.5,26.0,26.5,1050.0
SAJIBKNIT,2009-11-05,25.0,25.25,25.0,25.0,200.0
SAJIBKNIT,2009-11-03,26.5,26.5,24.5,25.25,2000.0
SAJIBKNIT,2009-11-02,29.0,29.0,26.75,27.75,2300.0
SAJIBKNIT,2009-10-06,26.0,26.0,26.0,26.0,500.0
SAJIBKNIT,2009-10-05,25.0,25.0,25.0,25.0,150.0
SAJIBKNIT,2009-10-02,28.75,28.75,28.75,28.75,200.0
SAJIBKNIT,2009-09-06,26.25,26.25,26.25,26.25,150.0
SAJIBKNIT,2009-09-04,22.5,22.75,22.25,22.25,250.0
SAJIBKNIT,2009-09-03,27.0,27.0,27.0,27.0,300.0
SAJIBKNIT,2009-09-02,27.0,28.0,27.0,27.0,1400.0
SAJIBKNIT,2009-08-04,23.0,24.75,23.0,23.0,1100.0
SAJIBKNIT,2009-08-03,26.75,28.0,26.5,27.5,600.0
SAJIBKNIT,2009-08-02,29.0,29.0,29.0,29.0,100.0
SAJIBKNIT,2009-07-05,22.75,24.0,22.75,23.5,250.0
SAJIBKNIT,2009-06-30,33.5,39.0,33.5,37.0,5200.0
SAJIBKNIT,2009-06-29,34.0,34.0,33.0,33.0,700.0
SAJIBKNIT,2009-06-28,36.5,36.75,32.5,33.0,4150.0
SAJIBKNIT,2009-06-25,31.5,36.0,31.5,35.0,6400.0
SAJIBKNIT,2009-06-24,28.0,32.0,28.0,30.25,800.0
SAJIBKNIT,2009-06-23,28.0,28.0,28.0,28.0,100.0
SAJIBKNIT,2009-06-22,27.0,27.0,27.0,27.0,350.0
SAJIBKNIT,2009-06-21,28.5,28.5,28.5,28.5,50.0
SAJIBKNIT,2009-06-18,28.0,28.0,28.0,28.0,600.0
SAJIBKNIT,2009-06-17,26.75,29.0,26.75,27.5,3800.0
SAJIBKNIT,2009-06-15,26.25,26.5,26.0,26.0,700.0
SAJIBKNIT,2009-06-14,27.5,27.5,27.5,27.5,50.0
SAJIBKNIT,2009-06-05,22.25,22.5,22.25,22.25,700.0
SAJIBKNIT,2009-06-04,23.5,23.75,23.5,23.5,250.0
SAJIBKNIT,2009-05-28,30.0,30.0,29.25,29.75,700.0
SAJIBKNIT,2009-05-26,31.75,31.75,30.0,30.5,1750.0
SAJIBKNIT,2009-05-25,31.0,32.0,31.0,31.25,2400.0
SAJIBKNIT,2009-05-24,30.0,32.75,27.25,30.25,1400.0
SAJIBKNIT,2009-05-21,26.0,29.0,26.0,27.75,1250.0
SAJIBKNIT,2009-05-18,26.25,26.25,24.25,25.0,350.0
SAJIBKNIT,2009-05-17,26.0,26.5,24.0,25.25,600.0
SAJIBKNIT,2009-05-04,23.25,23.5,23.25,23.25,1000.0
SAJIBKNIT,2009-05-03,30.0,30.0,27.0,27.75,1000.0
SAJIBKNIT,2009-05-02,33.0,33.25,31.0,31.25,3200.0
SAJIBKNIT,2009-04-30,23.0,24.5,23.0,23.0,650.0
SAJIBKNIT,2009-04-29,23.25,23.25,23.0,23.0,200.0
SAJIBKNIT,2009-04-28,23.0,23.0,23.0,23.0,550.0
SAJIBKNIT,2009-04-26,23.5,23.5,23.25,23.25,300.0
SAJIBKNIT,2009-04-23,23.5,23.5,23.5,23.5,50.0
SAJIBKNIT,2009-04-20,23.75,23.75,23.0,23.25,950.0
SAJIBKNIT,2009-04-19,23.0,23.0,23.0,23.0,200.0
SAJIBKNIT,2009-04-16,22.5,22.5,22.5,22.5,50.0
SAJIBKNIT,2009-04-06,29.0,29.0,25.5,27.0,550.0
SAJIBKNIT,2009-04-05,22.5,22.5,22.25,22.25,200.0
SAJIBKNIT,2009-04-03,35.0,35.0,31.5,32.0,2000.0
SAJIBKNIT,2009-04-02,30.0,33.0,30.0,32.25,2350.0
SAJIBKNIT,2009-03-25,25.25,25.5,25.25,25.25,1100.0
SAJIBKNIT,2009-03-22,25.75,25.75,25.75,25.75,50.0
