Trading_Code,Date,Open,High,Low,Close,Volume
SALEHCARPT,2009-12-02,5.5,5.9,5.5,5.5,17600.0
SALEHCARPT,2009-12-01,4.1,4.1,4.1,4.1,2200.0
SALEHCARPT,2009-11-02,5.7,5.7,5.3,5.3,43000.0
SALEHCARPT,2009-10-02,6.0,6.5,6.0,6.3,14800.0
SALEHCARPT,2009-09-02,5.7,5.9,5.3,5.6,29600.0
SALEHCARPT,2009-08-02,6.4,6.4,5.5,5.5,28600.0
SALEHCARPT,2009-07-01,4.1,4.1,3.9,3.9,2400.0
SALEHCARPT,2009-06-01,4.0,4.2,4.0,4.0,8400.0
SALEHCARPT,2009-05-02,7.0,7.1,6.0,6.4,76600.0
SALEHCARPT,2009-05-01,3.9,4.0,3.9,3.9,6000.0
SALEHCARPT,2009-04-02,6.3,7.0,6.3,6.7,63000.0
SALEHCARPT,2009-04-01,3.7,3.9,3.6,3.8,10000.0
SALEHCARPT,2009-03-03,8.8,10.4,8.8,10.1,107400.0
SALEHCARPT,2009-03-02,6.3,6.3,5.7,5.9,21600.0
SALEHCARPT,2009-02-26,5.6,6.6,5.5,6.3,69000.0
SALEHCARPT,2009-02-25,5.6,5.8,5.5,5.5,21600.0
SALEHCARPT,2009-02-24,5.4,5.9,5.4,5.6,15400.0
SALEHCARPT,2009-02-23,6.0,6.0,5.7,5.8,31000.0
SALEHCARPT,2009-02-22,5.6,6.0,5.6,5.8,22200.0
SALEHCARPT,2009-02-19,5.8,5.8,5.6,5.7,7000.0
SALEHCARPT,2009-02-18,5.6,6.0,5.6,5.9,31800.0
SALEHCARPT,2009-02-17,5.0,5.5,5.0,5.5,17000.0
SALEHCARPT,2009-02-16,5.0,5.0,4.5,4.6,20800.0
SALEHCARPT,2009-02-15,5.1,5.3,5.1,5.1,13200.0
SALEHCARPT,2009-02-03,7.8,8.8,7.8,8.7,145200.0
SALEHCARPT,2009-02-02,6.6,7.0,6.3,6.3,43000.0
SALEHCARPT,2009-01-29,6.4,7.2,6.4,7.1,54000.0
SALEHCARPT,2009-01-28,5.5,6.2,5.5,6.0,29200.0
SALEHCARPT,2009-01-27,5.5,5.5,5.4,5.4,21000.0
SALEHCARPT,2009-01-26,5.0,5.5,5.0,5.4,17000.0
SALEHCARPT,2009-01-25,4.9,5.5,4.9,5.2,8600.0
SALEHCARPT,2009-01-22,5.0,5.2,4.8,4.9,40200.0
SALEHCARPT,2009-01-21,4.4,5.0,4.4,4.9,35600.0
SALEHCARPT,2009-01-20,4.2,4.3,4.2,4.2,8000.0
SALEHCARPT,2009-01-19,4.2,4.2,4.1,4.1,11800.0
SALEHCARPT,2009-01-18,4.2,4.4,4.2,4.2,8400.0
SALEHCARPT,2009-01-15,4.3,4.4,4.2,4.2,4600.0
SALEHCARPT,2009-01-14,4.3,4.5,4.3,4.4,2600.0
SALEHCARPT,2009-01-13,4.2,4.3,4.2,4.2,17400.0
SALEHCARPT,2009-01-03,6.9,7.5,6.9,7.4,118600.0
SALEHCARPT,2009-01-02,7.0,7.0,6.3,6.8,44000.0
SALEHCARPT,2008-12-28,4.1,4.1,4.1,4.1,2000.0
SALEHCARPT,2008-12-24,4.1,4.3,4.1,4.1,1800.0
SALEHCARPT,2008-12-23,4.1,4.1,4.0,4.0,14000.0
SALEHCARPT,2008-12-22,3.9,4.0,3.9,3.9,5800.0
SALEHCARPT,2008-12-17,3.8,3.8,3.8,3.8,5000.0
SALEHCARPT,2008-12-15,3.6,3.6,3.6,3.6,1000.0
SALEHCARPT,2008-12-14,3.6,3.6,3.6,3.6,600.0
SALEHCARPT,2008-12-11,4.0,4.0,4.0,4.0,10000.0
SALEHCARPT,2008-12-10,5.1,5.2,5.0,5.1,33200.0
SALEHCARPT,2008-12-08,2.6,2.6,2.6,2.6,10000.0
SALEHCARPT,2008-12-06,2.9,3.0,2.9,2.9,6200.0
SALEHCARPT,2008-12-05,3.1,3.1,3.0,3.0,3600.0
