Trading_Code,Date,Open,High,Low,Close,Volume
SALVOCHEM,2025-04-08,23.6,24.0,23.5,23.6,323755.0
SALVOCHEM,2025-04-07,24.0,24.4,23.5,23.7,385960.0
SALVOCHEM,2025-04-06,23.8,23.8,23.3,23.5,449872.0
SALVOCHEM,2025-03-27,24.5,24.5,23.8,24.0,360222.0
SALVOCHEM,2025-03-25,24.3,24.7,24.0,24.1,426469.0
SALVOCHEM,2025-03-24,24.6,24.6,24.0,24.1,546656.0
SALVOCHEM,2025-03-23,25.0,25.0,24.0,24.2,552492.0
SALVOCHEM,2025-03-20,25.5,26.2,25.1,25.2,1518587.0
SALVOCHEM,2025-03-19,23.5,25.8,23.5,25.6,2053502.0
SALVOCHEM,2025-03-18,23.7,23.7,23.2,23.5,516199.0
SALVOCHEM,2025-03-17,23.7,23.7,23.3,23.4,354438.0
SALVOCHEM,2025-03-16,23.7,23.7,23.3,23.4,573651.0
SALVOCHEM,2025-03-13,24.4,24.4,23.3,23.4,619976.0
SALVOCHEM,2025-03-12,23.8,24.3,23.7,23.8,633792.0
SALVOCHEM,2025-03-11,23.6,24.1,23.5,23.6,336282.0
SALVOCHEM,2025-03-10,23.3,23.6,22.6,23.4,659369.0
SALVOCHEM,2025-03-09,24.1,24.2,22.8,23.2,386877.0
SALVOCHEM,2025-03-06,24.3,24.9,24.2,24.4,306398.0
SALVOCHEM,2025-03-05,24.3,24.4,23.3,24.0,467399.0
SALVOCHEM,2025-03-04,25.0,25.1,23.9,24.1,592410.0
SALVOCHEM,2025-03-03,25.4,25.6,24.8,25.0,975775.0
SALVOCHEM,2025-03-02,25.5,25.7,25.2,25.4,663506.0
SALVOCHEM,2025-02-27,25.9,25.9,24.8,25.4,1149216.0
SALVOCHEM,2025-02-26,24.4,25.7,24.3,25.5,1551044.0
SALVOCHEM,2025-02-25,24.2,24.7,24.2,24.3,921697.0
SALVOCHEM,2025-02-24,24.6,24.6,23.9,24.1,874650.0
SALVOCHEM,2025-02-23,24.2,24.8,24.2,24.5,1294648.0
SALVOCHEM,2025-02-20,23.4,24.3,23.4,24.0,966343.0
SALVOCHEM,2025-02-19,23.7,23.8,23.3,23.5,395748.0
SALVOCHEM,2025-02-18,23.4,23.9,23.4,23.5,860979.0
SALVOCHEM,2025-02-17,23.3,23.8,23.0,23.3,718314.0
SALVOCHEM,2025-02-16,24.3,24.3,23.3,23.4,472926.0
SALVOCHEM,2025-02-13,24.0,24.7,23.6,24.1,780261.0
SALVOCHEM,2025-02-12,23.9,24.0,23.6,23.8,493655.0
