Trading_Code,Date,Open,High,Low,Close,Volume
SAMORITA,2025-04-08,59.1,59.5,58.8,59.0,66418.0
SAMORITA,2025-04-07,60.0,60.0,58.0,59.0,88117.0
SAMORITA,2025-04-06,57.7,59.2,57.3,58.9,99591.0
SAMORITA,2025-03-27,58.8,59.0,57.9,58.4,61079.0
SAMORITA,2025-03-25,57.2,59.3,57.2,58.6,158545.0
SAMORITA,2025-03-24,56.8,57.7,56.8,57.1,81975.0
SAMORITA,2025-03-23,56.6,57.3,56.5,56.8,43764.0
SAMORITA,2025-03-20,56.7,57.4,56.5,56.8,93648.0
SAMORITA,2025-03-19,57.0,57.7,56.5,56.9,52027.0
SAMORITA,2025-03-18,56.2,57.5,56.2,57.0,53465.0
SAMORITA,2025-03-17,56.4,57.4,56.4,56.5,41214.0
SAMORITA,2025-03-16,56.0,57.3,56.0,56.9,53680.0
SAMORITA,2025-03-13,57.0,57.4,56.0,56.2,68723.0
SAMORITA,2025-03-12,56.8,58.5,56.3,56.5,75056.0
SAMORITA,2025-03-11,57.3,58.7,57.0,57.7,65942.0
SAMORITA,2025-03-10,55.0,57.3,55.0,57.0,68183.0
SAMORITA,2025-03-09,57.0,57.5,55.6,55.7,48549.0
SAMORITA,2025-03-06,58.4,59.4,56.8,57.0,105886.0
SAMORITA,2025-03-05,56.6,58.3,56.5,57.8,102395.0
SAMORITA,2025-03-04,57.6,58.4,56.3,56.6,69379.0
SAMORITA,2025-03-03,58.3,60.4,58.0,58.1,278862.0
SAMORITA,2025-03-02,57.2,59.0,57.2,58.1,187985.0
SAMORITA,2025-02-27,54.9,57.1,54.9,56.7,135019.0
SAMORITA,2025-02-26,55.5,55.8,55.0,55.2,32468.0
SAMORITA,2025-02-25,55.3,56.0,55.2,55.3,60424.0
SAMORITA,2025-02-24,54.8,55.7,54.3,55.2,28839.0
SAMORITA,2025-02-23,54.8,55.3,54.7,54.9,52332.0
SAMORITA,2025-02-20,54.8,55.2,54.6,54.8,40283.0
SAMORITA,2025-02-19,54.7,54.8,54.3,54.7,12023.0
SAMORITA,2025-02-18,55.4,55.6,54.5,54.7,63734.0
SAMORITA,2025-02-17,56.0,56.0,55.1,55.4,32832.0
SAMORITA,2025-02-16,55.1,56.1,55.1,55.3,41649.0
SAMORITA,2025-02-13,55.0,55.6,55.0,55.1,45524.0
SAMORITA,2025-02-12,56.9,56.9,54.9,55.2,73878.0
SAMORITA,2025-02-11,56.7,57.1,56.0,56.2,94112.0
SAMORITA,2025-02-10,55.4,57.2,55.3,56.4,89512.0
SAMORITA,2025-02-09,55.5,56.1,54.9,55.4,48341.0
SAMORITA,2025-02-06,56.5,56.5,55.0,55.2,100085.0
SAMORITA,2025-02-05,56.8,57.9,55.4,56.0,134255.0
SAMORITA,2025-02-04,55.9,59.1,55.5,57.2,377307.0
SAMORITA,2025-02-03,53.9,56.0,53.6,55.7,112602.0
SAMORITA,2025-02-02,54.5,54.5,52.5,53.6,87435.0
SAMORITA,2025-01-30,57.7,57.7,53.7,54.0,120386.0
SAMORITA,2025-01-29,55.6,57.2,54.7,56.6,124664.0
SAMORITA,2025-01-28,54.5,56.3,54.5,55.2,175190.0
SAMORITA,2025-01-27,54.0,54.8,53.6,54.5,77405.0
SAMORITA,2025-01-26,55.0,56.0,53.5,53.9,102520.0
SAMORITA,2025-01-23,55.1,55.1,53.0,53.5,53385.0
SAMORITA,2025-01-22,53.5,55.5,53.5,54.4,136743.0
SAMORITA,2025-01-21,53.9,54.6,53.1,53.5,73143.0
SAMORITA,2025-01-20,52.8,54.2,52.8,53.6,43855.0
SAMORITA,2025-01-19,51.8,53.3,51.6,52.9,69379.0
SAMORITA,2025-01-16,52.8,52.8,51.5,51.9,26898.0
SAMORITA,2025-01-15,53.4,53.4,51.8,52.0,57569.0
SAMORITA,2025-01-14,51.6,55.2,51.3,53.2,127985.0
SAMORITA,2025-01-13,50.8,51.9,50.7,51.0,54157.0
SAMORITA,2025-01-12,51.7,52.9,50.2,50.4,47566.0
SAMORITA,2025-01-09,50.3,50.8,50.0,50.4,17645.0
SAMORITA,2025-01-08,50.7,51.3,49.4,50.5,54104.0
SAMORITA,2025-01-07,51.5,51.8,50.5,50.7,31220.0
SAMORITA,2025-01-06,51.4,51.5,50.6,51.0,32907.0
SAMORITA,2025-01-05,51.8,51.8,50.8,50.9,13747.0
SAMORITA,2025-01-02,52.1,52.1,50.8,51.0,19598.0
SAMORITA,2025-01-01,52.0,52.3,51.6,51.8,41769.0
SAMORITA,2024-12-30,52.3,52.3,50.8,51.9,46802.0
SAMORITA,2024-12-29,52.1,52.1,50.7,50.8,145537.0
SAMORITA,2024-12-26,51.1,52.3,51.1,52.1,56448.0
SAMORITA,2024-12-24,52.5,52.5,51.1,51.5,29420.0
SAMORITA,2024-12-23,52.2,53.4,52.0,52.1,38319.0
SAMORITA,2024-12-22,53.1,53.7,51.9,52.8,31460.0
SAMORITA,2024-12-19,53.8,54.0,53.0,53.1,34604.0
SAMORITA,2024-12-18,54.4,54.6,53.7,53.8,14831.0
SAMORITA,2024-12-17,54.2,55.0,53.9,54.1,20413.0
SAMORITA,2024-12-15,53.1,54.4,53.1,53.8,22706.0
SAMORITA,2024-12-12,53.1,53.9,53.0,53.4,21174.0
SAMORITA,2024-12-11,54.1,54.9,53.3,53.5,23722.0
SAMORITA,2024-12-10,54.7,55.0,54.1,54.1,20078.0
SAMORITA,2024-12-09,55.3,55.8,54.2,54.5,23203.0
SAMORITA,2024-12-08,54.5,55.8,54.0,55.3,55666.0
SAMORITA,2024-12-05,55.1,56.7,54.2,55.0,46692.0
SAMORITA,2024-12-04,58.0,59.2,55.3,56.0,148963.0
SAMORITA,2024-12-03,56.4,59.5,56.4,58.3,138427.0
SAMORITA,2024-12-02,55.0,56.6,54.6,55.9,79460.0
SAMORITA,2024-12-01,54.4,55.0,53.8,54.6,78115.0
SAMORITA,2024-11-28,53.9,54.4,53.4,54.1,46173.0
SAMORITA,2024-11-27,53.6,54.0,52.8,53.7,31889.0
SAMORITA,2024-11-26,52.9,53.6,52.5,53.0,26153.0
SAMORITA,2024-11-25,52.0,53.7,51.6,52.9,34261.0
SAMORITA,2024-11-24,52.2,52.2,51.0,51.8,19517.0
SAMORITA,2024-11-21,53.0,53.0,51.8,52.0,31816.0
SAMORITA,2024-11-20,54.2,54.2,52.1,52.9,44014.0
SAMORITA,2024-11-19,0.0,0.0,0.0,54.1,0.0
SAMORITA,2024-11-18,54.1,54.9,53.9,54.1,65428.0
SAMORITA,2024-11-17,54.8,55.2,54.0,54.5,46078.0
SAMORITA,2024-11-14,55.1,56.7,53.6,54.0,141237.0
SAMORITA,2024-11-13,52.6,55.2,52.6,54.7,110428.0
SAMORITA,2024-11-12,53.9,54.0,52.6,52.8,52023.0
SAMORITA,2024-11-11,53.0,53.5,52.1,53.1,47557.0
SAMORITA,2024-11-10,54.5,55.0,52.5,52.8,60884.0
SAMORITA,2024-11-07,54.5,55.7,53.6,53.9,97167.0
SAMORITA,2024-11-06,54.5,56.0,54.5,55.0,121407.0
SAMORITA,2024-11-05,56.0,57.7,55.5,56.3,170642.0
SAMORITA,2024-11-04,53.2,55.6,53.2,55.0,130418.0
SAMORITA,2024-11-03,53.5,54.7,52.7,53.0,75989.0
SAMORITA,2024-10-31,54.3,56.8,53.0,53.6,156290.0
SAMORITA,2024-10-30,52.3,54.2,50.0,54.2,81447.0
SAMORITA,2024-10-29,50.0,50.5,46.7,49.3,262873.0
SAMORITA,2024-10-28,58.4,59.0,52.5,52.7,130386.0
SAMORITA,2024-10-27,60.1,61.0,57.2,58.3,96383.0
SAMORITA,2024-10-24,61.7,62.4,60.1,60.4,71677.0
SAMORITA,2024-10-23,63.9,63.9,61.9,62.0,43823.0
SAMORITA,2024-10-22,62.9,63.9,62.1,63.9,28413.0
SAMORITA,2024-10-21,62.6,63.3,61.0,61.9,48284.0
SAMORITA,2024-10-20,64.1,66.6,62.5,62.6,64870.0
SAMORITA,2024-10-17,67.5,67.5,64.5,64.7,32304.0
SAMORITA,2024-10-16,66.6,67.8,65.9,66.1,48838.0
SAMORITA,2024-10-15,67.2,67.7,66.4,66.7,26594.0
SAMORITA,2024-10-14,67.5,68.2,67.5,67.7,59781.0
SAMORITA,2024-10-09,67.7,68.1,66.5,67.9,80248.0
SAMORITA,2024-10-08,68.0,68.1,66.6,67.1,100698.0
SAMORITA,2024-10-07,67.2,68.5,67.2,67.7,108399.0
SAMORITA,2024-10-06,68.0,68.0,65.5,67.0,48697.0
SAMORITA,2024-10-03,64.0,65.8,63.6,64.8,35654.0
SAMORITA,2024-10-02,65.1,65.1,64.1,64.3,124037.0
SAMORITA,2024-10-01,65.7,65.7,65.1,65.5,49457.0
SAMORITA,2024-09-30,66.6,67.0,64.9,65.2,53763.0
SAMORITA,2024-09-29,68.3,68.3,65.7,66.5,25661.0
SAMORITA,2024-09-26,65.1,66.2,63.9,65.5,64051.0
SAMORITA,2024-09-25,67.2,68.3,65.7,65.9,60844.0
SAMORITA,2024-09-24,69.5,70.0,67.0,67.2,126529.0
SAMORITA,2024-09-23,69.7,71.2,69.1,69.5,80260.0
SAMORITA,2024-09-22,71.2,72.0,70.2,70.4,168103.0
SAMORITA,2024-09-19,70.1,71.9,70.1,71.6,186537.0
SAMORITA,2024-09-18,71.0,71.8,69.1,70.9,135686.0
SAMORITA,2024-09-17,71.5,72.5,68.7,68.9,247563.0
SAMORITA,2024-09-15,73.5,74.7,71.1,71.5,386597.0
SAMORITA,2024-09-12,71.7,74.3,71.0,73.9,311922.0
SAMORITA,2024-09-11,72.5,75.0,71.2,71.7,363651.0
SAMORITA,2024-09-10,70.0,75.0,70.0,73.6,874351.0
SAMORITA,2024-09-09,67.6,70.1,66.5,69.2,464776.0
SAMORITA,2024-09-08,67.9,68.9,66.9,67.1,183405.0
SAMORITA,2024-09-05,68.6,69.0,66.7,66.9,132181.0
SAMORITA,2024-09-04,68.9,70.3,68.1,68.7,259800.0
SAMORITA,2024-09-03,64.2,68.8,64.0,68.0,263939.0
SAMORITA,2024-09-02,64.8,66.0,63.7,64.0,65708.0
SAMORITA,2024-09-01,65.9,66.9,64.8,65.5,35783.0
SAMORITA,2024-08-29,64.5,65.0,63.4,64.6,42406.0
SAMORITA,2024-08-28,62.5,64.7,62.5,63.7,33917.0
SAMORITA,2024-08-27,62.4,62.7,61.8,62.4,16233.0
SAMORITA,2024-08-25,62.3,63.4,61.8,62.0,26345.0
SAMORITA,2024-08-22,62.1,62.8,62.1,62.5,26117.0
SAMORITA,2024-08-21,63.0,63.0,62.0,62.4,31859.0
SAMORITA,2024-08-20,63.6,65.0,63.0,63.4,43800.0
SAMORITA,2024-08-19,64.4,65.0,63.3,63.6,45990.0
SAMORITA,2024-08-18,62.7,65.0,62.6,62.8,75099.0
SAMORITA,2024-08-15,63.1,64.9,62.1,64.5,81823.0
SAMORITA,2024-08-14,65.0,65.6,63.3,63.7,97470.0
SAMORITA,2024-08-13,65.5,65.5,63.8,64.0,162127.0
SAMORITA,2024-08-12,65.7,67.0,65.6,65.7,155413.0
SAMORITA,2024-08-11,71.9,73.0,65.6,67.6,215756.0
SAMORITA,2024-08-08,61.0,68.0,61.0,67.6,502242.0
SAMORITA,2024-08-07,62.8,63.0,62.8,62.8,43370.0
SAMORITA,2024-08-06,69.9,73.0,64.7,64.7,152834.0
SAMORITA,2024-08-04,66.7,68.0,66.6,66.6,34478.0
SAMORITA,2024-08-01,67.1,68.8,67.1,68.6,34909.0
SAMORITA,2024-07-31,65.8,68.9,65.8,67.1,41375.0
SAMORITA,2024-07-30,68.5,68.5,66.6,66.8,47416.0
SAMORITA,2024-07-29,70.0,70.7,68.2,68.5,82897.0
SAMORITA,2024-07-28,71.2,72.3,69.7,69.9,29777.0
SAMORITA,2024-07-25,69.4,71.9,68.1,70.7,47701.0
SAMORITA,2024-07-24,69.2,69.9,68.8,69.3,62097.0
SAMORITA,2024-07-18,70.9,73.0,70.7,70.9,52644.0
SAMORITA,2024-07-16,72.7,73.4,71.5,72.4,92881.0
SAMORITA,2024-07-15,72.7,73.5,72.2,72.5,120705.0
SAMORITA,2024-07-14,72.6,73.9,71.0,71.7,135429.0
SAMORITA,2024-07-11,74.8,75.9,72.5,72.7,192304.0
SAMORITA,2024-07-10,76.7,79.0,74.5,74.7,268655.0
SAMORITA,2024-07-09,73.0,78.5,73.0,76.7,367155.0
