Trading_Code,Date,Open,High,Low,Close,Volume
SAPORTL,2025-04-08,22.7,22.8,22.3,22.4,431692.0
SAPORTL,2025-04-07,22.6,23.0,22.4,22.5,502993.0
SAPORTL,2025-04-06,21.9,22.6,21.8,22.4,722739.0
SAPORTL,2025-03-27,23.5,23.5,22.9,23.0,324042.0
SAPORTL,2025-03-25,23.5,23.7,23.1,23.3,585652.0
SAPORTL,2025-03-24,23.0,23.5,22.7,23.2,954131.0
SAPORTL,2025-03-23,23.7,23.8,22.9,23.0,430096.0
SAPORTL,2025-03-20,22.0,24.0,22.0,23.5,2758078.0
SAPORTL,2025-03-19,22.2,22.2,21.7,22.0,238140.0
SAPORTL,2025-03-18,21.9,22.1,21.7,21.8,165886.0
SAPORTL,2025-03-17,22.2,22.3,21.6,21.7,364517.0
SAPORTL,2025-03-16,21.8,22.4,21.7,22.2,270562.0
SAPORTL,2025-03-13,22.2,22.3,21.8,21.9,213780.0
SAPORTL,2025-03-12,22.1,22.5,22.0,22.1,149714.0
SAPORTL,2025-03-11,22.3,22.4,22.0,22.1,123359.0
SAPORTL,2025-03-10,22.0,22.3,22.0,22.1,242939.0
SAPORTL,2025-03-09,22.5,22.6,22.1,22.2,131150.0
SAPORTL,2025-03-06,22.5,22.5,22.3,22.5,205284.0
SAPORTL,2025-03-05,22.7,22.7,22.2,22.3,132259.0
SAPORTL,2025-03-04,22.5,22.6,22.3,22.4,174321.0
SAPORTL,2025-03-03,22.7,22.8,22.3,22.4,231001.0
SAPORTL,2025-03-02,23.1,23.1,22.5,22.7,276412.0
SAPORTL,2025-02-27,23.0,23.2,22.8,22.9,471187.0
SAPORTL,2025-02-26,23.1,23.4,22.8,22.9,494692.0
SAPORTL,2025-02-25,23.1,23.7,23.0,23.1,920547.0
SAPORTL,2025-02-24,23.4,23.4,22.8,23.0,459654.0
SAPORTL,2025-02-23,22.6,23.3,22.6,23.1,903023.0
SAPORTL,2025-02-20,22.2,22.7,22.2,22.5,222396.0
SAPORTL,2025-02-19,22.4,22.5,22.1,22.3,157919.0
SAPORTL,2025-02-18,22.2,22.5,22.2,22.2,306000.0
SAPORTL,2025-02-17,22.5,22.8,22.0,22.2,816166.0
SAPORTL,2025-02-16,22.6,22.9,22.5,22.6,212431.0
SAPORTL,2025-02-13,22.9,23.0,22.5,22.6,343194.0
SAPORTL,2025-02-12,23.3,23.4,22.6,22.8,265604.0
SAPORTL,2025-02-11,22.7,23.5,22.7,23.2,983974.0
SAPORTL,2025-02-10,22.7,22.8,22.5,22.7,202758.0
SAPORTL,2025-02-09,23.0,23.3,22.6,22.7,285149.0
SAPORTL,2025-02-06,22.7,23.4,22.5,23.0,523891.0
SAPORTL,2025-02-05,22.5,22.8,22.5,22.6,432916.0
SAPORTL,2025-02-04,22.6,22.8,22.1,22.5,302435.0
SAPORTL,2025-02-03,23.2,23.2,22.5,22.6,447566.0
SAPORTL,2025-02-02,23.4,23.6,22.9,23.0,994983.0
SAPORTL,2025-01-30,23.2,23.4,23.0,23.3,447952.0
SAPORTL,2025-01-29,23.0,23.4,23.0,23.1,540489.0
SAPORTL,2025-01-28,23.6,23.8,23.1,23.2,547193.0
SAPORTL,2025-01-27,22.7,23.7,22.6,23.5,1144126.0
SAPORTL,2025-01-26,22.7,22.7,22.3,22.5,382093.0
SAPORTL,2025-01-23,22.7,22.7,22.1,22.3,457814.0
SAPORTL,2025-01-22,22.9,22.9,22.2,22.3,838274.0
SAPORTL,2025-01-21,24.4,24.4,22.2,23.1,2017013.0
SAPORTL,2025-01-20,20.2,22.2,20.2,22.2,828754.0
SAPORTL,2025-01-19,20.4,20.4,19.9,20.2,259277.0
SAPORTL,2025-01-16,20.4,20.4,20.0,20.2,189412.0
SAPORTL,2025-01-15,20.4,20.5,20.1,20.2,262658.0
SAPORTL,2025-01-14,19.9,20.5,19.9,20.3,244339.0
SAPORTL,2025-01-13,20.3,20.5,19.8,19.9,864014.0
SAPORTL,2025-01-12,21.3,21.3,20.3,20.5,127926.0
SAPORTL,2025-01-09,20.5,21.2,20.4,20.9,125145.0
SAPORTL,2025-01-08,20.9,21.2,20.6,20.7,71648.0
SAPORTL,2025-01-07,21.4,21.5,20.8,21.0,265742.0
SAPORTL,2025-01-06,20.4,21.3,20.4,21.1,211645.0
SAPORTL,2025-01-05,21.6,21.6,20.0,20.7,126642.0
SAPORTL,2025-01-02,21.7,21.8,21.4,21.5,91427.0
SAPORTL,2025-01-01,21.6,22.0,21.5,21.7,179639.0
SAPORTL,2024-12-30,22.0,22.3,21.5,21.7,290442.0
SAPORTL,2024-12-29,22.3,22.4,21.8,22.0,122333.0
SAPORTL,2024-12-26,22.5,22.5,21.9,22.1,161382.0
SAPORTL,2024-12-24,22.1,22.4,22.1,22.3,110894.0
SAPORTL,2024-12-23,22.7,22.7,22.1,22.2,208700.0
SAPORTL,2024-12-22,23.0,23.0,22.3,22.5,281149.0
SAPORTL,2024-12-19,23.0,23.0,22.8,22.9,631091.0
SAPORTL,2024-12-18,23.3,23.4,22.9,23.0,368699.0
SAPORTL,2024-12-17,23.4,23.4,22.8,23.0,762734.0
SAPORTL,2024-12-15,23.0,23.2,22.5,22.7,228682.0
SAPORTL,2024-12-12,23.3,23.3,22.7,22.8,327936.0
SAPORTL,2024-12-11,23.1,23.6,22.6,22.9,257722.0
SAPORTL,2024-12-10,23.7,23.8,23.2,23.3,462406.0
SAPORTL,2024-12-09,23.8,24.0,23.3,23.4,230647.0
SAPORTL,2024-12-08,23.6,23.7,23.4,23.5,229236.0
SAPORTL,2024-12-05,24.1,24.2,23.4,23.6,390871.0
SAPORTL,2024-12-04,24.5,25.0,24.0,24.1,771868.0
SAPORTL,2024-12-03,24.3,24.9,24.0,24.4,1150453.0
SAPORTL,2024-12-02,24.2,24.6,23.9,24.1,724998.0
SAPORTL,2024-12-01,24.2,24.3,23.8,24.1,867156.0
SAPORTL,2024-11-28,24.7,25.1,24.0,24.2,912855.0
SAPORTL,2024-11-27,23.5,25.0,23.5,24.6,2050976.0
SAPORTL,2024-11-26,23.6,23.9,23.3,23.4,953170.0
SAPORTL,2024-11-25,23.9,24.2,23.3,23.6,1030271.0
SAPORTL,2024-11-24,23.0,24.1,22.5,23.7,1112947.0
SAPORTL,2024-11-21,24.1,24.2,23.0,23.1,1302443.0
SAPORTL,2024-11-20,25.5,26.0,23.8,23.9,1213906.0
SAPORTL,2024-11-19,25.5,25.7,23.8,24.5,4212528.0
SAPORTL,2024-11-18,0.0,0.0,0.0,24.5,0.0
SAPORTL,2024-11-17,24.0,24.5,24.0,24.5,2440914.0
SAPORTL,2024-11-14,22.3,22.5,22.2,22.3,736226.0
SAPORTL,2024-11-13,22.4,22.4,21.7,22.0,471301.0
SAPORTL,2024-11-12,22.2,22.4,22.0,22.1,612647.0
SAPORTL,2024-11-11,22.0,22.3,21.8,22.2,710249.0
SAPORTL,2024-11-10,22.2,22.4,21.6,21.8,422512.0
SAPORTL,2024-11-07,21.7,22.4,21.7,21.9,865958.0
SAPORTL,2024-11-06,22.1,22.4,21.6,21.9,492033.0
SAPORTL,2024-11-05,22.0,22.8,21.9,22.1,1705678.0
