Trading_Code,Date,Open,High,Low,Close,Volume
SEAPEARL,2025-04-08,39.0,39.4,38.7,38.7,530218.0
SEAPEARL,2025-04-07,39.4,39.6,38.9,39.0,415846.0
SEAPEARL,2025-04-06,39.5,40.2,38.9,39.1,641862.0
SEAPEARL,2025-03-27,41.4,41.8,39.7,39.9,736900.0
SEAPEARL,2025-03-25,38.9,41.5,38.5,41.1,2395960.0
SEAPEARL,2025-03-24,38.8,38.9,38.3,38.6,585896.0
SEAPEARL,2025-03-23,39.1,39.5,38.2,38.3,362875.0
SEAPEARL,2025-03-20,40.6,41.0,38.9,39.1,996785.0
SEAPEARL,2025-03-19,38.1,40.0,38.0,39.9,1424911.0
SEAPEARL,2025-03-18,38.7,38.7,37.8,38.0,174305.0
SEAPEARL,2025-03-17,37.4,39.0,36.8,38.0,658006.0
SEAPEARL,2025-03-16,37.6,38.1,37.5,38.0,414688.0
SEAPEARL,2025-03-13,37.6,38.0,37.5,37.9,416767.0
SEAPEARL,2025-03-12,37.6,38.3,37.4,37.6,505675.0
SEAPEARL,2025-03-11,38.5,38.6,37.5,37.8,417090.0
SEAPEARL,2025-03-10,36.1,38.9,36.0,38.2,760283.0
SEAPEARL,2025-03-09,35.8,36.9,35.8,36.1,435614.0
SEAPEARL,2025-03-06,36.9,36.9,36.1,36.2,174674.0
SEAPEARL,2025-03-05,36.7,36.7,36.2,36.3,222794.0
SEAPEARL,2025-03-04,37.6,38.0,36.4,36.7,576840.0
SEAPEARL,2025-03-03,37.0,38.0,36.7,37.6,838912.0
SEAPEARL,2025-03-02,37.4,38.0,37.0,37.2,883713.0
SEAPEARL,2025-02-27,36.9,38.0,36.0,37.3,1211836.0
SEAPEARL,2025-02-26,36.0,37.5,35.5,36.9,1202938.0
SEAPEARL,2025-02-25,32.6,35.7,32.5,35.7,2744744.0
SEAPEARL,2025-02-24,32.0,32.7,31.9,32.5,528800.0
SEAPEARL,2025-02-23,31.8,32.3,31.2,32.0,309350.0
SEAPEARL,2025-02-20,31.2,31.8,31.0,31.6,271688.0
SEAPEARL,2025-02-19,31.9,31.9,31.1,31.2,210867.0
SEAPEARL,2025-02-18,32.3,32.3,31.7,31.9,277918.0
SEAPEARL,2025-02-17,31.9,32.0,31.7,32.0,109055.0
SEAPEARL,2025-02-16,32.3,32.3,31.7,31.9,144552.0
SEAPEARL,2025-02-13,32.2,32.5,32.0,32.1,239967.0
SEAPEARL,2025-02-12,31.4,32.6,31.2,32.2,819256.0
SEAPEARL,2025-02-11,31.7,31.8,31.3,31.4,159998.0
SEAPEARL,2025-02-10,31.8,31.9,31.2,31.3,184435.0
SEAPEARL,2025-02-09,31.7,32.5,31.0,31.9,418835.0
SEAPEARL,2025-02-06,31.6,32.3,30.8,31.5,192078.0
SEAPEARL,2025-02-05,31.0,33.0,30.7,31.5,605334.0
SEAPEARL,2025-02-04,30.9,31.3,30.7,30.8,257773.0
SEAPEARL,2025-02-03,31.5,31.7,30.9,31.1,216875.0
SEAPEARL,2025-02-02,31.4,31.7,31.1,31.2,260354.0
SEAPEARL,2025-01-30,30.4,32.5,29.0,31.5,1009775.0
SEAPEARL,2025-01-29,30.5,31.5,30.0,31.3,486497.0
SEAPEARL,2025-01-28,30.6,30.9,30.5,30.5,131482.0
SEAPEARL,2025-01-27,31.3,31.3,30.5,30.7,220300.0
SEAPEARL,2025-01-26,31.5,31.5,30.6,30.7,160558.0
SEAPEARL,2025-01-23,30.6,31.0,29.9,30.9,629814.0
SEAPEARL,2025-01-22,31.1,31.1,30.4,30.5,235920.0
SEAPEARL,2025-01-21,31.1,31.7,30.5,30.6,381260.0
SEAPEARL,2025-01-20,30.0,31.6,29.6,31.3,678550.0
SEAPEARL,2025-01-19,30.8,30.9,29.9,30.0,215159.0
SEAPEARL,2025-01-16,29.7,31.0,29.7,30.6,483805.0
SEAPEARL,2025-01-15,32.2,32.2,29.0,29.7,1867398.0
SEAPEARL,2025-01-14,32.1,32.7,32.1,32.2,466102.0
SEAPEARL,2025-01-13,32.2,32.7,31.9,32.1,437707.0
SEAPEARL,2025-01-12,33.0,33.1,32.0,32.2,500316.0
SEAPEARL,2025-01-09,33.2,33.4,32.6,32.9,478541.0
SEAPEARL,2025-01-08,34.1,34.1,33.0,33.1,719127.0
SEAPEARL,2025-01-07,34.0,34.3,33.3,33.6,601424.0
SEAPEARL,2025-01-06,33.7,34.2,33.6,33.7,370408.0
SEAPEARL,2025-01-05,34.0,34.2,33.5,33.6,306257.0
SEAPEARL,2025-01-02,34.4,34.6,34.0,34.1,441208.0
SEAPEARL,2025-01-01,34.9,35.6,34.2,34.4,278915.0
SEAPEARL,2024-12-30,34.4,35.3,33.7,34.7,872222.0
SEAPEARL,2024-12-29,34.0,34.4,33.9,34.0,289844.0
SEAPEARL,2024-12-26,33.9,34.0,33.7,33.9,338189.0
SEAPEARL,2024-12-24,34.2,34.4,33.7,33.8,531334.0
SEAPEARL,2024-12-23,34.5,34.7,34.0,34.1,253154.0
SEAPEARL,2024-12-22,34.5,34.7,34.0,34.1,409958.0
SEAPEARL,2024-12-19,34.7,35.2,34.5,34.6,286860.0
SEAPEARL,2024-12-18,36.0,36.0,34.5,34.6,599894.0
SEAPEARL,2024-12-17,35.7,36.2,35.3,35.5,805890.0
SEAPEARL,2024-12-15,34.8,35.6,34.8,35.4,640266.0
SEAPEARL,2024-12-12,34.4,35.1,34.0,34.6,892655.0
SEAPEARL,2024-12-11,35.8,35.9,34.2,34.4,630691.0
SEAPEARL,2024-12-10,36.1,36.5,35.4,35.6,804820.0
SEAPEARL,2024-12-09,36.5,36.5,35.7,35.8,454657.0
SEAPEARL,2024-12-08,36.2,36.3,35.5,35.8,714128.0
SEAPEARL,2024-12-05,37.2,37.7,36.0,36.3,830811.0
SEAPEARL,2024-12-04,38.0,38.7,36.9,37.1,1131351.0
SEAPEARL,2024-12-03,37.5,38.2,36.9,37.4,1175516.0
SEAPEARL,2024-12-02,38.1,39.4,37.5,37.6,1869161.0
SEAPEARL,2024-12-01,35.7,38.4,35.2,38.1,2743920.0
SEAPEARL,2024-11-28,35.7,36.8,35.5,35.6,1524829.0
SEAPEARL,2024-11-27,34.7,35.7,34.7,35.4,1088362.0
SEAPEARL,2024-11-26,34.2,34.9,33.8,34.5,726097.0
SEAPEARL,2024-11-25,33.6,34.1,33.5,33.6,637041.0
SEAPEARL,2024-11-24,0.0,0.0,0.0,34.0,0.0
SEAPEARL,2024-11-21,34.4,34.7,33.8,34.0,715845.0
SEAPEARL,2024-11-20,35.2,35.5,34.3,34.4,536249.0
SEAPEARL,2024-11-19,34.4,36.8,34.1,35.2,1830443.0
SEAPEARL,2024-11-18,34.7,35.3,34.0,34.1,885190.0
SEAPEARL,2024-11-17,34.8,35.4,34.4,34.6,719932.0
SEAPEARL,2024-11-14,35.0,36.1,34.6,34.8,984622.0
SEAPEARL,2024-11-13,35.6,35.6,34.3,34.6,1463928.0
SEAPEARL,2024-11-12,33.4,36.7,33.4,35.6,1848303.0
SEAPEARL,2024-11-11,33.7,34.0,31.7,33.4,2257848.0
SEAPEARL,2024-11-10,36.9,37.0,34.7,35.2,1066518.0
SEAPEARL,2024-11-07,37.0,37.9,36.6,36.8,1965332.0
SEAPEARL,2024-11-06,37.7,38.0,36.8,37.0,1744572.0
SEAPEARL,2024-11-05,38.4,39.2,37.4,37.7,2836689.0
