Trading_Code,Date,Open,High,Low,Close,Volume
SEMLFBSLGF,2025-04-08,5.2,5.6,5.2,5.4,916057.0
SEMLFBSLGF,2025-04-07,5.5,5.5,5.1,5.2,379695.0
SEMLFBSLGF,2025-04-06,5.0,5.4,5.0,5.3,615460.0
SEMLFBSLGF,2025-03-27,4.9,5.1,4.8,5.0,389608.0
SEMLFBSLGF,2025-03-25,4.9,4.9,4.8,4.8,82895.0
SEMLFBSLGF,2025-03-24,4.7,4.9,4.7,4.8,341700.0
SEMLFBSLGF,2025-03-23,4.8,4.8,4.6,4.7,99446.0
SEMLFBSLGF,2025-03-20,4.7,4.8,4.6,4.7,293992.0
SEMLFBSLGF,2025-03-19,4.8,5.0,4.7,4.7,530330.0
SEMLFBSLGF,2025-03-18,4.5,4.9,4.5,4.9,1172260.0
SEMLFBSLGF,2025-03-17,4.4,4.6,4.4,4.5,196559.0
SEMLFBSLGF,2025-03-16,4.4,4.6,4.3,4.5,265869.0
SEMLFBSLGF,2025-03-13,4.5,4.5,4.4,4.5,54016.0
SEMLFBSLGF,2025-03-12,4.4,4.6,4.4,4.5,183061.0
SEMLFBSLGF,2025-03-11,4.3,4.5,4.2,4.4,431949.0
SEMLFBSLGF,2025-03-10,4.4,4.4,4.3,4.3,26110.0
SEMLFBSLGF,2025-03-09,4.4,4.4,4.3,4.3,156414.0
SEMLFBSLGF,2025-03-06,4.4,4.4,4.3,4.4,33281.0
SEMLFBSLGF,2025-03-05,4.4,4.4,4.3,4.4,74300.0
SEMLFBSLGF,2025-03-04,4.4,4.4,4.4,4.4,41500.0
SEMLFBSLGF,2025-03-03,4.5,4.5,4.4,4.5,101046.0
SEMLFBSLGF,2025-03-02,4.5,4.6,4.5,4.5,129106.0
SEMLFBSLGF,2025-02-27,4.5,4.6,4.5,4.5,153155.0
SEMLFBSLGF,2025-02-26,4.4,4.5,4.4,4.5,125290.0
SEMLFBSLGF,2025-02-25,4.5,4.6,4.4,4.4,96117.0
SEMLFBSLGF,2025-02-24,4.7,4.7,4.4,4.5,132966.0
SEMLFBSLGF,2025-02-23,4.4,4.7,4.3,4.6,250855.0
SEMLFBSLGF,2025-02-20,4.4,4.5,4.3,4.4,21855.0
SEMLFBSLGF,2025-02-19,4.4,4.5,4.4,4.4,61293.0
SEMLFBSLGF,2025-02-18,4.5,4.6,4.5,4.5,161066.0
SEMLFBSLGF,2025-02-17,4.5,4.5,4.4,4.4,15778.0
SEMLFBSLGF,2025-02-16,4.4,4.5,4.4,4.4,2270.0
SEMLFBSLGF,2025-02-13,4.5,4.5,4.4,4.5,9920.0
SEMLFBSLGF,2025-02-12,4.4,4.5,4.4,4.5,244750.0
SEMLFBSLGF,2025-02-11,4.3,4.4,4.3,4.3,30330.0
SEMLFBSLGF,2025-02-10,4.3,4.4,4.3,4.3,97932.0
SEMLFBSLGF,2025-02-09,4.4,4.4,4.3,4.3,21113.0
SEMLFBSLGF,2025-02-06,4.4,4.5,4.3,4.4,108133.0
SEMLFBSLGF,2025-02-05,4.4,4.4,4.3,4.4,72350.0
SEMLFBSLGF,2025-02-04,4.4,4.4,4.3,4.4,17263.0
SEMLFBSLGF,2025-02-03,4.3,4.4,4.3,4.3,39160.0
SEMLFBSLGF,2025-02-02,4.2,4.4,4.2,4.3,20899.0
SEMLFBSLGF,2025-01-30,4.4,4.4,4.3,4.3,65350.0
SEMLFBSLGF,2025-01-29,4.4,4.5,4.4,4.4,4258.0
SEMLFBSLGF,2025-01-28,4.5,4.5,4.4,4.4,33303.0
SEMLFBSLGF,2025-01-27,4.4,4.5,4.4,4.5,11620.0
SEMLFBSLGF,2025-01-26,4.6,4.6,4.4,4.5,125701.0
SEMLFBSLGF,2025-01-23,4.6,4.6,4.6,4.6,86200.0
SEMLFBSLGF,2025-01-22,4.6,4.7,4.6,4.6,61182.0
SEMLFBSLGF,2025-01-21,4.6,4.7,4.6,4.6,178234.0
SEMLFBSLGF,2025-01-20,4.6,4.7,4.5,4.6,233666.0
SEMLFBSLGF,2025-01-19,4.6,4.6,4.5,4.6,67005.0
SEMLFBSLGF,2025-01-16,4.5,4.6,4.5,4.6,195885.0
SEMLFBSLGF,2025-01-15,4.6,4.7,4.5,4.5,240600.0
SEMLFBSLGF,2025-01-14,4.7,4.7,4.7,4.7,109086.0
SEMLFBSLGF,2025-01-13,4.7,4.7,4.6,4.7,146481.0
SEMLFBSLGF,2025-01-12,4.7,4.8,4.7,4.7,244205.0
SEMLFBSLGF,2025-01-09,4.7,4.7,4.7,4.7,77090.0
SEMLFBSLGF,2025-01-08,4.7,4.8,4.7,4.7,69799.0
SEMLFBSLGF,2025-01-07,4.7,4.8,4.7,4.7,124046.0
SEMLFBSLGF,2025-01-06,4.7,4.7,4.7,4.7,103455.0
SEMLFBSLGF,2025-01-05,4.7,4.7,4.7,4.7,13140.0
SEMLFBSLGF,2025-01-02,4.7,4.8,4.6,4.7,62860.0
SEMLFBSLGF,2025-01-01,4.8,4.8,4.7,4.7,52943.0
SEMLFBSLGF,2024-12-30,4.7,4.8,4.7,4.7,47650.0
SEMLFBSLGF,2024-12-29,4.9,4.9,4.8,4.8,60061.0
SEMLFBSLGF,2024-12-26,4.7,4.7,4.7,4.7,9194.0
SEMLFBSLGF,2024-12-24,4.7,4.7,4.7,4.7,91806.0
SEMLFBSLGF,2024-12-23,4.8,4.8,4.7,4.7,64547.0
SEMLFBSLGF,2024-12-22,4.8,4.9,4.7,4.8,61919.0
SEMLFBSLGF,2024-12-19,4.9,4.9,4.8,4.8,128630.0
SEMLFBSLGF,2024-12-18,4.8,4.9,4.8,4.9,46815.0
SEMLFBSLGF,2024-12-17,5.1,5.1,4.8,5.0,74719.0
SEMLFBSLGF,2024-12-15,4.9,5.0,4.8,4.9,278659.0
SEMLFBSLGF,2024-12-12,4.8,4.9,4.8,4.8,105937.0
SEMLFBSLGF,2024-12-11,4.9,4.9,4.8,4.8,229501.0
SEMLFBSLGF,2024-12-10,5.1,5.1,5.0,5.0,198756.0
SEMLFBSLGF,2024-12-09,4.9,5.0,4.8,4.9,256483.0
SEMLFBSLGF,2024-12-08,5.0,5.0,4.8,4.9,137178.0
SEMLFBSLGF,2024-12-05,5.1,5.1,5.0,5.0,288149.0
SEMLFBSLGF,2024-12-04,5.0,5.3,5.0,5.2,1185341.0
SEMLFBSLGF,2024-12-03,5.0,5.0,4.8,4.9,494621.0
SEMLFBSLGF,2024-12-02,4.8,5.0,4.8,4.9,293912.0
SEMLFBSLGF,2024-12-01,4.8,4.8,4.7,4.8,77448.0
SEMLFBSLGF,2024-11-28,5.0,5.3,4.7,4.8,180241.0
SEMLFBSLGF,2024-11-27,4.7,5.1,4.7,4.9,172648.0
SEMLFBSLGF,2024-11-26,4.7,4.7,4.6,4.7,130046.0
