Trading_Code,Date,Open,High,Low,Close,Volume
SEMLIBBLSF,2025-04-08,6.8,7.1,6.7,6.7,246816.0
SEMLIBBLSF,2025-04-07,6.8,6.9,6.7,6.8,58946.0
SEMLIBBLSF,2025-04-06,6.9,6.9,6.7,6.8,126963.0
SEMLIBBLSF,2025-03-27,6.8,6.9,6.8,6.9,62146.0
SEMLIBBLSF,2025-03-25,6.7,6.9,6.7,6.9,31515.0
SEMLIBBLSF,2025-03-24,6.5,6.6,6.5,6.6,170041.0
SEMLIBBLSF,2025-03-23,6.4,6.6,6.4,6.5,272971.0
SEMLIBBLSF,2025-03-20,6.4,6.5,6.4,6.5,353761.0
SEMLIBBLSF,2025-03-19,6.5,6.6,6.4,6.5,245932.0
SEMLIBBLSF,2025-03-18,6.3,6.5,6.3,6.5,85351.0
SEMLIBBLSF,2025-03-17,6.1,6.5,6.0,6.3,126546.0
SEMLIBBLSF,2025-03-16,6.2,6.3,6.0,6.1,27761.0
SEMLIBBLSF,2025-03-13,6.1,6.1,6.0,6.1,10764.0
SEMLIBBLSF,2025-03-12,6.3,6.3,6.1,6.2,78958.0
SEMLIBBLSF,2025-03-11,6.1,6.3,6.0,6.3,88354.0
SEMLIBBLSF,2025-03-10,6.0,6.0,6.0,6.0,26284.0
SEMLIBBLSF,2025-03-09,6.1,6.1,6.0,6.0,70120.0
SEMLIBBLSF,2025-03-06,6.0,6.0,5.9,6.0,12342.0
SEMLIBBLSF,2025-03-05,6.0,6.0,6.0,6.0,46428.0
SEMLIBBLSF,2025-03-04,6.1,6.1,6.0,6.0,24688.0
SEMLIBBLSF,2025-03-03,6.0,6.0,5.9,6.0,21442.0
SEMLIBBLSF,2025-03-02,6.1,6.1,5.9,6.0,42589.0
SEMLIBBLSF,2025-02-27,6.2,6.2,6.1,6.1,14513.0
SEMLIBBLSF,2025-02-26,6.2,6.3,6.1,6.2,7006.0
SEMLIBBLSF,2025-02-25,6.2,6.2,6.1,6.2,10400.0
SEMLIBBLSF,2025-02-24,6.2,6.4,6.2,6.2,4216.0
