Trading_Code,Date,Open,High,Low,Close,Volume
SEMLLECMF,2025-04-08,8.2,8.6,8.2,8.4,1214163.0
SEMLLECMF,2025-04-07,8.2,8.5,8.0,8.2,847196.0
SEMLLECMF,2025-04-06,7.9,8.3,7.7,8.2,2098494.0
SEMLLECMF,2025-03-27,7.7,7.9,7.7,7.9,102135.0
SEMLLECMF,2025-03-25,7.9,7.9,7.7,7.8,127352.0
SEMLLECMF,2025-03-24,7.8,8.0,7.6,7.8,737017.0
SEMLLECMF,2025-03-23,7.8,7.9,7.5,7.8,1176468.0
SEMLLECMF,2025-03-20,7.5,7.8,7.4,7.7,1800748.0
SEMLLECMF,2025-03-19,7.6,7.6,7.3,7.4,508753.0
SEMLLECMF,2025-03-18,7.7,7.9,7.4,7.5,927336.0
SEMLLECMF,2025-03-17,7.0,7.7,7.0,7.6,1680958.0
SEMLLECMF,2025-03-16,6.8,7.1,6.8,7.0,415245.0
SEMLLECMF,2025-03-13,6.7,6.9,6.6,6.8,188814.0
SEMLLECMF,2025-03-12,6.7,6.8,6.6,6.7,163031.0
SEMLLECMF,2025-03-11,6.7,6.8,6.6,6.7,420387.0
SEMLLECMF,2025-03-10,6.6,6.7,6.6,6.7,168910.0
SEMLLECMF,2025-03-09,6.7,6.7,6.3,6.4,1056602.0
SEMLLECMF,2025-03-06,6.7,6.8,6.6,6.7,324844.0
SEMLLECMF,2025-03-05,6.7,6.7,6.6,6.7,218584.0
SEMLLECMF,2025-03-04,6.8,6.8,6.7,6.7,419122.0
SEMLLECMF,2025-03-03,6.9,6.9,6.7,6.8,368314.0
SEMLLECMF,2025-03-02,6.9,6.9,6.7,6.8,167604.0
SEMLLECMF,2025-02-27,6.6,6.9,6.6,6.9,852666.0
SEMLLECMF,2025-02-26,6.6,6.8,6.5,6.7,606487.0
SEMLLECMF,2025-02-25,6.6,6.7,6.6,6.6,26449.0
SEMLLECMF,2025-02-24,6.7,6.9,6.7,6.7,6426.0
SEMLLECMF,2025-02-23,6.4,7.0,6.3,6.9,740991.0
SEMLLECMF,2025-02-20,6.5,6.5,6.4,6.4,193068.0
SEMLLECMF,2025-02-19,6.6,6.6,6.5,6.5,126603.0
SEMLLECMF,2025-02-18,6.6,6.6,6.6,6.6,140811.0
SEMLLECMF,2025-02-17,6.6,6.6,6.4,6.5,262453.0
SEMLLECMF,2025-02-16,6.6,6.6,6.6,6.6,199817.0
SEMLLECMF,2025-02-13,6.5,6.6,6.5,6.6,56410.0
SEMLLECMF,2025-02-12,6.5,6.6,6.4,6.5,11964.0
SEMLLECMF,2025-02-11,6.4,6.4,6.4,6.4,136652.0
SEMLLECMF,2025-02-10,6.6,6.6,6.5,6.5,293255.0
SEMLLECMF,2025-02-09,6.6,6.6,6.6,6.6,114735.0
SEMLLECMF,2025-02-06,6.5,6.6,6.5,6.6,106244.0
SEMLLECMF,2025-02-05,6.6,6.7,6.6,6.6,216208.0
SEMLLECMF,2025-02-04,6.8,6.8,6.5,6.6,264007.0
SEMLLECMF,2025-02-03,6.5,6.7,6.5,6.6,323611.0
SEMLLECMF,2025-02-02,6.3,6.5,6.3,6.4,149476.0
SEMLLECMF,2025-01-30,6.5,6.5,6.1,6.3,302193.0
SEMLLECMF,2025-01-29,6.6,6.6,6.5,6.6,514879.0
SEMLLECMF,2025-01-28,6.5,6.7,6.5,6.6,219025.0
