Trading_Code,Date,Open,High,Low,Close,Volume
SHARPIND,2025-04-08,20.3,20.3,19.0,19.5,289685.0
SHARPIND,2025-04-07,20.3,20.5,19.5,19.7,383721.0
SHARPIND,2025-04-06,20.0,20.7,19.5,20.3,586525.0
SHARPIND,2025-03-27,20.9,21.1,20.6,20.8,117713.0
SHARPIND,2025-03-25,20.4,21.7,20.4,20.9,458539.0
SHARPIND,2025-03-24,20.3,20.9,20.3,20.5,271925.0
SHARPIND,2025-03-23,20.8,20.9,20.3,20.5,197585.0
SHARPIND,2025-03-20,22.2,22.8,20.2,20.8,609454.0
SHARPIND,2025-03-19,20.3,22.3,20.0,22.1,1282394.0
SHARPIND,2025-03-18,20.9,21.0,20.1,20.3,160609.0
SHARPIND,2025-03-17,21.5,21.6,20.0,20.5,207200.0
SHARPIND,2025-03-16,21.9,21.9,21.2,21.2,174214.0
SHARPIND,2025-03-13,21.8,22.0,21.5,21.6,207050.0
SHARPIND,2025-03-12,21.7,22.1,21.6,21.7,182296.0
SHARPIND,2025-03-11,21.6,21.9,21.4,21.5,180562.0
SHARPIND,2025-03-10,22.3,22.3,21.5,21.6,109535.0
SHARPIND,2025-03-09,22.0,22.6,21.7,21.8,466340.0
SHARPIND,2025-03-06,21.9,22.5,21.4,22.2,299786.0
SHARPIND,2025-03-05,21.5,22.0,21.2,21.3,204636.0
SHARPIND,2025-03-04,23.0,23.0,21.2,21.5,485126.0
SHARPIND,2025-03-03,23.1,23.4,22.6,22.8,204666.0
SHARPIND,2025-03-02,23.4,23.6,22.7,23.1,510108.0
SHARPIND,2025-02-27,23.0,23.5,22.9,23.0,268134.0
SHARPIND,2025-02-26,23.8,23.8,22.9,23.0,366026.0
SHARPIND,2025-02-25,23.8,24.0,23.4,23.4,503353.0
SHARPIND,2025-02-24,24.0,24.3,23.4,23.7,916035.0
SHARPIND,2025-02-23,24.6,24.8,23.7,23.9,1008797.0
SHARPIND,2025-02-20,24.8,24.8,23.9,24.6,1148169.0
SHARPIND,2025-02-19,23.8,25.1,23.8,24.5,1144633.0
SHARPIND,2025-02-18,24.0,24.3,23.6,23.7,417354.0
SHARPIND,2025-02-17,24.4,24.4,23.8,23.9,276411.0
SHARPIND,2025-02-16,24.4,24.7,23.9,24.0,483048.0
SHARPIND,2025-02-13,24.8,24.8,24.0,24.1,325013.0
SHARPIND,2025-02-12,24.1,24.8,23.9,24.6,584234.0
SHARPIND,2025-02-11,24.5,24.7,23.7,23.8,784688.0
SHARPIND,2025-02-10,25.5,25.5,23.8,24.1,793071.0
SHARPIND,2025-02-09,24.6,25.4,24.3,25.1,597383.0
SHARPIND,2025-02-06,25.3,25.8,24.4,24.6,789515.0
SHARPIND,2025-02-05,26.1,26.9,25.0,25.2,928298.0
SHARPIND,2025-02-04,25.3,26.9,24.9,26.2,1271303.0
SHARPIND,2025-02-03,25.9,26.3,24.6,25.2,1068806.0
SHARPIND,2025-02-02,27.0,27.8,25.6,25.9,1775630.0
SHARPIND,2025-01-30,27.9,27.9,25.2,25.8,1193501.0
SHARPIND,2025-01-29,29.1,29.5,27.1,28.0,1447190.0
SHARPIND,2025-01-28,28.3,29.5,28.2,29.0,1674844.0
SHARPIND,2025-01-27,25.5,27.9,25.3,27.9,1813475.0
SHARPIND,2025-01-26,24.4,25.7,24.2,25.4,691543.0
SHARPIND,2025-01-23,26.8,26.8,24.4,24.6,911812.0
SHARPIND,2025-01-22,23.8,24.8,23.3,24.4,293557.0
SHARPIND,2025-01-21,24.0,24.1,23.4,23.6,174333.0
SHARPIND,2025-01-20,24.2,24.2,23.2,24.0,143090.0
SHARPIND,2025-01-19,24.1,24.6,24.0,24.1,117005.0
SHARPIND,2025-01-16,24.4,25.0,24.0,24.2,233532.0
SHARPIND,2025-01-15,24.3,24.4,23.7,24.2,177323.0
SHARPIND,2025-01-14,24.1,24.9,24.1,24.3,255389.0
SHARPIND,2025-01-13,23.8,24.1,23.7,24.0,173380.0
SHARPIND,2025-01-12,23.9,24.1,23.8,23.9,251890.0
SHARPIND,2025-01-09,23.7,24.0,23.4,23.8,144871.0
SHARPIND,2025-01-08,24.0,24.5,22.6,23.6,203834.0
SHARPIND,2025-01-07,25.0,25.2,23.2,24.0,307189.0
SHARPIND,2025-01-06,25.2,25.5,24.7,24.9,257178.0
SHARPIND,2025-01-05,25.4,25.6,24.7,25.2,136916.0
SHARPIND,2025-01-02,23.3,25.0,23.1,24.8,419366.0
SHARPIND,2025-01-01,23.2,23.4,22.9,23.0,278434.0
SHARPIND,2024-12-30,24.0,24.0,23.1,23.2,141839.0
SHARPIND,2024-12-29,22.2,23.8,22.1,23.6,409150.0
SHARPIND,2024-12-26,22.7,22.7,21.6,22.1,321815.0
SHARPIND,2024-12-24,21.3,22.4,21.1,22.0,593643.0
SHARPIND,2024-12-23,19.1,20.9,19.1,20.8,493402.0
SHARPIND,2024-12-22,19.4,19.9,18.9,19.1,270275.0
SHARPIND,2024-12-19,18.1,19.4,17.9,18.9,509799.0
SHARPIND,2024-12-18,18.4,18.4,17.7,17.7,101471.0
SHARPIND,2024-12-17,16.1,18.1,16.1,17.9,302940.0
SHARPIND,2024-12-15,16.2,17.4,16.2,17.1,259516.0
SHARPIND,2024-12-12,16.0,16.2,16.0,16.2,31001.0
SHARPIND,2024-12-11,16.4,16.4,16.0,16.0,16219.0
SHARPIND,2024-12-10,16.3,16.3,16.1,16.1,26271.0
SHARPIND,2024-12-09,16.3,16.3,16.0,16.0,32308.0
SHARPIND,2024-12-08,16.3,16.3,15.9,16.0,83738.0
SHARPIND,2024-12-05,16.3,16.4,16.0,16.1,110418.0
SHARPIND,2024-12-04,17.8,17.8,16.2,16.2,45733.0
SHARPIND,2024-12-03,16.5,16.5,16.1,16.2,26249.0
SHARPIND,2024-12-02,16.2,16.4,16.1,16.4,39980.0
SHARPIND,2024-12-01,16.9,16.9,15.9,16.0,70999.0
SHARPIND,2024-11-28,16.3,16.4,16.2,16.2,16857.0
SHARPIND,2024-11-27,16.0,16.4,15.9,16.3,34399.0
SHARPIND,2024-11-26,15.9,16.0,15.9,16.0,21827.0
SHARPIND,2024-11-25,16.3,16.3,15.8,15.9,10911.0
SHARPIND,2024-11-24,17.4,17.4,15.8,15.9,52204.0
SHARPIND,2024-11-21,16.4,16.4,15.8,15.9,34258.0
SHARPIND,2024-11-20,15.9,16.1,15.9,16.1,10464.0
SHARPIND,2024-11-19,16.5,16.5,15.9,16.0,27781.0
SHARPIND,2024-11-18,16.5,16.5,16.0,16.1,43186.0
SHARPIND,2024-11-17,16.7,16.8,16.1,16.2,67101.0
SHARPIND,2024-11-14,15.9,15.9,15.6,15.7,39327.0
SHARPIND,2024-11-13,16.0,16.1,15.7,15.8,66027.0
SHARPIND,2024-11-12,16.4,16.4,16.0,16.0,159264.0
SHARPIND,2024-11-11,16.3,16.7,16.0,16.3,48486.0
SHARPIND,2024-11-10,0.0,0.0,0.0,16.3,0.0
SHARPIND,2024-11-07,16.3,16.6,16.1,16.3,53958.0
SHARPIND,2024-11-06,16.9,17.0,16.1,16.3,28527.0
SHARPIND,2024-11-05,16.1,17.0,15.2,16.8,154553.0
SHARPIND,2024-11-04,15.5,16.0,15.2,15.5,35625.0
SHARPIND,2024-11-03,16.5,16.6,15.5,15.7,13135.0
SHARPIND,2024-10-31,16.3,16.3,15.5,15.9,11491.0
SHARPIND,2024-10-30,16.9,16.9,15.4,16.1,19567.0
SHARPIND,2024-10-29,16.0,16.2,15.9,16.1,29630.0
