Trading_Code,Date,Open,High,Low,Close,Volume
SHASHADNIM,2025-04-08,18.4,18.4,18.0,18.0,295400.0
SHASHADNIM,2025-04-07,18.2,18.5,18.1,18.3,191859.0
SHASHADNIM,2025-04-06,18.0,18.3,17.6,18.2,235464.0
SHASHADNIM,2025-03-27,19.0,19.0,18.9,18.9,66711.0
SHASHADNIM,2025-03-25,18.8,19.1,18.8,19.0,121719.0
SHASHADNIM,2025-03-24,19.0,19.0,18.7,18.9,150683.0
SHASHADNIM,2025-03-23,18.9,19.0,18.6,18.8,152987.0
SHASHADNIM,2025-03-20,18.9,19.0,18.7,18.9,196004.0
SHASHADNIM,2025-03-19,18.8,19.0,18.6,18.7,248923.0
SHASHADNIM,2025-03-18,18.6,19.0,18.6,18.9,154848.0
SHASHADNIM,2025-03-17,19.2,19.2,18.8,18.8,72689.0
SHASHADNIM,2025-03-16,19.0,19.4,18.7,19.0,196970.0
SHASHADNIM,2025-03-13,18.6,19.0,18.6,18.8,207544.0
SHASHADNIM,2025-03-12,18.7,18.9,18.6,18.7,94848.0
SHASHADNIM,2025-03-11,18.8,18.8,18.4,18.5,177750.0
SHASHADNIM,2025-03-10,18.5,19.0,18.4,18.7,82173.0
SHASHADNIM,2025-03-09,19.6,19.6,18.4,18.7,145208.0
SHASHADNIM,2025-03-06,18.9,19.3,18.7,18.7,161312.0
SHASHADNIM,2025-03-05,19.3,19.3,18.8,18.9,145951.0
SHASHADNIM,2025-03-04,19.6,19.6,19.0,19.1,195690.0
SHASHADNIM,2025-03-03,19.3,19.7,19.3,19.4,141601.0
SHASHADNIM,2025-03-02,19.6,19.6,19.3,19.4,161665.0
SHASHADNIM,2025-02-27,19.4,19.6,19.2,19.3,318867.0
SHASHADNIM,2025-02-26,19.4,19.6,19.2,19.3,291075.0
SHASHADNIM,2025-02-25,19.9,19.9,19.5,19.5,514933.0
SHASHADNIM,2025-02-24,19.6,20.4,19.5,19.8,732685.0
SHASHADNIM,2025-02-23,19.4,19.5,19.3,19.5,670241.0
SHASHADNIM,2025-02-20,19.1,19.3,18.8,19.2,490057.0
SHASHADNIM,2025-02-19,18.7,19.1,18.7,19.0,219897.0
SHASHADNIM,2025-02-18,18.8,19.4,18.7,18.8,667749.0
SHASHADNIM,2025-02-17,18.7,18.9,18.6,18.8,238440.0
SHASHADNIM,2025-02-16,18.8,18.8,18.5,18.5,221837.0
SHASHADNIM,2025-02-13,19.0,19.0,18.6,18.7,159130.0
SHASHADNIM,2025-02-12,19.1,19.1,18.7,18.8,238347.0
SHASHADNIM,2025-02-11,18.9,19.2,18.8,19.0,361856.0
SHASHADNIM,2025-02-10,18.5,18.9,18.4,18.7,200687.0
SHASHADNIM,2025-02-09,19.0,19.1,18.6,18.7,216459.0
SHASHADNIM,2025-02-06,18.7,19.6,18.7,18.8,874782.0
SHASHADNIM,2025-02-05,18.1,18.9,17.4,18.5,371400.0
SHASHADNIM,2025-02-04,18.9,19.0,18.6,18.7,205612.0
SHASHADNIM,2025-02-03,19.0,19.1,18.7,18.8,529260.0
SHASHADNIM,2025-02-02,19.1,19.5,18.7,18.8,924743.0
SHASHADNIM,2025-01-30,19.2,19.3,18.9,18.9,426624.0
SHASHADNIM,2025-01-29,18.3,19.4,18.3,18.9,686082.0
SHASHADNIM,2025-01-28,18.3,18.6,18.3,18.4,158230.0
SHASHADNIM,2025-01-27,18.7,18.7,18.2,18.4,115378.0
SHASHADNIM,2025-01-26,18.6,18.7,18.3,18.5,257567.0
SHASHADNIM,2025-01-23,18.5,18.5,17.9,18.4,331218.0
SHASHADNIM,2025-01-22,18.3,18.5,18.0,18.1,149457.0
SHASHADNIM,2025-01-21,18.0,18.4,17.9,18.3,377354.0
SHASHADNIM,2025-01-20,17.9,17.9,17.6,17.8,235467.0
SHASHADNIM,2025-01-19,18.0,18.0,17.5,17.7,97242.0
SHASHADNIM,2025-01-16,17.8,17.9,17.5,17.7,203752.0
SHASHADNIM,2025-01-15,18.0,18.0,17.7,17.8,233204.0
SHASHADNIM,2025-01-14,18.4,18.4,17.8,17.9,209427.0
