Trading_Code,Date,Open,High,Low,Close,Volume
SHEPHERD,2025-04-08,16.6,17.1,16.6,17.0,306753.0
SHEPHERD,2025-04-07,17.2,17.2,16.7,16.8,305176.0
SHEPHERD,2025-04-06,17.7,17.7,16.3,17.0,260841.0
SHEPHERD,2025-03-27,17.9,18.0,17.7,17.9,379310.0
SHEPHERD,2025-03-25,17.9,17.9,17.7,17.7,478422.0
SHEPHERD,2025-03-24,17.7,18.0,17.7,17.7,632966.0
SHEPHERD,2025-03-23,18.0,18.0,17.7,17.8,342477.0
SHEPHERD,2025-03-20,18.4,18.4,18.0,18.0,538526.0
SHEPHERD,2025-03-19,18.3,18.3,18.0,18.2,427690.0
SHEPHERD,2025-03-18,18.4,18.6,18.1,18.2,519761.0
SHEPHERD,2025-03-17,18.2,18.4,18.2,18.2,1040374.0
SHEPHERD,2025-03-16,18.3,18.5,18.2,18.2,977795.0
SHEPHERD,2025-03-13,18.5,18.7,18.2,18.3,887549.0
SHEPHERD,2025-03-12,18.2,19.4,18.2,18.3,1633001.0
SHEPHERD,2025-03-11,18.2,18.2,18.0,18.1,556411.0
SHEPHERD,2025-03-10,17.8,18.0,17.8,18.0,831750.0
SHEPHERD,2025-03-09,17.8,18.0,17.8,17.8,402917.0
SHEPHERD,2025-03-06,18.2,18.3,17.8,17.9,1093141.0
SHEPHERD,2025-03-05,18.1,18.2,18.0,18.0,444615.0
SHEPHERD,2025-03-04,18.2,18.4,17.9,18.0,871147.0
SHEPHERD,2025-03-03,17.8,18.6,17.7,18.2,1449357.0
SHEPHERD,2025-03-02,17.8,17.9,17.7,17.9,503090.0
SHEPHERD,2025-02-27,17.7,17.9,17.5,17.7,339707.0
SHEPHERD,2025-02-26,17.5,18.0,17.5,17.6,798352.0
SHEPHERD,2025-02-25,17.7,17.9,17.5,17.6,1066858.0
SHEPHERD,2025-02-24,17.5,18.0,17.5,17.6,873533.0
SHEPHERD,2025-02-23,17.6,17.9,17.5,17.5,383803.0
SHEPHERD,2025-02-20,17.7,18.0,17.4,17.7,725211.0
SHEPHERD,2025-02-19,17.1,17.8,17.0,17.7,1978097.0
SHEPHERD,2025-02-18,17.1,17.5,17.0,17.1,1088663.0
SHEPHERD,2025-02-17,16.8,17.7,16.7,17.1,1002637.0
SHEPHERD,2025-02-16,16.9,16.9,16.6,16.7,808704.0
SHEPHERD,2025-02-13,16.7,16.9,16.6,16.7,569372.0
SHEPHERD,2025-02-12,17.1,17.1,16.5,16.6,938881.0
SHEPHERD,2025-02-11,15.6,17.2,15.6,16.8,1741044.0
SHEPHERD,2025-02-10,16.7,16.7,16.3,16.4,1334246.0
SHEPHERD,2025-02-09,16.0,16.7,15.9,16.3,2106658.0
SHEPHERD,2025-02-06,15.5,16.3,15.5,15.9,1005178.0
SHEPHERD,2025-02-05,15.3,15.7,15.3,15.5,470359.0
SHEPHERD,2025-02-04,15.5,15.6,15.0,15.4,1506171.0
SHEPHERD,2025-02-03,15.7,15.8,15.3,15.4,779914.0
SHEPHERD,2025-02-02,15.6,15.8,15.2,15.4,927291.0
SHEPHERD,2025-01-30,15.6,15.6,15.0,15.1,443324.0
SHEPHERD,2025-01-29,15.0,15.9,15.0,15.7,855870.0
SHEPHERD,2025-01-28,15.1,15.3,14.9,15.0,359379.0
SHEPHERD,2025-01-27,15.1,15.2,14.8,15.0,218475.0
SHEPHERD,2025-01-26,15.4,15.4,15.0,15.0,286859.0
SHEPHERD,2025-01-23,15.1,15.7,15.1,15.2,431116.0
SHEPHERD,2025-01-22,15.4,15.7,15.0,15.1,282626.0
SHEPHERD,2025-01-21,14.9,16.0,14.8,15.4,1545666.0
SHEPHERD,2025-01-20,15.3,15.3,14.8,14.9,785728.0
SHEPHERD,2025-01-19,14.3,14.9,14.2,14.7,697162.0
SHEPHERD,2025-01-16,14.1,14.4,13.9,14.1,334228.0
SHEPHERD,2025-01-15,14.3,14.4,14.0,14.1,313817.0
SHEPHERD,2025-01-14,14.3,14.4,14.0,14.1,194380.0
SHEPHERD,2025-01-13,14.1,14.4,14.0,14.2,257917.0
SHEPHERD,2025-01-12,14.5,14.5,14.1,14.1,155092.0
SHEPHERD,2025-01-09,14.4,14.6,14.1,14.2,352915.0
SHEPHERD,2025-01-08,14.3,14.8,14.3,14.3,132690.0
SHEPHERD,2025-01-07,14.8,14.9,14.5,14.6,475872.0
SHEPHERD,2025-01-06,14.8,14.8,14.2,14.3,151975.0
SHEPHERD,2025-01-05,14.9,14.9,14.2,14.3,170281.0
SHEPHERD,2025-01-02,15.0,15.0,14.5,14.6,241172.0
SHEPHERD,2025-01-01,15.3,15.3,14.6,14.7,681294.0
SHEPHERD,2024-12-30,14.9,15.4,14.8,15.1,515059.0
SHEPHERD,2024-12-29,14.8,14.9,14.6,14.7,184308.0
SHEPHERD,2024-12-26,14.7,15.0,14.6,14.8,89354.0
SHEPHERD,2024-12-24,15.1,15.1,14.7,14.8,333630.0
SHEPHERD,2024-12-23,15.3,15.3,14.8,14.9,197279.0
SHEPHERD,2024-12-22,15.5,15.5,14.9,15.0,282958.0
SHEPHERD,2024-12-19,15.7,15.8,15.3,15.5,363727.0
SHEPHERD,2024-12-18,15.8,15.8,15.2,15.3,300284.0
SHEPHERD,2024-12-17,16.1,16.1,15.4,15.6,621716.0
SHEPHERD,2024-12-15,16.4,16.4,15.8,15.9,682785.0
SHEPHERD,2024-12-12,16.1,16.4,15.7,16.2,882034.0
SHEPHERD,2024-12-11,15.7,16.3,15.6,16.0,1993115.0
SHEPHERD,2024-12-10,15.4,15.8,15.2,15.6,535235.0
SHEPHERD,2024-12-09,15.5,15.8,15.0,15.2,591734.0
SHEPHERD,2024-12-08,15.2,15.5,14.8,15.4,196844.0
SHEPHERD,2024-12-05,15.8,15.8,15.3,15.3,363374.0
SHEPHERD,2024-12-04,16.0,16.1,15.6,15.7,1010493.0
SHEPHERD,2024-12-03,16.2,16.2,15.9,16.0,1367643.0
SHEPHERD,2024-12-02,15.7,16.5,15.7,16.1,2880803.0
SHEPHERD,2024-12-01,15.6,15.8,15.3,15.6,554818.0
SHEPHERD,2024-11-28,15.5,16.2,15.5,15.6,311137.0
SHEPHERD,2024-11-27,15.4,16.2,15.4,15.9,728766.0
SHEPHERD,2024-11-26,16.1,16.1,15.6,15.6,208231.0
SHEPHERD,2024-11-25,15.5,16.0,15.4,15.8,410891.0
SHEPHERD,2024-11-24,15.9,16.2,15.4,15.5,835203.0
SHEPHERD,2024-11-21,15.9,16.4,15.8,16.1,1116084.0
SHEPHERD,2024-11-20,15.8,16.9,15.7,15.9,2133502.0
SHEPHERD,2024-11-19,0.0,0.0,0.0,15.7,0.0
SHEPHERD,2024-11-18,15.5,15.8,15.4,15.7,503159.0
SHEPHERD,2024-11-17,15.5,16.6,15.5,15.7,932279.0
SHEPHERD,2024-11-14,15.0,15.5,14.9,15.1,496043.0
SHEPHERD,2024-11-13,15.8,16.0,14.8,15.4,970483.0
SHEPHERD,2024-11-12,15.0,16.3,15.0,15.7,1970977.0
SHEPHERD,2024-11-11,13.5,14.9,13.5,14.9,1790473.0
SHEPHERD,2024-11-10,13.4,13.7,13.2,13.6,58583.0
SHEPHERD,2024-11-07,13.5,13.8,13.4,13.8,36540.0
SHEPHERD,2024-11-06,13.2,13.8,13.2,13.7,52299.0
SHEPHERD,2024-11-05,13.6,14.0,13.6,13.8,80342.0
SHEPHERD,2024-11-04,14.1,14.6,13.5,13.6,59491.0
SHEPHERD,2024-11-03,13.9,14.7,13.7,14.0,58414.0
SHEPHERD,2024-10-31,13.3,14.6,13.3,14.2,104741.0
SHEPHERD,2024-10-30,13.2,13.5,13.2,13.3,39120.0
SHEPHERD,2024-10-29,13.2,13.2,12.5,12.8,60853.0
SHEPHERD,2024-10-28,12.9,13.5,12.7,12.9,24722.0
SHEPHERD,2024-10-27,13.5,14.0,12.3,13.0,29413.0
SHEPHERD,2024-10-24,14.7,14.7,13.1,13.5,73722.0
SHEPHERD,2024-10-23,14.7,15.2,14.1,14.4,30970.0
SHEPHERD,2024-10-22,14.7,14.9,14.5,14.6,230755.0
SHEPHERD,2024-10-21,14.9,14.9,13.5,13.9,9905.0
SHEPHERD,2024-10-20,13.9,14.5,13.6,13.7,34389.0
SHEPHERD,2024-10-17,13.9,14.1,13.9,14.0,69705.0
SHEPHERD,2024-10-16,14.4,14.4,14.0,14.1,47337.0
SHEPHERD,2024-10-15,14.9,14.9,14.5,14.5,29073.0
SHEPHERD,2024-10-14,14.7,14.9,14.4,14.8,87172.0
SHEPHERD,2024-10-09,14.4,14.8,14.1,14.5,811267.0
SHEPHERD,2024-10-08,14.7,14.7,13.8,13.8,62052.0
SHEPHERD,2024-10-07,14.0,14.9,14.0,14.4,12871.0
SHEPHERD,2024-10-06,14.9,14.9,14.5,14.6,108611.0
SHEPHERD,2024-10-03,14.1,14.7,14.1,14.4,106007.0
SHEPHERD,2024-10-02,13.6,14.7,13.6,14.6,220826.0
SHEPHERD,2024-10-01,14.4,14.7,13.7,13.8,53525.0
SHEPHERD,2024-09-30,14.0,14.4,13.3,14.2,107894.0
SHEPHERD,2024-09-29,13.2,14.6,13.2,13.3,74063.0
SHEPHERD,2024-09-26,14.0,14.0,13.4,13.5,305142.0
SHEPHERD,2024-09-25,14.4,15.2,14.1,14.8,788598.0
SHEPHERD,2024-09-24,14.5,14.8,14.4,14.4,112492.0
SHEPHERD,2024-09-23,14.5,14.8,14.5,14.7,166965.0
SHEPHERD,2024-09-22,14.5,14.8,14.5,14.5,124828.0
SHEPHERD,2024-09-19,14.4,14.7,14.4,14.4,19710.0
SHEPHERD,2024-09-18,15.1,15.1,14.5,14.6,45508.0
SHEPHERD,2024-09-17,15.0,15.1,14.5,14.9,144681.0
SHEPHERD,2024-09-15,14.4,15.1,14.2,14.8,187084.0
SHEPHERD,2024-09-12,14.1,14.4,14.1,14.2,95991.0
SHEPHERD,2024-09-11,14.4,14.4,14.2,14.2,46375.0
SHEPHERD,2024-09-10,13.9,14.4,13.9,14.2,51003.0
SHEPHERD,2024-09-09,14.0,14.3,14.0,14.0,45641.0
SHEPHERD,2024-09-08,14.0,14.5,14.0,14.2,185830.0
SHEPHERD,2024-09-05,14.3,14.5,14.0,14.2,125639.0
SHEPHERD,2024-09-04,14.9,14.9,14.0,14.1,114565.0
SHEPHERD,2024-09-03,14.4,14.6,14.2,14.5,133523.0
SHEPHERD,2024-09-02,14.4,14.9,14.2,14.5,302675.0
SHEPHERD,2024-09-01,14.4,14.4,14.0,14.3,76520.0
SHEPHERD,2024-08-29,14.5,14.5,13.9,14.1,148108.0
