Trading_Code,Date,Open,High,Low,Close,Volume
SHINEPUKUR,2008-12-10,82.0,84.75,76.25,80.75,420600.0
SHINEPUKUR,2008-11-09,55.0,55.0,50.0,51.0,166150.0
SHINEPUKUR,2008-10-29,93.0,99.0,93.0,97.25,263950.0
SHINEPUKUR,2008-10-28,97.0,97.5,90.5,91.5,139950.0
SHINEPUKUR,2008-10-27,95.75,101.0,92.75,94.25,387000.0
SHINEPUKUR,2008-10-26,92.5,97.75,91.0,93.0,224600.0
SHINEPUKUR,2008-10-23,91.0,95.5,90.25,92.0,154400.0
SHINEPUKUR,2008-10-22,92.0,93.0,86.5,89.0,162400.0
SHINEPUKUR,2008-10-21,98.0,98.0,90.0,91.0,136100.0
SHINEPUKUR,2008-10-20,88.0,103.0,87.5,98.0,216400.0
SHINEPUKUR,2008-10-19,98.0,100.0,90.0,93.0,220450.0
SHINEPUKUR,2008-10-16,118.0,118.75,95.0,103.5,346650.0
SHINEPUKUR,2008-10-15,95.0,111.5,95.0,111.5,714250.0
SHINEPUKUR,2008-10-14,89.75,94.0,87.75,93.0,398850.0
SHINEPUKUR,2008-10-13,82.0,89.75,81.0,86.25,307200.0
SHINEPUKUR,2008-10-09,50.0,56.0,50.0,55.0,394500.0
SHINEPUKUR,2008-09-25,81.0,86.75,81.0,83.5,313950.0
SHINEPUKUR,2008-09-24,84.0,85.75,77.25,80.75,285450.0
SHINEPUKUR,2008-09-23,69.0,80.25,67.5,79.25,300650.0
SHINEPUKUR,2008-09-22,66.75,69.0,65.0,67.0,195050.0
SHINEPUKUR,2008-09-21,65.0,69.75,65.0,67.5,537400.0
SHINEPUKUR,2008-09-18,63.0,63.5,58.75,62.5,317200.0
SHINEPUKUR,2008-09-17,63.5,67.5,61.0,62.25,264200.0
SHINEPUKUR,2008-09-16,57.75,64.0,57.75,63.0,312700.0
SHINEPUKUR,2008-09-15,53.5,57.75,53.5,56.0,188100.0
SHINEPUKUR,2008-09-14,49.75,53.5,49.5,52.25,77550.0
SHINEPUKUR,2008-09-09,47.5,53.0,47.5,49.75,312200.0
SHINEPUKUR,2008-08-31,41.75,42.5,40.25,40.75,81150.0
SHINEPUKUR,2008-08-28,45.75,46.5,42.0,42.25,93800.0
SHINEPUKUR,2008-08-27,42.75,45.0,42.0,44.75,208200.0
SHINEPUKUR,2008-08-26,41.75,43.0,41.75,42.0,146100.0
SHINEPUKUR,2008-08-25,43.0,43.5,41.5,42.0,86850.0
SHINEPUKUR,2008-08-21,41.25,43.75,40.75,42.75,92950.0
SHINEPUKUR,2008-08-10,78.5,82.0,78.0,80.75,225200.0
SHINEPUKUR,2008-08-09,46.5,47.5,44.25,46.0,61650.0
SHINEPUKUR,2008-07-10,75.0,79.75,73.5,76.5,160100.0
SHINEPUKUR,2008-07-09,42.75,47.0,42.75,45.75,245800.0
SHINEPUKUR,2008-06-10,84.0,85.0,75.0,76.25,124250.0
SHINEPUKUR,2008-05-10,87.75,87.75,78.5,83.75,159600.0
SHINEPUKUR,2008-04-09,45.0,45.0,41.5,42.25,86550.0
SHINEPUKUR,2008-02-09,41.25,42.0,41.0,41.25,52600.0
SHINEPUKUR,2008-01-09,40.5,43.0,40.5,41.75,86650.0
