Trading_Code,Date,Open,High,Low,Close,Volume
SHURWID,2025-04-08,8.0,8.2,7.9,8.0,98231.0
SHURWID,2025-04-07,8.0,8.2,8.0,8.1,114901.0
SHURWID,2025-04-06,7.9,8.0,7.9,8.0,72234.0
SHURWID,2025-03-27,8.0,8.1,7.9,8.0,32620.0
SHURWID,2025-03-25,8.0,8.1,8.0,8.0,30436.0
SHURWID,2025-03-24,8.8,8.8,7.8,7.9,64443.0
SHURWID,2025-03-23,8.2,8.3,7.9,8.0,235611.0
SHURWID,2025-03-20,8.2,8.2,8.1,8.2,89653.0
SHURWID,2025-03-19,8.3,8.3,8.0,8.2,124915.0
SHURWID,2025-03-18,8.2,8.3,8.0,8.1,160816.0
SHURWID,2025-03-17,8.2,8.3,8.2,8.2,73102.0
SHURWID,2025-03-16,8.3,8.3,8.1,8.2,50018.0
SHURWID,2025-03-13,8.4,8.4,8.1,8.2,75852.0
SHURWID,2025-03-12,8.2,8.4,8.2,8.2,76394.0
SHURWID,2025-03-11,8.6,8.6,8.2,8.2,88742.0
SHURWID,2025-03-10,8.4,8.5,8.3,8.4,76237.0
SHURWID,2025-03-09,8.6,8.6,8.2,8.3,252347.0
SHURWID,2025-03-06,8.5,8.8,8.5,8.7,72415.0
SHURWID,2025-03-05,9.0,9.0,8.4,8.5,219150.0
SHURWID,2025-03-04,8.7,9.4,8.7,8.9,279144.0
SHURWID,2025-03-03,10.3,10.3,8.7,8.8,794985.0
SHURWID,2025-03-02,9.4,9.4,8.8,9.4,301020.0
SHURWID,2025-02-27,8.0,8.6,7.9,8.6,428859.0
SHURWID,2025-02-26,8.0,8.1,7.8,7.9,150834.0
SHURWID,2025-02-25,8.0,8.1,7.9,8.0,117152.0
SHURWID,2025-02-24,8.0,8.1,7.9,7.9,159871.0
SHURWID,2025-02-23,7.9,8.1,7.8,8.0,120274.0
SHURWID,2025-02-20,7.8,7.9,7.7,7.8,124562.0
SHURWID,2025-02-19,7.7,7.9,7.7,7.8,74783.0
SHURWID,2025-02-18,8.0,8.0,7.9,8.0,213770.0
SHURWID,2025-02-17,8.0,8.0,7.9,7.9,85760.0
SHURWID,2025-02-16,8.2,8.2,7.9,8.0,118874.0
SHURWID,2025-02-13,8.1,8.2,7.9,8.1,152872.0
SHURWID,2025-02-12,8.0,8.0,7.8,7.9,69652.0
SHURWID,2025-02-11,7.8,8.0,7.8,7.8,87446.0
SHURWID,2025-02-10,8.2,8.2,7.9,7.9,54886.0
SHURWID,2025-02-09,8.3,8.3,7.8,7.8,89773.0
SHURWID,2025-02-06,8.4,8.4,8.0,8.1,226162.0
SHURWID,2025-02-05,8.1,8.2,8.0,8.0,83287.0
SHURWID,2025-02-04,7.9,8.1,7.8,8.0,94215.0
SHURWID,2025-02-03,8.0,8.5,7.9,8.0,101485.0
SHURWID,2025-02-02,7.7,8.2,7.5,8.0,95319.0
SHURWID,2025-01-30,7.9,7.9,7.7,7.7,27735.0
SHURWID,2025-01-29,8.0,8.0,7.8,7.8,52644.0
