Trading_Code,Date,Open,High,Low,Close,Volume
SHYAMPSUG,2025-04-08,148.0,149.0,140.4,145.5,15822.0
SHYAMPSUG,2025-04-07,145.0,149.7,142.0,147.0,31944.0
SHYAMPSUG,2025-04-06,135.0,147.0,135.0,145.0,43722.0
SHYAMPSUG,2025-03-27,138.4,142.5,132.0,138.4,68692.0
SHYAMPSUG,2025-03-25,133.1,143.2,133.0,138.4,79054.0
SHYAMPSUG,2025-03-24,134.0,134.0,125.1,132.1,19837.0
SHYAMPSUG,2025-03-23,126.5,126.5,123.1,125.0,9925.0
SHYAMPSUG,2025-03-20,126.8,126.9,122.1,125.6,17625.0
SHYAMPSUG,2025-03-19,126.0,127.0,116.1,124.8,36093.0
SHYAMPSUG,2025-03-18,126.9,126.9,118.0,119.6,18195.0
SHYAMPSUG,2025-03-17,128.1,129.9,118.0,126.3,41702.0
SHYAMPSUG,2025-03-16,127.2,135.0,115.5,128.1,69424.0
SHYAMPSUG,2025-03-13,116.0,127.2,116.0,127.2,159313.0
SHYAMPSUG,2025-03-12,106.0,116.2,103.2,115.7,81627.0
SHYAMPSUG,2025-03-11,101.4,105.9,101.4,105.7,10243.0
SHYAMPSUG,2025-03-10,105.0,105.0,101.0,101.2,4833.0
SHYAMPSUG,2025-03-09,103.3,104.0,100.0,100.2,9321.0
SHYAMPSUG,2025-03-06,107.8,107.9,104.3,104.6,3823.0
SHYAMPSUG,2025-03-05,106.8,106.8,104.1,105.2,1196.0
SHYAMPSUG,2025-03-04,104.5,111.0,104.0,106.7,12777.0
SHYAMPSUG,2025-03-03,103.8,105.1,102.2,103.0,4656.0
SHYAMPSUG,2025-03-02,103.4,104.0,102.5,103.4,4367.0
SHYAMPSUG,2025-02-27,101.5,103.9,101.5,102.9,536.0
SHYAMPSUG,2025-02-26,101.0,103.1,100.0,101.6,16583.0
SHYAMPSUG,2025-02-25,101.0,103.0,99.3,100.5,10205.0
SHYAMPSUG,2025-02-24,103.7,103.7,99.0,99.3,4468.0
SHYAMPSUG,2025-02-23,99.1,101.7,99.0,99.4,1949.0
SHYAMPSUG,2025-02-20,92.4,103.4,92.4,101.5,5184.0
SHYAMPSUG,2025-02-19,100.5,103.9,100.4,102.5,4225.0
SHYAMPSUG,2025-02-18,100.0,101.9,100.0,100.4,13902.0
SHYAMPSUG,2025-02-17,99.3,101.8,99.3,100.5,1090.0
SHYAMPSUG,2025-02-16,95.1,101.0,95.1,98.7,10735.0
SHYAMPSUG,2025-02-13,100.9,101.0,98.6,99.7,252.0
SHYAMPSUG,2025-02-12,100.0,101.8,99.5,100.7,1122.0
SHYAMPSUG,2025-02-11,98.9,102.0,98.9,99.3,6850.0
SHYAMPSUG,2025-02-10,97.9,100.0,97.9,98.3,11053.0
SHYAMPSUG,2025-02-09,101.1,102.0,99.2,99.4,6566.0
SHYAMPSUG,2025-02-06,101.9,103.0,101.9,102.2,10845.0
SHYAMPSUG,2025-02-05,103.8,103.8,101.7,102.3,12494.0
SHYAMPSUG,2025-02-04,100.7,103.8,100.7,102.4,10389.0
SHYAMPSUG,2025-02-03,99.5,101.6,99.3,100.7,6741.0
SHYAMPSUG,2025-02-02,93.0,99.5,93.0,98.9,6610.0
SHYAMPSUG,2025-01-30,100.3,104.7,100.0,101.1,10524.0
SHYAMPSUG,2025-01-29,101.1,105.0,100.1,100.3,3563.0
SHYAMPSUG,2025-01-28,101.4,104.9,100.4,100.8,3835.0
SHYAMPSUG,2025-01-27,97.4,104.0,97.4,99.4,15795.0
SHYAMPSUG,2025-01-26,103.0,103.9,98.6,99.8,4757.0
SHYAMPSUG,2025-01-23,104.1,104.2,101.0,101.8,7130.0
SHYAMPSUG,2025-01-22,106.1,106.6,104.0,104.1,3779.0
SHYAMPSUG,2025-01-21,107.4,107.5,106.0,106.1,7560.0
SHYAMPSUG,2025-01-20,106.0,108.5,105.6,107.2,4491.0
SHYAMPSUG,2025-01-19,108.7,108.7,104.8,105.3,1048.0
SHYAMPSUG,2025-01-16,107.0,107.0,103.0,105.8,8242.0
SHYAMPSUG,2025-01-15,107.5,107.5,105.7,106.0,6778.0
SHYAMPSUG,2025-01-14,112.0,112.0,106.5,107.0,4680.0
SHYAMPSUG,2025-01-13,109.0,109.0,107.0,107.4,22137.0
SHYAMPSUG,2025-01-12,111.0,111.0,109.0,109.0,7006.0
SHYAMPSUG,2025-01-09,111.5,112.0,110.5,110.6,11161.0
SHYAMPSUG,2025-01-08,110.2,113.0,110.2,111.7,13874.0
SHYAMPSUG,2025-01-07,111.5,112.3,111.4,111.9,6460.0
SHYAMPSUG,2025-01-06,111.5,112.7,110.0,111.0,9174.0
SHYAMPSUG,2025-01-05,109.5,111.0,109.5,110.4,2780.0
SHYAMPSUG,2025-01-02,115.0,116.5,109.4,110.3,6977.0
SHYAMPSUG,2025-01-01,112.3,112.3,110.2,110.3,4935.0
SHYAMPSUG,2024-12-30,110.0,112.1,109.0,110.3,24269.0
SHYAMPSUG,2024-12-29,113.0,113.0,108.8,109.4,3657.0
SHYAMPSUG,2024-12-26,110.4,112.0,107.0,108.6,2471.0
SHYAMPSUG,2024-12-24,111.1,111.6,108.0,109.3,13296.0
SHYAMPSUG,2024-12-23,114.9,114.9,110.6,111.1,14538.0
SHYAMPSUG,2024-12-22,117.0,117.0,112.0,113.6,10034.0
SHYAMPSUG,2024-12-19,117.0,121.5,111.5,116.6,59302.0
SHYAMPSUG,2024-12-18,110.0,113.5,110.0,110.5,16614.0
SHYAMPSUG,2024-12-17,109.0,111.9,107.8,109.2,8902.0
SHYAMPSUG,2024-12-15,110.7,110.7,107.0,107.8,10445.0
SHYAMPSUG,2024-12-12,106.0,108.6,106.0,108.1,5008.0
SHYAMPSUG,2024-12-11,111.1,111.1,107.1,107.7,12545.0
SHYAMPSUG,2024-12-10,112.6,112.6,110.7,111.1,10637.0
SHYAMPSUG,2024-12-09,110.0,111.9,108.6,109.6,10133.0
SHYAMPSUG,2024-12-08,111.0,111.0,106.1,108.3,17300.0
SHYAMPSUG,2024-12-05,108.4,109.0,106.7,107.3,13433.0
SHYAMPSUG,2024-12-04,111.0,113.9,106.0,108.4,16835.0
SHYAMPSUG,2024-12-03,107.0,114.8,107.0,111.6,23601.0
SHYAMPSUG,2024-12-02,117.0,122.7,104.5,105.6,142089.0
SHYAMPSUG,2024-12-01,109.3,121.0,109.2,116.1,62175.0
SHYAMPSUG,2024-11-28,113.9,117.7,109.3,110.2,41030.0
SHYAMPSUG,2024-11-27,118.8,119.0,113.0,113.6,28218.0
SHYAMPSUG,2024-11-26,120.0,124.8,113.6,115.1,50142.0
SHYAMPSUG,2024-11-25,121.0,130.9,111.0,119.9,54010.0
SHYAMPSUG,2024-11-24,112.0,120.8,108.6,120.8,68554.0
SHYAMPSUG,2024-11-21,104.0,110.8,104.0,109.9,19918.0
SHYAMPSUG,2024-11-20,0.0,0.0,0.0,104.9,0.0
SHYAMPSUG,2024-11-19,111.1,112.9,104.0,104.9,24553.0
SHYAMPSUG,2024-11-18,117.9,117.9,110.7,112.5,26298.0
SHYAMPSUG,2024-11-17,114.6,123.5,114.6,117.7,27725.0
SHYAMPSUG,2024-11-14,116.0,116.0,105.5,114.5,27536.0
SHYAMPSUG,2024-11-13,116.4,116.4,109.0,110.2,147984.0
SHYAMPSUG,2024-11-12,105.9,105.9,105.9,105.9,16062.0
SHYAMPSUG,2024-11-11,89.4,97.5,89.4,96.3,29419.0
SHYAMPSUG,2024-11-10,93.0,93.0,89.0,90.2,6131.0
SHYAMPSUG,2024-11-07,93.6,95.9,90.0,90.2,17755.0
SHYAMPSUG,2024-11-06,94.1,95.9,93.3,94.0,5794.0
