Trading_Code,Date,Open,High,Low,Close,Volume
SICL,2025-04-08,24.0,24.0,22.9,23.1,231949.0
SICL,2025-04-07,22.9,24.3,22.0,23.2,471532.0
SICL,2025-04-06,22.2,22.9,22.0,22.1,105472.0
SICL,2025-03-27,22.8,23.2,22.5,22.6,69441.0
SICL,2025-03-25,22.0,23.1,22.0,22.8,289450.0
SICL,2025-03-24,22.7,22.7,21.9,22.0,98097.0
SICL,2025-03-23,21.6,22.4,21.5,22.2,117185.0
SICL,2025-03-20,22.5,22.6,21.9,22.0,123263.0
SICL,2025-03-19,22.7,22.7,22.1,22.4,215714.0
SICL,2025-03-18,22.7,23.1,22.2,22.4,282562.0
SICL,2025-03-17,23.7,23.7,22.5,22.6,294193.0
SICL,2025-03-16,23.0,23.9,22.4,23.6,796834.0
SICL,2025-03-13,22.4,23.1,21.8,22.5,496883.0
SICL,2025-03-12,24.0,24.5,21.9,22.1,972852.0
SICL,2025-03-11,22.5,22.5,21.8,22.5,132006.0
SICL,2025-03-10,20.7,20.9,20.4,20.5,30900.0
SICL,2025-03-09,20.9,21.0,20.5,20.7,46221.0
SICL,2025-03-06,21.5,21.5,20.5,20.6,57292.0
SICL,2025-03-05,20.7,21.0,20.7,21.0,19696.0
SICL,2025-03-04,20.7,21.3,20.5,21.1,105775.0
SICL,2025-03-03,20.8,20.9,20.6,20.8,28199.0
SICL,2025-03-02,21.4,21.4,20.6,20.8,35277.0
SICL,2025-02-27,20.5,21.1,20.5,20.9,48365.0
SICL,2025-02-26,21.7,21.7,20.7,20.9,44170.0
SICL,2025-02-25,20.8,21.6,20.8,21.2,38315.0
SICL,2025-02-24,20.6,21.3,20.6,20.9,82574.0
SICL,2025-02-23,20.6,21.2,20.6,21.0,89193.0
SICL,2025-02-20,20.9,21.3,20.5,20.7,154042.0
SICL,2025-02-19,20.7,21.1,20.6,20.7,45773.0
SICL,2025-02-18,21.0,21.3,20.6,20.9,28519.0
SICL,2025-02-17,21.0,21.4,20.8,20.9,24482.0
SICL,2025-02-16,21.5,21.6,20.8,20.9,74392.0
SICL,2025-02-13,21.5,21.5,21.0,21.3,70517.0
SICL,2025-02-12,21.3,22.1,20.8,21.4,102272.0
SICL,2025-02-11,20.5,21.7,20.5,21.5,71360.0
SICL,2025-02-10,20.6,21.3,20.5,20.6,91971.0
SICL,2025-02-09,21.9,21.9,20.9,21.1,116674.0
SICL,2025-02-06,22.2,22.6,21.4,21.9,136256.0
SICL,2025-02-05,22.0,22.6,21.7,22.0,522769.0
SICL,2025-02-04,22.9,23.7,22.8,23.4,385754.0
SICL,2025-02-03,22.7,23.8,22.4,23.4,676484.0
SICL,2025-02-02,22.2,23.2,22.2,22.4,125482.0
SICL,2025-01-30,23.0,23.0,22.3,22.7,234486.0
SICL,2025-01-29,22.6,23.5,22.6,22.9,435545.0
SICL,2025-01-28,21.2,22.7,21.2,22.5,319681.0
SICL,2025-01-27,21.1,21.7,21.1,21.5,177497.0
SICL,2025-01-26,21.3,21.7,20.9,21.1,75913.0
SICL,2025-01-23,21.4,22.1,21.1,21.3,148423.0
SICL,2025-01-22,22.1,22.7,21.6,21.8,125025.0
SICL,2025-01-21,21.2,23.3,21.2,22.4,453710.0
SICL,2025-01-20,21.4,22.6,21.4,21.7,564805.0
SICL,2025-01-19,19.3,21.0,19.3,21.0,198353.0
SICL,2025-01-16,18.6,19.4,18.6,19.1,124874.0
SICL,2025-01-15,18.8,19.1,18.7,18.8,42155.0
SICL,2025-01-14,19.1,19.5,18.7,18.8,65335.0
SICL,2025-01-13,19.6,19.6,18.9,19.0,92166.0
SICL,2025-01-12,20.2,20.3,19.5,19.6,53674.0
SICL,2025-01-09,20.1,20.3,19.8,20.2,58880.0
SICL,2025-01-08,19.9,20.2,19.7,19.8,88482.0
SICL,2025-01-07,20.3,20.6,20.1,20.2,74269.0
SICL,2025-01-06,19.5,20.6,19.5,20.2,59973.0
SICL,2025-01-05,21.0,21.0,18.7,19.5,100348.0
SICL,2025-01-02,20.9,20.9,20.3,20.5,19653.0
SICL,2025-01-01,21.2,21.2,20.6,20.6,47866.0
SICL,2024-12-30,21.2,21.5,20.9,21.1,73189.0
SICL,2024-12-29,20.5,21.4,20.5,21.3,96959.0
SICL,2024-12-26,20.6,20.9,20.2,20.8,32588.0
SICL,2024-12-24,21.0,21.0,20.4,20.5,34319.0
SICL,2024-12-23,20.6,21.0,20.4,20.5,38403.0
SICL,2024-12-22,21.0,21.0,20.6,20.7,50018.0
SICL,2024-12-19,21.0,21.3,20.7,21.0,40966.0
SICL,2024-12-18,21.4,21.8,20.6,21.0,145597.0
SICL,2024-12-17,21.9,22.3,21.5,21.6,68790.0
SICL,2024-12-15,21.5,21.9,21.5,21.7,15124.0
SICL,2024-12-12,21.6,22.0,21.3,21.4,77007.0
SICL,2024-12-11,22.3,22.4,21.8,21.9,31683.0
SICL,2024-12-10,21.7,22.7,21.5,22.3,158848.0
SICL,2024-12-09,21.4,21.8,21.4,21.5,98264.0
SICL,2024-12-08,21.8,21.8,20.4,21.4,159054.0
SICL,2024-12-05,22.8,23.0,21.0,21.8,328836.0
SICL,2024-12-04,23.8,23.8,22.8,23.0,159592.0
SICL,2024-12-03,23.5,23.8,23.3,23.6,124067.0
SICL,2024-12-02,23.0,23.7,22.7,23.4,193901.0
SICL,2024-12-01,23.2,23.3,22.5,22.8,99630.0
SICL,2024-11-28,23.7,24.1,23.1,23.2,166500.0
SICL,2024-11-27,23.2,23.8,22.9,23.6,171860.0
SICL,2024-11-26,23.9,23.9,23.0,23.1,106858.0
SICL,2024-11-25,23.8,24.1,23.5,23.6,169361.0
SICL,2024-11-24,22.3,23.9,22.3,23.6,117909.0
SICL,2024-11-21,24.3,24.6,23.2,23.3,187396.0
SICL,2024-11-20,25.0,25.0,24.0,24.3,331213.0
SICL,2024-11-19,25.4,26.2,24.7,24.8,452188.0
SICL,2024-11-18,24.6,26.0,24.0,25.2,1022134.0
SICL,2024-11-17,24.6,24.9,23.8,24.0,254590.0
SICL,2024-11-14,24.8,25.6,24.3,24.6,688432.0
SICL,2024-11-13,23.5,25.4,23.3,24.7,615047.0
SICL,2024-11-12,23.7,24.8,23.0,23.8,495808.0
SICL,2024-11-11,21.5,23.6,21.5,23.5,598650.0
SICL,2024-11-10,21.0,22.5,21.0,21.5,135318.0
SICL,2024-11-07,22.8,23.2,21.6,22.0,299769.0
SICL,2024-11-06,22.4,22.8,21.5,22.3,524724.0
SICL,2024-11-05,21.7,23.5,21.7,22.8,549579.0
SICL,2024-11-04,21.7,22.2,21.0,21.5,582268.0
SICL,2024-11-03,19.4,20.7,19.4,20.7,590423.0
SICL,2024-10-31,18.6,19.0,17.7,18.9,295524.0
SICL,2024-10-30,17.2,18.3,17.2,18.2,334434.0
SICL,2024-10-29,15.3,16.8,15.2,16.7,134208.0
SICL,2024-10-28,15.6,16.2,14.9,15.5,75283.0
SICL,2024-10-27,16.9,16.9,15.6,15.8,113134.0
SICL,2024-10-24,17.5,17.7,16.4,16.8,167192.0
SICL,2024-10-23,19.1,19.1,17.6,17.7,88740.0
SICL,2024-10-22,18.1,19.1,17.9,18.6,494383.0
SICL,2024-10-21,17.7,18.6,17.1,17.9,158421.0
SICL,2024-10-20,19.5,20.4,17.9,18.1,799145.0
SICL,2024-10-17,21.8,22.4,19.7,19.8,139205.0
SICL,2024-10-16,22.0,22.4,21.8,21.8,86568.0
SICL,2024-10-15,22.4,22.8,22.2,22.3,33710.0
SICL,2024-10-14,23.0,23.5,22.0,22.5,123378.0
SICL,2024-10-09,22.1,23.2,21.9,22.9,70333.0
SICL,2024-10-08,22.2,22.9,21.9,22.2,62780.0
SICL,2024-10-07,23.0,23.6,22.5,22.6,47062.0
SICL,2024-10-06,23.0,23.4,22.6,22.8,30661.0
SICL,2024-10-03,22.6,23.2,21.8,22.7,12850.0
SICL,2024-10-02,24.4,24.4,22.5,22.6,68352.0
SICL,2024-10-01,24.9,24.9,24.4,24.6,85516.0
SICL,2024-09-30,23.8,24.6,23.8,24.5,85194.0
SICL,2024-09-29,23.4,24.5,23.4,24.0,53954.0
SICL,2024-09-26,23.7,25.0,23.2,23.4,74016.0
SICL,2024-09-25,25.2,26.0,24.2,24.6,26905.0
SICL,2024-09-24,26.0,26.5,25.0,25.8,119739.0
SICL,2024-09-23,27.0,27.0,26.0,26.1,129918.0
SICL,2024-09-22,28.4,28.4,26.7,27.0,133628.0
SICL,2024-09-19,28.4,28.5,27.9,28.0,243701.0
SICL,2024-09-18,27.8,28.5,27.8,28.2,226065.0
SICL,2024-09-17,27.6,28.5,27.6,28.0,332256.0
SICL,2024-09-15,27.6,28.0,26.9,27.6,197700.0
SICL,2024-09-12,26.7,27.4,26.6,26.9,131623.0
SICL,2024-09-11,26.9,27.2,26.5,26.6,160845.0
SICL,2024-09-10,26.7,27.2,26.3,26.7,137796.0
SICL,2024-09-09,26.2,27.2,26.1,26.7,198210.0
SICL,2024-09-08,26.1,28.2,26.1,27.7,758855.0
SICL,2024-09-05,25.5,26.6,25.0,26.1,360421.0
SICL,2024-09-04,25.3,25.9,25.3,25.6,160637.0
SICL,2024-09-03,26.0,26.1,25.3,25.5,115358.0
SICL,2024-09-02,25.6,27.1,25.6,26.2,267447.0
SICL,2024-09-01,25.0,26.5,25.0,26.4,226282.0
SICL,2024-08-29,24.5,25.2,23.8,24.9,190957.0
SICL,2024-08-28,23.1,24.8,23.1,24.7,138988.0
SICL,2024-08-27,23.3,24.5,22.8,23.3,137123.0
SICL,2024-08-25,23.0,23.4,22.7,23.2,90890.0
SICL,2024-08-22,23.1,23.6,23.1,23.2,233498.0
SICL,2024-08-21,24.1,25.0,23.8,23.8,142924.0
SICL,2024-08-20,24.7,25.6,24.4,24.5,117989.0
SICL,2024-08-19,25.5,26.0,24.8,25.1,309980.0
SICL,2024-08-18,25.7,25.8,25.5,25.5,157120.0
SICL,2024-08-15,26.9,27.0,26.0,26.2,170199.0
SICL,2024-08-14,27.3,27.7,26.6,26.8,260820.0
SICL,2024-08-13,26.8,27.3,26.8,27.0,202763.0
SICL,2024-08-12,27.8,28.8,27.6,27.6,184977.0
SICL,2024-08-11,29.9,30.7,27.9,28.4,575732.0
SICL,2024-08-08,25.8,28.8,25.6,28.7,539166.0
SICL,2024-08-07,26.5,26.8,26.3,26.3,314148.0
SICL,2024-08-06,29.4,29.9,27.1,27.1,399555.0
SICL,2024-08-04,27.9,27.9,27.9,27.9,12122.0
SICL,2024-08-01,26.6,29.1,26.6,28.7,335952.0
SICL,2024-07-31,27.1,27.1,26.4,26.9,127562.0
SICL,2024-07-30,27.2,27.2,27.1,27.1,91552.0
SICL,2024-07-29,28.0,28.5,27.9,27.9,66689.0
SICL,2024-07-28,0.0,0.0,0.0,28.7,0.0
SICL,2024-07-25,28.1,29.6,28.1,28.7,206494.0
SICL,2024-07-24,28.9,29.1,28.9,28.9,48189.0
SICL,2024-07-18,29.5,29.9,29.4,29.7,107285.0
SICL,2024-07-16,31.0,31.2,29.7,30.2,364478.0
SICL,2024-07-15,30.5,31.8,30.2,30.5,347118.0
SICL,2024-07-14,31.6,32.3,30.7,30.9,492748.0
SICL,2024-07-11,32.4,33.1,31.5,31.6,551919.0
SICL,2024-07-10,33.1,34.8,32.1,32.4,1391273.0
SICL,2024-07-09,33.3,33.5,32.4,32.9,625309.0
SICL,2024-07-08,32.5,33.9,32.2,33.2,1180440.0
SICL,2024-07-07,32.1,33.0,31.8,32.5,752357.0
SICL,2024-07-04,30.7,32.3,30.2,31.8,850534.0
SICL,2024-07-03,31.8,32.5,30.9,31.0,610302.0
SICL,2024-07-02,31.3,33.3,31.3,31.8,361913.0
SICL,2024-06-30,29.8,33.5,29.8,31.8,468808.0
SICL,2024-06-27,31.4,31.4,30.6,30.7,370956.0
SICL,2024-06-26,30.0,31.8,28.7,31.5,459304.0
SICL,2024-06-25,26.6,29.1,26.6,29.1,414530.0
SICL,2024-06-24,26.2,27.0,26.1,26.5,102479.0
SICL,2024-06-23,27.1,27.4,26.3,26.5,136930.0
SICL,2024-06-20,27.1,27.6,26.7,27.1,25938.0
SICL,2024-06-19,25.5,27.5,25.5,27.0,261688.0
SICL,2024-06-13,26.8,28.9,26.8,28.1,57096.0
SICL,2024-06-12,27.0,28.2,27.0,27.2,120719.0
SICL,2024-06-11,28.3,28.6,27.8,27.8,68989.0
SICL,2024-06-10,28.6,29.2,28.6,28.6,40894.0
SICL,2024-06-09,29.4,29.9,29.3,29.4,214554.0
SICL,2024-06-06,30.5,30.5,30.2,30.2,135955.0
SICL,2024-06-05,30.3,31.3,29.6,31.1,372475.0
SICL,2024-06-04,29.3,30.9,29.3,30.0,265927.0
SICL,2024-06-03,30.3,30.3,29.0,29.5,100552.0
SICL,2024-06-02,28.8,30.7,28.8,29.7,117060.0
SICL,2024-05-30,29.4,30.4,29.0,29.3,122859.0
SICL,2024-05-29,28.7,30.0,28.1,29.6,265496.0
SICL,2024-05-28,29.0,30.8,28.4,28.9,218601.0
SICL,2024-05-27,27.5,30.0,27.0,28.8,93314.0
SICL,2024-05-26,27.6,28.0,27.5,27.5,122682.0
SICL,2024-05-23,29.1,29.1,28.3,28.3,126134.0
SICL,2024-05-21,30.0,31.1,29.1,29.1,106842.0
SICL,2024-05-20,30.0,30.8,29.9,30.0,126101.0
SICL,2024-05-19,31.7,31.7,30.8,30.8,149392.0
SICL,2024-05-16,32.1,32.9,31.7,31.7,306580.0
SICL,2024-05-15,33.6,33.6,32.6,32.6,198509.0
SICL,2024-05-14,34.0,35.0,33.5,33.6,408633.0
SICL,2024-05-13,32.0,35.5,32.0,34.5,659878.0
SICL,2024-05-12,33.5,33.5,32.4,32.6,425337.0
SICL,2024-05-09,34.4,34.7,33.4,33.4,447808.0
SICL,2024-05-08,34.4,35.4,34.1,34.4,520922.0
SICL,2024-05-07,34.1,35.7,33.8,34.4,701158.0
SICL,2024-05-06,34.0,34.7,33.7,34.0,491261.0
SICL,2024-05-05,33.0,34.6,33.0,33.9,296286.0
SICL,2024-05-02,32.7,33.0,32.1,32.7,276968.0
SICL,2024-04-30,32.8,33.4,32.3,32.5,340293.0
SICL,2024-04-29,34.5,34.8,32.6,32.8,408456.0
SICL,2024-04-28,33.9,34.2,32.9,33.6,544959.0
SICL,2024-04-25,34.6,35.0,33.9,33.9,126805.0
SICL,2024-04-24,36.7,36.9,34.7,34.9,640940.0
SICL,2024-04-23,37.9,38.7,36.0,36.7,629244.0
