Trading_Code,Date,Open,High,Low,Close,Volume
SILVAPHL,2025-04-08,11.0,11.3,11.0,11.0,126917.0
SILVAPHL,2025-04-07,11.6,11.6,11.2,11.2,154172.0
SILVAPHL,2025-04-06,10.5,11.6,10.5,11.2,164529.0
SILVAPHL,2025-03-27,11.8,11.8,11.5,11.6,71249.0
SILVAPHL,2025-03-25,11.6,11.8,11.4,11.6,157977.0
SILVAPHL,2025-03-24,12.1,12.1,11.4,11.6,362781.0
SILVAPHL,2025-03-23,12.2,12.3,11.9,11.9,217257.0
SILVAPHL,2025-03-20,12.2,12.5,12.0,12.2,786663.0
SILVAPHL,2025-03-19,11.8,12.2,11.8,12.1,324089.0
SILVAPHL,2025-03-18,12.1,12.3,11.8,11.9,403258.0
SILVAPHL,2025-03-17,12.4,12.4,11.9,12.2,608722.0
SILVAPHL,2025-03-16,12.2,12.6,12.0,12.3,909317.0
SILVAPHL,2025-03-13,11.7,12.2,11.6,12.1,867734.0
SILVAPHL,2025-03-12,11.3,11.7,11.0,11.5,305651.0
SILVAPHL,2025-03-11,11.4,11.5,10.9,11.0,193913.0
SILVAPHL,2025-03-10,11.6,11.6,11.0,11.2,192700.0
SILVAPHL,2025-03-09,11.5,11.8,11.0,11.1,201885.0
SILVAPHL,2025-03-06,11.6,11.8,11.4,11.5,225108.0
SILVAPHL,2025-03-05,11.9,12.0,11.7,11.8,415529.0
SILVAPHL,2025-03-04,11.6,12.1,11.6,11.8,857192.0
SILVAPHL,2025-03-03,11.6,11.7,11.3,11.5,221890.0
SILVAPHL,2025-03-02,11.6,12.0,11.5,11.6,291346.0
SILVAPHL,2025-02-27,11.7,12.0,11.6,11.8,404936.0
SILVAPHL,2025-02-26,12.1,12.3,11.9,11.9,603234.0
SILVAPHL,2025-02-25,12.1,12.6,12.1,12.3,598200.0
SILVAPHL,2025-02-24,12.1,12.7,11.8,12.4,1622373.0
SILVAPHL,2025-02-23,12.0,12.3,11.8,12.1,560851.0
SILVAPHL,2025-02-20,11.4,12.4,11.4,12.1,1048110.0
SILVAPHL,2025-02-19,11.6,12.0,11.5,11.8,557743.0
SILVAPHL,2025-02-18,11.5,12.0,11.4,11.6,1071159.0
SILVAPHL,2025-02-17,11.3,11.5,11.2,11.3,436630.0
SILVAPHL,2025-02-16,11.7,12.3,11.3,11.4,1167700.0
SILVAPHL,2025-02-13,10.3,11.2,10.3,11.2,830956.0
SILVAPHL,2025-02-12,10.3,10.3,10.1,10.2,428182.0
SILVAPHL,2025-02-11,10.3,10.7,10.2,10.3,282105.0
SILVAPHL,2025-02-10,9.8,10.5,9.7,10.3,374986.0
