Trading_Code,Date,Open,High,Low,Close,Volume
SINOBANGLA,2025-04-08,46.9,46.9,45.3,45.9,188953.0
SINOBANGLA,2025-04-07,47.2,47.6,45.6,45.9,149610.0
SINOBANGLA,2025-04-06,48.0,48.0,46.5,46.6,236141.0
SINOBANGLA,2025-03-27,48.4,48.7,48.0,48.1,53368.0
SINOBANGLA,2025-03-25,47.7,49.1,47.6,48.2,317503.0
SINOBANGLA,2025-03-24,48.0,48.0,46.5,47.4,116028.0
SINOBANGLA,2025-03-23,48.2,48.2,47.0,47.4,88571.0
SINOBANGLA,2025-03-20,48.8,49.1,47.7,48.1,237658.0
SINOBANGLA,2025-03-19,49.5,49.7,48.3,48.9,555071.0
SINOBANGLA,2025-03-18,51.1,51.6,49.0,49.4,585036.0
SINOBANGLA,2025-03-17,50.2,51.8,50.2,51.0,543878.0
SINOBANGLA,2025-03-16,50.5,50.9,49.8,50.3,459909.0
SINOBANGLA,2025-03-13,50.7,50.8,48.6,50.4,265661.0
SINOBANGLA,2025-03-12,50.5,51.5,50.3,50.7,763937.0
SINOBANGLA,2025-03-11,50.7,51.1,49.6,50.6,683122.0
SINOBANGLA,2025-03-10,48.1,51.0,48.1,50.4,716360.0
SINOBANGLA,2025-03-09,48.8,49.2,48.0,48.5,373688.0
SINOBANGLA,2025-03-06,47.3,48.7,47.3,48.3,287443.0
SINOBANGLA,2025-03-05,47.3,47.8,47.2,47.4,106375.0
SINOBANGLA,2025-03-04,47.9,48.6,47.3,47.5,244107.0
SINOBANGLA,2025-03-03,47.8,48.2,47.4,47.7,197283.0
SINOBANGLA,2025-03-02,48.8,48.9,47.6,47.8,459578.0
SINOBANGLA,2025-02-27,48.2,49.1,48.2,48.8,440640.0
SINOBANGLA,2025-02-26,47.8,49.2,47.5,48.4,843258.0
SINOBANGLA,2025-02-25,47.2,48.5,46.7,48.2,616610.0
SINOBANGLA,2025-02-24,46.8,48.0,46.0,47.4,617360.0
SINOBANGLA,2025-02-23,45.3,46.8,45.0,46.5,444053.0
SINOBANGLA,2025-02-20,45.5,45.9,44.7,45.3,313824.0
SINOBANGLA,2025-02-19,45.9,45.9,44.9,45.5,361152.0
SINOBANGLA,2025-02-18,47.0,47.0,45.4,45.5,617744.0
SINOBANGLA,2025-02-17,46.9,46.9,46.1,46.6,315464.0
SINOBANGLA,2025-02-16,45.5,46.6,45.2,46.4,480529.0
SINOBANGLA,2025-02-13,46.3,46.6,45.0,45.6,375073.0
SINOBANGLA,2025-02-12,46.5,47.1,46.1,46.6,813663.0
SINOBANGLA,2025-02-11,46.2,47.5,45.6,46.6,838567.0
SINOBANGLA,2025-02-10,46.0,46.4,45.3,45.5,820948.0
SINOBANGLA,2025-02-09,45.2,46.7,44.9,46.1,801626.0
SINOBANGLA,2025-02-06,45.1,45.4,44.4,45.1,480952.0
SINOBANGLA,2025-02-05,44.3,45.4,43.6,44.9,636769.0
SINOBANGLA,2025-02-04,43.2,43.6,42.9,43.4,402920.0
SINOBANGLA,2025-02-03,43.9,43.9,42.9,43.0,316943.0
SINOBANGLA,2025-02-02,43.3,44.0,43.0,43.3,330503.0
SINOBANGLA,2025-01-30,44.1,44.4,43.0,43.2,480818.0
SINOBANGLA,2025-01-29,42.7,44.3,42.2,44.1,946171.0
SINOBANGLA,2025-01-28,43.5,43.9,42.0,42.9,878469.0
SINOBANGLA,2025-01-27,42.9,43.4,42.0,43.0,513716.0
SINOBANGLA,2025-01-26,41.0,43.9,41.0,42.6,509687.0
SINOBANGLA,2025-01-23,41.6,42.0,41.3,41.6,263487.0
SINOBANGLA,2025-01-22,41.1,41.7,41.0,41.6,358719.0
SINOBANGLA,2025-01-21,41.7,41.8,41.0,41.3,381465.0
SINOBANGLA,2025-01-20,40.5,41.7,40.5,41.5,466572.0
SINOBANGLA,2025-01-19,40.5,41.3,40.2,40.9,282483.0
SINOBANGLA,2025-01-16,40.2,41.2,40.0,40.5,495006.0
SINOBANGLA,2025-01-15,39.3,41.9,38.6,40.5,698631.0
SINOBANGLA,2025-01-14,36.3,38.8,36.0,38.8,473276.0
SINOBANGLA,2025-01-13,36.9,37.3,34.6,35.3,202404.0
SINOBANGLA,2025-01-12,37.6,38.2,36.6,36.9,120141.0
SINOBANGLA,2025-01-09,38.1,38.3,37.4,37.7,92351.0
SINOBANGLA,2025-01-08,38.1,38.4,37.7,37.8,64428.0
SINOBANGLA,2025-01-07,38.8,39.2,37.8,38.1,59506.0
SINOBANGLA,2025-01-06,38.0,38.5,37.8,38.0,135409.0
SINOBANGLA,2025-01-05,37.7,38.3,37.3,37.8,44236.0
SINOBANGLA,2025-01-02,38.9,39.1,37.7,37.9,78619.0
SINOBANGLA,2025-01-01,38.8,39.5,38.6,38.8,75791.0
SINOBANGLA,2024-12-30,38.6,39.5,38.3,38.8,164011.0
SINOBANGLA,2024-12-29,37.6,38.5,37.6,38.0,87328.0
SINOBANGLA,2024-12-26,37.6,37.9,36.8,37.1,88180.0
SINOBANGLA,2024-12-24,38.1,38.2,37.2,37.5,72448.0
SINOBANGLA,2024-12-23,38.3,39.2,37.7,37.9,43578.0
SINOBANGLA,2024-12-22,39.0,39.3,37.6,38.2,102654.0
SINOBANGLA,2024-12-19,39.2,40.0,38.4,39.0,67265.0
SINOBANGLA,2024-12-18,40.4,40.8,38.8,39.4,188365.0
SINOBANGLA,2024-12-17,38.9,40.3,38.9,39.9,221192.0
SINOBANGLA,2024-12-15,39.2,39.4,38.3,38.8,102133.0
SINOBANGLA,2024-12-12,40.2,40.3,38.4,38.5,127746.0
SINOBANGLA,2024-12-11,39.5,40.3,39.5,39.6,281488.0
SINOBANGLA,2024-12-10,41.0,41.1,39.4,39.6,227080.0
SINOBANGLA,2024-12-09,41.5,42.3,40.6,41.0,431714.0
SINOBANGLA,2024-12-08,40.0,41.6,39.2,41.1,368061.0
SINOBANGLA,2024-12-05,39.5,41.4,39.3,40.1,350134.0
SINOBANGLA,2024-12-04,40.3,41.4,39.0,39.4,435586.0
SINOBANGLA,2024-12-03,41.0,42.5,40.0,40.2,967936.0
SINOBANGLA,2024-12-02,36.6,39.9,36.6,39.9,1068722.0
