Trading_Code,Date,Open,High,Low,Close,Volume
SIPLC,2025-04-08,40.0,41.2,40.0,40.1,55284.0
SIPLC,2025-04-07,39.2,40.1,39.0,40.0,74738.0
SIPLC,2025-04-06,39.0,41.9,39.0,39.4,22408.0
SIPLC,2025-03-27,40.6,40.6,38.9,39.0,53300.0
SIPLC,2025-03-25,39.4,40.7,39.4,39.7,10335.0
SIPLC,2025-03-24,41.0,41.0,39.2,39.4,11992.0
SIPLC,2025-03-23,40.5,40.5,39.4,39.6,17656.0
SIPLC,2025-03-20,41.0,41.0,39.8,39.9,20665.0
SIPLC,2025-03-19,40.4,41.1,39.9,40.3,32563.0
SIPLC,2025-03-18,41.0,41.4,40.2,40.4,34381.0
SIPLC,2025-03-17,41.3,41.4,40.8,41.0,70835.0
SIPLC,2025-03-16,41.0,42.4,40.1,41.0,84479.0
SIPLC,2025-03-13,40.8,40.9,39.9,40.8,77877.0
SIPLC,2025-03-12,39.9,40.3,39.9,40.2,19890.0
SIPLC,2025-03-11,39.0,40.1,38.8,39.9,73724.0
SIPLC,2025-03-10,38.1,39.8,38.1,38.9,11004.0
SIPLC,2025-03-09,39.9,40.0,38.0,38.2,32831.0
SIPLC,2025-03-06,39.5,39.8,39.4,39.5,14776.0
SIPLC,2025-03-05,39.9,40.3,39.1,39.4,15781.0
SIPLC,2025-03-04,39.8,40.3,39.8,39.9,7635.0
SIPLC,2025-03-03,40.8,40.8,39.6,39.9,22077.0
SIPLC,2025-03-02,39.2,41.2,39.2,39.8,44238.0
SIPLC,2025-02-27,0.0,0.0,0.0,42.1,0.0
SIPLC,2025-02-26,42.8,42.8,41.9,42.1,81001.0
SIPLC,2025-02-25,42.1,42.8,42.1,42.4,76222.0
SIPLC,2025-02-24,42.6,42.7,42.2,42.4,52344.0
SIPLC,2025-02-23,42.9,42.9,41.8,42.7,30042.0
SIPLC,2025-02-20,41.8,42.2,41.7,42.1,39009.0
SIPLC,2025-02-19,42.0,42.2,41.7,42.1,48772.0
SIPLC,2025-02-18,41.3,42.2,41.3,41.8,50234.0
SIPLC,2025-02-17,41.5,41.8,41.3,41.5,53972.0
SIPLC,2025-02-16,42.5,42.5,41.4,41.5,32639.0
SIPLC,2025-02-13,42.0,42.0,41.7,41.8,20370.0
SIPLC,2025-02-12,42.4,42.5,41.6,41.7,13892.0
SIPLC,2025-02-11,41.7,42.4,41.5,42.1,43824.0
SIPLC,2025-02-10,42.5,42.5,41.6,41.7,68689.0
SIPLC,2025-02-09,43.0,43.0,42.0,42.2,73004.0
SIPLC,2025-02-06,43.8,45.6,42.2,42.6,189154.0
SIPLC,2025-02-05,41.9,41.9,41.5,41.6,63493.0
SIPLC,2025-02-04,41.8,41.8,41.4,41.5,33043.0
SIPLC,2025-02-03,41.9,41.9,41.3,41.5,20676.0
SIPLC,2025-02-02,41.2,42.0,41.1,41.6,33672.0
SIPLC,2025-01-30,42.6,42.6,41.0,41.2,34165.0
SIPLC,2025-01-29,41.0,41.8,40.8,41.5,72379.0
SIPLC,2025-01-28,40.2,41.1,40.2,40.9,48901.0
SIPLC,2025-01-27,40.1,41.5,39.7,40.6,3388.0
SIPLC,2025-01-26,42.0,42.0,39.4,40.1,44066.0
SIPLC,2025-01-23,42.5,42.5,41.0,41.1,18612.0
SIPLC,2025-01-22,42.5,42.5,41.3,41.5,6132.0
SIPLC,2025-01-21,41.2,42.5,41.2,42.0,21616.0
SIPLC,2025-01-20,41.4,42.7,41.4,42.1,8260.0
SIPLC,2025-01-19,41.0,42.6,41.0,41.6,109065.0
SIPLC,2025-01-16,40.2,42.8,40.0,41.0,11661.0
