Trading_Code,Date,Open,High,Low,Close,Volume
SKICL,2024-09-08,49.6,51.3,48.0,48.8,127463.0
SKICL,2024-09-05,50.0,51.0,49.2,49.6,82091.0
SKICL,2024-09-04,50.3,51.9,49.9,50.1,76861.0
SKICL,2024-09-03,50.3,51.7,50.3,50.7,32307.0
SKICL,2024-09-02,52.1,53.8,50.2,51.1,107940.0
SKICL,2024-09-01,51.1,53.5,51.1,53.0,105797.0
SKICL,2024-08-29,50.6,53.2,50.6,52.5,147292.0
SKICL,2024-08-28,49.4,52.0,49.1,51.5,86275.0
SKICL,2024-08-27,49.3,51.0,48.5,49.3,76117.0
SKICL,2024-08-25,53.8,53.8,48.8,49.3,87546.0
SKICL,2024-08-22,47.6,49.9,47.6,49.1,97351.0
SKICL,2024-08-21,49.8,50.5,48.9,48.9,83470.0
SKICL,2024-08-20,52.8,52.8,50.1,50.4,34458.0
SKICL,2024-08-19,49.6,53.0,49.5,50.9,52922.0
SKICL,2024-08-18,51.7,53.2,50.3,50.5,51715.0
SKICL,2024-08-15,52.0,54.8,51.7,51.8,152442.0
SKICL,2024-08-14,51.5,53.7,51.5,53.2,120728.0
SKICL,2024-08-13,53.6,53.6,52.4,52.4,174032.0
SKICL,2024-08-12,55.5,55.5,54.0,54.0,119876.0
SKICL,2024-08-11,58.0,58.2,55.6,55.6,593072.0
SKICL,2024-08-08,56.9,58.5,54.2,57.3,773862.0
SKICL,2024-08-07,53.5,56.9,53.5,55.8,632362.0
SKICL,2024-08-06,52.5,52.5,50.2,52.5,396553.0
SKICL,2024-08-04,48.4,48.4,47.8,47.8,66338.0
SKICL,2024-08-01,47.4,49.5,47.0,49.2,105894.0
SKICL,2024-07-31,50.5,50.5,45.8,47.2,30235.0
SKICL,2024-07-30,46.0,47.1,45.8,46.2,33899.0
SKICL,2024-07-29,48.1,49.0,46.8,47.1,82398.0
SKICL,2024-07-28,49.0,49.4,48.1,48.2,95039.0
SKICL,2024-07-25,48.3,49.6,47.6,49.1,82283.0
SKICL,2024-07-24,49.0,49.9,48.9,48.9,68095.0
SKICL,2024-07-18,50.0,52.4,49.2,50.4,201339.0
SKICL,2024-07-16,49.0,51.1,49.0,50.7,337437.0
SKICL,2024-07-15,47.7,48.6,47.2,47.4,52347.0
SKICL,2024-07-14,48.0,49.0,47.1,47.6,28710.0
SKICL,2024-07-11,49.5,49.9,48.2,48.3,117827.0
SKICL,2024-07-10,49.5,50.9,49.5,49.6,159656.0
SKICL,2024-07-09,51.5,51.5,50.5,51.0,133843.0
SKICL,2024-07-08,49.5,51.5,49.3,51.1,297070.0
SKICL,2024-07-07,48.5,49.6,48.5,49.5,132453.0
SKICL,2024-07-04,47.6,49.7,47.6,48.4,89183.0
SKICL,2024-07-03,49.0,49.5,48.0,48.4,51272.0
SKICL,2024-07-02,50.2,50.2,48.2,48.9,75371.0
SKICL,2024-06-30,47.1,49.5,47.1,48.9,51706.0
SKICL,2024-06-27,48.6,49.4,48.5,48.5,81096.0
SKICL,2024-06-26,47.2,49.2,47.2,48.9,121664.0
SKICL,2024-06-25,46.7,48.8,46.0,48.3,127824.0
SKICL,2024-06-24,46.6,47.6,46.5,46.6,19599.0
SKICL,2024-06-23,47.6,48.5,47.5,47.5,636353.0
SKICL,2024-06-20,47.0,49.0,46.5,48.6,106831.0
SKICL,2024-06-19,48.0,48.5,45.6,47.7,59011.0
SKICL,2024-06-13,44.5,47.9,44.5,47.0,44733.0
SKICL,2024-06-12,43.6,47.0,43.5,45.7,121140.0
SKICL,2024-06-11,41.6,44.3,41.6,43.6,42843.0
SKICL,2024-06-10,41.7,43.2,41.4,42.8,63710.0
SKICL,2024-06-09,43.2,43.6,42.2,42.6,233887.0
