Trading_Code,Date,Open,High,Low,Close,Volume
SKTRIMS,2025-04-08,13.3,13.4,13.2,13.2,32607.0
SKTRIMS,2025-04-07,13.3,13.5,13.2,13.3,101805.0
SKTRIMS,2025-04-06,13.4,13.5,13.1,13.2,137858.0
SKTRIMS,2025-03-27,13.6,13.7,13.5,13.6,52384.0
SKTRIMS,2025-03-25,13.6,13.8,13.5,13.6,56578.0
SKTRIMS,2025-03-24,13.5,13.7,13.5,13.6,54828.0
SKTRIMS,2025-03-23,14.0,14.0,13.5,13.7,127706.0
SKTRIMS,2025-03-20,13.8,14.0,13.7,13.9,83020.0
SKTRIMS,2025-03-19,14.2,14.2,13.7,13.8,112343.0
SKTRIMS,2025-03-18,13.8,13.9,13.7,13.7,94805.0
SKTRIMS,2025-03-17,13.9,13.9,13.6,13.7,87740.0
SKTRIMS,2025-03-16,13.7,13.9,13.7,13.8,93070.0
SKTRIMS,2025-03-13,14.1,14.1,13.7,13.8,64753.0
SKTRIMS,2025-03-12,14.3,14.3,13.8,13.8,72854.0
SKTRIMS,2025-03-11,14.0,14.2,13.9,14.0,145361.0
SKTRIMS,2025-03-10,13.7,14.0,13.7,13.8,75140.0
SKTRIMS,2025-03-09,14.2,14.2,13.8,13.8,103449.0
SKTRIMS,2025-03-06,14.0,14.2,14.0,14.1,39444.0
SKTRIMS,2025-03-05,14.0,14.1,13.9,14.0,75703.0
SKTRIMS,2025-03-04,13.8,14.4,13.8,14.0,70445.0
SKTRIMS,2025-03-03,14.2,14.6,13.8,13.9,130001.0
SKTRIMS,2025-03-02,14.2,14.7,14.2,14.3,141121.0
SKTRIMS,2025-02-27,14.5,14.7,14.2,14.3,221270.0
SKTRIMS,2025-02-26,14.3,15.5,14.3,14.7,989662.0
SKTRIMS,2025-02-25,13.9,14.3,13.8,14.2,314869.0
SKTRIMS,2025-02-24,13.8,14.0,13.6,13.8,214564.0
SKTRIMS,2025-02-23,13.8,13.8,13.5,13.6,203667.0
SKTRIMS,2025-02-20,13.6,13.7,13.4,13.7,116534.0
SKTRIMS,2025-02-19,13.7,13.8,13.5,13.6,87465.0
SKTRIMS,2025-02-18,13.9,14.0,13.7,13.8,112273.0
SKTRIMS,2025-02-17,13.7,14.0,13.7,13.8,135991.0
SKTRIMS,2025-02-16,13.8,13.9,13.7,13.7,123934.0
SKTRIMS,2025-02-13,13.9,14.0,13.7,13.7,124513.0
SKTRIMS,2025-02-12,13.7,13.9,13.6,13.9,194936.0
SKTRIMS,2025-02-11,13.9,13.9,13.5,13.6,171505.0
SKTRIMS,2025-02-10,13.8,13.9,13.5,13.6,290901.0
SKTRIMS,2025-02-09,14.2,14.3,13.9,13.9,262697.0
SKTRIMS,2025-02-06,14.0,14.4,14.0,14.2,292831.0
SKTRIMS,2025-02-05,13.8,14.1,13.5,13.9,324946.0
SKTRIMS,2025-02-04,13.8,14.0,13.6,13.6,110286.0
SKTRIMS,2025-02-03,13.9,14.2,13.7,13.7,400182.0
SKTRIMS,2025-02-02,13.6,13.9,13.4,13.7,117161.0
SKTRIMS,2025-01-30,13.9,14.0,13.4,13.4,251534.0
SKTRIMS,2025-01-29,14.2,14.2,13.9,14.0,198759.0
SKTRIMS,2025-01-28,14.4,14.5,14.1,14.1,247084.0
SKTRIMS,2025-01-27,14.3,14.4,14.1,14.3,112872.0
SKTRIMS,2025-01-26,14.3,14.4,14.1,14.2,196297.0
SKTRIMS,2025-01-23,14.3,14.5,14.2,14.3,340462.0
SKTRIMS,2025-01-22,14.7,14.8,14.3,14.4,485505.0
SKTRIMS,2025-01-21,14.4,15.4,14.2,14.8,1167715.0
SKTRIMS,2025-01-20,13.9,14.3,13.9,14.1,254818.0
SKTRIMS,2025-01-19,14.1,14.4,13.9,14.0,306766.0
SKTRIMS,2025-01-16,14.6,14.6,14.0,14.1,413263.0
SKTRIMS,2025-01-15,14.5,14.8,13.7,14.4,482122.0
SKTRIMS,2025-01-14,14.4,15.0,14.4,14.5,292811.0
SKTRIMS,2025-01-13,14.4,14.8,14.3,14.4,348590.0
SKTRIMS,2025-01-12,14.7,14.9,14.1,14.3,351398.0
SKTRIMS,2025-01-09,14.9,15.2,14.7,14.8,316867.0
SKTRIMS,2025-01-08,15.0,15.1,14.6,14.7,370894.0
SKTRIMS,2025-01-07,14.8,15.4,14.8,14.9,583644.0
SKTRIMS,2025-01-06,14.8,15.3,14.8,14.8,664312.0
SKTRIMS,2025-01-05,15.4,15.5,14.6,14.8,602410.0
SKTRIMS,2025-01-02,15.8,16.0,15.4,15.5,480500.0
SKTRIMS,2025-01-01,14.5,16.1,14.5,15.9,1274085.0
SKTRIMS,2024-12-30,16.0,16.0,15.2,15.3,937284.0
SKTRIMS,2024-12-29,16.2,16.3,15.7,15.9,715828.0
SKTRIMS,2024-12-26,17.6,17.6,16.0,16.4,2116272.0
SKTRIMS,2024-12-24,16.2,16.2,16.2,16.2,387510.0
SKTRIMS,2024-12-23,15.2,15.5,14.7,14.8,234469.0
SKTRIMS,2024-12-22,14.6,15.3,14.6,14.9,224147.0
SKTRIMS,2024-12-19,14.9,15.5,14.8,15.0,717456.0
SKTRIMS,2024-12-18,14.7,15.0,14.4,14.8,345144.0
SKTRIMS,2024-12-17,14.1,14.6,14.1,14.4,271526.0
SKTRIMS,2024-12-15,14.0,14.1,13.9,14.0,134577.0
SKTRIMS,2024-12-12,0.0,0.0,0.0,14.0,0.0
SKTRIMS,2024-12-11,14.2,14.2,13.9,14.0,138246.0
SKTRIMS,2024-12-10,14.0,14.5,14.0,14.2,175099.0
SKTRIMS,2024-12-09,14.0,14.5,13.8,14.0,426095.0
SKTRIMS,2024-12-08,13.6,14.0,13.6,13.9,22515.0
SKTRIMS,2024-12-05,14.4,14.4,13.9,14.0,83218.0
SKTRIMS,2024-12-04,14.8,14.8,14.2,14.3,68762.0
SKTRIMS,2024-12-03,14.1,15.0,13.9,14.4,236412.0
SKTRIMS,2024-12-02,14.3,14.7,13.9,13.9,126549.0
SKTRIMS,2024-12-01,13.9,14.2,13.6,14.1,245549.0
SKTRIMS,2024-11-28,14.0,14.3,13.9,13.9,101614.0
SKTRIMS,2024-11-27,13.7,14.2,13.7,14.0,62720.0
SKTRIMS,2024-11-26,13.4,14.0,13.4,13.6,56730.0
SKTRIMS,2024-11-25,14.5,14.5,13.4,13.4,28862.0
SKTRIMS,2024-11-24,14.2,14.2,13.4,13.5,150650.0
SKTRIMS,2024-11-21,14.4,15.0,13.9,14.1,92437.0
SKTRIMS,2024-11-20,15.2,15.2,14.1,14.4,138653.0
SKTRIMS,2024-11-19,14.7,15.0,14.5,14.9,128858.0
SKTRIMS,2024-11-18,15.4,15.4,14.6,14.8,238920.0
SKTRIMS,2024-11-17,15.0,16.1,14.7,15.4,441598.0
SKTRIMS,2024-11-14,13.9,15.1,13.9,14.9,481293.0
SKTRIMS,2024-11-13,13.6,13.9,13.5,13.8,105887.0
SKTRIMS,2024-11-12,14.0,14.0,13.6,13.6,144544.0
SKTRIMS,2024-11-11,13.8,14.0,13.8,13.9,93671.0
SKTRIMS,2024-11-10,13.8,14.0,13.6,13.7,119572.0
SKTRIMS,2024-11-07,14.3,14.4,13.8,13.8,149997.0
SKTRIMS,2024-11-06,14.6,14.7,13.9,14.0,194476.0
SKTRIMS,2024-11-05,13.9,15.1,13.9,14.2,184157.0
SKTRIMS,2024-11-04,13.8,14.5,13.8,14.2,154338.0
SKTRIMS,2024-11-03,14.0,14.6,13.9,14.0,146810.0
SKTRIMS,2024-10-31,13.7,14.3,13.3,13.9,274981.0
SKTRIMS,2024-10-30,13.3,13.8,13.1,13.7,239927.0
SKTRIMS,2024-10-29,13.8,13.8,12.8,13.3,119489.0
SKTRIMS,2024-10-28,13.3,14.1,13.1,13.6,70642.0
SKTRIMS,2024-10-27,14.5,14.5,13.1,13.4,124463.0
SKTRIMS,2024-10-24,14.4,15.5,14.4,14.5,85801.0
SKTRIMS,2024-10-23,14.5,14.8,14.2,14.7,184259.0
SKTRIMS,2024-10-22,15.3,15.3,14.5,14.5,199676.0
SKTRIMS,2024-10-21,15.9,15.9,14.9,15.2,195837.0
SKTRIMS,2024-10-20,14.6,15.5,14.6,14.9,250994.0
