Trading_Code,Date,Open,High,Low,Close,Volume
SOCIALINV,2009-12-08,228.0,230.5,223.5,225.0,140750.0
SOCIALINV,2009-12-07,233.0,236.75,231.5,232.25,245450.0
SOCIALINV,2009-12-05,201.0,222.0,199.0,218.75,519000.0
SOCIALINV,2009-12-04,139.0,152.0,139.0,150.25,252150.0
SOCIALINV,2009-12-03,155.25,156.0,152.0,154.0,65250.0
SOCIALINV,2009-12-02,159.75,168.75,159.75,166.5,66100.0
SOCIALINV,2009-12-01,204.25,205.0,200.5,202.0,14450.0
SOCIALINV,2009-11-08,226.0,227.75,225.0,226.0,128700.0
SOCIALINV,2009-11-06,220.0,222.0,208.0,216.0,422850.0
SOCIALINV,2009-11-05,200.0,206.0,196.25,199.25,253450.0
SOCIALINV,2009-11-03,157.0,161.75,153.25,154.0,32250.0
SOCIALINV,2009-11-02,167.0,167.0,158.0,158.75,86400.0
SOCIALINV,2009-11-01,209.0,209.75,202.75,204.5,16050.0
SOCIALINV,2009-10-08,222.5,226.0,222.25,224.0,106450.0
SOCIALINV,2009-10-06,225.0,230.0,221.0,222.25,208100.0
SOCIALINV,2009-10-05,209.0,212.75,199.0,200.5,270800.0
SOCIALINV,2009-10-02,168.5,168.5,161.0,162.0,94950.0
SOCIALINV,2009-09-08,223.5,224.5,221.0,221.75,120950.0
SOCIALINV,2009-09-07,242.0,243.0,234.75,235.75,227750.0
SOCIALINV,2009-09-06,230.0,230.0,218.0,222.25,357250.0
SOCIALINV,2009-09-04,131.0,138.0,130.5,136.75,137500.0
SOCIALINV,2009-09-03,167.5,167.5,158.25,160.0,67150.0
SOCIALINV,2009-09-02,170.5,172.0,165.0,166.5,113700.0
SOCIALINV,2009-08-17,224.25,224.5,222.0,223.0,74200.0
SOCIALINV,2009-08-16,224.0,226.75,222.5,223.0,87950.0
SOCIALINV,2009-08-07,236.5,239.5,232.0,238.5,235850.0
SOCIALINV,2009-08-06,243.0,244.0,226.0,227.5,474100.0
SOCIALINV,2009-08-04,135.0,135.0,128.5,131.75,138950.0
SOCIALINV,2009-08-03,156.0,165.0,153.0,163.0,117850.0
SOCIALINV,2009-08-02,176.0,185.0,169.0,170.25,120250.0
SOCIALINV,2009-07-30,225.0,225.25,222.5,224.0,110150.0
SOCIALINV,2009-07-29,225.0,227.75,223.25,224.5,88200.0
SOCIALINV,2009-07-28,223.5,225.75,222.0,222.75,62900.0
SOCIALINV,2009-07-27,223.0,226.0,222.0,224.25,78500.0
SOCIALINV,2009-07-26,225.5,228.25,220.5,225.5,143800.0
SOCIALINV,2009-07-23,229.75,231.0,223.0,224.0,82800.0
SOCIALINV,2009-07-22,221.5,229.0,221.25,228.25,91050.0
SOCIALINV,2009-07-21,217.25,225.5,217.25,222.25,96400.0
SOCIALINV,2009-07-20,224.0,226.0,219.0,220.25,145600.0
SOCIALINV,2009-07-19,226.5,229.0,224.0,224.5,104900.0
SOCIALINV,2009-07-16,226.0,230.0,226.0,227.5,103550.0
SOCIALINV,2009-07-15,227.0,229.5,224.0,227.25,126400.0
SOCIALINV,2009-07-14,230.0,233.75,226.5,227.25,142250.0
SOCIALINV,2009-07-13,235.25,235.25,230.0,231.0,203800.0
SOCIALINV,2009-07-07,240.0,243.0,233.25,238.25,240050.0
SOCIALINV,2009-07-06,229.0,245.0,229.0,239.25,712900.0
SOCIALINV,2009-07-05,211.5,214.0,203.0,207.25,256500.0
SOCIALINV,2009-07-04,158.75,158.75,135.0,137.25,111500.0
SOCIALINV,2009-07-01,205.0,211.0,205.0,207.0,18000.0
SOCIALINV,2009-06-30,230.0,237.0,226.0,234.75,388700.0
SOCIALINV,2009-06-29,234.0,234.0,228.5,229.25,210450.0
SOCIALINV,2009-06-28,233.75,235.0,230.0,230.5,335200.0
SOCIALINV,2009-06-25,228.0,233.25,226.0,228.75,234150.0
SOCIALINV,2009-06-24,234.75,237.75,227.25,229.0,397450.0
SOCIALINV,2009-06-23,229.0,240.0,224.5,232.5,606850.0
SOCIALINV,2009-06-22,233.75,233.75,225.0,227.0,323250.0
SOCIALINV,2009-06-21,221.75,235.0,220.75,228.5,727100.0
SOCIALINV,2009-06-18,219.75,220.0,216.0,217.5,376850.0
SOCIALINV,2009-06-17,222.75,222.75,217.0,217.25,205250.0
SOCIALINV,2009-06-16,217.0,223.25,217.0,218.25,243050.0
SOCIALINV,2009-06-15,217.0,222.0,213.0,216.25,393100.0
SOCIALINV,2009-06-14,223.0,225.0,212.0,213.5,357750.0
SOCIALINV,2009-06-08,224.0,225.0,222.0,222.5,103100.0
SOCIALINV,2009-06-07,240.0,248.75,235.0,241.0,272350.0
SOCIALINV,2009-06-05,216.75,218.0,207.5,208.5,193550.0
SOCIALINV,2009-06-04,136.0,158.0,128.5,152.0,210950.0
SOCIALINV,2009-06-01,207.75,210.75,205.0,206.5,21300.0
SOCIALINV,2009-05-31,228.0,229.75,215.0,217.25,373750.0
SOCIALINV,2009-05-28,208.0,228.75,208.0,224.75,774450.0
SOCIALINV,2009-05-27,204.0,212.0,204.0,206.0,281450.0
SOCIALINV,2009-05-26,208.0,211.25,204.0,205.5,285250.0
SOCIALINV,2009-05-25,211.0,212.75,207.25,208.0,212500.0
SOCIALINV,2009-05-24,212.0,212.0,208.25,209.0,238700.0
SOCIALINV,2009-05-21,215.0,216.5,211.0,211.75,263000.0
SOCIALINV,2009-05-20,215.0,217.75,212.25,214.0,389400.0
SOCIALINV,2009-05-19,217.75,217.75,210.75,211.5,230300.0
SOCIALINV,2009-05-18,212.0,218.0,207.0,214.5,405600.0
SOCIALINV,2009-05-17,208.0,214.5,206.0,208.25,286000.0
SOCIALINV,2009-05-14,210.0,214.75,205.0,209.25,247700.0
SOCIALINV,2009-05-13,224.0,228.0,208.0,210.0,453650.0
