Trading_Code,Date,Open,High,Low,Close,Volume
SONALIPAPR,2025-04-08,150.2,163.2,148.5,159.2,306035.0
SONALIPAPR,2025-04-07,150.9,150.9,147.8,148.4,58811.0
SONALIPAPR,2025-04-06,150.0,150.2,147.8,148.7,82656.0
SONALIPAPR,2025-03-27,150.0,151.9,149.6,151.5,54377.0
SONALIPAPR,2025-03-25,151.6,151.7,148.2,149.1,52230.0
SONALIPAPR,2025-03-24,147.0,151.3,146.9,150.5,80208.0
SONALIPAPR,2025-03-23,153.0,153.5,145.0,146.2,113398.0
SONALIPAPR,2025-03-20,152.7,154.5,151.2,151.7,62026.0
SONALIPAPR,2025-03-19,154.1,155.3,152.0,152.3,73661.0
SONALIPAPR,2025-03-18,153.9,157.0,152.7,153.9,84762.0
SONALIPAPR,2025-03-17,154.9,156.3,152.1,152.4,70191.0
SONALIPAPR,2025-03-16,156.2,157.7,153.1,154.2,91345.0
SONALIPAPR,2025-03-13,158.5,159.0,155.5,156.2,69113.0
SONALIPAPR,2025-03-12,158.7,159.7,156.7,157.1,76301.0
SONALIPAPR,2025-03-11,157.5,159.5,157.4,157.8,87365.0
SONALIPAPR,2025-03-10,159.9,159.9,156.7,157.1,88299.0
SONALIPAPR,2025-03-09,161.0,161.6,155.8,156.7,147653.0
SONALIPAPR,2025-03-06,164.0,165.4,160.7,161.2,104003.0
SONALIPAPR,2025-03-05,162.0,165.1,160.5,163.4,161941.0
SONALIPAPR,2025-03-04,162.3,164.1,159.7,160.1,134769.0
SONALIPAPR,2025-03-03,168.6,168.7,162.0,163.1,238699.0
SONALIPAPR,2025-03-02,161.8,169.0,161.8,167.4,357743.0
SONALIPAPR,2025-02-27,158.5,162.7,157.4,160.9,165071.0
SONALIPAPR,2025-02-26,159.3,160.7,157.0,157.4,100512.0
SONALIPAPR,2025-02-25,156.0,162.3,155.1,158.5,217942.0
SONALIPAPR,2025-02-24,157.5,158.3,154.1,154.5,180419.0
SONALIPAPR,2025-02-23,160.3,160.9,156.8,157.3,152200.0
SONALIPAPR,2025-02-20,162.2,164.0,157.5,158.3,227737.0
SONALIPAPR,2025-02-19,158.0,162.1,156.2,161.1,193638.0
SONALIPAPR,2025-02-18,163.6,164.5,156.7,157.6,354936.0
SONALIPAPR,2025-02-17,162.1,168.6,162.0,163.6,338252.0
SONALIPAPR,2025-02-16,154.4,164.0,153.5,161.2,522361.0
SONALIPAPR,2025-02-13,154.2,157.4,152.2,153.2,204279.0
SONALIPAPR,2025-02-12,151.0,154.2,148.3,153.0,354935.0
SONALIPAPR,2025-02-11,165.0,165.8,152.0,154.3,778207.0
SONALIPAPR,2025-02-10,150.8,150.8,150.8,150.8,173043.0
SONALIPAPR,2025-02-09,132.0,138.5,131.5,137.1,145786.0
SONALIPAPR,2025-02-06,134.0,134.5,131.0,131.4,86053.0
