Trading_Code,Date,Open,High,Low,Close,Volume
SONARBAINS,2025-04-08,23.6,23.9,23.0,23.4,34571.0
SONARBAINS,2025-04-07,23.9,24.0,23.5,23.6,28324.0
SONARBAINS,2025-04-06,23.9,23.9,23.5,23.5,30365.0
SONARBAINS,2025-03-27,23.8,24.0,23.7,23.8,5614.0
SONARBAINS,2025-03-25,23.8,24.1,23.6,24.0,11579.0
SONARBAINS,2025-03-24,23.9,23.9,23.6,23.7,22992.0
SONARBAINS,2025-03-23,23.6,24.2,23.5,23.6,25041.0
SONARBAINS,2025-03-20,23.8,24.0,23.5,23.8,57486.0
SONARBAINS,2025-03-19,25.0,25.0,23.8,23.9,77676.0
SONARBAINS,2025-03-18,24.2,25.0,24.2,24.5,97557.0
SONARBAINS,2025-03-17,25.7,25.7,24.6,24.8,80677.0
SONARBAINS,2025-03-16,24.6,26.2,24.0,25.6,357084.0
SONARBAINS,2025-03-13,23.6,24.3,23.0,23.9,147353.0
SONARBAINS,2025-03-12,22.9,23.5,22.8,23.4,24391.0
SONARBAINS,2025-03-11,23.2,23.2,22.7,23.0,4537.0
SONARBAINS,2025-03-10,23.7,23.7,22.4,22.5,12102.0
SONARBAINS,2025-03-09,23.1,23.1,22.7,22.9,10850.0
SONARBAINS,2025-03-06,22.9,23.3,22.7,22.8,11743.0
SONARBAINS,2025-03-05,23.0,23.6,22.8,23.1,20197.0
SONARBAINS,2025-03-04,23.1,23.4,22.8,22.8,13182.0
SONARBAINS,2025-03-03,23.1,23.4,23.0,23.1,48683.0
SONARBAINS,2025-03-02,23.4,23.7,23.0,23.1,17280.0
SONARBAINS,2025-02-27,23.7,23.7,23.0,23.3,57895.0
SONARBAINS,2025-02-26,23.9,23.9,23.4,23.5,49068.0
SONARBAINS,2025-02-25,23.2,24.2,23.2,23.4,66451.0
SONARBAINS,2025-02-24,24.1,24.1,23.1,23.5,19863.0
SONARBAINS,2025-02-23,22.8,23.7,22.7,23.5,82178.0
SONARBAINS,2025-02-20,22.7,22.9,22.6,22.8,23642.0
SONARBAINS,2025-02-19,23.2,23.2,22.3,22.8,28064.0
SONARBAINS,2025-02-18,22.5,23.0,22.5,22.5,31633.0
SONARBAINS,2025-02-17,23.3,23.3,22.2,22.4,105715.0
SONARBAINS,2025-02-16,23.2,23.2,22.7,23.0,14187.0
SONARBAINS,2025-02-13,23.0,23.3,22.8,23.2,16285.0
SONARBAINS,2025-02-12,22.8,24.1,22.6,22.7,51431.0
SONARBAINS,2025-02-11,23.5,23.5,22.8,22.9,78646.0
SONARBAINS,2025-02-10,24.2,24.2,22.9,23.0,54632.0
SONARBAINS,2025-02-09,24.5,24.5,23.3,23.6,16593.0
SONARBAINS,2025-02-06,23.9,23.9,23.6,23.7,75428.0
SONARBAINS,2025-02-05,23.9,24.4,23.8,24.0,31895.0
SONARBAINS,2025-02-04,24.9,24.9,23.9,24.0,21969.0
SONARBAINS,2025-02-03,23.9,24.7,23.9,24.2,43937.0
SONARBAINS,2025-02-02,25.9,25.9,23.7,23.8,21436.0
