Trading_Code,Date,Open,High,Low,Close,Volume
SOUTHEASTB,2025-04-08,9.9,10.0,9.7,9.9,415473.0
SOUTHEASTB,2025-04-07,10.0,10.0,9.8,9.9,182050.0
SOUTHEASTB,2025-04-06,9.8,10.0,9.7,9.9,801424.0
SOUTHEASTB,2025-03-27,9.9,9.9,9.7,9.8,890858.0
SOUTHEASTB,2025-03-25,9.8,10.0,9.7,9.9,1050813.0
SOUTHEASTB,2025-03-24,9.9,9.9,9.7,9.8,432023.0
SOUTHEASTB,2025-03-23,9.8,10.0,9.7,9.8,421912.0
SOUTHEASTB,2025-03-20,10.0,10.2,9.8,9.8,956617.0
SOUTHEASTB,2025-03-19,10.2,10.2,9.9,9.9,477031.0
SOUTHEASTB,2025-03-18,10.3,10.3,10.0,10.1,853825.0
SOUTHEASTB,2025-03-17,9.3,10.5,9.3,10.2,3988108.0
SOUTHEASTB,2025-03-16,9.3,9.6,9.2,9.6,646198.0
SOUTHEASTB,2025-03-13,9.3,9.8,9.0,9.6,664978.0
SOUTHEASTB,2025-03-12,9.1,9.7,9.1,9.6,2297020.0
SOUTHEASTB,2025-03-11,9.0,9.2,9.0,9.1,257053.0
SOUTHEASTB,2025-03-10,9.3,9.3,9.0,9.0,344412.0
SOUTHEASTB,2025-03-09,9.0,9.5,8.9,9.4,2123058.0
SOUTHEASTB,2025-03-06,8.9,9.0,8.9,9.0,171738.0
SOUTHEASTB,2025-03-05,9.0,9.0,8.9,9.0,685001.0
SOUTHEASTB,2025-03-04,8.9,9.0,8.8,9.0,2274209.0
SOUTHEASTB,2025-03-03,8.8,8.9,8.8,8.9,321132.0
SOUTHEASTB,2025-03-02,8.9,8.9,8.8,8.8,198696.0
SOUTHEASTB,2025-02-27,8.8,8.8,8.7,8.7,357522.0
SOUTHEASTB,2025-02-26,9.0,9.0,8.7,8.8,844983.0
SOUTHEASTB,2025-02-25,8.8,9.0,8.7,8.9,892702.0
SOUTHEASTB,2025-02-24,8.7,8.8,8.7,8.7,155809.0
SOUTHEASTB,2025-02-23,8.8,8.9,8.7,8.7,173250.0
SOUTHEASTB,2025-02-20,8.8,8.8,8.7,8.7,82863.0
SOUTHEASTB,2025-02-19,8.8,8.8,8.7,8.8,98473.0
SOUTHEASTB,2025-02-18,8.8,8.8,8.7,8.7,216088.0
SOUTHEASTB,2025-02-17,8.8,8.9,8.7,8.8,198936.0
SOUTHEASTB,2025-02-16,8.8,8.9,8.8,8.8,176379.0
SOUTHEASTB,2025-02-13,8.8,8.9,8.7,8.8,443421.0
SOUTHEASTB,2025-02-12,8.8,8.9,8.8,8.8,235151.0
SOUTHEASTB,2025-02-11,8.7,8.9,8.7,8.9,109943.0
SOUTHEASTB,2025-02-10,8.9,8.9,8.7,8.8,487851.0
SOUTHEASTB,2025-02-09,8.9,8.9,8.8,8.8,315870.0
SOUTHEASTB,2025-02-06,8.9,9.0,8.8,8.8,142806.0
SOUTHEASTB,2025-02-05,8.9,9.0,8.8,9.0,825888.0
SOUTHEASTB,2025-02-04,8.8,9.1,8.8,8.9,1220977.0
SOUTHEASTB,2025-02-03,8.8,8.9,8.7,8.8,299254.0
SOUTHEASTB,2025-02-02,8.9,8.9,8.7,8.8,248364.0
SOUTHEASTB,2025-01-30,8.8,8.9,8.7,8.8,443011.0
SOUTHEASTB,2025-01-29,8.7,8.8,8.7,8.7,32341.0
SOUTHEASTB,2025-01-28,8.7,8.8,8.7,8.8,305657.0
SOUTHEASTB,2025-01-27,8.8,8.8,8.7,8.7,406042.0
SOUTHEASTB,2025-01-26,8.8,8.8,8.7,8.7,122947.0
SOUTHEASTB,2025-01-23,8.7,8.8,8.7,8.7,97886.0
SOUTHEASTB,2025-01-22,8.8,8.8,8.7,8.7,280641.0
SOUTHEASTB,2025-01-21,8.8,8.9,8.8,8.9,208973.0
SOUTHEASTB,2025-01-20,8.8,8.8,8.7,8.8,207456.0
SOUTHEASTB,2025-01-19,8.8,8.9,8.7,8.8,349446.0
SOUTHEASTB,2025-01-16,8.9,8.9,8.7,8.8,547342.0
SOUTHEASTB,2025-01-15,8.9,9.0,8.9,8.9,163728.0
SOUTHEASTB,2025-01-14,8.9,9.1,8.9,8.9,443261.0
SOUTHEASTB,2025-01-13,9.0,9.0,8.9,9.0,787484.0
SOUTHEASTB,2025-01-12,9.0,9.1,8.9,8.9,350415.0
