Trading_Code,Date,Open,High,Low,Close,Volume
SPCL,2025-04-08,31.8,33.6,31.8,33.4,794534.0
SPCL,2025-04-07,30.8,32.3,30.5,31.9,445515.0
SPCL,2025-04-06,30.1,30.7,30.1,30.3,169311.0
SPCL,2025-03-27,30.8,31.2,30.7,30.8,122779.0
SPCL,2025-03-25,31.3,31.4,30.6,30.8,82634.0
SPCL,2025-03-24,31.2,31.2,30.5,31.0,382967.0
SPCL,2025-03-23,32.0,32.0,31.2,31.2,79633.0
SPCL,2025-03-20,31.8,32.7,31.7,31.9,291258.0
SPCL,2025-03-19,32.7,32.7,32.1,32.2,182403.0
SPCL,2025-03-18,32.2,32.8,32.2,32.4,218713.0
SPCL,2025-03-17,32.6,33.1,32.0,32.2,171818.0
SPCL,2025-03-16,33.0,33.2,32.0,32.6,194567.0
SPCL,2025-03-13,33.3,33.3,32.6,32.8,299013.0
SPCL,2025-03-12,33.4,33.8,33.1,33.2,212494.0
SPCL,2025-03-11,32.5,33.4,32.3,33.2,169332.0
SPCL,2025-03-10,32.9,32.9,32.1,32.3,159829.0
SPCL,2025-03-09,33.5,33.5,32.5,32.7,109013.0
SPCL,2025-03-06,33.4,33.6,32.8,33.0,144610.0
SPCL,2025-03-05,33.2,33.7,32.9,33.0,139340.0
SPCL,2025-03-04,33.9,33.9,33.2,33.3,166454.0
SPCL,2025-03-03,34.3,34.3,33.7,33.8,211585.0
SPCL,2025-03-02,34.5,34.7,34.0,34.2,284907.0
SPCL,2025-02-27,34.0,34.8,34.0,34.5,287618.0
SPCL,2025-02-26,35.3,35.4,34.0,34.5,381840.0
SPCL,2025-02-25,34.3,35.3,34.1,35.1,920165.0
SPCL,2025-02-24,34.6,34.6,33.8,34.0,408936.0
SPCL,2025-02-23,33.9,34.5,33.5,34.3,315403.0
SPCL,2025-02-20,33.5,34.1,33.2,33.4,227346.0
SPCL,2025-02-19,34.1,34.5,33.6,33.7,252901.0
SPCL,2025-02-18,34.1,34.4,33.6,33.8,294572.0
SPCL,2025-02-17,34.4,34.5,33.9,34.2,455229.0
SPCL,2025-02-16,33.8,34.5,33.4,34.1,388222.0
SPCL,2025-02-13,34.2,34.6,33.6,33.8,315705.0
SPCL,2025-02-12,34.7,35.6,34.2,34.4,663160.0
SPCL,2025-02-11,33.7,35.7,33.5,34.5,1230040.0
SPCL,2025-02-10,32.9,33.6,32.0,33.3,358436.0
SPCL,2025-02-09,34.0,34.3,32.4,32.7,430775.0
SPCL,2025-02-06,32.0,33.9,32.0,33.7,952304.0
SPCL,2025-02-05,31.7,32.0,31.5,31.9,330091.0
SPCL,2025-02-04,32.0,32.1,31.2,31.3,231109.0
SPCL,2025-02-03,31.8,32.6,31.6,31.7,255111.0
SPCL,2025-02-02,31.7,32.3,31.2,31.5,206263.0
SPCL,2025-01-30,32.7,32.8,31.5,31.7,384774.0
SPCL,2025-01-29,33.8,33.8,32.4,32.7,243430.0
SPCL,2025-01-28,32.8,34.5,32.8,33.4,868102.0
SPCL,2025-01-27,33.9,33.9,32.3,32.8,449816.0
SPCL,2025-01-26,32.3,34.9,32.3,33.8,1189287.0
SPCL,2025-01-23,30.6,32.1,30.5,31.8,605032.0
SPCL,2025-01-22,31.3,31.3,30.1,30.4,202425.0
SPCL,2025-01-21,32.0,32.1,30.6,30.9,294879.0
SPCL,2025-01-20,29.5,31.8,29.5,31.4,376211.0
SPCL,2025-01-19,31.9,32.0,29.3,29.4,187999.0
SPCL,2025-01-16,30.8,31.0,30.1,30.2,94973.0
SPCL,2025-01-15,30.8,31.2,30.3,30.8,124494.0
SPCL,2025-01-14,30.5,31.5,30.3,30.5,157028.0
SPCL,2025-01-13,30.8,30.8,30.1,30.2,62234.0
SPCL,2025-01-12,31.0,31.7,30.0,30.2,275991.0
SPCL,2025-01-09,31.5,31.9,31.0,31.2,80164.0
SPCL,2025-01-08,31.6,32.2,31.4,31.5,108169.0
SPCL,2025-01-07,32.3,32.3,31.7,31.8,113038.0
SPCL,2025-01-06,31.8,32.2,31.5,31.8,159855.0
SPCL,2025-01-05,32.5,32.8,31.1,31.6,83254.0
SPCL,2025-01-02,32.9,33.2,32.6,32.7,61846.0
SPCL,2025-01-01,33.5,33.5,32.7,32.9,46386.0
SPCL,2024-12-30,33.2,33.8,33.0,33.1,113906.0
SPCL,2024-12-29,33.1,33.9,33.1,33.4,114075.0
SPCL,2024-12-26,33.3,33.3,32.7,33.0,86540.0
SPCL,2024-12-24,33.1,33.3,32.9,32.9,72192.0
