Trading_Code,Date,Open,High,Low,Close,Volume
SPPCL,2016-12-07,40.1,40.6,40.1,40.5,103069.0
SPPCL,2016-12-06,41.0,41.7,40.7,41.6,196014.0
SPPCL,2016-12-05,41.5,41.8,40.2,41.0,109253.0
SPPCL,2016-12-04,43.7,43.7,43.0,43.1,309938.0
SPPCL,2016-12-01,58.5,59.7,58.1,59.2,751216.0
SPPCL,2016-11-08,39.0,39.5,39.0,39.3,117981.0
SPPCL,2016-11-07,40.3,40.5,40.0,40.1,66914.0
SPPCL,2016-11-05,41.8,42.5,40.1,41.5,274522.0
SPPCL,2016-11-04,44.1,44.1,42.9,43.2,439824.0
SPPCL,2016-11-02,56.0,56.9,56.0,56.5,199787.0
SPPCL,2016-11-01,60.7,60.8,58.0,58.6,568657.0
SPPCL,2016-10-08,39.4,39.6,39.0,39.2,76631.0
SPPCL,2016-10-07,40.3,40.3,39.5,40.0,55189.0
SPPCL,2016-10-05,40.7,40.8,40.0,40.4,166426.0
SPPCL,2016-10-04,43.2,44.5,43.2,44.0,626047.0
SPPCL,2016-10-03,56.4,57.8,56.2,57.2,550928.0
SPPCL,2016-10-02,56.8,57.0,55.9,56.1,215030.0
SPPCL,2016-10-01,59.5,61.1,59.3,60.2,914585.0
SPPCL,2016-09-08,38.5,39.2,38.5,39.1,96282.0
SPPCL,2016-09-06,41.0,41.8,40.6,40.7,250662.0
SPPCL,2016-09-05,40.9,40.9,40.1,40.4,172508.0
SPPCL,2016-09-03,56.0,56.2,55.7,55.9,124352.0
SPPCL,2016-09-02,56.2,57.0,56.1,56.9,137526.0
SPPCL,2016-08-22,39.8,40.0,39.4,39.7,672068.0
SPPCL,2016-08-21,38.8,39.7,38.6,39.5,431518.0
SPPCL,2016-08-18,38.3,39.4,38.1,39.3,532068.0
SPPCL,2016-08-17,39.3,39.3,38.1,38.2,1400569.0
SPPCL,2016-08-16,39.3,39.5,39.3,39.3,116328.0
SPPCL,2016-08-14,39.6,39.8,39.3,39.5,122411.0
SPPCL,2016-08-08,39.2,39.2,38.5,38.6,116592.0
SPPCL,2016-08-06,40.7,41.3,40.4,40.9,153841.0
SPPCL,2016-08-05,41.5,41.7,40.9,41.0,110926.0
SPPCL,2016-08-03,56.0,56.2,55.3,55.7,103364.0
SPPCL,2016-08-02,57.0,57.3,56.0,56.5,172777.0
SPPCL,2016-07-31,39.0,39.2,38.2,38.3,239928.0
SPPCL,2016-07-28,39.4,39.5,39.0,39.2,101726.0
SPPCL,2016-07-27,39.3,39.7,39.2,39.2,45717.0
SPPCL,2016-07-26,39.1,39.5,39.1,39.3,51595.0
SPPCL,2016-07-25,39.0,39.3,39.0,39.1,75265.0
SPPCL,2016-07-24,39.2,39.4,39.0,39.1,84595.0
SPPCL,2016-07-21,39.8,39.8,39.2,39.4,78612.0
SPPCL,2016-07-20,39.9,39.9,39.2,39.2,137002.0
SPPCL,2016-07-19,39.7,40.0,39.5,39.8,205889.0
SPPCL,2016-07-18,39.9,40.1,39.5,39.8,364251.0
SPPCL,2016-07-17,40.4,40.5,39.8,39.9,259590.0
SPPCL,2016-07-16,40.5,40.5,40.1,40.4,143917.0
