Trading_Code,Date,Open,High,Low,Close,Volume
SQURPHARMA,2025-04-08,217.8,218.1,216.0,216.2,412288.0
SQURPHARMA,2025-04-07,220.0,220.0,217.0,217.8,551507.0
SQURPHARMA,2025-04-06,219.7,220.0,219.0,220.0,517367.0
SQURPHARMA,2025-03-27,220.0,220.3,219.5,220.1,280271.0
SQURPHARMA,2025-03-25,220.1,220.4,219.5,219.7,393351.0
SQURPHARMA,2025-03-24,220.0,220.4,219.5,220.0,560710.0
SQURPHARMA,2025-03-23,220.7,220.7,219.5,219.6,507092.0
SQURPHARMA,2025-03-20,220.1,220.4,219.9,220.1,423813.0
SQURPHARMA,2025-03-19,221.0,221.0,220.1,220.4,486148.0
SQURPHARMA,2025-03-18,220.0,221.0,219.9,220.6,670648.0
SQURPHARMA,2025-03-17,220.5,221.0,219.8,219.9,975496.0
SQURPHARMA,2025-03-16,220.0,221.8,220.0,220.4,633571.0
SQURPHARMA,2025-03-13,218.9,220.5,218.9,219.9,445810.0
SQURPHARMA,2025-03-12,217.5,219.3,217.5,218.9,197383.0
SQURPHARMA,2025-03-11,217.5,218.1,217.5,217.7,448875.0
SQURPHARMA,2025-03-10,217.2,218.0,217.0,217.5,262536.0
SQURPHARMA,2025-03-09,217.2,217.7,217.2,217.5,162849.0
SQURPHARMA,2025-03-06,217.0,217.8,217.0,217.5,138188.0
SQURPHARMA,2025-03-05,217.6,217.6,216.9,217.0,319861.0
SQURPHARMA,2025-03-04,217.5,217.5,216.0,216.9,197905.0
SQURPHARMA,2025-03-03,216.8,217.5,216.6,217.1,165425.0
SQURPHARMA,2025-03-02,216.6,216.9,216.0,216.3,185134.0
SQURPHARMA,2025-02-27,216.4,216.8,216.1,216.5,125987.0
SQURPHARMA,2025-02-26,216.0,216.6,215.9,216.2,214003.0
SQURPHARMA,2025-02-25,215.8,216.1,215.7,216.0,257129.0
SQURPHARMA,2025-02-24,216.6,216.6,215.6,215.8,572282.0
SQURPHARMA,2025-02-23,215.9,216.5,215.7,216.1,157375.0
SQURPHARMA,2025-02-20,214.5,216.4,210.0,215.9,284863.0
SQURPHARMA,2025-02-19,215.6,217.0,215.3,216.0,298992.0
SQURPHARMA,2025-02-18,216.4,216.4,214.6,214.9,451116.0
SQURPHARMA,2025-02-17,215.8,216.8,215.1,215.4,212731.0
SQURPHARMA,2025-02-16,215.0,216.0,215.0,215.8,123955.0
SQURPHARMA,2025-02-13,215.0,216.5,215.0,215.2,167611.0
SQURPHARMA,2025-02-12,215.0,215.8,214.5,215.5,95576.0
SQURPHARMA,2025-02-11,216.2,216.2,214.8,215.0,259406.0
SQURPHARMA,2025-02-10,216.5,216.5,215.3,215.5,241366.0
SQURPHARMA,2025-02-09,217.0,217.0,215.8,216.2,58664.0
SQURPHARMA,2025-02-06,216.8,216.8,215.8,216.0,181754.0
SQURPHARMA,2025-02-05,217.9,217.9,216.3,216.7,248497.0
SQURPHARMA,2025-02-04,217.0,217.7,216.3,217.4,144080.0
SQURPHARMA,2025-02-03,217.2,217.9,216.9,217.3,246838.0
SQURPHARMA,2025-02-02,217.5,217.8,216.9,217.3,133171.0
SQURPHARMA,2025-01-30,217.8,217.9,216.3,216.7,172169.0
SQURPHARMA,2025-01-29,216.4,218.2,216.1,217.5,172202.0
SQURPHARMA,2025-01-28,216.0,217.8,215.7,217.1,179664.0
SQURPHARMA,2025-01-27,216.0,217.1,215.1,216.4,210755.0
SQURPHARMA,2025-01-26,217.0,217.8,214.9,216.2,119468.0
SQURPHARMA,2025-01-23,216.0,217.8,215.8,217.2,76766.0
SQURPHARMA,2025-01-22,217.5,218.1,215.9,216.7,414203.0
SQURPHARMA,2025-01-21,218.0,218.0,216.6,217.5,215011.0
SQURPHARMA,2025-01-20,215.3,218.2,215.1,217.4,276690.0
SQURPHARMA,2025-01-19,216.5,216.9,215.0,215.7,125266.0
SQURPHARMA,2025-01-16,214.9,216.8,214.4,215.3,158214.0
SQURPHARMA,2025-01-15,215.5,215.5,214.6,214.9,303152.0
SQURPHARMA,2025-01-14,218.4,218.4,215.3,215.6,180108.0
SQURPHARMA,2025-01-13,215.0,218.5,214.0,217.7,350051.0
SQURPHARMA,2025-01-12,216.7,216.7,214.9,215.5,203984.0
SQURPHARMA,2025-01-09,217.2,217.2,216.0,216.6,195666.0
SQURPHARMA,2025-01-08,217.5,217.5,216.4,216.8,291636.0
SQURPHARMA,2025-01-07,216.2,217.3,216.0,217.0,324672.0
SQURPHARMA,2025-01-06,216.3,216.6,216.0,216.3,359453.0
SQURPHARMA,2025-01-05,219.0,219.0,215.6,216.2,103692.0
SQURPHARMA,2025-01-02,217.0,217.0,216.0,216.6,85176.0
SQURPHARMA,2025-01-01,217.9,218.4,216.7,217.0,125035.0
SQURPHARMA,2024-12-30,216.6,219.5,216.5,217.7,169090.0
SQURPHARMA,2024-12-29,216.2,217.8,215.7,216.4,94135.0
SQURPHARMA,2024-12-26,218.0,218.0,215.8,216.6,184481.0
SQURPHARMA,2024-12-24,218.0,218.9,217.3,217.9,77306.0
SQURPHARMA,2024-12-23,221.0,221.0,217.0,218.0,251766.0
SQURPHARMA,2024-12-22,221.0,222.5,220.7,221.0,236124.0
SQURPHARMA,2024-12-19,222.9,223.1,220.6,222.8,980139.0
SQURPHARMA,2024-12-18,224.0,224.0,220.3,222.6,698463.0
SQURPHARMA,2024-12-17,221.1,225.0,220.1,223.2,701986.0
SQURPHARMA,2024-12-15,215.5,223.7,214.1,222.9,1582819.0
SQURPHARMA,2024-12-12,214.7,215.8,211.0,212.4,172058.0
SQURPHARMA,2024-12-11,217.0,217.2,214.0,214.7,236225.0
SQURPHARMA,2024-12-10,216.8,217.3,215.4,215.8,198751.0
SQURPHARMA,2024-12-09,217.0,218.2,216.3,216.7,162292.0
SQURPHARMA,2024-12-08,213.8,218.9,210.8,217.9,367484.0
