Trading_Code,Date,Open,High,Low,Close,Volume
STANDBANKL,2025-04-08,6.0,6.0,5.9,5.9,147724.0
STANDBANKL,2025-04-07,5.9,6.0,5.9,6.0,162960.0
STANDBANKL,2025-04-06,5.9,6.0,5.9,5.9,92844.0
STANDBANKL,2025-03-27,6.0,6.0,5.9,6.0,170565.0
STANDBANKL,2025-03-25,6.0,6.0,5.9,6.0,128860.0
STANDBANKL,2025-03-24,5.9,6.0,5.9,6.0,123210.0
STANDBANKL,2025-03-23,6.0,6.0,5.9,5.9,114525.0
STANDBANKL,2025-03-20,6.0,6.0,5.9,5.9,55346.0
STANDBANKL,2025-03-19,6.1,6.1,5.9,6.0,199472.0
STANDBANKL,2025-03-18,5.9,6.1,5.9,5.9,157217.0
STANDBANKL,2025-03-17,6.0,6.0,5.9,6.0,129591.0
STANDBANKL,2025-03-16,6.0,6.0,5.9,5.9,237646.0
STANDBANKL,2025-03-13,6.1,6.1,5.9,5.9,123224.0
STANDBANKL,2025-03-12,6.0,6.1,5.9,6.0,183667.0
STANDBANKL,2025-03-11,6.0,6.1,5.9,5.9,293935.0
STANDBANKL,2025-03-10,6.0,6.0,5.9,6.0,150518.0
STANDBANKL,2025-03-09,6.0,6.1,6.0,6.0,150234.0
STANDBANKL,2025-03-06,6.1,6.2,6.0,6.0,188214.0
STANDBANKL,2025-03-05,6.0,6.1,6.0,6.0,3932493.0
STANDBANKL,2025-03-04,6.0,6.1,5.9,6.0,990449.0
STANDBANKL,2025-03-03,6.1,6.1,6.0,6.0,233941.0
STANDBANKL,2025-03-02,6.0,6.1,6.0,6.0,461402.0
STANDBANKL,2025-02-27,6.1,6.1,6.0,6.0,746225.0
STANDBANKL,2025-02-26,6.2,6.2,6.0,6.1,2267687.0
STANDBANKL,2025-02-25,6.0,6.4,5.9,6.2,3868522.0
STANDBANKL,2025-02-24,6.0,6.0,5.9,6.0,537436.0
STANDBANKL,2025-02-23,6.0,6.0,5.9,5.9,461708.0
STANDBANKL,2025-02-20,6.0,6.0,5.9,6.0,323994.0
STANDBANKL,2025-02-19,6.0,6.0,5.9,5.9,426648.0
STANDBANKL,2025-02-18,6.0,6.0,5.9,6.0,418000.0
STANDBANKL,2025-02-17,6.0,6.0,5.9,5.9,243721.0
STANDBANKL,2025-02-16,5.9,6.0,5.9,5.9,57075.0
STANDBANKL,2025-02-13,6.0,6.0,5.9,6.0,195629.0
STANDBANKL,2025-02-12,5.9,6.0,5.9,5.9,53301.0
STANDBANKL,2025-02-11,5.9,6.0,5.9,5.9,121858.0
STANDBANKL,2025-02-10,6.0,6.0,5.8,5.9,964265.0
STANDBANKL,2025-02-09,6.0,6.0,5.9,5.9,765061.0
STANDBANKL,2025-02-06,6.0,6.0,5.9,5.9,586136.0
STANDBANKL,2025-02-05,6.0,6.1,5.9,6.0,969161.0
STANDBANKL,2025-02-04,6.0,6.0,5.9,6.0,162650.0
STANDBANKL,2025-02-03,6.0,6.1,6.0,6.0,465900.0
STANDBANKL,2025-02-02,6.0,6.0,5.9,6.0,33749.0
STANDBANKL,2025-01-30,5.9,6.0,5.9,6.0,530191.0
STANDBANKL,2025-01-29,6.0,6.1,5.9,6.0,89473.0
