Trading_Code,Date,Open,High,Low,Close,Volume
STYLECRAFT,2025-04-08,57.4,58.0,55.8,56.4,60183.0
STYLECRAFT,2025-04-07,59.7,60.9,55.2,56.2,144294.0
STYLECRAFT,2025-04-06,60.0,61.8,57.2,59.7,172088.0
STYLECRAFT,2025-03-27,63.0,64.3,62.7,63.1,75236.0
STYLECRAFT,2025-03-25,62.9,64.9,62.0,63.4,116134.0
STYLECRAFT,2025-03-24,61.9,62.8,61.3,62.1,78589.0
STYLECRAFT,2025-03-23,61.3,62.9,60.7,61.2,76920.0
STYLECRAFT,2025-03-20,61.7,63.2,60.5,62.1,76034.0
STYLECRAFT,2025-03-19,64.3,65.4,61.2,61.6,84364.0
STYLECRAFT,2025-03-18,61.3,65.8,61.3,63.7,287274.0
STYLECRAFT,2025-03-17,61.9,62.5,60.8,61.5,85124.0
STYLECRAFT,2025-03-16,61.6,63.5,60.8,62.1,155892.0
STYLECRAFT,2025-03-13,62.6,63.0,59.9,60.4,111562.0
STYLECRAFT,2025-03-12,63.3,64.0,61.6,61.8,164822.0
STYLECRAFT,2025-03-11,63.7,64.6,62.9,63.3,152377.0
STYLECRAFT,2025-03-10,63.6,64.0,61.5,63.0,157905.0
STYLECRAFT,2025-03-09,64.0,65.7,61.2,61.8,172511.0
STYLECRAFT,2025-03-06,66.5,67.6,62.7,64.0,212971.0
STYLECRAFT,2025-03-05,65.5,69.0,63.8,65.6,432149.0
STYLECRAFT,2025-03-04,63.3,65.8,62.5,64.0,184528.0
STYLECRAFT,2025-03-03,66.7,66.7,62.7,63.2,315732.0
STYLECRAFT,2025-03-02,65.0,67.9,64.6,66.6,615814.0
STYLECRAFT,2025-02-27,56.2,61.8,56.2,61.8,375523.0
STYLECRAFT,2025-02-26,55.5,56.5,54.9,56.2,105768.0
STYLECRAFT,2025-02-25,54.2,55.2,54.2,54.9,56354.0
STYLECRAFT,2025-02-24,54.0,54.8,53.6,54.3,30634.0
STYLECRAFT,2025-02-23,54.2,54.4,53.8,54.0,35196.0
STYLECRAFT,2025-02-20,54.6,54.6,53.8,54.1,20972.0
STYLECRAFT,2025-02-19,54.6,54.8,53.7,53.9,30563.0
STYLECRAFT,2025-02-18,55.3,55.3,54.3,54.5,34332.0
STYLECRAFT,2025-02-17,54.1,55.6,54.1,54.5,48193.0
STYLECRAFT,2025-02-16,54.1,54.9,53.9,54.1,41887.0
STYLECRAFT,2025-02-13,54.8,55.3,54.0,54.1,38108.0
STYLECRAFT,2025-02-12,55.0,55.3,54.0,54.2,32955.0
STYLECRAFT,2025-02-11,56.3,56.3,54.5,54.8,56420.0
STYLECRAFT,2025-02-10,55.7,55.7,54.6,54.9,41573.0
STYLECRAFT,2025-02-09,55.2,55.9,54.5,54.8,31330.0
STYLECRAFT,2025-02-06,55.7,56.1,54.7,54.9,78853.0
STYLECRAFT,2025-02-05,56.9,58.0,55.1,55.3,110187.0
STYLECRAFT,2025-02-04,55.4,57.1,55.4,56.7,88625.0
STYLECRAFT,2025-02-03,54.5,56.3,54.5,55.4,83367.0
STYLECRAFT,2025-02-02,55.9,55.9,54.6,54.9,43518.0
STYLECRAFT,2025-01-30,57.8,58.5,55.1,55.2,150629.0
STYLECRAFT,2025-01-29,58.3,58.3,56.0,56.7,61661.0
STYLECRAFT,2025-01-28,57.9,57.9,55.9,56.1,73765.0
STYLECRAFT,2025-01-27,57.5,59.4,57.3,57.5,133791.0
STYLECRAFT,2025-01-26,55.3,59.9,55.2,57.1,148676.0
STYLECRAFT,2025-01-23,56.3,56.3,54.6,55.8,67278.0
STYLECRAFT,2025-01-22,56.3,56.5,55.0,55.4,57417.0
STYLECRAFT,2025-01-21,54.0,57.0,53.6,56.3,124530.0
STYLECRAFT,2025-01-20,53.1,53.8,52.6,53.3,41353.0
STYLECRAFT,2025-01-19,51.5,54.3,51.5,52.7,15446.0
STYLECRAFT,2025-01-16,53.2,54.2,52.5,53.8,27998.0
STYLECRAFT,2025-01-15,54.8,54.9,52.9,53.1,40029.0
STYLECRAFT,2025-01-14,54.1,55.0,53.5,54.7,72916.0
STYLECRAFT,2025-01-13,51.6,53.8,51.3,53.4,78537.0
STYLECRAFT,2025-01-12,53.1,53.4,51.0,51.3,32924.0
STYLECRAFT,2025-01-09,53.0,53.1,52.5,52.9,21280.0
STYLECRAFT,2025-01-08,53.0,53.0,51.7,51.8,42665.0
STYLECRAFT,2025-01-07,55.0,55.0,52.8,53.0,36787.0
STYLECRAFT,2025-01-06,52.9,54.4,52.9,53.4,31679.0
STYLECRAFT,2025-01-05,54.3,54.3,52.2,52.9,64076.0
STYLECRAFT,2025-01-02,56.7,56.7,53.6,54.1,76616.0
STYLECRAFT,2025-01-01,56.5,57.0,55.5,55.8,60803.0
STYLECRAFT,2024-12-30,55.1,59.0,55.0,56.4,199075.0
STYLECRAFT,2024-12-29,55.0,55.0,53.8,54.7,44943.0
STYLECRAFT,2024-12-26,55.0,55.9,53.6,54.3,51489.0
STYLECRAFT,2024-12-24,56.7,57.0,54.6,55.0,31194.0
STYLECRAFT,2024-12-23,56.1,57.9,55.7,56.2,48730.0
STYLECRAFT,2024-12-22,54.0,56.3,53.8,55.9,95898.0
STYLECRAFT,2024-12-19,53.7,54.5,53.6,54.2,51536.0
STYLECRAFT,2024-12-18,53.5,54.5,53.4,54.1,59891.0
STYLECRAFT,2024-12-17,54.8,56.0,53.4,53.8,89244.0
STYLECRAFT,2024-12-15,55.3,55.3,53.4,53.9,52868.0
STYLECRAFT,2024-12-12,54.9,56.4,53.8,54.0,72054.0
