Trading_Code,Date,Open,High,Low,Close,Volume
SUNLIFEINS,2025-04-08,71.9,72.7,71.4,71.7,599900.0
SUNLIFEINS,2025-04-07,70.0,72.5,70.0,71.4,368328.0
SUNLIFEINS,2025-04-06,70.6,71.7,69.9,70.8,521056.0
SUNLIFEINS,2025-03-27,70.1,71.4,70.0,70.7,780080.0
SUNLIFEINS,2025-03-25,69.5,70.8,68.9,70.3,1059569.0
SUNLIFEINS,2025-03-24,66.0,69.4,65.5,68.6,1683064.0
SUNLIFEINS,2025-03-23,65.5,67.0,64.8,65.3,214845.0
SUNLIFEINS,2025-03-20,66.0,66.1,65.4,65.7,167097.0
SUNLIFEINS,2025-03-19,66.6,66.6,65.4,65.7,252096.0
SUNLIFEINS,2025-03-18,66.7,67.5,66.1,66.5,80724.0
SUNLIFEINS,2025-03-17,68.8,68.8,65.9,66.2,266075.0
SUNLIFEINS,2025-03-16,69.6,69.6,67.8,68.3,207547.0
SUNLIFEINS,2025-03-13,69.5,69.5,68.5,69.3,219300.0
SUNLIFEINS,2025-03-12,70.0,70.0,68.4,69.2,392395.0
SUNLIFEINS,2025-03-11,68.0,70.2,68.0,69.7,696481.0
SUNLIFEINS,2025-03-10,67.3,68.0,66.0,67.5,168009.0
SUNLIFEINS,2025-03-09,66.3,68.4,66.2,66.4,186981.0
SUNLIFEINS,2025-03-06,67.2,68.5,67.0,67.3,201469.0
SUNLIFEINS,2025-03-05,66.3,68.5,66.0,67.3,278374.0
SUNLIFEINS,2025-03-04,67.7,67.7,66.0,66.4,197403.0
SUNLIFEINS,2025-03-03,69.7,69.7,67.1,67.5,238847.0
SUNLIFEINS,2025-03-02,68.9,69.5,67.5,68.9,367993.0
SUNLIFEINS,2025-02-27,70.4,70.4,67.6,68.2,430366.0
SUNLIFEINS,2025-02-26,70.9,71.3,68.3,70.1,1119998.0
SUNLIFEINS,2025-02-25,72.3,72.4,70.4,70.5,436079.0
SUNLIFEINS,2025-02-24,74.4,74.4,70.7,71.2,749330.0
SUNLIFEINS,2025-02-23,76.0,76.4,72.0,73.7,1423030.0
SUNLIFEINS,2025-02-20,73.9,76.5,72.9,75.4,1993964.0
SUNLIFEINS,2025-02-19,74.7,75.2,73.0,73.6,1132532.0
SUNLIFEINS,2025-02-18,69.7,75.2,69.7,74.5,2645662.0
SUNLIFEINS,2025-02-17,69.3,69.6,68.0,68.4,351894.0
SUNLIFEINS,2025-02-16,69.0,69.5,68.5,68.9,293043.0
SUNLIFEINS,2025-02-13,69.8,69.8,68.3,69.0,335441.0
SUNLIFEINS,2025-02-12,68.9,69.7,68.0,69.3,501886.0
SUNLIFEINS,2025-02-11,67.6,68.6,67.0,68.4,584960.0
SUNLIFEINS,2025-02-10,66.0,67.4,65.4,67.1,261573.0
SUNLIFEINS,2025-02-09,66.3,66.3,65.3,65.4,183772.0
SUNLIFEINS,2025-02-06,66.6,66.6,64.7,65.2,157766.0
SUNLIFEINS,2025-02-05,67.7,67.7,65.5,65.9,334340.0
SUNLIFEINS,2025-02-04,67.5,67.8,66.7,67.4,360143.0
SUNLIFEINS,2025-02-03,67.1,67.7,66.7,67.4,306385.0
SUNLIFEINS,2025-02-02,64.9,67.1,64.9,67.0,199256.0
SUNLIFEINS,2025-01-30,65.8,65.8,63.8,65.1,617913.0
SUNLIFEINS,2025-01-29,67.7,67.7,64.1,65.4,479885.0
SUNLIFEINS,2025-01-28,66.9,67.6,66.4,67.1,397072.0
SUNLIFEINS,2025-01-27,66.9,67.4,65.9,66.4,228349.0
SUNLIFEINS,2025-01-26,68.3,68.3,65.1,66.2,637634.0
SUNLIFEINS,2025-01-23,70.1,71.0,67.8,68.3,1129065.0
SUNLIFEINS,2025-01-22,68.4,70.9,68.1,70.1,929069.0
SUNLIFEINS,2025-01-21,68.2,69.1,68.0,68.6,965310.0
SUNLIFEINS,2025-01-20,69.0,69.3,68.0,68.4,475352.0
SUNLIFEINS,2025-01-19,68.8,69.2,68.0,68.8,667782.0
SUNLIFEINS,2025-01-16,68.9,69.8,68.3,68.5,263901.0
SUNLIFEINS,2025-01-15,69.2,69.8,68.5,69.2,653200.0
SUNLIFEINS,2025-01-14,70.2,70.7,68.9,69.1,416889.0
SUNLIFEINS,2025-01-13,71.6,71.7,69.7,70.2,629766.0
SUNLIFEINS,2025-01-12,70.0,72.3,69.3,71.5,1088946.0
SUNLIFEINS,2025-01-09,71.4,71.4,69.8,70.1,582894.0
SUNLIFEINS,2025-01-08,69.5,71.3,69.0,70.9,643543.0
SUNLIFEINS,2025-01-07,71.0,71.8,69.2,69.6,564983.0
SUNLIFEINS,2025-01-06,68.2,73.5,68.2,71.0,1930374.0
SUNLIFEINS,2025-01-05,68.6,69.4,67.7,68.2,855735.0
SUNLIFEINS,2025-01-02,68.3,69.0,67.2,68.4,427044.0
SUNLIFEINS,2025-01-01,69.9,69.9,67.3,67.7,568513.0
SUNLIFEINS,2024-12-30,68.0,70.3,67.3,69.8,516748.0
SUNLIFEINS,2024-12-29,71.3,71.5,67.5,68.0,1278163.0
SUNLIFEINS,2024-12-26,68.8,71.2,68.5,70.9,616974.0
SUNLIFEINS,2024-12-24,68.0,69.3,67.5,68.4,786305.0
SUNLIFEINS,2024-12-23,66.0,68.0,66.0,67.4,605781.0
SUNLIFEINS,2024-12-22,67.0,69.0,67.0,67.4,670032.0
SUNLIFEINS,2024-12-19,65.4,68.2,65.3,66.5,736422.0
SUNLIFEINS,2024-12-18,65.2,66.9,64.7,65.4,717627.0
SUNLIFEINS,2024-12-17,64.7,66.2,64.7,65.3,660205.0
SUNLIFEINS,2024-12-15,63.0,65.5,63.0,64.7,761162.0
SUNLIFEINS,2024-12-12,62.8,63.0,61.8,62.6,261175.0
SUNLIFEINS,2024-12-11,62.6,63.3,61.8,62.1,357741.0
SUNLIFEINS,2024-12-10,63.9,63.9,62.5,62.6,260513.0
SUNLIFEINS,2024-12-09,63.2,64.2,62.7,63.0,307495.0
SUNLIFEINS,2024-12-08,63.9,64.4,62.4,63.5,267115.0
SUNLIFEINS,2024-12-05,65.0,65.1,63.3,63.5,468858.0
SUNLIFEINS,2024-12-04,62.5,65.2,62.5,64.5,537553.0
SUNLIFEINS,2024-12-03,61.7,64.0,61.2,62.5,656471.0
SUNLIFEINS,2024-12-02,62.0,62.3,61.1,61.5,525703.0
SUNLIFEINS,2024-12-01,62.6,62.6,61.9,62.2,373820.0
SUNLIFEINS,2024-11-28,63.0,63.0,61.9,62.3,398327.0
SUNLIFEINS,2024-11-27,62.1,62.6,61.7,62.1,248402.0
SUNLIFEINS,2024-11-26,62.1,62.7,61.5,61.7,336876.0
SUNLIFEINS,2024-11-25,62.7,63.4,61.9,62.2,260971.0
SUNLIFEINS,2024-11-24,61.7,62.9,61.7,62.2,466133.0
SUNLIFEINS,2024-11-21,62.4,62.9,61.3,61.7,470092.0
SUNLIFEINS,2024-11-20,62.5,64.3,61.8,62.2,731601.0
SUNLIFEINS,2024-11-19,65.5,65.5,62.7,63.2,875189.0
SUNLIFEINS,2024-11-18,63.0,67.0,63.0,65.1,1331574.0
SUNLIFEINS,2024-11-17,61.8,67.9,61.6,64.4,1975847.0
SUNLIFEINS,2024-11-14,61.5,62.3,60.6,61.8,607627.0
SUNLIFEINS,2024-11-13,61.7,62.0,60.8,61.2,434843.0
SUNLIFEINS,2024-11-12,61.1,62.9,61.0,61.5,1040247.0
SUNLIFEINS,2024-11-11,58.8,61.4,58.8,60.9,315523.0
SUNLIFEINS,2024-11-10,57.5,60.4,57.5,59.9,367623.0
SUNLIFEINS,2024-11-07,59.0,59.7,58.5,59.0,237844.0
SUNLIFEINS,2024-11-06,59.3,60.0,57.5,59.1,272499.0
SUNLIFEINS,2024-11-05,60.8,61.4,59.4,59.6,255374.0
SUNLIFEINS,2024-11-04,62.0,62.0,60.0,60.7,236748.0
SUNLIFEINS,2024-11-03,59.9,60.4,58.7,60.1,252131.0
SUNLIFEINS,2024-10-31,61.7,61.7,59.2,59.8,325987.0
SUNLIFEINS,2024-10-30,58.1,61.0,58.1,60.7,471490.0
SUNLIFEINS,2024-10-29,56.3,58.9,56.3,58.8,172469.0
SUNLIFEINS,2024-10-28,55.0,57.6,55.0,56.7,333696.0
SUNLIFEINS,2024-10-27,57.4,57.4,55.0,55.7,174584.0
SUNLIFEINS,2024-10-24,56.5,57.6,55.2,56.3,323554.0
SUNLIFEINS,2024-10-23,58.3,59.0,56.6,56.9,201038.0
