Trading_Code,Date,Open,High,Low,Close,Volume
TAMIJTEX,2025-04-08,105.2,109.4,103.0,105.5,6511.0
TAMIJTEX,2025-04-07,109.5,109.5,105.3,106.8,11450.0
TAMIJTEX,2025-04-06,109.6,109.6,106.4,109.1,14068.0
TAMIJTEX,2025-03-27,109.9,111.8,109.4,111.0,2899.0
TAMIJTEX,2025-03-25,108.1,109.9,108.1,109.7,11063.0
TAMIJTEX,2025-03-24,105.5,109.0,105.1,108.1,25861.0
TAMIJTEX,2025-03-23,107.9,107.9,106.2,106.4,4177.0
TAMIJTEX,2025-03-20,107.8,107.8,106.1,106.6,4878.0
TAMIJTEX,2025-03-19,108.0,108.0,106.1,106.6,4877.0
TAMIJTEX,2025-03-18,106.5,108.8,106.0,106.5,4573.0
TAMIJTEX,2025-03-17,107.5,108.0,106.3,106.4,7120.0
TAMIJTEX,2025-03-16,109.8,109.8,106.1,107.1,8655.0
TAMIJTEX,2025-03-13,110.0,110.0,107.3,107.5,8696.0
TAMIJTEX,2025-03-12,108.0,109.9,107.1,107.6,10991.0
TAMIJTEX,2025-03-11,111.8,111.8,107.3,107.5,12211.0
TAMIJTEX,2025-03-10,111.0,111.0,107.1,110.0,4157.0
TAMIJTEX,2025-03-09,109.1,109.2,108.4,108.9,3071.0
TAMIJTEX,2025-03-06,110.1,112.8,108.9,109.8,12010.0
TAMIJTEX,2025-03-05,110.7,114.0,108.2,109.0,7443.0
TAMIJTEX,2025-03-04,114.0,114.0,109.4,112.6,8512.0
TAMIJTEX,2025-03-03,115.7,115.7,111.3,111.9,6797.0
TAMIJTEX,2025-03-02,114.0,119.9,114.0,114.9,31110.0
TAMIJTEX,2025-02-27,106.0,111.5,105.1,110.0,19146.0
TAMIJTEX,2025-02-26,105.9,107.7,105.9,106.9,7815.0
TAMIJTEX,2025-02-25,108.0,108.0,105.9,106.3,9836.0
TAMIJTEX,2025-02-24,107.1,108.6,106.4,106.8,5196.0
TAMIJTEX,2025-02-23,109.6,109.6,106.2,107.1,4508.0
TAMIJTEX,2025-02-20,108.0,109.9,107.0,108.5,6211.0
TAMIJTEX,2025-02-19,108.5,109.0,106.0,107.0,8473.0
TAMIJTEX,2025-02-18,108.0,108.7,106.6,106.9,9360.0
TAMIJTEX,2025-02-17,109.0,109.0,107.7,108.1,5883.0
TAMIJTEX,2025-02-16,111.3,111.3,107.1,107.7,10850.0
TAMIJTEX,2025-02-13,108.8,108.9,107.5,108.2,7656.0
TAMIJTEX,2025-02-12,111.2,112.6,109.2,109.9,24858.0
TAMIJTEX,2025-02-11,109.1,111.9,108.7,110.7,28073.0
TAMIJTEX,2025-02-10,108.0,109.9,106.9,108.7,26622.0
TAMIJTEX,2025-02-09,107.0,107.0,103.1,105.6,7100.0
TAMIJTEX,2025-02-06,107.0,107.2,105.8,106.8,7906.0
TAMIJTEX,2025-02-05,106.9,107.0,105.4,106.3,3906.0
TAMIJTEX,2025-02-04,105.9,106.0,104.8,105.0,7571.0
TAMIJTEX,2025-02-03,105.1,107.1,105.1,105.6,10209.0
TAMIJTEX,2025-02-02,108.0,108.0,104.6,105.5,12677.0
TAMIJTEX,2025-01-30,109.9,109.9,105.5,106.2,4131.0
TAMIJTEX,2025-01-29,107.9,107.9,105.8,106.4,3867.0
TAMIJTEX,2025-01-28,109.0,109.0,106.1,106.3,6037.0
TAMIJTEX,2025-01-27,109.8,109.8,106.5,106.8,2682.0
TAMIJTEX,2025-01-26,109.0,109.0,107.0,107.6,5991.0
TAMIJTEX,2025-01-23,110.9,110.9,107.9,108.1,7716.0
TAMIJTEX,2025-01-22,109.8,110.9,106.0,108.4,5356.0
TAMIJTEX,2025-01-21,111.0,111.0,108.5,108.9,13890.0
TAMIJTEX,2025-01-20,110.0,111.0,104.8,109.5,12860.0
TAMIJTEX,2025-01-19,105.1,106.6,105.0,105.2,3584.0
TAMIJTEX,2025-01-16,109.4,109.4,103.0,105.5,8287.0
TAMIJTEX,2025-01-15,105.9,109.4,105.9,107.3,3117.0
TAMIJTEX,2025-01-14,113.9,113.9,102.3,108.1,7433.0
TAMIJTEX,2025-01-13,108.0,108.9,107.0,107.3,5159.0
TAMIJTEX,2025-01-12,110.9,114.9,107.3,107.6,6451.0
TAMIJTEX,2025-01-09,108.5,110.8,106.1,107.8,9526.0
TAMIJTEX,2025-01-08,110.0,110.0,108.2,108.5,1621.0
TAMIJTEX,2025-01-07,109.9,110.8,109.7,109.9,8137.0
TAMIJTEX,2025-01-06,108.1,111.8,108.0,109.3,6601.0
TAMIJTEX,2025-01-05,109.9,109.9,108.0,108.3,1800.0
TAMIJTEX,2025-01-02,107.2,112.0,107.1,109.5,2001.0
TAMIJTEX,2025-01-01,109.2,111.6,109.2,110.7,2544.0
TAMIJTEX,2024-12-30,109.0,112.6,108.5,110.4,6304.0
TAMIJTEX,2024-12-29,112.5,112.6,108.2,109.6,4034.0
TAMIJTEX,2024-12-26,110.5,112.5,110.0,110.7,1311.0
TAMIJTEX,2024-12-24,113.5,113.5,109.5,109.8,4879.0
TAMIJTEX,2024-12-23,114.9,114.9,110.3,110.5,6222.0
TAMIJTEX,2024-12-22,113.0,113.0,109.0,110.0,5554.0
TAMIJTEX,2024-12-19,115.4,115.4,110.3,111.2,14456.0
TAMIJTEX,2024-12-18,114.0,116.6,111.0,111.8,9037.0
TAMIJTEX,2024-12-17,116.7,116.7,113.3,114.0,9282.0
TAMIJTEX,2024-12-15,118.0,118.0,112.1,113.0,5279.0
TAMIJTEX,2024-12-12,115.9,115.9,111.9,112.3,6317.0
TAMIJTEX,2024-12-11,116.5,116.5,112.4,112.6,6725.0
TAMIJTEX,2024-12-10,116.1,117.0,113.6,114.1,14616.0
TAMIJTEX,2024-12-09,126.4,126.9,116.0,116.4,22694.0
TAMIJTEX,2024-12-08,117.0,124.0,115.1,122.4,27469.0
TAMIJTEX,2024-12-05,117.0,119.9,113.4,117.7,14119.0
TAMIJTEX,2024-12-04,0.0,0.0,0.0,118.3,0.0
TAMIJTEX,2024-12-03,115.9,118.9,114.7,118.3,15557.0
TAMIJTEX,2024-12-02,112.4,116.0,112.4,116.0,18169.0
TAMIJTEX,2024-12-01,114.5,116.0,111.5,112.1,12042.0
TAMIJTEX,2024-11-28,107.3,118.1,107.3,114.3,24638.0
TAMIJTEX,2024-11-27,107.7,115.8,107.7,114.0,17673.0
TAMIJTEX,2024-11-26,105.6,110.4,105.6,108.2,5087.0
TAMIJTEX,2024-11-25,113.8,113.8,108.0,109.2,10179.0
TAMIJTEX,2024-11-24,114.9,114.9,106.2,107.0,25565.0
TAMIJTEX,2024-11-21,113.5,120.0,113.0,114.7,16856.0
TAMIJTEX,2024-11-20,112.3,121.6,112.3,118.1,14355.0
TAMIJTEX,2024-11-19,123.0,123.0,116.0,116.7,18333.0
TAMIJTEX,2024-11-18,116.2,123.7,116.2,119.9,17328.0
TAMIJTEX,2024-11-17,125.0,125.0,119.4,120.0,10971.0
TAMIJTEX,2024-11-14,111.0,127.0,111.0,121.7,35286.0
TAMIJTEX,2024-11-13,127.0,127.0,118.0,119.4,26401.0
TAMIJTEX,2024-11-12,132.5,132.5,113.4,115.5,14010.0
TAMIJTEX,2024-11-11,117.8,124.5,117.8,120.5,9864.0
TAMIJTEX,2024-11-10,125.0,125.0,116.1,117.9,7665.0
TAMIJTEX,2024-11-07,128.0,128.0,120.7,122.5,9958.0
TAMIJTEX,2024-11-06,130.8,130.8,122.1,122.9,21818.0
TAMIJTEX,2024-11-05,132.1,139.5,129.7,130.0,20882.0
TAMIJTEX,2024-11-04,121.6,132.0,121.6,129.8,25898.0
TAMIJTEX,2024-11-03,122.0,133.7,115.1,124.7,11366.0
TAMIJTEX,2024-10-31,115.3,126.9,112.2,122.8,36856.0
TAMIJTEX,2024-10-30,114.0,115.6,112.2,115.4,9296.0
TAMIJTEX,2024-10-29,107.4,110.4,101.5,110.0,8119.0
TAMIJTEX,2024-10-28,106.0,106.0,97.0,100.4,9994.0
TAMIJTEX,2024-10-27,107.5,110.5,99.0,99.2,14876.0
TAMIJTEX,2024-10-24,112.8,112.8,108.2,110.0,5273.0
TAMIJTEX,2024-10-23,111.0,115.7,108.0,109.4,11641.0
TAMIJTEX,2024-10-22,110.0,115.9,110.0,112.6,10254.0
TAMIJTEX,2024-10-21,120.0,120.0,109.1,112.5,9368.0
TAMIJTEX,2024-10-20,123.5,123.5,111.7,112.2,15089.0
TAMIJTEX,2024-10-17,129.0,129.0,117.6,118.6,40761.0
TAMIJTEX,2024-10-16,135.0,135.0,125.0,127.0,35420.0
TAMIJTEX,2024-10-15,135.9,135.9,128.0,128.5,10547.0
TAMIJTEX,2024-10-14,134.2,138.7,132.3,133.8,12853.0
TAMIJTEX,2024-10-09,134.4,134.4,131.5,133.5,5713.0
TAMIJTEX,2024-10-08,130.1,134.4,130.0,132.8,4855.0
TAMIJTEX,2024-10-07,135.1,136.5,128.6,130.1,13024.0
TAMIJTEX,2024-10-06,138.3,138.9,135.1,135.6,8597.0
TAMIJTEX,2024-10-03,142.9,143.3,136.3,137.1,26581.0
TAMIJTEX,2024-10-02,140.5,142.9,137.2,141.9,31391.0
TAMIJTEX,2024-10-01,138.6,144.0,138.6,142.8,52564.0
TAMIJTEX,2024-09-30,140.0,143.3,137.1,137.9,23449.0
TAMIJTEX,2024-09-29,138.1,148.7,138.0,139.7,44709.0
TAMIJTEX,2024-09-26,147.5,147.5,141.1,143.4,33663.0
TAMIJTEX,2024-09-25,153.2,156.4,147.0,149.3,107247.0
TAMIJTEX,2024-09-24,150.0,159.8,148.1,157.6,165518.0
TAMIJTEX,2024-09-23,137.1,148.0,137.1,147.5,97058.0
TAMIJTEX,2024-09-22,143.9,144.0,135.6,136.5,38042.0
TAMIJTEX,2024-09-19,142.9,142.9,139.0,139.6,30380.0
TAMIJTEX,2024-09-18,136.5,142.0,136.5,138.9,19650.0
TAMIJTEX,2024-09-17,146.9,146.9,136.3,137.3,44058.0
TAMIJTEX,2024-09-15,146.5,148.0,142.4,145.0,42287.0
TAMIJTEX,2024-09-12,139.8,150.2,133.0,146.4,77004.0
TAMIJTEX,2024-09-11,144.8,144.8,136.0,136.9,31701.0
TAMIJTEX,2024-09-10,147.1,147.1,141.1,142.9,36548.0
TAMIJTEX,2024-09-09,148.0,150.0,144.7,146.9,52367.0
TAMIJTEX,2024-09-08,142.7,154.0,142.7,147.2,100281.0
TAMIJTEX,2024-09-05,139.5,144.0,136.0,142.6,45169.0
TAMIJTEX,2024-09-04,140.0,144.5,133.0,139.5,47472.0
TAMIJTEX,2024-09-03,128.8,137.0,125.8,135.6,74030.0
TAMIJTEX,2024-09-02,129.0,129.0,126.0,126.9,3562.0
TAMIJTEX,2024-09-01,130.0,131.5,127.0,128.7,14406.0
TAMIJTEX,2024-08-29,128.6,133.3,127.0,128.4,39711.0
TAMIJTEX,2024-08-28,129.4,134.2,129.2,132.5,8940.0
TAMIJTEX,2024-08-27,128.8,137.3,128.8,131.3,18075.0
TAMIJTEX,2024-08-25,138.9,138.9,132.6,132.7,13480.0
TAMIJTEX,2024-08-22,135.3,144.7,135.3,136.6,29100.0
TAMIJTEX,2024-08-21,135.5,139.2,135.2,138.9,24391.0
TAMIJTEX,2024-08-20,135.1,139.9,135.0,139.3,28342.0
TAMIJTEX,2024-08-19,134.6,139.5,133.2,137.8,10383.0
TAMIJTEX,2024-08-18,139.1,139.1,135.6,137.3,7784.0
TAMIJTEX,2024-08-15,140.0,144.8,139.1,139.2,12337.0
TAMIJTEX,2024-08-14,146.9,146.9,136.4,142.4,20199.0
TAMIJTEX,2024-08-13,137.2,142.0,137.2,139.8,8645.0
TAMIJTEX,2024-08-12,140.5,147.9,140.0,140.6,28910.0
TAMIJTEX,2024-08-11,151.0,151.0,138.6,144.3,78928.0
