Trading_Code,Date,Open,High,Low,Close,Volume
TBL,2010-12-07,498.75,498.75,498.75,498.75,10.0
TBL,2010-11-07,503.0,503.0,467.0,491.0,30.0
TBL,2010-11-04,570.0,570.0,529.0,549.5,20.0
TBL,2010-11-03,500.5,500.5,496.0,499.25,110.0
TBL,2010-11-02,550.0,570.0,550.0,554.5,90.0
TBL,2010-11-01,596.0,620.0,596.0,605.25,120.0
TBL,2010-10-02,560.0,560.0,560.0,560.0,10.0
TBL,2010-10-01,545.0,560.0,545.0,557.25,60.0
TBL,2010-09-30,410.0,415.0,410.0,410.25,520.0
TBL,2010-09-29,411.25,411.25,411.25,411.25,50.0
TBL,2010-09-28,420.0,420.0,420.0,420.0,100.0
TBL,2010-09-27,420.25,420.25,420.25,420.25,80.0
TBL,2010-09-26,416.0,425.25,416.0,422.0,60.0
TBL,2010-09-23,412.0,415.0,412.0,413.5,20.0
TBL,2010-09-22,450.0,450.0,411.0,438.75,70.0
TBL,2010-09-21,410.0,440.0,410.0,428.75,80.0
TBL,2010-09-20,441.0,442.0,441.0,441.5,240.0
TBL,2010-09-19,450.0,450.0,450.0,450.0,40.0
TBL,2010-09-06,475.25,475.25,475.25,475.25,10.0
TBL,2010-09-05,515.0,515.0,515.0,515.0,20.0
TBL,2010-09-03,501.25,501.25,501.25,501.25,10.0
TBL,2010-09-02,551.0,551.0,551.0,551.0,20.0
TBL,2010-08-30,405.0,405.0,405.0,405.0,10.0
TBL,2010-08-26,440.0,440.0,440.0,440.0,20.0
TBL,2010-08-19,429.0,429.0,429.0,429.0,50.0
TBL,2010-08-18,418.0,418.0,418.0,418.0,30.0
TBL,2010-08-09,451.0,451.0,451.0,451.0,10.0
TBL,2010-08-04,546.0,560.0,546.0,553.75,70.0
TBL,2010-08-03,500.0,502.0,500.0,501.25,40.0
TBL,2010-07-20,455.25,455.25,455.25,455.25,10.0
TBL,2010-07-19,455.0,455.0,455.0,455.0,20.0
TBL,2010-07-18,460.0,460.0,460.0,460.0,10.0
TBL,2010-07-13,460.0,460.0,460.0,460.0,30.0
TBL,2010-07-06,499.0,499.0,482.0,493.25,30.0
TBL,2010-07-04,543.0,543.0,543.0,543.0,20.0
TBL,2010-07-02,574.0,574.0,574.0,574.0,30.0
TBL,2010-07-01,540.0,540.0,540.0,540.0,10.0
TBL,2010-06-24,500.0,500.0,500.0,500.0,40.0
TBL,2010-06-20,472.0,472.0,472.0,472.0,10.0
TBL,2010-06-17,500.0,500.0,475.0,494.25,90.0
TBL,2010-06-16,480.0,500.0,477.0,485.5,60.0
TBL,2010-06-15,500.0,500.0,500.0,500.0,90.0
TBL,2010-06-06,501.0,501.0,501.0,501.0,20.0
TBL,2010-06-05,510.0,510.0,510.0,510.0,20.0
TBL,2010-06-04,540.0,546.0,540.0,542.75,40.0
TBL,2010-06-01,510.0,513.0,510.0,511.5,60.0
TBL,2010-05-26,499.75,510.0,475.0,489.5,90.0
TBL,2010-05-25,500.0,500.0,485.0,496.25,80.0
TBL,2010-05-24,486.0,486.0,486.0,486.0,10.0
TBL,2010-05-23,501.0,501.0,501.0,501.0,20.0
TBL,2010-05-19,515.0,515.0,515.0,515.0,10.0
TBL,2010-05-09,440.0,460.0,440.0,450.0,40.0
TBL,2010-05-07,503.0,503.0,503.0,503.0,10.0
TBL,2010-05-05,535.5,535.5,535.0,535.25,20.0
TBL,2010-05-04,545.0,547.0,545.0,546.5,40.0
TBL,2010-04-29,563.0,563.0,563.0,563.0,10.0
TBL,2010-04-28,625.0,625.0,625.0,625.0,30.0
TBL,2010-04-27,580.0,580.0,580.0,580.0,10.0
TBL,2010-04-26,555.0,555.0,533.0,546.5,190.0
TBL,2010-04-25,565.0,565.0,560.0,562.0,280.0
TBL,2010-04-22,552.25,554.0,552.0,552.75,200.0
TBL,2010-04-21,563.25,563.25,563.25,563.25,40.0
TBL,2010-04-20,551.0,555.25,551.0,554.5,70.0
TBL,2010-04-19,550.0,589.0,550.0,581.75,140.0
TBL,2010-04-18,580.0,580.0,580.0,580.0,10.0
TBL,2010-04-15,589.75,589.75,589.0,589.25,50.0
TBL,2010-04-08,455.0,470.0,452.0,457.25,100.0
TBL,2010-04-02,575.0,575.0,550.0,562.5,20.0
TBL,2010-03-31,545.0,545.0,545.0,545.0,10.0
TBL,2010-03-29,555.0,555.0,530.0,541.75,40.0
TBL,2010-03-28,548.0,550.0,548.0,548.75,40.0
TBL,2010-03-25,491.0,540.0,491.0,521.75,100.0
TBL,2010-03-23,481.0,481.0,480.0,480.75,40.0
TBL,2010-03-18,500.0,500.0,500.0,500.0,50.0
TBL,2010-03-16,480.0,480.0,480.0,480.0,10.0
TBL,2010-03-05,541.0,541.0,540.0,540.0,50.0
TBL,2010-03-02,570.0,570.0,570.0,570.0,10.0
TBL,2010-02-24,509.0,509.0,507.5,508.0,40.0
TBL,2010-02-23,505.0,506.5,505.0,505.75,30.0
TBL,2010-02-22,510.0,510.0,510.0,510.0,110.0
TBL,2010-02-18,521.25,521.25,520.0,520.25,90.0
TBL,2010-02-17,521.0,521.0,521.0,521.0,20.0
TBL,2010-02-15,530.0,530.0,530.0,530.0,100.0
TBL,2010-02-14,551.0,551.0,545.0,547.5,160.0
TBL,2010-02-06,500.0,500.0,500.0,500.0,30.0
TBL,2010-02-03,500.0,500.0,500.0,500.0,20.0
