Trading_Code,Date,Open,High,Low,Close,Volume
TECHNODRUG,2025-04-08,32.1,32.1,31.4,31.7,437080.0
TECHNODRUG,2025-04-07,32.7,32.8,31.8,32.0,700428.0
TECHNODRUG,2025-04-06,32.5,32.6,31.1,32.3,506467.0
TECHNODRUG,2025-03-27,32.8,32.8,31.7,31.8,274040.0
TECHNODRUG,2025-03-25,32.0,32.2,31.7,32.0,375990.0
TECHNODRUG,2025-03-24,31.3,32.3,31.2,31.8,447589.0
TECHNODRUG,2025-03-23,32.7,32.7,30.2,31.4,329450.0
TECHNODRUG,2025-03-20,31.8,32.6,31.6,32.4,647489.0
TECHNODRUG,2025-03-19,32.2,32.3,31.5,31.7,335237.0
TECHNODRUG,2025-03-18,31.9,32.4,31.8,32.0,236012.0
TECHNODRUG,2025-03-17,32.6,32.8,31.7,31.9,472789.0
TECHNODRUG,2025-03-16,33.1,33.2,32.5,32.6,438121.0
TECHNODRUG,2025-03-13,33.4,33.5,33.0,33.1,234354.0
TECHNODRUG,2025-03-12,33.0,33.7,33.0,33.4,537004.0
TECHNODRUG,2025-03-11,33.2,33.3,32.9,33.0,220689.0
TECHNODRUG,2025-03-10,32.9,33.4,32.8,33.1,342177.0
TECHNODRUG,2025-03-09,34.1,34.1,32.8,32.9,428747.0
TECHNODRUG,2025-03-06,33.7,33.9,33.5,33.6,270789.0
TECHNODRUG,2025-03-05,33.8,34.0,33.5,33.6,303662.0
TECHNODRUG,2025-03-04,34.1,34.1,33.6,33.7,445872.0
TECHNODRUG,2025-03-03,34.2,34.4,33.9,33.9,272493.0
TECHNODRUG,2025-03-02,34.5,34.5,34.0,34.1,440381.0
TECHNODRUG,2025-02-27,34.0,34.5,34.0,34.1,389225.0
TECHNODRUG,2025-02-26,34.4,34.5,34.0,34.1,607785.0
TECHNODRUG,2025-02-25,34.6,35.0,34.1,34.2,911406.0
TECHNODRUG,2025-02-24,33.9,34.8,33.8,34.6,1197489.0
TECHNODRUG,2025-02-23,34.1,34.1,33.7,33.8,618739.0
TECHNODRUG,2025-02-20,33.9,34.1,33.7,33.9,594966.0
TECHNODRUG,2025-02-19,34.2,34.4,33.6,33.9,760993.0
TECHNODRUG,2025-02-18,34.5,34.9,33.9,34.1,1030625.0
TECHNODRUG,2025-02-17,34.5,34.9,34.3,34.5,553430.0
TECHNODRUG,2025-02-16,34.4,35.0,34.2,34.5,785442.0
TECHNODRUG,2025-02-13,34.3,34.6,34.0,34.1,572838.0
TECHNODRUG,2025-02-12,35.0,35.1,34.0,34.2,671024.0
TECHNODRUG,2025-02-11,35.3,35.8,34.7,34.9,1136925.0
TECHNODRUG,2025-02-10,34.1,35.2,34.1,35.0,1039569.0
TECHNODRUG,2025-02-09,34.4,34.6,33.9,34.2,443429.0
TECHNODRUG,2025-02-06,34.5,34.8,34.0,34.2,789733.0
TECHNODRUG,2025-02-05,35.0,35.3,34.4,34.6,567859.0
TECHNODRUG,2025-02-04,34.6,35.8,34.6,34.9,1334377.0
TECHNODRUG,2025-02-03,33.6,34.8,33.5,34.4,631357.0
TECHNODRUG,2025-02-02,33.1,33.8,33.0,33.4,484892.0
TECHNODRUG,2025-01-30,34.0,34.0,33.3,33.6,484311.0
TECHNODRUG,2025-01-29,34.2,34.5,33.7,33.8,709361.0
TECHNODRUG,2025-01-28,35.2,35.5,34.3,34.4,370047.0
TECHNODRUG,2025-01-27,34.9,35.1,34.3,34.8,340115.0
TECHNODRUG,2025-01-26,34.4,35.2,34.3,34.4,435567.0
TECHNODRUG,2025-01-23,35.2,35.5,34.4,34.5,599696.0
TECHNODRUG,2025-01-22,36.4,36.4,35.1,35.3,840076.0
TECHNODRUG,2025-01-21,36.2,36.9,35.9,36.1,1219818.0
TECHNODRUG,2025-01-20,36.4,36.7,36.0,36.2,1260333.0
TECHNODRUG,2025-01-19,35.7,36.7,35.5,36.3,1531000.0
TECHNODRUG,2025-01-16,35.8,35.9,34.9,35.6,910853.0
TECHNODRUG,2025-01-15,33.8,36.2,33.8,35.6,1486285.0
TECHNODRUG,2025-01-14,33.6,34.4,33.6,33.8,749355.0
TECHNODRUG,2025-01-13,34.5,34.6,33.2,33.6,649463.0
TECHNODRUG,2025-01-12,35.2,35.3,34.3,34.4,845737.0
TECHNODRUG,2025-01-09,35.3,35.4,34.7,34.9,424229.0
TECHNODRUG,2025-01-08,34.3,35.5,33.9,35.1,1121558.0
TECHNODRUG,2025-01-07,34.8,35.1,34.1,34.4,669192.0
TECHNODRUG,2025-01-06,34.1,34.9,34.1,34.4,513393.0
TECHNODRUG,2025-01-05,35.3,35.3,33.9,34.1,360225.0
TECHNODRUG,2025-01-02,35.2,35.3,34.8,34.9,474362.0
TECHNODRUG,2025-01-01,36.1,36.2,35.0,35.2,440414.0
TECHNODRUG,2024-12-30,36.4,36.4,35.7,35.9,363667.0
TECHNODRUG,2024-12-29,35.8,36.3,35.6,36.0,429200.0
TECHNODRUG,2024-12-26,35.8,35.9,35.3,35.7,252348.0
TECHNODRUG,2024-12-24,36.0,36.2,35.5,35.6,371841.0
TECHNODRUG,2024-12-23,36.0,36.5,35.7,35.8,343677.0
TECHNODRUG,2024-12-22,36.0,36.6,35.6,35.8,462225.0
TECHNODRUG,2024-12-19,36.4,36.5,35.9,36.0,333587.0
TECHNODRUG,2024-12-18,37.2,37.2,36.0,36.1,453933.0
TECHNODRUG,2024-12-17,37.0,37.5,36.7,36.9,640277.0
TECHNODRUG,2024-12-15,37.4,37.5,36.5,36.7,829645.0
TECHNODRUG,2024-12-12,37.8,38.0,37.0,37.2,634756.0
TECHNODRUG,2024-12-11,37.5,38.5,37.5,37.6,956901.0
TECHNODRUG,2024-12-10,37.3,38.2,37.1,37.4,1558470.0
TECHNODRUG,2024-12-09,36.9,37.6,36.9,37.0,545140.0
TECHNODRUG,2024-12-08,34.9,37.3,34.9,36.8,630628.0
TECHNODRUG,2024-12-05,38.1,38.1,37.0,37.1,840707.0
TECHNODRUG,2024-12-04,38.9,39.3,37.7,37.9,1307432.0
TECHNODRUG,2024-12-03,39.4,40.2,38.9,39.0,1590038.0
TECHNODRUG,2024-12-02,37.5,40.5,37.5,39.4,2630068.0
TECHNODRUG,2024-12-01,37.0,37.5,36.5,37.3,958346.0
TECHNODRUG,2024-11-28,37.5,38.1,36.8,37.1,1207845.0
TECHNODRUG,2024-11-27,35.4,38.2,35.3,37.1,1229696.0
TECHNODRUG,2024-11-26,36.3,36.4,35.3,35.5,650566.0
TECHNODRUG,2024-11-25,35.1,36.2,35.1,36.0,806477.0
TECHNODRUG,2024-11-24,34.7,35.5,34.6,35.0,327923.0
TECHNODRUG,2024-11-21,36.8,36.8,34.7,34.8,672196.0
TECHNODRUG,2024-11-20,36.4,36.8,35.1,35.5,612187.0
TECHNODRUG,2024-11-19,37.0,37.1,36.0,36.3,988770.0
TECHNODRUG,2024-11-18,0.0,0.0,0.0,37.7,0.0
TECHNODRUG,2024-11-17,38.3,38.3,36.8,37.7,1282185.0
TECHNODRUG,2024-11-14,37.2,38.3,37.2,37.6,613489.0
TECHNODRUG,2024-11-13,37.8,38.0,36.9,37.1,814362.0
