Trading_Code,Date,Open,High,Low,Close,Volume
TILIL,2025-04-08,42.2,43.5,42.2,43.2,312692.0
TILIL,2025-04-07,42.6,43.0,42.0,42.8,184888.0
TILIL,2025-04-06,41.3,42.4,40.1,42.3,90440.0
TILIL,2025-03-27,41.6,41.6,41.0,41.3,37749.0
TILIL,2025-03-25,41.8,42.0,40.9,41.3,71466.0
TILIL,2025-03-24,41.3,41.5,40.3,40.9,82493.0
TILIL,2025-03-23,42.3,42.3,40.7,40.8,120309.0
TILIL,2025-03-20,41.0,42.5,40.5,41.9,85189.0
TILIL,2025-03-19,43.0,43.0,41.1,41.8,261472.0
TILIL,2025-03-18,44.0,44.0,41.7,42.3,308143.0
TILIL,2025-03-17,45.6,47.9,43.4,43.8,845870.0
TILIL,2025-03-16,44.6,46.0,44.6,45.6,442723.0
TILIL,2025-03-13,43.0,44.5,42.8,44.3,243304.0
TILIL,2025-03-12,45.5,47.0,43.0,43.4,463993.0
TILIL,2025-03-11,41.6,44.8,41.0,44.8,565377.0
TILIL,2025-03-10,40.3,41.0,40.0,40.8,86636.0
TILIL,2025-03-09,39.5,41.3,39.5,40.7,111346.0
TILIL,2025-03-06,40.7,41.0,40.0,40.2,31928.0
TILIL,2025-03-05,38.6,40.8,38.6,40.5,74775.0
TILIL,2025-03-04,39.9,39.9,38.9,39.0,66102.0
TILIL,2025-03-03,40.3,40.9,39.3,39.8,41292.0
TILIL,2025-03-02,41.5,41.5,40.8,40.8,13848.0
TILIL,2025-02-27,40.2,41.6,40.2,41.2,94422.0
TILIL,2025-02-26,40.3,41.2,39.3,40.7,132559.0
TILIL,2025-02-25,42.2,42.2,40.7,40.7,80781.0
TILIL,2025-02-24,44.5,44.5,41.2,41.6,83589.0
TILIL,2025-02-23,44.2,44.2,41.8,42.2,294454.0
TILIL,2025-02-20,41.7,42.7,41.4,42.2,291620.0
TILIL,2025-02-19,41.5,42.4,41.1,41.3,109591.0
TILIL,2025-02-18,41.4,41.9,41.0,41.5,274087.0
TILIL,2025-02-17,40.2,41.3,40.2,41.0,39455.0
TILIL,2025-02-16,41.5,41.7,40.5,40.9,325081.0
TILIL,2025-02-13,43.0,43.1,41.8,42.1,305015.0
TILIL,2025-02-12,42.3,43.3,41.0,42.6,570990.0
TILIL,2025-02-11,40.8,42.6,40.5,42.2,456678.0
TILIL,2025-02-10,40.0,40.5,39.5,40.0,204987.0
TILIL,2025-02-09,40.7,41.7,39.9,40.1,228724.0
TILIL,2025-02-06,38.3,40.5,38.1,40.4,232599.0
TILIL,2025-02-05,40.0,40.6,38.5,38.7,229381.0
TILIL,2025-02-04,39.2,40.9,38.5,39.8,331308.0
TILIL,2025-02-03,37.8,40.2,37.8,39.3,495323.0
TILIL,2025-02-02,36.7,39.0,35.8,38.4,351287.0
TILIL,2025-01-30,35.1,36.6,35.0,36.3,80035.0
TILIL,2025-01-29,37.3,37.3,35.1,35.4,136078.0
TILIL,2025-01-28,35.4,37.3,34.3,35.7,167753.0
TILIL,2025-01-27,35.0,35.8,34.0,34.8,24140.0
TILIL,2025-01-26,34.5,35.1,33.5,34.2,51679.0
TILIL,2025-01-23,34.6,35.3,34.5,34.7,48618.0
TILIL,2025-01-22,35.9,35.9,33.8,34.6,111819.0
TILIL,2025-01-21,35.1,36.0,34.5,35.1,160257.0
TILIL,2025-01-20,34.6,36.6,34.6,35.8,60494.0
TILIL,2025-01-19,36.9,37.4,35.5,36.1,154459.0
TILIL,2025-01-16,33.8,37.1,33.2,37.0,251949.0
TILIL,2025-01-15,32.0,33.9,32.0,33.8,171037.0
TILIL,2025-01-14,32.0,32.2,30.7,32.0,52232.0
TILIL,2025-01-13,30.0,32.1,30.0,31.2,66012.0
TILIL,2025-01-12,32.4,32.8,31.9,32.0,31670.0
TILIL,2025-01-09,32.2,33.0,32.1,32.2,20017.0
TILIL,2025-01-08,32.9,33.0,32.5,32.7,13907.0
TILIL,2025-01-07,33.1,34.6,33.0,33.1,21778.0
TILIL,2025-01-06,32.5,33.5,32.1,33.3,16176.0
TILIL,2025-01-05,32.8,33.0,32.1,32.5,83343.0
TILIL,2025-01-02,34.0,34.0,33.2,33.3,16115.0
TILIL,2025-01-01,34.1,34.8,33.9,34.0,20549.0
TILIL,2024-12-30,34.9,35.2,34.0,34.0,48438.0
TILIL,2024-12-29,35.0,35.1,34.6,35.0,6837.0
TILIL,2024-12-26,34.7,34.9,34.2,34.5,9869.0
TILIL,2024-12-24,35.6,35.6,35.0,35.3,12746.0
TILIL,2024-12-23,35.0,35.4,35.0,35.2,6855.0
TILIL,2024-12-22,35.1,36.0,34.3,34.9,39968.0
TILIL,2024-12-19,34.4,34.8,34.0,34.2,14309.0
TILIL,2024-12-18,34.9,35.2,34.5,34.8,17501.0
TILIL,2024-12-17,34.2,35.7,34.2,35.0,31770.0
TILIL,2024-12-15,35.2,35.3,34.6,34.7,11596.0
