Trading_Code,Date,Open,High,Low,Close,Volume
TRIPTI,2008-12-06,66.25,68.0,66.25,67.25,2550.0
TRIPTI,2008-12-05,54.0,54.5,51.0,52.0,3900.0
TRIPTI,2008-12-03,44.25,49.75,44.0,48.5,6500.0
TRIPTI,2008-12-02,44.0,45.0,43.75,44.0,2450.0
TRIPTI,2008-11-06,65.25,66.0,64.0,64.5,4300.0
TRIPTI,2008-11-05,57.5,58.0,54.25,55.75,5450.0
TRIPTI,2008-11-03,47.0,47.75,45.0,46.25,3150.0
TRIPTI,2008-11-02,45.0,45.0,44.0,44.75,1200.0
TRIPTI,2008-10-07,55.0,60.0,54.75,57.5,3150.0
TRIPTI,2008-10-06,64.75,69.0,64.75,68.75,7100.0
TRIPTI,2008-10-04,50.0,54.5,50.0,52.75,900.0
TRIPTI,2008-10-03,47.0,50.0,46.0,47.75,8650.0
TRIPTI,2008-10-02,44.25,44.25,43.0,43.25,2800.0
TRIPTI,2008-10-01,41.0,42.5,41.0,41.75,1100.0
TRIPTI,2008-09-07,62.0,62.0,56.0,58.0,300.0
TRIPTI,2008-09-06,63.0,68.0,62.25,66.5,6850.0
TRIPTI,2008-09-04,54.25,54.75,53.0,53.25,1750.0
TRIPTI,2008-09-03,47.5,47.5,44.0,46.5,1900.0
TRIPTI,2008-09-01,41.75,42.0,41.75,41.75,250.0
TRIPTI,2008-08-07,60.0,60.0,57.25,58.5,2850.0
TRIPTI,2008-08-06,66.0,68.0,65.0,65.5,7100.0
TRIPTI,2008-08-05,60.0,60.0,58.0,58.25,3000.0
TRIPTI,2008-08-04,53.75,55.0,53.5,54.0,3150.0
TRIPTI,2008-08-01,40.5,41.0,40.5,40.75,700.0
TRIPTI,2008-07-14,61.0,65.0,63.75,61.0,350.0
TRIPTI,2008-07-13,59.75,63.0,59.5,61.5,3850.0
TRIPTI,2008-07-07,62.5,63.0,61.0,61.25,2300.0
TRIPTI,2008-07-05,58.5,59.75,58.5,58.75,1150.0
TRIPTI,2008-07-04,53.0,54.0,52.5,53.0,5000.0
TRIPTI,2008-07-02,45.0,45.0,44.25,44.5,600.0
TRIPTI,2008-07-01,40.5,40.75,40.5,40.5,600.0
TRIPTI,2008-06-30,55.75,66.75,55.5,66.75,10100.0
TRIPTI,2008-06-29,55.5,56.0,55.5,55.75,200.0
TRIPTI,2008-06-26,58.75,58.75,58.0,58.25,1300.0
TRIPTI,2008-06-25,57.5,60.0,57.5,58.75,650.0
TRIPTI,2008-06-24,58.25,58.25,58.25,58.25,200.0
TRIPTI,2008-06-23,60.5,60.5,55.25,57.75,900.0
TRIPTI,2008-06-22,60.5,62.0,60.25,60.5,1650.0
TRIPTI,2008-06-19,62.25,62.25,61.0,61.25,2000.0
TRIPTI,2008-06-18,63.75,64.5,62.0,62.75,2050.0
TRIPTI,2008-06-17,64.0,64.0,63.5,63.5,2650.0
TRIPTI,2008-06-16,65.0,65.0,62.5,63.25,1450.0
TRIPTI,2008-06-15,68.25,68.75,67.5,68.25,4600.0
TRIPTI,2008-06-07,65.0,65.0,61.0,63.75,2600.0
TRIPTI,2008-06-06,67.0,69.0,66.25,67.75,6000.0
TRIPTI,2008-06-05,57.75,60.0,57.5,59.75,6000.0
TRIPTI,2008-06-04,55.0,55.0,53.5,54.0,1100.0
TRIPTI,2008-06-03,44.0,47.5,44.0,46.0,4600.0
TRIPTI,2008-06-02,45.0,45.5,43.0,44.75,3750.0
TRIPTI,2008-06-01,41.0,41.0,41.0,41.0,50.0
TRIPTI,2008-05-29,71.0,78.5,70.0,72.25,66600.0
TRIPTI,2008-05-28,59.0,65.5,59.0,65.5,11850.0
TRIPTI,2008-05-27,54.75,55.75,54.0,54.75,6750.0
TRIPTI,2008-05-26,55.0,55.0,51.5,54.0,2100.0
TRIPTI,2008-05-25,52.25,56.0,52.25,54.25,5900.0
TRIPTI,2008-05-22,51.0,54.0,50.75,53.5,3800.0
TRIPTI,2008-05-21,51.5,53.0,51.5,52.5,2700.0
TRIPTI,2008-05-20,50.0,54.0,50.0,53.0,4150.0
TRIPTI,2008-05-18,54.0,55.0,52.25,53.75,1250.0
TRIPTI,2008-05-15,50.0,53.0,49.25,51.25,2300.0
TRIPTI,2008-05-14,51.0,52.0,49.25,49.75,5300.0
TRIPTI,2008-05-13,52.75,52.75,52.0,52.25,1600.0
TRIPTI,2008-05-05,63.25,63.5,58.5,59.25,13350.0
TRIPTI,2008-05-03,42.0,43.75,42.0,43.0,6600.0
TRIPTI,2008-05-02,46.0,46.0,45.25,45.5,1100.0
TRIPTI,2008-04-30,62.0,62.0,57.25,59.25,9500.0
TRIPTI,2008-04-29,59.0,61.25,59.0,60.25,2100.0
TRIPTI,2008-04-28,61.0,63.0,61.0,62.25,1750.0
TRIPTI,2008-04-27,61.0,64.0,61.0,62.25,7550.0
TRIPTI,2008-04-24,67.0,68.5,62.5,63.75,15150.0
TRIPTI,2008-04-23,67.25,74.0,65.0,68.75,34650.0
TRIPTI,2008-04-22,59.0,66.75,59.0,65.75,17700.0
TRIPTI,2008-04-21,57.25,57.75,56.0,56.25,19100.0
TRIPTI,2008-04-20,57.0,57.75,55.75,57.25,7500.0
TRIPTI,2008-04-17,56.75,59.0,55.5,56.75,5300.0
TRIPTI,2008-04-16,56.75,56.75,54.5,55.75,2450.0
TRIPTI,2008-04-15,53.0,55.0,52.25,53.25,2250.0
TRIPTI,2008-04-06,64.0,74.75,64.0,68.75,10550.0
TRIPTI,2008-04-05,65.0,71.0,61.0,64.25,21050.0
TRIPTI,2008-04-03,40.25,42.25,39.5,41.25,3850.0
TRIPTI,2008-04-02,47.0,48.5,46.25,46.25,2750.0
TRIPTI,2008-03-31,53.0,56.0,53.0,54.25,6550.0
TRIPTI,2008-03-30,60.0,63.0,56.0,57.75,3450.0
TRIPTI,2008-03-25,60.0,63.75,60.0,60.75,6500.0
TRIPTI,2008-03-24,61.5,63.0,57.0,60.0,11300.0
TRIPTI,2008-03-23,65.0,70.5,60.0,62.75,21650.0
TRIPTI,2008-03-20,57.5,64.5,57.5,64.0,15600.0
TRIPTI,2008-03-19,55.0,57.5,55.0,57.0,3750.0
TRIPTI,2008-03-18,54.5,57.5,53.75,55.25,13250.0
TRIPTI,2008-03-17,55.25,57.0,54.0,54.5,10500.0
TRIPTI,2008-03-16,54.0,56.0,54.0,55.0,11950.0
TRIPTI,2008-03-13,50.5,54.5,50.5,52.25,31650.0
TRIPTI,2008-03-07,69.0,69.0,65.0,67.0,5900.0
