Trading_Code,Date,Open,High,Low,Close,Volume
TRUSTB1MF,2025-04-08,3.8,4.1,3.8,4.0,2225537.0
TRUSTB1MF,2025-04-07,4.0,4.1,3.8,3.8,824437.0
TRUSTB1MF,2025-04-06,3.8,4.0,3.6,4.0,1879083.0
TRUSTB1MF,2025-03-27,3.7,3.9,3.6,3.8,1074587.0
TRUSTB1MF,2025-03-25,3.6,3.7,3.6,3.7,188661.0
TRUSTB1MF,2025-03-24,3.6,3.7,3.5,3.7,813332.0
TRUSTB1MF,2025-03-23,3.5,3.7,3.5,3.6,609331.0
TRUSTB1MF,2025-03-20,3.7,3.7,3.5,3.6,609583.0
TRUSTB1MF,2025-03-19,3.4,3.7,3.4,3.6,1818368.0
TRUSTB1MF,2025-03-18,3.4,3.5,3.3,3.4,376281.0
TRUSTB1MF,2025-03-17,3.4,3.4,3.3,3.3,22101.0
TRUSTB1MF,2025-03-16,3.4,3.4,3.4,3.4,52501.0
TRUSTB1MF,2025-03-13,3.4,3.4,3.3,3.4,40617.0
TRUSTB1MF,2025-03-12,3.4,3.4,3.3,3.3,241116.0
TRUSTB1MF,2025-03-11,3.4,3.4,3.3,3.3,67504.0
TRUSTB1MF,2025-03-10,3.4,3.4,3.3,3.3,507743.0
TRUSTB1MF,2025-03-09,3.3,3.4,3.3,3.3,167861.0
TRUSTB1MF,2025-03-06,3.3,3.4,3.3,3.3,117211.0
TRUSTB1MF,2025-03-05,3.4,3.4,3.3,3.3,17343.0
TRUSTB1MF,2025-03-04,3.4,3.4,3.3,3.3,112387.0
TRUSTB1MF,2025-03-03,3.4,3.5,3.4,3.4,457687.0
TRUSTB1MF,2025-03-02,3.5,3.5,3.5,3.5,1.0
TRUSTB1MF,2025-02-27,3.5,3.5,3.4,3.4,62694.0
TRUSTB1MF,2025-02-26,3.4,3.5,3.4,3.4,195203.0
TRUSTB1MF,2025-02-25,3.5,3.5,3.4,3.5,133771.0
TRUSTB1MF,2025-02-24,3.5,3.6,3.4,3.5,196982.0
TRUSTB1MF,2025-02-23,3.4,3.5,3.4,3.5,396098.0
TRUSTB1MF,2025-02-20,3.4,3.4,3.3,3.4,109000.0
TRUSTB1MF,2025-02-19,3.4,3.5,3.4,3.4,236990.0
TRUSTB1MF,2025-02-18,3.5,3.6,3.5,3.5,327913.0
TRUSTB1MF,2025-02-17,3.4,3.5,3.4,3.5,409468.0
TRUSTB1MF,2025-02-16,3.4,3.4,3.3,3.3,43608.0
TRUSTB1MF,2025-02-13,3.4,3.4,3.3,3.4,152211.0
TRUSTB1MF,2025-02-12,3.4,3.4,3.3,3.4,46716.0
TRUSTB1MF,2025-02-11,3.4,3.4,3.3,3.3,100375.0
TRUSTB1MF,2025-02-10,3.3,3.4,3.3,3.3,90257.0
TRUSTB1MF,2025-02-09,3.4,3.4,3.3,3.4,96006.0
TRUSTB1MF,2025-02-06,3.5,3.5,3.4,3.4,70831.0
TRUSTB1MF,2025-02-05,3.4,3.5,3.3,3.4,51109.0
TRUSTB1MF,2025-02-04,3.5,3.5,3.3,3.3,75365.0
TRUSTB1MF,2025-02-03,3.4,3.5,3.3,3.4,127163.0
TRUSTB1MF,2025-02-02,3.3,3.4,3.3,3.3,118195.0
TRUSTB1MF,2025-01-30,3.5,3.5,3.3,3.3,45633.0
TRUSTB1MF,2025-01-29,3.5,3.5,3.4,3.4,61590.0
TRUSTB1MF,2025-01-28,3.3,3.5,3.3,3.4,17460.0
TRUSTB1MF,2025-01-27,3.4,3.5,3.3,3.4,268608.0
TRUSTB1MF,2025-01-26,3.5,3.5,3.4,3.4,263061.0
TRUSTB1MF,2025-01-23,3.5,3.5,3.5,3.5,107000.0
TRUSTB1MF,2025-01-22,3.5,3.5,3.4,3.5,51199.0
TRUSTB1MF,2025-01-21,3.5,3.6,3.5,3.5,152356.0
TRUSTB1MF,2025-01-20,3.6,3.6,3.4,3.5,179713.0
TRUSTB1MF,2025-01-19,3.5,3.5,3.4,3.4,289659.0
TRUSTB1MF,2025-01-16,3.6,3.6,3.4,3.5,274203.0
TRUSTB1MF,2025-01-15,3.5,3.6,3.5,3.5,82983.0
TRUSTB1MF,2025-01-14,3.5,3.6,3.5,3.5,111423.0
TRUSTB1MF,2025-01-13,3.5,3.6,3.4,3.5,295623.0
TRUSTB1MF,2025-01-12,3.5,3.5,3.5,3.5,129460.0
TRUSTB1MF,2025-01-09,3.5,3.5,3.5,3.5,79800.0
TRUSTB1MF,2025-01-08,3.5,3.5,3.4,3.4,134677.0
TRUSTB1MF,2025-01-07,3.4,3.6,3.4,3.5,206363.0
TRUSTB1MF,2025-01-06,3.5,3.5,3.4,3.5,236688.0
TRUSTB1MF,2025-01-05,3.4,3.5,3.4,3.4,12757.0
TRUSTB1MF,2025-01-02,3.5,3.6,3.4,3.5,263418.0
TRUSTB1MF,2025-01-01,3.5,3.5,3.4,3.5,99017.0
TRUSTB1MF,2024-12-30,3.5,3.5,3.4,3.5,55798.0
TRUSTB1MF,2024-12-29,3.5,3.5,3.4,3.5,71361.0
TRUSTB1MF,2024-12-26,3.4,3.5,3.4,3.4,89960.0
TRUSTB1MF,2024-12-24,3.4,3.5,3.4,3.4,33001.0
TRUSTB1MF,2024-12-23,3.5,3.5,3.4,3.4,126456.0
TRUSTB1MF,2024-12-22,3.5,3.5,3.4,3.4,137580.0
TRUSTB1MF,2024-12-19,3.5,3.5,3.4,3.4,19276.0
TRUSTB1MF,2024-12-18,3.5,3.6,3.4,3.5,114388.0
TRUSTB1MF,2024-12-17,3.4,3.6,3.4,3.5,117326.0
TRUSTB1MF,2024-12-15,3.5,3.5,3.4,3.5,78012.0
TRUSTB1MF,2024-12-12,3.4,3.5,3.4,3.4,59000.0
TRUSTB1MF,2024-12-11,3.6,3.6,3.4,3.4,69053.0
TRUSTB1MF,2024-12-10,3.5,3.6,3.5,3.5,137823.0
TRUSTB1MF,2024-12-09,3.6,3.6,3.5,3.5,206889.0
TRUSTB1MF,2024-12-08,3.6,3.6,3.5,3.5,37651.0
TRUSTB1MF,2024-12-05,3.7,3.8,3.5,3.6,177801.0
TRUSTB1MF,2024-12-04,3.6,3.8,3.6,3.7,1103438.0
TRUSTB1MF,2024-12-03,3.5,3.6,3.5,3.5,51183.0
TRUSTB1MF,2024-12-02,3.5,3.6,3.5,3.6,78995.0
TRUSTB1MF,2024-12-01,3.5,3.6,3.5,3.5,38305.0
TRUSTB1MF,2024-11-28,3.6,3.6,3.5,3.5,245659.0
TRUSTB1MF,2024-11-27,3.5,3.6,3.5,3.5,39274.0
TRUSTB1MF,2024-11-26,3.5,3.6,3.5,3.5,49810.0
TRUSTB1MF,2024-11-25,3.5,3.5,3.4,3.5,189282.0
TRUSTB1MF,2024-11-24,3.4,3.6,3.4,3.5,86645.0
TRUSTB1MF,2024-11-21,3.4,3.5,3.4,3.4,9012.0
TRUSTB1MF,2024-11-20,3.4,3.5,3.4,3.4,144382.0
TRUSTB1MF,2024-11-19,3.5,3.6,3.4,3.4,170354.0
