Trading_Code,Date,Open,High,Low,Close,Volume
TULIPDAIRY,2009-12-04,41.0,41.0,41.0,41.0,10.0
TULIPDAIRY,2009-12-03,40.0,40.0,40.0,40.0,100.0
TULIPDAIRY,2009-12-02,46.0,46.0,45.25,45.5,390.0
TULIPDAIRY,2009-11-06,30.75,30.75,30.75,30.75,100.0
TULIPDAIRY,2009-11-02,47.0,47.5,44.25,46.75,1980.0
TULIPDAIRY,2009-09-04,43.5,44.5,43.5,44.0,740.0
TULIPDAIRY,2009-09-02,50.25,50.5,50.25,50.25,80.0
TULIPDAIRY,2009-08-04,45.0,45.0,42.0,42.0,210.0
TULIPDAIRY,2009-08-02,50.5,50.75,48.25,50.0,850.0
TULIPDAIRY,2009-07-04,41.0,41.0,41.0,41.0,10.0
TULIPDAIRY,2009-06-04,41.0,41.0,39.5,40.25,20.0
TULIPDAIRY,2009-05-21,35.0,35.0,35.0,35.0,10.0
TULIPDAIRY,2009-05-20,35.0,35.0,35.0,35.0,10.0
TULIPDAIRY,2009-05-04,39.5,39.5,39.5,39.5,20.0
TULIPDAIRY,2009-05-03,45.25,45.25,40.0,41.75,390.0
TULIPDAIRY,2009-05-02,53.0,53.0,48.25,49.25,850.0
TULIPDAIRY,2009-04-19,38.0,38.0,38.0,38.0,40.0
TULIPDAIRY,2009-04-16,38.0,38.0,38.0,38.0,70.0
TULIPDAIRY,2009-04-06,31.0,31.0,30.5,30.75,400.0
TULIPDAIRY,2009-04-03,47.0,47.0,47.0,47.0,100.0
TULIPDAIRY,2009-04-02,45.0,50.25,45.0,49.25,2330.0
TULIPDAIRY,2009-03-29,37.25,37.5,37.25,37.25,60.0
TULIPDAIRY,2009-03-25,37.5,37.5,37.25,37.25,130.0
TULIPDAIRY,2009-03-19,37.75,37.75,37.75,37.75,200.0
TULIPDAIRY,2009-03-18,37.5,37.5,37.5,37.5,30.0
TULIPDAIRY,2009-03-17,37.0,37.0,37.0,37.0,150.0
TULIPDAIRY,2009-03-16,37.0,37.0,37.0,37.0,300.0
TULIPDAIRY,2009-03-06,32.0,33.0,30.0,32.0,360.0
TULIPDAIRY,2009-03-03,50.0,52.0,48.0,50.75,2050.0
TULIPDAIRY,2009-03-02,43.25,43.25,40.0,42.0,1000.0
TULIPDAIRY,2009-02-25,44.0,44.0,44.0,44.0,200.0
TULIPDAIRY,2009-02-24,47.0,47.0,47.0,47.0,300.0
TULIPDAIRY,2009-02-23,47.0,47.0,46.25,46.5,170.0
TULIPDAIRY,2009-02-22,51.25,51.25,50.0,51.0,60.0
TULIPDAIRY,2009-02-19,48.0,48.0,48.0,48.0,50.0
TULIPDAIRY,2009-02-18,43.75,43.75,43.75,43.75,70.0
TULIPDAIRY,2009-02-16,43.5,43.5,43.25,43.25,430.0
TULIPDAIRY,2009-02-15,45.0,45.0,45.0,45.0,200.0
TULIPDAIRY,2009-02-07,28.0,28.0,28.0,28.0,200.0
TULIPDAIRY,2009-02-03,47.0,48.5,47.0,48.0,1040.0
TULIPDAIRY,2009-02-02,44.25,44.25,43.5,43.5,1280.0
TULIPDAIRY,2009-01-29,38.0,45.25,38.0,45.0,1610.0
TULIPDAIRY,2009-01-28,38.0,38.0,38.0,38.0,90.0
TULIPDAIRY,2009-01-26,35.0,35.0,35.0,35.0,10.0
TULIPDAIRY,2009-01-04,36.5,36.5,36.0,36.0,610.0
TULIPDAIRY,2009-01-03,45.0,47.0,45.0,46.0,200.0
TULIPDAIRY,2009-01-02,42.5,48.75,42.5,44.75,550.0
TULIPDAIRY,2008-12-11,33.25,35.0,33.25,34.75,190.0
TULIPDAIRY,2008-12-08,28.0,28.0,28.0,28.0,150.0
TULIPDAIRY,2008-12-05,28.25,28.25,28.0,28.0,200.0
TULIPDAIRY,2008-12-03,35.0,37.0,35.0,36.0,1010.0
TULIPDAIRY,2008-12-02,32.25,32.5,32.25,32.25,450.0
TULIPDAIRY,2008-11-25,32.0,32.0,32.0,32.0,10.0
TULIPDAIRY,2008-11-24,35.0,35.0,33.0,34.0,500.0
TULIPDAIRY,2008-11-20,36.0,36.0,32.0,34.75,490.0
TULIPDAIRY,2008-11-19,37.0,37.0,37.0,37.0,50.0
TULIPDAIRY,2008-11-17,36.5,36.5,36.5,36.5,150.0
TULIPDAIRY,2008-11-16,35.0,35.0,35.0,35.0,90.0
TULIPDAIRY,2008-11-08,28.0,28.0,28.0,28.0,890.0
TULIPDAIRY,2008-11-02,32.75,32.75,32.75,32.75,250.0
