Trading_Code,Date,Open,High,Low,Close,Volume
UCBL,2015-12-11,19.6,19.9,19.5,19.7,532536.0
UCBL,2015-12-10,22.4,23.1,22.3,22.7,7886076.0
UCBL,2015-12-08,20.7,21.1,20.6,20.7,722876.0
UCBL,2015-12-07,19.2,19.5,19.2,19.3,512699.0
UCBL,2015-12-05,21.5,21.7,20.0,20.6,1001373.0
UCBL,2015-12-04,18.7,19.5,18.7,19.3,230380.0
UCBL,2015-12-03,21.9,21.9,20.8,20.9,674137.0
UCBL,2015-12-02,30.5,30.5,29.9,30.2,396517.0
UCBL,2015-12-01,29.4,29.9,29.2,29.9,662966.0
UCBL,2015-11-30,21.5,21.5,21.1,21.3,1366663.0
UCBL,2015-11-29,21.2,21.5,21.1,21.2,827487.0
UCBL,2015-11-26,21.2,21.5,21.0,21.2,951430.0
UCBL,2015-11-25,21.4,21.5,21.1,21.2,634175.0
UCBL,2015-11-24,21.0,21.6,21.0,21.1,2090437.0
UCBL,2015-11-23,21.2,21.4,20.9,21.0,2629666.0
UCBL,2015-11-22,20.3,21.3,20.1,21.1,1575307.0
UCBL,2015-11-19,20.2,20.4,20.1,20.2,672565.0
UCBL,2015-11-18,20.2,20.3,20.0,20.1,585188.0
UCBL,2015-11-17,20.3,20.5,20.1,20.2,1035402.0
UCBL,2015-11-16,19.9,20.3,19.9,20.2,649240.0
UCBL,2015-11-15,19.8,20.1,19.7,19.9,385914.0
UCBL,2015-11-11,19.7,19.7,19.4,19.4,371123.0
UCBL,2015-11-10,22.4,22.6,22.2,22.4,1684591.0
UCBL,2015-11-08,20.7,20.8,20.6,20.7,956830.0
UCBL,2015-11-06,20.1,20.3,20.0,20.1,513998.0
UCBL,2015-11-05,20.8,21.5,19.9,20.8,3546073.0
UCBL,2015-11-03,22.0,22.1,21.8,21.8,414122.0
UCBL,2015-11-02,30.2,30.4,29.9,30.1,451829.0
UCBL,2015-11-01,29.9,30.0,29.3,29.4,301394.0
UCBL,2015-10-29,21.1,21.4,21.0,21.2,959504.0
UCBL,2015-10-28,21.0,21.4,20.9,21.0,2368709.0
UCBL,2015-10-27,20.9,21.2,20.7,20.8,1401327.0
UCBL,2015-10-26,21.2,21.4,20.8,21.0,2105599.0
UCBL,2015-10-25,21.2,21.5,21.1,21.3,566761.0
UCBL,2015-10-21,22.0,22.0,21.1,21.3,3735165.0
UCBL,2015-10-20,22.0,22.3,21.9,22.0,1055059.0
UCBL,2015-10-19,22.1,22.4,21.8,22.1,2135273.0
UCBL,2015-10-18,22.5,22.5,22.1,22.3,1508999.0
UCBL,2015-10-15,22.5,22.9,22.4,22.6,2251187.0
UCBL,2015-10-14,22.9,22.9,22.5,22.6,2601690.0
UCBL,2015-10-13,22.9,23.2,22.7,22.8,4885790.0
UCBL,2015-10-11,19.7,19.8,19.4,19.5,745105.0
UCBL,2015-10-09,20.8,21.0,20.7,20.8,622623.0
UCBL,2015-10-08,21.0,21.2,20.6,20.7,1440808.0
UCBL,2015-10-06,20.1,20.6,20.0,20.2,640456.0
UCBL,2015-10-05,19.0,19.9,19.0,19.8,439713.0
UCBL,2015-10-03,22.3,22.6,22.1,22.3,308935.0
UCBL,2015-10-02,29.8,30.5,29.8,30.4,401944.0
UCBL,2015-09-30,22.2,22.6,22.2,22.4,2136795.0
UCBL,2015-09-29,22.1,22.3,21.9,22.2,1226296.0
UCBL,2015-09-28,22.0,22.3,21.7,22.2,1478882.0
UCBL,2015-09-22,21.4,22.0,21.4,21.8,1805168.0
UCBL,2015-09-21,21.6,21.7,21.3,21.5,918414.0
UCBL,2015-09-20,21.1,21.7,20.9,21.6,1452131.0
UCBL,2015-09-17,20.8,21.1,20.7,21.1,1497229.0
UCBL,2015-09-16,20.8,20.9,20.7,20.7,474571.0
UCBL,2015-09-15,20.9,21.1,20.8,20.8,668507.0
UCBL,2015-09-14,20.8,21.1,20.7,20.8,897959.0
UCBL,2015-09-13,20.8,20.9,20.7,20.8,568375.0
UCBL,2015-09-11,20.0,20.1,19.5,19.6,1006153.0
UCBL,2015-09-09,21.0,21.0,20.7,20.8,1419785.0
UCBL,2015-09-08,21.3,21.7,20.9,21.1,2443920.0
UCBL,2015-09-07,19.2,19.4,19.0,19.3,378206.0
UCBL,2015-09-06,20.2,20.5,19.8,20.0,1163210.0
UCBL,2015-09-04,18.4,19.1,18.4,19.0,593068.0
UCBL,2015-09-03,22.3,22.8,22.2,22.4,630090.0
UCBL,2015-09-02,29.7,30.3,29.7,30.1,264683.0
UCBL,2015-08-31,21.3,21.3,21.0,21.0,2290089.0
UCBL,2015-08-30,21.4,21.4,21.0,21.2,802445.0
UCBL,2015-08-27,21.3,21.5,21.0,21.1,3950353.0
UCBL,2015-08-26,21.4,21.4,21.1,21.3,1148927.0
UCBL,2015-08-25,21.4,21.5,21.0,21.3,2317208.0
UCBL,2015-08-24,21.8,21.9,21.2,21.4,2123224.0
UCBL,2015-08-23,21.0,22.4,21.0,21.9,2713226.0
UCBL,2015-08-20,21.2,21.9,21.0,21.6,2910783.0
UCBL,2015-08-19,21.3,21.6,21.0,21.2,1397561.0
UCBL,2015-08-18,21.4,21.6,21.1,21.5,1795978.0
UCBL,2015-08-17,21.0,21.6,20.8,20.9,4369894.0
UCBL,2015-08-16,20.8,21.0,20.7,20.9,614621.0
UCBL,2015-08-13,20.7,21.0,20.7,20.9,602652.0
UCBL,2015-08-11,20.3,20.3,19.8,19.9,819409.0
UCBL,2015-08-10,22.3,22.8,22.2,22.6,2709045.0
UCBL,2015-08-09,21.1,21.2,20.9,21.0,683505.0
UCBL,2015-08-07,19.1,19.4,19.0,19.2,321381.0
UCBL,2015-08-06,21.0,21.0,20.0,20.3,973430.0
UCBL,2015-08-04,18.9,19.2,18.0,18.6,489458.0
UCBL,2015-08-03,21.3,23.1,21.3,22.8,405230.0
UCBL,2015-08-02,30.1,30.5,29.9,30.0,314984.0
UCBL,2015-08-01,29.3,29.6,29.2,29.5,533733.0
UCBL,2015-07-30,20.3,20.5,20.2,20.4,1271180.0
UCBL,2015-07-29,20.5,20.6,20.4,20.5,628716.0
UCBL,2015-07-28,20.3,20.5,20.3,20.4,379411.0
UCBL,2015-07-27,20.5,20.6,20.3,20.4,510265.0
UCBL,2015-07-26,20.4,20.6,20.2,20.3,1789078.0
UCBL,2015-07-23,20.3,20.6,20.1,20.5,824781.0
UCBL,2015-07-22,20.5,20.5,20.1,20.3,470449.0
UCBL,2015-07-21,19.6,20.4,19.6,20.4,738312.0
UCBL,2015-07-14,19.4,20.0,19.4,19.9,733155.0
UCBL,2015-07-13,19.5,19.7,19.3,19.5,551057.0
UCBL,2015-07-10,22.6,22.7,22.3,22.4,2255301.0
UCBL,2015-07-09,21.0,21.4,20.9,21.2,638489.0
UCBL,2015-07-07,19.0,19.4,18.9,19.2,844115.0
UCBL,2015-07-06,21.5,21.7,20.8,21.0,1994512.0
UCBL,2015-07-05,18.9,19.7,18.8,19.1,404102.0
UCBL,2015-07-04,18.8,18.9,18.0,18.3,501624.0
UCBL,2015-07-01,29.5,29.5,29.2,29.4,364421.0
UCBL,2015-06-30,19.9,19.9,19.3,19.5,681948.0
UCBL,2015-06-29,19.3,19.6,19.3,19.4,542043.0
UCBL,2015-06-28,19.1,19.4,19.0,19.3,552801.0
UCBL,2015-06-25,19.0,19.3,18.9,19.2,1309616.0
UCBL,2015-06-24,19.4,19.5,19.1,19.2,666034.0
UCBL,2015-06-23,19.7,19.8,19.3,19.4,679346.0
UCBL,2015-06-22,19.7,20.2,19.5,19.6,1954014.0
UCBL,2015-06-21,19.9,20.0,19.6,19.8,195665.0
UCBL,2015-06-18,19.9,20.1,19.7,19.8,359144.0
UCBL,2015-06-17,19.8,20.2,19.8,19.9,249230.0
UCBL,2015-06-16,19.8,20.1,19.5,19.9,650290.0
UCBL,2015-06-15,19.9,20.1,19.7,19.8,558433.0
UCBL,2015-06-14,20.0,20.1,19.4,19.8,726984.0
