Trading_Code,Date,Open,High,Low,Close,Volume
ULC,2015-01-01,30.4,30.9,30.0,30.7,399060.0
ULC,2014-12-30,29.5,30.2,29.5,29.7,224774.0
ULC,2014-12-29,30.2,30.7,29.8,30.1,359540.0
ULC,2014-12-28,30.5,30.8,29.9,30.4,366648.0
ULC,2014-12-24,31.0,31.3,30.3,30.8,772406.0
ULC,2014-12-23,31.0,31.5,30.4,30.7,841360.0
ULC,2014-12-22,30.1,31.2,29.8,31.0,1248950.0
ULC,2014-12-21,30.4,30.8,29.7,29.9,819812.0
ULC,2014-12-18,29.3,30.0,29.3,29.8,898651.0
ULC,2014-12-17,30.0,30.0,29.0,29.2,419357.0
ULC,2014-12-15,30.3,30.9,29.6,29.8,626848.0
ULC,2014-12-14,30.2,31.0,30.0,30.3,678608.0
ULC,2014-12-11,27.5,27.5,25.9,26.2,580000.0
ULC,2014-12-10,27.9,28.5,27.2,27.9,565600.0
ULC,2014-12-08,23.0,23.0,22.2,22.2,127800.0
ULC,2014-12-06,22.5,23.0,22.5,22.7,23200.0
ULC,2014-12-05,24.1,24.6,24.0,24.3,220000.0
ULC,2014-12-03,28.6,29.4,28.5,28.8,186400.0
ULC,2014-12-02,34.5,34.6,33.2,33.3,200800.0
ULC,2014-12-01,34.0,34.1,32.8,32.9,457800.0
ULC,2014-11-30,26.0,26.5,26.0,26.3,135600.0
ULC,2014-11-27,26.2,26.7,26.0,26.0,76000.0
ULC,2014-11-26,26.1,26.5,25.9,25.9,413000.0
ULC,2014-11-25,25.9,26.0,25.6,25.7,96600.0
ULC,2014-11-24,25.9,26.0,25.6,25.6,153400.0
ULC,2014-11-23,26.0,26.0,25.6,25.6,109400.0
ULC,2014-11-20,25.6,27.0,25.6,25.9,194400.0
ULC,2014-11-19,25.8,26.3,25.8,25.9,327000.0
ULC,2014-11-18,26.1,26.1,25.6,25.7,158000.0
ULC,2014-11-17,26.2,26.4,26.1,26.2,261800.0
ULC,2014-11-16,26.5,26.5,26.2,26.3,386200.0
ULC,2014-11-13,26.1,26.5,26.1,26.2,175000.0
ULC,2014-11-12,30.3,30.8,29.6,29.8,379806.0
ULC,2014-11-11,26.4,26.6,25.7,26.0,210800.0
ULC,2014-11-09,22.7,22.9,22.5,22.5,126000.0
ULC,2014-11-08,23.1,23.2,22.3,22.4,282600.0
ULC,2014-11-06,22.9,23.0,22.5,22.5,19200.0
ULC,2014-11-05,24.6,24.6,24.1,24.2,79400.0
ULC,2014-11-03,29.0,29.5,28.8,29.2,134600.0
ULC,2014-11-02,34.7,34.8,34.0,34.5,287200.0
ULC,2014-10-30,26.6,27.1,26.6,26.9,496600.0
ULC,2014-10-29,25.6,26.6,25.6,26.4,272200.0
ULC,2014-10-28,26.7,26.8,25.8,26.1,346600.0
ULC,2014-10-27,26.4,26.6,26.1,26.5,198800.0
ULC,2014-10-26,26.9,26.9,26.3,26.3,213400.0
ULC,2014-10-23,26.4,26.7,26.2,26.2,173400.0
ULC,2014-10-22,26.4,26.5,26.1,26.1,305000.0
ULC,2014-10-21,26.0,26.7,25.9,26.2,300200.0
ULC,2014-10-20,25.9,26.7,25.6,25.8,206200.0
ULC,2014-10-19,26.1,26.6,25.6,25.8,245400.0
ULC,2014-10-16,27.7,27.7,26.1,26.3,557600.0
ULC,2014-10-15,27.9,28.0,27.0,27.1,568000.0
ULC,2014-10-14,27.9,28.6,27.6,27.7,817400.0
ULC,2014-10-13,27.6,28.0,27.0,27.3,734200.0
ULC,2014-10-12,31.3,31.8,30.0,30.8,1358400.0
ULC,2014-10-11,26.5,27.1,26.4,26.4,389400.0
ULC,2014-10-09,23.3,23.5,22.6,22.7,282800.0
ULC,2014-10-08,22.7,23.6,22.7,22.9,293800.0
ULC,2014-10-07,22.8,22.9,22.5,22.6,64800.0
ULC,2014-10-06,23.0,23.0,22.6,22.8,49200.0
ULC,2014-10-04,25.2,26.3,25.2,25.3,123800.0
ULC,2014-10-03,29.0,29.8,28.8,29.0,153600.0
ULC,2014-10-02,34.5,35.1,34.3,34.4,325000.0
ULC,2014-09-30,25.1,26.2,25.1,25.2,359200.0
