Trading_Code,Date,Open,High,Low,Close,Volume
UNIONCAP,2025-04-08,6.0,6.0,5.9,5.9,28257.0
UNIONCAP,2025-04-07,6.0,6.2,5.8,5.8,253855.0
UNIONCAP,2025-04-06,5.9,6.0,5.8,5.9,35959.0
UNIONCAP,2025-03-27,6.3,6.3,6.0,6.0,65451.0
UNIONCAP,2025-03-25,6.1,6.2,5.9,6.1,149418.0
UNIONCAP,2025-03-24,5.8,6.0,5.7,5.9,68084.0
UNIONCAP,2025-03-23,6.1,6.1,5.8,5.8,43704.0
UNIONCAP,2025-03-20,6.0,6.1,5.9,5.9,136408.0
UNIONCAP,2025-03-19,6.0,6.0,5.6,5.8,166290.0
UNIONCAP,2025-03-18,6.0,6.0,5.8,5.9,174742.0
UNIONCAP,2025-03-17,6.0,6.0,5.9,5.9,106014.0
UNIONCAP,2025-03-16,6.1,6.1,5.9,6.0,130475.0
UNIONCAP,2025-03-13,6.1,6.1,6.0,6.1,4574.0
UNIONCAP,2025-03-12,6.1,6.1,6.0,6.0,49175.0
UNIONCAP,2025-03-11,6.1,6.1,6.0,6.0,52318.0
UNIONCAP,2025-03-10,6.1,6.1,6.0,6.0,10207.0
UNIONCAP,2025-03-09,6.3,6.3,5.9,5.9,460335.0
UNIONCAP,2025-03-06,6.4,6.4,6.1,6.1,175375.0
UNIONCAP,2025-03-05,6.4,6.4,6.2,6.2,60224.0
UNIONCAP,2025-03-04,6.4,6.4,6.2,6.2,39547.0
UNIONCAP,2025-03-03,6.0,6.4,6.0,6.4,272202.0
UNIONCAP,2025-03-02,6.4,6.4,6.1,6.1,340568.0
UNIONCAP,2025-02-27,6.4,6.4,6.2,6.2,355735.0
UNIONCAP,2025-02-26,6.4,6.5,6.3,6.3,209995.0
UNIONCAP,2025-02-25,6.5,6.6,6.4,6.5,140359.0
UNIONCAP,2025-02-24,6.3,6.5,6.3,6.4,300054.0
UNIONCAP,2025-02-23,6.3,6.4,6.2,6.2,215777.0
UNIONCAP,2025-02-20,6.4,6.5,6.3,6.4,345188.0
UNIONCAP,2025-02-19,6.4,6.4,6.3,6.3,134429.0
UNIONCAP,2025-02-18,6.4,6.4,6.3,6.3,60771.0
UNIONCAP,2025-02-17,6.3,6.3,6.2,6.3,31447.0
UNIONCAP,2025-02-16,6.3,6.4,6.2,6.2,128487.0
UNIONCAP,2025-02-13,6.4,6.4,6.3,6.3,111719.0
UNIONCAP,2025-02-12,6.6,6.6,6.3,6.3,162949.0
UNIONCAP,2025-02-11,6.5,6.5,6.3,6.5,130561.0
UNIONCAP,2025-02-10,6.5,6.5,6.3,6.3,138316.0
UNIONCAP,2025-02-09,6.5,6.7,6.3,6.4,456007.0
UNIONCAP,2025-02-06,6.3,6.6,6.3,6.4,368816.0
UNIONCAP,2025-02-05,6.2,6.3,6.1,6.1,90169.0
