Trading_Code,Date,Open,High,Low,Close,Volume
UNIONINS,2025-04-08,27.4,27.4,26.5,26.6,57810.0
UNIONINS,2025-04-07,27.5,27.5,26.8,26.9,103094.0
UNIONINS,2025-04-06,27.0,27.0,26.5,26.7,16134.0
UNIONINS,2025-03-27,28.0,28.0,26.9,27.1,14806.0
UNIONINS,2025-03-25,27.1,27.8,27.0,27.3,98804.0
UNIONINS,2025-03-24,27.6,27.6,27.0,27.3,34403.0
UNIONINS,2025-03-23,28.4,28.4,26.3,26.8,171348.0
UNIONINS,2025-03-20,27.4,28.4,27.2,27.9,204533.0
UNIONINS,2025-03-19,28.7,28.7,27.3,27.7,125316.0
UNIONINS,2025-03-18,28.9,28.9,27.8,28.2,193249.0
UNIONINS,2025-03-17,28.1,28.7,27.6,28.6,471406.0
UNIONINS,2025-03-16,26.7,28.6,26.7,27.6,283667.0
UNIONINS,2025-03-13,25.8,27.7,25.8,26.7,156518.0
UNIONINS,2025-03-12,25.9,26.3,25.8,26.0,45966.0
UNIONINS,2025-03-11,26.0,26.6,25.7,26.2,74022.0
UNIONINS,2025-03-10,25.3,25.6,25.2,25.4,66329.0
UNIONINS,2025-03-09,26.1,26.1,25.3,25.4,67770.0
UNIONINS,2025-03-06,26.6,26.9,26.0,26.1,37222.0
UNIONINS,2025-03-05,25.9,26.3,25.9,26.0,47511.0
UNIONINS,2025-03-04,26.2,26.8,26.0,26.2,32649.0
UNIONINS,2025-03-03,26.6,26.6,25.9,26.2,26236.0
UNIONINS,2025-03-02,26.6,26.7,26.1,26.2,72504.0
UNIONINS,2025-02-27,27.2,27.2,26.6,26.7,55346.0
UNIONINS,2025-02-26,27.7,27.7,26.7,26.9,47376.0
UNIONINS,2025-02-25,27.7,27.9,27.1,27.3,251309.0
UNIONINS,2025-02-24,27.4,27.7,27.1,27.3,84456.0
UNIONINS,2025-02-23,26.3,27.2,26.3,27.0,107654.0
UNIONINS,2025-02-20,27.0,27.0,26.0,26.2,43420.0
UNIONINS,2025-02-19,26.4,26.4,25.8,26.0,41253.0
UNIONINS,2025-02-18,26.4,26.9,26.3,26.4,48229.0
UNIONINS,2025-02-17,26.4,27.1,26.4,26.6,46307.0
UNIONINS,2025-02-16,27.5,27.5,26.8,27.0,26524.0
UNIONINS,2025-02-13,27.0,27.2,26.3,27.0,75549.0
UNIONINS,2025-02-12,28.0,28.0,26.7,26.8,47113.0
UNIONINS,2025-02-11,29.6,29.6,27.3,27.4,153175.0
UNIONINS,2025-02-10,27.7,27.7,26.8,27.0,99240.0
UNIONINS,2025-02-09,27.9,28.9,27.4,27.8,108734.0
UNIONINS,2025-02-06,27.1,28.1,27.1,27.9,45964.0
UNIONINS,2025-02-05,27.4,27.9,26.7,27.6,75567.0
UNIONINS,2025-02-04,27.0,27.0,26.5,26.7,52847.0
UNIONINS,2025-02-03,27.0,27.3,26.4,27.0,60627.0
UNIONINS,2025-02-02,27.5,27.5,26.5,26.7,37218.0
UNIONINS,2025-01-30,27.0,27.3,26.7,27.0,57592.0
UNIONINS,2025-01-29,26.7,27.3,26.6,27.2,93585.0
UNIONINS,2025-01-28,25.9,26.8,25.9,26.7,47534.0
UNIONINS,2025-01-27,26.3,26.3,25.8,26.0,16528.0
UNIONINS,2025-01-26,26.2,26.2,25.8,25.9,9322.0
UNIONINS,2025-01-23,26.2,26.5,26.0,26.1,3884.0
UNIONINS,2025-01-22,26.1,26.4,25.7,26.2,59891.0
UNIONINS,2025-01-21,26.1,26.6,25.7,26.3,22563.0
UNIONINS,2025-01-20,26.4,26.4,25.6,25.7,13557.0
UNIONINS,2025-01-19,26.0,27.0,25.2,25.4,161323.0
UNIONINS,2025-01-16,26.3,26.8,26.1,26.3,9847.0
UNIONINS,2025-01-15,26.2,27.1,26.1,26.2,27849.0
UNIONINS,2025-01-14,26.2,27.0,26.2,26.3,53434.0
UNIONINS,2025-01-13,27.0,27.3,26.1,26.2,65724.0
UNIONINS,2025-01-12,27.4,27.9,27.1,27.1,24584.0
UNIONINS,2025-01-09,26.2,27.7,26.2,27.4,60156.0
UNIONINS,2025-01-08,26.2,27.0,26.2,26.5,53324.0
UNIONINS,2025-01-07,27.0,27.0,26.3,26.5,54985.0
UNIONINS,2025-01-06,26.4,27.2,26.4,26.9,33933.0
UNIONINS,2025-01-05,26.0,27.8,26.0,26.6,27481.0
UNIONINS,2025-01-02,27.4,27.4,26.4,26.9,25749.0
UNIONINS,2025-01-01,27.9,27.9,26.9,27.0,13256.0
UNIONINS,2024-12-30,27.7,27.7,27.0,27.2,44030.0
UNIONINS,2024-12-29,26.9,27.5,26.9,27.2,63003.0
UNIONINS,2024-12-26,27.5,27.5,26.3,26.9,52549.0
UNIONINS,2024-12-24,27.0,27.3,26.2,26.6,17212.0
UNIONINS,2024-12-23,25.6,26.7,25.3,26.5,51099.0
UNIONINS,2024-12-22,26.5,26.5,25.3,25.5,20638.0
UNIONINS,2024-12-19,25.6,26.6,25.6,26.4,20059.0
UNIONINS,2024-12-18,26.3,26.9,25.7,26.1,52640.0
UNIONINS,2024-12-17,26.6,27.0,25.7,26.5,58300.0
UNIONINS,2024-12-15,25.7,26.4,25.4,26.3,9915.0
UNIONINS,2024-12-12,25.4,25.7,25.2,25.5,17734.0
UNIONINS,2024-12-11,25.7,26.3,25.6,25.6,5542.0
UNIONINS,2024-12-10,25.8,26.7,25.1,26.3,28247.0
UNIONINS,2024-12-09,25.1,25.9,25.1,25.5,18776.0
UNIONINS,2024-12-08,26.1,26.1,25.3,25.4,28268.0
UNIONINS,2024-12-05,26.6,27.0,26.3,26.4,29030.0
UNIONINS,2024-12-04,26.7,27.1,26.4,26.9,34699.0
UNIONINS,2024-12-03,27.0,27.1,26.5,26.7,54649.0
UNIONINS,2024-12-02,26.8,27.4,26.5,26.9,21464.0
