Trading_Code,Date,Open,High,Low,Close,Volume
UNIQUEHRL,2025-04-08,40.8,40.9,40.5,40.7,64091.0
UNIQUEHRL,2025-04-07,40.9,41.3,40.7,40.9,79063.0
UNIQUEHRL,2025-04-06,42.5,42.5,40.3,40.7,80764.0
UNIQUEHRL,2025-03-27,41.5,41.5,40.6,40.8,189865.0
UNIQUEHRL,2025-03-25,42.4,42.4,41.3,41.4,64071.0
UNIQUEHRL,2025-03-24,41.3,41.7,41.1,41.4,90754.0
UNIQUEHRL,2025-03-23,41.4,41.6,41.1,41.2,57718.0
UNIQUEHRL,2025-03-20,41.6,41.7,41.2,41.3,159985.0
UNIQUEHRL,2025-03-19,42.0,42.1,41.3,41.5,168411.0
UNIQUEHRL,2025-03-18,42.1,42.1,41.8,41.9,87208.0
UNIQUEHRL,2025-03-17,42.0,42.2,41.9,41.9,67468.0
UNIQUEHRL,2025-03-16,42.3,42.3,41.8,41.9,212774.0
UNIQUEHRL,2025-03-13,42.4,42.4,42.0,42.2,90006.0
UNIQUEHRL,2025-03-12,42.3,42.3,42.0,42.1,160865.0
UNIQUEHRL,2025-03-11,42.4,42.7,42.1,42.3,81089.0
UNIQUEHRL,2025-03-10,42.2,42.5,42.1,42.4,112987.0
UNIQUEHRL,2025-03-09,42.8,42.8,42.0,42.1,197483.0
UNIQUEHRL,2025-03-06,43.3,43.3,42.4,42.5,171971.0
UNIQUEHRL,2025-03-05,42.9,43.1,42.7,42.8,111095.0
UNIQUEHRL,2025-03-04,43.4,43.6,42.9,43.0,145327.0
UNIQUEHRL,2025-03-03,43.2,43.7,42.8,43.4,103233.0
UNIQUEHRL,2025-03-02,43.9,43.9,43.2,43.3,98440.0
UNIQUEHRL,2025-02-27,43.2,44.2,42.9,43.7,434585.0
UNIQUEHRL,2025-02-26,43.5,43.5,42.9,43.1,134165.0
UNIQUEHRL,2025-02-25,42.7,43.6,42.7,43.3,358719.0
UNIQUEHRL,2025-02-24,42.7,42.8,42.5,42.7,179785.0
UNIQUEHRL,2025-02-23,42.7,42.7,42.3,42.6,192752.0
UNIQUEHRL,2025-02-20,42.7,42.7,42.3,42.4,138860.0
UNIQUEHRL,2025-02-19,42.7,42.8,42.4,42.5,103488.0
UNIQUEHRL,2025-02-18,42.9,43.0,42.6,42.7,130752.0
UNIQUEHRL,2025-02-17,43.0,43.1,42.6,42.9,117193.0
UNIQUEHRL,2025-02-16,42.7,43.0,42.6,42.8,156158.0
UNIQUEHRL,2025-02-13,42.9,43.3,42.7,42.8,200645.0
UNIQUEHRL,2025-02-12,43.4,43.6,43.0,43.0,104150.0
UNIQUEHRL,2025-02-11,43.1,43.6,43.1,43.4,259941.0
UNIQUEHRL,2025-02-10,43.0,43.3,42.9,43.0,209255.0
UNIQUEHRL,2025-02-09,43.4,43.7,42.9,43.0,300439.0
UNIQUEHRL,2025-02-06,42.9,43.3,42.5,43.2,234701.0
UNIQUEHRL,2025-02-05,42.8,42.9,42.4,42.5,117373.0
UNIQUEHRL,2025-02-04,42.6,43.1,42.4,42.6,207922.0
UNIQUEHRL,2025-02-03,42.9,43.1,42.3,42.4,202786.0
UNIQUEHRL,2025-02-02,43.7,43.7,42.5,42.7,289904.0
UNIQUEHRL,2025-01-30,44.1,44.1,43.2,43.3,204694.0
UNIQUEHRL,2025-01-29,44.0,45.9,43.9,44.1,917717.0
UNIQUEHRL,2025-01-28,43.7,43.7,43.3,43.5,209964.0
UNIQUEHRL,2025-01-27,42.8,43.8,42.5,43.4,560459.0
UNIQUEHRL,2025-01-26,42.8,43.1,42.5,42.5,128120.0
UNIQUEHRL,2025-01-23,43.1,43.1,42.6,42.8,137559.0
UNIQUEHRL,2025-01-22,43.2,43.4,42.8,42.9,185512.0
UNIQUEHRL,2025-01-21,43.1,43.5,42.9,43.2,309410.0
UNIQUEHRL,2025-01-20,43.0,43.4,42.7,43.0,251544.0
UNIQUEHRL,2025-01-19,43.0,43.4,42.7,43.1,252212.0
UNIQUEHRL,2025-01-16,42.7,43.3,42.5,43.0,339222.0
UNIQUEHRL,2025-01-15,42.7,42.8,42.3,42.7,190707.0
UNIQUEHRL,2025-01-14,42.7,42.9,42.2,42.5,156859.0
UNIQUEHRL,2025-01-13,43.0,43.3,41.9,42.5,565994.0
UNIQUEHRL,2025-01-12,43.1,43.7,42.8,42.9,104405.0
UNIQUEHRL,2025-01-09,44.0,44.0,42.9,43.4,279832.0
UNIQUEHRL,2025-01-08,44.1,44.1,43.2,43.3,164008.0
UNIQUEHRL,2025-01-07,44.1,44.1,43.6,43.7,123435.0
