Trading_Code,Date,Open,High,Low,Close,Volume
UNITEDAIR,2021-12-01,1.9,1.9,1.9,1.9,903769.0
UNITEDAIR,2021-11-01,1.8,1.8,1.8,1.8,2644476.0
UNITEDAIR,2021-10-01,1.6,1.7,1.6,1.7,13409224.0
UNITEDAIR,2021-07-01,1.5,1.6,1.5,1.6,2636846.0
UNITEDAIR,2021-06-01,1.5,1.6,1.5,1.5,1195755.0
UNITEDAIR,2021-05-01,1.6,1.6,1.5,1.5,2691909.0
UNITEDAIR,2021-04-01,1.6,1.6,1.5,1.6,2972354.0
UNITEDAIR,2021-03-01,1.6,1.6,1.5,1.6,2854235.0
UNITEDAIR,2020-12-30,1.5,1.6,1.4,1.6,3625183.0
UNITEDAIR,2020-12-29,1.5,1.6,1.4,1.5,2622280.0
UNITEDAIR,2020-12-28,1.5,1.5,1.4,1.5,2049583.0
UNITEDAIR,2020-12-27,1.5,1.5,1.4,1.5,1817833.0
UNITEDAIR,2020-12-24,1.5,1.6,1.4,1.5,4603534.0
UNITEDAIR,2020-12-23,1.5,1.5,1.4,1.5,1134766.0
UNITEDAIR,2020-12-22,1.6,1.6,1.4,1.5,2549099.0
UNITEDAIR,2020-12-21,1.5,1.5,1.4,1.5,1293542.0
UNITEDAIR,2020-12-20,1.5,1.6,1.4,1.4,3202887.0
UNITEDAIR,2020-12-17,1.5,1.6,1.5,1.5,1776245.0
UNITEDAIR,2020-12-15,1.5,1.6,1.5,1.5,1633051.0
UNITEDAIR,2020-12-14,1.5,1.6,1.5,1.5,1600196.0
UNITEDAIR,2020-12-13,1.5,1.6,1.5,1.5,1422103.0
UNITEDAIR,2020-12-11,1.5,1.6,1.5,1.5,3222783.0
UNITEDAIR,2020-12-10,2.0,2.1,1.9,1.9,2003365.0
UNITEDAIR,2020-12-08,1.4,1.5,1.4,1.4,6467618.0
UNITEDAIR,2020-12-07,1.4,1.4,1.4,1.4,132040.0
UNITEDAIR,2020-12-03,1.5,1.5,1.3,1.4,1855262.0
UNITEDAIR,2020-12-02,1.5,1.6,1.5,1.5,493397.0
UNITEDAIR,2020-12-01,1.4,1.4,1.3,1.4,155743.0
UNITEDAIR,2020-11-30,1.5,1.6,1.4,1.5,3640347.0
UNITEDAIR,2020-11-29,1.5,1.6,1.5,1.5,1812539.0
UNITEDAIR,2020-11-26,1.6,1.6,1.5,1.5,854042.0
UNITEDAIR,2020-11-25,1.4,1.5,1.4,1.5,1980855.0
UNITEDAIR,2020-11-24,1.5,1.5,1.4,1.4,13072707.0
UNITEDAIR,2020-11-23,1.5,1.6,1.4,1.5,1210141.0
UNITEDAIR,2020-11-22,1.5,1.6,1.4,1.5,3356942.0
UNITEDAIR,2020-11-19,1.5,1.6,1.5,1.5,3755085.0
UNITEDAIR,2020-11-18,1.5,1.6,1.5,1.5,2642907.0
UNITEDAIR,2020-11-17,1.5,1.6,1.5,1.5,2877127.0
UNITEDAIR,2020-11-16,1.6,1.6,1.5,1.5,2913590.0
UNITEDAIR,2020-11-15,1.6,1.6,1.5,1.5,4490416.0
UNITEDAIR,2020-11-11,1.6,1.6,1.5,1.6,1134157.0
UNITEDAIR,2020-11-10,2.1,2.1,2.0,2.0,4358629.0
UNITEDAIR,2020-11-06,1.4,1.4,1.4,1.4,18700.0
UNITEDAIR,2020-11-03,1.5,1.5,1.3,1.4,3863657.0
UNITEDAIR,2020-11-02,1.6,1.6,1.5,1.6,810800.0
UNITEDAIR,2020-10-29,1.6,1.6,1.5,1.5,3263249.0
UNITEDAIR,2020-10-28,1.6,1.6,1.5,1.6,4873979.0
UNITEDAIR,2020-10-27,1.7,1.7,1.6,1.6,5733553.0
UNITEDAIR,2020-10-25,1.8,1.8,1.7,1.7,2829572.0
UNITEDAIR,2020-10-22,1.9,2.0,1.8,1.8,3670476.0
UNITEDAIR,2020-10-21,1.9,2.0,1.9,1.9,1656246.0
UNITEDAIR,2020-10-20,1.9,2.0,1.9,1.9,991585.0
UNITEDAIR,2020-10-19,1.9,2.0,1.8,1.9,3048043.0
UNITEDAIR,2020-10-18,2.0,2.0,1.9,1.9,1678236.0
UNITEDAIR,2020-10-15,2.1,2.1,1.9,2.0,3446889.0
UNITEDAIR,2020-10-14,2.1,2.2,2.0,2.1,1566791.0
UNITEDAIR,2020-10-13,2.0,2.0,1.8,2.0,4132039.0
UNITEDAIR,2020-10-12,1.5,1.6,1.5,1.5,1331089.0
UNITEDAIR,2020-10-11,1.6,1.7,1.5,1.6,2962697.0
UNITEDAIR,2020-10-09,1.4,1.5,1.4,1.5,4956687.0
UNITEDAIR,2020-10-08,1.6,1.6,1.4,1.4,9651080.0
UNITEDAIR,2020-10-06,1.4,1.4,1.4,1.4,117550.0
UNITEDAIR,2020-10-03,1.4,1.5,1.4,1.4,4679064.0
UNITEDAIR,2020-10-02,1.5,1.6,1.5,1.5,857238.0
UNITEDAIR,2020-09-30,2.2,2.3,2.2,2.2,4447193.0
UNITEDAIR,2020-09-29,2.6,2.6,2.4,2.4,7339833.0
UNITEDAIR,2020-09-28,2.7,2.8,2.5,2.6,9193902.0
UNITEDAIR,2020-09-27,2.6,2.6,2.5,2.6,13020168.0
UNITEDAIR,2020-09-24,2.2,2.4,2.2,2.4,11777143.0
UNITEDAIR,2020-09-23,2.2,2.3,2.1,2.2,6849179.0
UNITEDAIR,2020-09-22,2.4,2.5,2.1,2.2,13785078.0
UNITEDAIR,2020-09-21,2.4,2.4,2.0,2.3,39986589.0
UNITEDAIR,2020-09-20,2.1,2.2,2.1,2.2,4316252.0
UNITEDAIR,2020-09-17,1.9,2.0,1.9,2.0,15038782.0
