Trading_Code,Date,Open,High,Low,Close,Volume
UNITEDINS,2025-04-08,36.9,36.9,36.4,36.5,12240.0
UNITEDINS,2025-04-07,37.4,37.4,36.3,36.4,5024.0
UNITEDINS,2025-04-06,36.1,37.9,35.9,36.5,5026.0
UNITEDINS,2025-03-27,37.8,37.8,36.7,36.9,1862.0
UNITEDINS,2025-03-25,36.8,37.6,36.6,37.5,41112.0
UNITEDINS,2025-03-24,38.1,38.1,36.5,36.8,21854.0
UNITEDINS,2025-03-23,36.8,37.7,36.4,36.7,6749.0
UNITEDINS,2025-03-20,37.3,37.3,36.5,36.7,3504.0
UNITEDINS,2025-03-19,39.0,39.0,36.4,37.0,25141.0
UNITEDINS,2025-03-18,38.3,39.5,37.0,37.2,46204.0
UNITEDINS,2025-03-17,39.7,39.7,36.8,38.3,32410.0
UNITEDINS,2025-03-16,37.6,39.9,37.3,39.1,136469.0
UNITEDINS,2025-03-13,37.0,37.5,36.5,37.0,35581.0
UNITEDINS,2025-03-12,36.8,38.0,36.0,36.0,12033.0
UNITEDINS,2025-03-11,36.3,36.7,35.6,35.8,8414.0
UNITEDINS,2025-03-10,36.4,36.4,35.7,35.8,2534.0
UNITEDINS,2025-03-09,37.0,37.0,35.5,35.9,3688.0
UNITEDINS,2025-03-06,37.0,37.4,36.1,36.3,9925.0
UNITEDINS,2025-03-05,36.9,36.9,36.2,36.3,1868.0
UNITEDINS,2025-03-04,36.5,38.0,36.3,36.8,7327.0
UNITEDINS,2025-03-03,36.9,36.9,36.1,36.2,2367.0
UNITEDINS,2025-03-02,36.9,36.9,35.9,36.1,9210.0
UNITEDINS,2025-02-27,36.1,36.6,35.7,35.8,24136.0
UNITEDINS,2025-02-26,36.5,36.7,35.9,36.0,22714.0
UNITEDINS,2025-02-25,36.6,37.2,36.5,36.8,43800.0
UNITEDINS,2025-02-24,36.8,36.9,36.3,36.4,12272.0
UNITEDINS,2025-02-23,36.0,36.6,35.7,36.3,55691.0
UNITEDINS,2025-02-20,36.2,36.2,35.5,35.7,36919.0
UNITEDINS,2025-02-19,36.2,36.3,36.1,36.2,7917.0
UNITEDINS,2025-02-18,36.5,36.7,36.0,36.1,60404.0
UNITEDINS,2025-02-17,36.3,36.8,36.2,36.8,16364.0
UNITEDINS,2025-02-16,36.7,36.7,36.0,36.2,36602.0
UNITEDINS,2025-02-13,37.2,37.2,36.6,36.8,10266.0
UNITEDINS,2025-02-12,37.7,37.7,36.6,36.7,7890.0
UNITEDINS,2025-02-11,38.8,38.8,36.7,36.8,22795.0
UNITEDINS,2025-02-10,37.4,37.4,36.8,37.0,19474.0
UNITEDINS,2025-02-09,38.1,38.1,37.3,37.4,14134.0
UNITEDINS,2025-02-06,37.7,38.0,37.6,38.0,15854.0
UNITEDINS,2025-02-05,37.0,37.9,37.0,37.5,16586.0
UNITEDINS,2025-02-04,38.0,38.0,37.2,37.4,10995.0
