Trading_Code,Date,Open,High,Low,Close,Volume
UTTARAFIN,2025-04-08,14.8,14.9,14.6,14.7,6147.0
UTTARAFIN,2025-04-07,14.8,15.3,14.8,14.9,14527.0
UTTARAFIN,2025-04-06,14.5,14.9,14.4,14.6,6511.0
UTTARAFIN,2025-03-27,14.9,14.9,14.7,14.7,2248.0
UTTARAFIN,2025-03-25,14.6,15.3,14.6,15.2,31590.0
UTTARAFIN,2025-03-24,14.2,14.6,14.2,14.4,102.0
UTTARAFIN,2025-03-23,14.5,14.6,14.2,14.3,8013.0
UTTARAFIN,2025-03-20,14.4,14.5,14.3,14.3,6531.0
UTTARAFIN,2025-03-19,14.5,14.6,14.3,14.4,18300.0
UTTARAFIN,2025-03-18,14.2,15.0,14.2,14.5,2161.0
UTTARAFIN,2025-03-17,14.6,15.4,14.4,14.5,23815.0
UTTARAFIN,2025-03-16,14.5,14.8,14.5,14.6,9168.0
UTTARAFIN,2025-03-13,15.0,15.0,14.5,14.5,39227.0
UTTARAFIN,2025-03-12,15.2,15.2,14.7,15.0,3050.0
UTTARAFIN,2025-03-11,15.0,15.2,15.0,15.1,12520.0
UTTARAFIN,2025-03-10,15.5,15.5,15.1,15.3,822.0
UTTARAFIN,2025-03-09,15.7,15.7,15.1,15.1,126.0
UTTARAFIN,2025-03-06,15.1,15.1,15.1,15.1,100.0
UTTARAFIN,2025-03-05,15.3,15.7,15.0,15.1,19500.0
UTTARAFIN,2025-03-04,16.3,16.3,15.3,15.4,2575.0
UTTARAFIN,2025-03-03,15.3,15.3,15.2,15.2,1500.0
UTTARAFIN,2025-03-02,15.5,15.8,15.3,15.4,372.0
UTTARAFIN,2025-02-27,15.5,15.5,15.3,15.5,2950.0
UTTARAFIN,2025-02-26,15.4,15.4,15.0,15.2,3344.0
UTTARAFIN,2025-02-25,15.6,15.7,15.4,15.5,2540.0
UTTARAFIN,2025-02-24,15.4,15.7,15.3,15.4,7962.0
UTTARAFIN,2025-02-23,15.2,15.5,15.1,15.4,6120.0
UTTARAFIN,2025-02-20,15.2,15.4,15.0,15.2,1750.0
UTTARAFIN,2025-02-19,15.4,15.5,15.2,15.4,305.0
UTTARAFIN,2025-02-18,15.5,15.5,15.0,15.0,27.0
