Trading_Code,Date,Open,High,Low,Close,Volume
VFSTDL,2025-04-08,8.3,8.3,8.0,8.1,124494.0
VFSTDL,2025-04-07,8.2,8.4,8.0,8.2,342124.0
VFSTDL,2025-04-06,8.5,8.5,8.0,8.2,270014.0
VFSTDL,2025-03-27,8.8,8.9,8.7,8.8,18086.0
VFSTDL,2025-03-25,8.6,8.8,8.5,8.7,37975.0
VFSTDL,2025-03-24,8.9,8.9,8.5,8.5,147775.0
VFSTDL,2025-03-23,9.0,9.0,8.4,8.6,501844.0
VFSTDL,2025-03-20,9.0,9.0,8.9,8.9,62576.0
VFSTDL,2025-03-19,9.2,9.2,8.9,8.9,115074.0
VFSTDL,2025-03-18,9.0,9.1,8.9,9.1,144235.0
VFSTDL,2025-03-17,9.0,9.0,8.8,8.9,65321.0
VFSTDL,2025-03-16,9.3,9.3,8.8,8.9,26718.0
VFSTDL,2025-03-13,9.0,9.1,8.7,8.8,270523.0
VFSTDL,2025-03-12,9.0,9.1,8.9,8.9,221702.0
VFSTDL,2025-03-11,9.2,9.2,8.8,8.8,169519.0
VFSTDL,2025-03-10,9.1,9.3,8.9,9.1,245789.0
VFSTDL,2025-03-09,9.4,9.4,9.1,9.1,209920.0
VFSTDL,2025-03-06,9.3,9.5,9.3,9.4,175887.0
VFSTDL,2025-03-05,9.3,9.6,9.2,9.3,298543.0
VFSTDL,2025-03-04,9.8,10.2,9.3,9.4,1200218.0
VFSTDL,2025-03-03,9.1,9.8,9.1,9.7,1153006.0
VFSTDL,2025-03-02,9.1,9.2,9.0,9.1,283028.0
VFSTDL,2025-02-27,8.8,9.2,8.8,8.9,350775.0
VFSTDL,2025-02-26,9.0,9.0,8.7,8.8,204158.0
VFSTDL,2025-02-25,9.3,9.3,8.8,8.8,634926.0
VFSTDL,2025-02-24,8.8,9.2,8.8,9.0,270607.0
VFSTDL,2025-02-23,8.7,8.7,8.4,8.6,381959.0
VFSTDL,2025-02-20,8.8,8.8,8.4,8.5,559849.0
VFSTDL,2025-02-19,8.9,8.9,8.7,8.8,84827.0
VFSTDL,2025-02-18,9.2,9.6,8.8,8.8,320966.0
VFSTDL,2025-02-17,8.7,9.2,8.7,8.9,550907.0
VFSTDL,2025-02-16,9.5,9.5,8.8,8.9,224598.0
VFSTDL,2025-02-13,9.2,9.8,9.1,9.3,902175.0
VFSTDL,2025-02-12,8.4,9.1,8.4,9.1,1619050.0
VFSTDL,2025-02-11,8.0,8.4,8.0,8.3,323453.0
VFSTDL,2025-02-10,8.0,8.3,7.8,8.0,329553.0
VFSTDL,2025-02-09,8.2,8.6,7.8,8.0,571698.0
VFSTDL,2025-02-06,8.4,9.1,8.4,8.4,694071.0
VFSTDL,2025-02-05,7.7,8.4,7.7,8.4,1173123.0
VFSTDL,2025-02-04,7.8,7.8,7.6,7.7,83808.0
VFSTDL,2025-02-03,7.7,8.0,7.7,7.7,275426.0
VFSTDL,2025-02-02,7.6,7.7,7.4,7.6,161830.0
VFSTDL,2025-01-30,7.6,7.6,7.4,7.4,65650.0
VFSTDL,2025-01-29,7.7,7.8,7.4,7.5,276370.0
VFSTDL,2025-01-28,7.4,7.7,7.4,7.6,230197.0
VFSTDL,2025-01-27,7.4,7.6,7.2,7.3,92475.0
VFSTDL,2025-01-26,7.5,7.8,7.4,7.5,18230.0
VFSTDL,2025-01-23,7.4,7.6,7.4,7.5,86267.0
VFSTDL,2025-01-22,7.6,7.7,7.5,7.5,55881.0
VFSTDL,2025-01-21,7.4,7.7,7.4,7.6,65245.0
VFSTDL,2025-01-20,7.7,7.8,7.3,7.4,250908.0
VFSTDL,2025-01-19,7.9,7.9,7.5,7.6,151948.0
