Trading_Code,Date,Open,High,Low,Close,Volume
WALTONHIL,2025-04-08,464.8,464.8,459.1,459.9,9808.0
WALTONHIL,2025-04-07,472.9,472.9,460.0,460.1,10969.0
WALTONHIL,2025-04-06,503.0,503.0,459.6,460.2,6720.0
WALTONHIL,2025-03-27,469.0,469.0,462.0,462.7,10725.0
WALTONHIL,2025-03-25,501.0,501.0,460.0,463.1,3703.0
WALTONHIL,2025-03-24,459.3,463.3,458.6,460.7,4736.0
WALTONHIL,2025-03-23,462.0,463.1,457.0,460.8,9457.0
WALTONHIL,2025-03-20,463.2,465.9,462.3,463.0,23788.0
WALTONHIL,2025-03-19,464.5,465.2,462.4,463.2,11086.0
WALTONHIL,2025-03-18,480.0,480.0,461.0,464.8,7131.0
WALTONHIL,2025-03-17,470.9,470.9,466.0,466.5,3611.0
WALTONHIL,2025-03-16,469.9,470.0,465.3,467.7,3854.0
WALTONHIL,2025-03-13,468.5,469.0,465.3,465.8,9173.0
WALTONHIL,2025-03-12,470.7,473.2,468.1,468.5,8571.0
WALTONHIL,2025-03-11,468.0,474.0,468.0,470.7,10528.0
WALTONHIL,2025-03-10,468.0,470.0,467.5,467.9,2630.0
WALTONHIL,2025-03-09,470.0,472.6,467.4,468.0,5402.0
WALTONHIL,2025-03-06,469.8,472.4,469.6,469.9,3437.0
WALTONHIL,2025-03-05,470.0,471.0,469.1,469.8,7395.0
WALTONHIL,2025-03-04,472.6,472.6,468.6,469.1,8952.0
WALTONHIL,2025-03-03,472.9,472.9,469.9,470.1,9968.0
WALTONHIL,2025-03-02,470.0,472.5,469.9,470.1,14970.0
WALTONHIL,2025-02-27,473.0,473.0,470.0,470.6,5987.0
WALTONHIL,2025-02-26,474.0,474.0,470.0,470.2,18143.0
WALTONHIL,2025-02-25,475.9,477.5,471.2,472.5,18604.0
WALTONHIL,2025-02-24,472.7,480.0,472.3,474.6,12143.0
WALTONHIL,2025-02-23,477.7,478.5,472.3,476.2,10260.0
WALTONHIL,2025-02-20,479.0,481.0,477.0,478.4,8130.0
WALTONHIL,2025-02-19,481.2,484.1,478.6,479.4,8775.0
WALTONHIL,2025-02-18,484.2,486.9,480.5,482.0,6368.0
WALTONHIL,2025-02-17,485.0,487.9,482.5,483.2,13791.0
WALTONHIL,2025-02-16,490.0,490.0,485.6,485.8,9734.0
WALTONHIL,2025-02-13,487.1,490.9,486.9,489.0,56501.0
WALTONHIL,2025-02-12,495.9,495.9,488.0,488.5,13597.0
WALTONHIL,2025-02-11,490.0,493.0,488.0,490.5,7837.0
WALTONHIL,2025-02-10,486.5,491.6,486.0,489.5,8384.0
WALTONHIL,2025-02-09,491.0,491.0,485.2,486.4,2366.0
WALTONHIL,2025-02-06,485.1,488.0,484.0,484.5,9748.0
WALTONHIL,2025-02-05,485.1,491.0,485.1,488.2,3656.0
WALTONHIL,2025-02-04,491.7,491.7,484.1,486.9,5556.0
WALTONHIL,2025-02-03,490.0,490.0,486.0,486.9,4549.0
WALTONHIL,2025-02-02,488.2,493.0,485.0,485.7,6610.0
WALTONHIL,2025-01-30,487.8,492.9,487.6,487.9,9212.0
WALTONHIL,2025-01-29,495.5,499.9,487.5,489.1,15675.0
WALTONHIL,2025-01-28,507.0,508.0,497.0,497.4,6312.0
WALTONHIL,2025-01-27,491.0,506.1,491.0,503.7,8014.0
WALTONHIL,2025-01-26,500.0,506.8,493.0,495.5,4779.0
WALTONHIL,2025-01-23,508.8,508.8,497.9,499.5,11351.0
WALTONHIL,2025-01-22,510.3,511.5,503.0,503.8,8358.0
WALTONHIL,2025-01-21,511.4,517.4,507.1,510.3,19153.0
WALTONHIL,2025-01-20,503.9,516.6,501.1,511.3,17893.0
WALTONHIL,2025-01-19,499.3,504.9,496.0,499.8,7181.0
WALTONHIL,2025-01-16,504.3,504.3,498.0,499.2,5183.0
WALTONHIL,2025-01-15,512.0,514.0,500.0,504.3,9568.0
WALTONHIL,2025-01-14,490.1,532.0,490.0,514.5,24887.0
WALTONHIL,2025-01-13,489.8,492.9,484.5,491.2,21763.0
WALTONHIL,2025-01-12,488.8,491.0,484.1,487.2,9282.0
WALTONHIL,2025-01-09,488.1,489.0,486.0,486.2,7386.0
WALTONHIL,2025-01-08,487.5,490.0,487.0,487.2,5601.0
WALTONHIL,2025-01-07,487.3,491.0,487.2,488.3,5746.0
WALTONHIL,2025-01-06,488.0,490.0,486.3,488.7,9168.0
WALTONHIL,2025-01-05,488.0,490.8,487.0,487.1,4370.0
WALTONHIL,2025-01-02,491.8,491.8,488.0,488.9,6949.0
WALTONHIL,2025-01-01,489.0,492.0,487.6,489.4,3854.0
WALTONHIL,2024-12-30,488.7,490.0,484.0,487.5,13983.0
WALTONHIL,2024-12-29,492.0,492.0,488.5,488.7,5975.0
WALTONHIL,2024-12-26,486.8,490.2,486.5,489.2,5087.0
WALTONHIL,2024-12-24,487.3,489.8,486.1,486.8,5470.0
WALTONHIL,2024-12-23,490.0,491.0,487.9,488.1,5557.0
WALTONHIL,2024-12-22,494.4,494.4,488.0,488.5,8332.0
WALTONHIL,2024-12-19,486.2,489.9,485.7,488.7,4797.0
WALTONHIL,2024-12-18,485.6,489.9,485.6,486.2,5764.0
WALTONHIL,2024-12-17,484.9,487.8,483.0,485.3,9324.0
WALTONHIL,2024-12-15,487.0,487.0,481.0,482.2,5993.0
WALTONHIL,2024-12-12,483.4,485.5,481.3,481.9,4411.0
WALTONHIL,2024-12-11,490.0,490.0,482.0,483.4,4256.0
WALTONHIL,2024-12-10,480.3,488.5,480.3,485.7,8148.0
WALTONHIL,2024-12-09,483.3,488.7,483.2,484.7,3815.0
WALTONHIL,2024-12-08,483.9,488.9,481.1,483.8,5189.0
WALTONHIL,2024-12-05,489.0,489.0,483.1,483.9,7696.0
WALTONHIL,2024-12-04,487.9,487.9,485.0,485.7,7032.0
WALTONHIL,2024-12-03,487.0,488.7,483.7,485.1,9236.0
WALTONHIL,2024-12-02,489.9,490.0,485.5,486.1,8813.0
WALTONHIL,2024-12-01,496.8,496.8,485.6,486.4,8877.0
WALTONHIL,2024-11-28,485.5,497.8,483.0,488.1,9694.0
WALTONHIL,2024-11-27,485.0,488.6,483.0,485.2,7654.0
WALTONHIL,2024-11-26,489.9,490.0,480.2,482.9,3952.0
WALTONHIL,2024-11-25,490.0,493.5,480.0,482.6,12973.0
WALTONHIL,2024-11-24,529.0,529.0,484.0,486.1,8469.0
WALTONHIL,2024-11-21,499.0,499.0,485.0,487.0,7954.0
WALTONHIL,2024-11-20,499.0,504.0,487.0,489.2,10450.0
WALTONHIL,2024-11-19,535.0,535.0,490.0,491.5,16249.0
WALTONHIL,2024-11-18,499.5,499.5,491.5,492.2,10897.0
WALTONHIL,2024-11-17,504.9,504.9,491.5,491.9,15405.0
WALTONHIL,2024-11-14,490.2,499.8,490.2,492.4,17125.0
WALTONHIL,2024-11-13,500.0,500.0,488.0,489.3,17101.0
WALTONHIL,2024-11-12,500.1,502.9,485.2,494.4,46634.0
WALTONHIL,2024-11-11,508.0,522.0,505.0,514.8,19376.0
WALTONHIL,2024-11-10,524.2,526.6,504.1,506.4,39057.0
WALTONHIL,2024-11-07,549.0,554.3,518.0,523.8,36806.0
WALTONHIL,2024-11-06,525.0,552.0,512.0,545.6,52052.0
WALTONHIL,2024-11-05,515.0,524.0,508.5,516.5,28821.0
WALTONHIL,2024-11-04,508.5,508.5,493.0,506.2,30166.0
WALTONHIL,2024-11-03,515.0,518.0,495.0,500.2,26909.0
WALTONHIL,2024-10-31,508.1,535.0,506.0,511.0,42416.0
WALTONHIL,2024-10-30,469.9,506.8,469.6,505.4,33244.0
WALTONHIL,2024-10-29,463.0,468.0,453.2,466.1,13411.0
WALTONHIL,2024-10-28,470.0,470.0,450.0,452.9,15192.0
WALTONHIL,2024-10-27,466.0,470.0,456.0,457.6,9954.0
WALTONHIL,2024-10-24,470.0,470.0,452.0,466.0,17481.0
WALTONHIL,2024-10-23,481.8,481.8,467.5,469.8,16988.0
WALTONHIL,2024-10-22,481.9,484.0,472.1,473.4,21546.0
WALTONHIL,2024-10-21,475.0,480.1,460.0,472.4,20932.0
WALTONHIL,2024-10-20,484.1,489.7,462.6,468.4,18750.0
WALTONHIL,2024-10-17,495.0,498.5,477.0,484.1,30316.0
WALTONHIL,2024-10-16,494.9,504.0,485.0,494.1,24938.0
WALTONHIL,2024-10-15,488.1,494.8,462.5,484.2,40987.0
WALTONHIL,2024-10-14,524.0,524.0,484.4,487.9,59517.0
WALTONHIL,2024-10-09,517.5,525.8,514.5,523.6,19143.0
WALTONHIL,2024-10-08,549.9,549.9,510.0,517.3,25499.0
WALTONHIL,2024-10-07,556.9,558.0,510.1,522.2,23463.0
WALTONHIL,2024-10-06,563.8,563.9,545.1,548.5,23246.0
WALTONHIL,2024-10-03,550.0,559.0,549.0,557.2,30353.0
WALTONHIL,2024-10-02,567.5,569.0,548.1,553.2,17429.0
WALTONHIL,2024-10-01,595.0,595.0,560.0,567.5,20835.0
WALTONHIL,2024-09-30,0.0,0.0,0.0,595.5,0.0
WALTONHIL,2024-09-29,598.0,601.5,589.9,595.5,55636.0
WALTONHIL,2024-09-26,603.0,603.0,565.3,597.7,48414.0
WALTONHIL,2024-09-25,620.3,626.3,610.0,611.1,50136.0
WALTONHIL,2024-09-24,630.9,630.9,618.1,619.6,28488.0
WALTONHIL,2024-09-23,630.9,634.0,622.5,624.0,28627.0
WALTONHIL,2024-09-22,643.4,648.9,630.0,630.9,36856.0
WALTONHIL,2024-09-19,621.0,641.1,615.9,636.4,56956.0
WALTONHIL,2024-09-18,645.0,645.0,619.9,620.9,66384.0
WALTONHIL,2024-09-17,655.0,655.0,635.0,637.6,59891.0
WALTONHIL,2024-09-15,660.0,665.0,645.0,650.4,66975.0
WALTONHIL,2024-09-12,646.0,656.0,630.2,644.2,58406.0
WALTONHIL,2024-09-11,655.0,659.0,638.0,642.2,35156.0
WALTONHIL,2024-09-10,659.0,663.9,646.0,651.9,28858.0
WALTONHIL,2024-09-09,655.0,680.0,645.0,647.8,40699.0
WALTONHIL,2024-09-08,688.0,688.0,651.0,655.7,38803.0
WALTONHIL,2024-09-05,715.0,750.0,671.1,675.1,149889.0
WALTONHIL,2024-09-04,735.0,749.0,701.0,709.0,66541.0
WALTONHIL,2024-09-03,710.0,750.0,709.8,729.1,80035.0
WALTONHIL,2024-09-02,709.8,713.0,692.4,705.8,86430.0
WALTONHIL,2024-09-01,703.7,709.9,685.0,699.8,49835.0
WALTONHIL,2024-08-29,680.0,718.0,675.0,696.9,64119.0
WALTONHIL,2024-08-28,634.0,679.8,634.0,672.9,62277.0
WALTONHIL,2024-08-27,637.8,647.0,630.0,634.0,17901.0
WALTONHIL,2024-08-25,615.5,639.0,615.5,631.2,13226.0
WALTONHIL,2024-08-22,585.1,634.8,585.0,613.0,15656.0
WALTONHIL,2024-08-21,612.6,612.6,601.6,602.1,12735.0
WALTONHIL,2024-08-20,631.8,636.9,618.0,620.2,9355.0
WALTONHIL,2024-08-19,630.2,643.0,618.2,624.0,17810.0
WALTONHIL,2024-08-18,649.2,649.2,629.8,630.2,21669.0
WALTONHIL,2024-08-15,644.5,656.0,637.5,649.2,28670.0
WALTONHIL,2024-08-14,650.0,659.8,631.0,644.3,28470.0
WALTONHIL,2024-08-13,643.4,659.9,642.9,642.9,39098.0
WALTONHIL,2024-08-12,685.0,687.0,662.7,662.7,26047.0
WALTONHIL,2024-08-11,698.0,712.0,650.0,683.1,62149.0
WALTONHIL,2024-08-08,640.0,675.0,620.0,665.3,66157.0
WALTONHIL,2024-08-07,633.0,640.0,604.5,631.0,35622.0
WALTONHIL,2024-08-06,605.0,631.2,605.0,623.1,32857.0
WALTONHIL,2024-08-04,588.1,588.2,587.2,587.2,10245.0
WALTONHIL,2024-08-01,608.8,609.0,593.2,605.3,18370.0
WALTONHIL,2024-07-31,587.0,607.0,585.0,599.1,19228.0
WALTONHIL,2024-07-30,610.0,610.0,587.9,588.6,41199.0
WALTONHIL,2024-07-29,619.0,626.4,602.6,605.9,29849.0
WALTONHIL,2024-07-28,645.0,645.0,610.0,617.0,21174.0
WALTONHIL,2024-07-25,615.0,634.9,602.9,623.4,35888.0
WALTONHIL,2024-07-24,621.5,621.5,621.5,621.5,5288.0
WALTONHIL,2024-07-18,655.0,655.0,640.7,640.7,29132.0
WALTONHIL,2024-07-16,649.8,681.5,649.8,660.5,93473.0
WALTONHIL,2024-07-15,589.6,634.0,589.6,634.0,28673.0
WALTONHIL,2024-07-14,597.4,603.0,585.0,589.8,13347.0
WALTONHIL,2024-07-11,610.0,613.0,593.0,597.4,25987.0
WALTONHIL,2024-07-10,620.3,629.6,605.0,611.3,24951.0
