Trading_Code,Date,Open,High,Low,Close,Volume
WATACHEM,2025-04-08,116.9,119.5,113.5,116.9,17845.0
WATACHEM,2025-04-07,112.0,114.9,112.0,112.1,6349.0
WATACHEM,2025-04-06,115.5,115.5,111.5,112.3,13486.0
WATACHEM,2025-03-27,117.0,126.9,115.2,116.0,6491.0
WATACHEM,2025-03-25,121.0,121.0,116.9,117.5,18201.0
WATACHEM,2025-03-24,121.5,123.0,116.6,119.6,3447.0
WATACHEM,2025-03-23,118.0,120.0,116.6,118.3,12831.0
WATACHEM,2025-03-20,118.2,121.5,111.0,117.9,10863.0
WATACHEM,2025-03-19,117.8,121.0,117.0,118.2,8603.0
WATACHEM,2025-03-18,124.8,124.8,118.0,118.2,3585.0
WATACHEM,2025-03-17,122.2,122.9,119.0,119.0,14176.0
WATACHEM,2025-03-16,123.0,125.9,119.7,122.2,13633.0
WATACHEM,2025-03-13,120.4,122.0,119.6,120.6,10873.0
WATACHEM,2025-03-12,123.0,123.0,119.9,120.6,8739.0
WATACHEM,2025-03-11,120.0,122.5,119.1,121.8,16598.0
WATACHEM,2025-03-10,117.0,118.2,116.5,117.4,4790.0
WATACHEM,2025-03-09,120.5,122.9,117.0,117.2,3881.0
WATACHEM,2025-03-06,122.0,124.0,115.6,120.8,10887.0
WATACHEM,2025-03-05,117.0,119.8,115.2,116.7,3692.0
WATACHEM,2025-03-04,124.5,124.5,116.0,118.8,23579.0
WATACHEM,2025-03-03,118.0,123.9,118.0,119.7,11224.0
WATACHEM,2025-03-02,119.0,123.7,118.0,120.0,18850.0
WATACHEM,2025-02-27,113.7,117.9,112.1,116.1,8384.0
WATACHEM,2025-02-26,114.5,114.5,112.1,113.0,5171.0
WATACHEM,2025-02-25,113.9,114.0,112.0,112.8,4196.0
WATACHEM,2025-02-24,112.6,114.0,112.6,113.3,1329.0
WATACHEM,2025-02-23,112.5,113.9,112.2,112.7,2361.0
WATACHEM,2025-02-20,114.3,114.3,111.5,112.3,7808.0
WATACHEM,2025-02-19,111.9,112.0,110.8,111.2,1166.0
WATACHEM,2025-02-18,112.6,112.9,111.4,112.1,7416.0
WATACHEM,2025-02-17,110.0,112.9,109.6,111.7,8536.0
WATACHEM,2025-02-16,111.8,111.8,109.8,110.2,4268.0
