Trading_Code,Date,Open,High,Low,Close,Volume
ZAHINTEX,2025-04-08,5.1,5.1,4.9,5.0,36379.0
ZAHINTEX,2025-04-07,5.1,5.1,4.9,5.0,5582.0
ZAHINTEX,2025-04-06,4.9,5.0,4.8,4.9,68686.0
ZAHINTEX,2025-03-27,5.0,5.1,4.9,5.0,69089.0
ZAHINTEX,2025-03-25,4.9,5.0,4.9,5.0,5495.0
ZAHINTEX,2025-03-24,5.1,5.1,4.9,4.9,30805.0
ZAHINTEX,2025-03-23,5.0,5.0,4.9,4.9,87985.0
ZAHINTEX,2025-03-20,5.0,5.0,4.9,4.9,152613.0
ZAHINTEX,2025-03-19,5.0,5.0,4.8,4.9,32092.0
ZAHINTEX,2025-03-18,5.0,5.0,4.8,4.8,9368.0
ZAHINTEX,2025-03-17,4.8,5.0,4.8,4.8,43096.0
ZAHINTEX,2025-03-16,4.9,5.1,4.8,4.9,107758.0
ZAHINTEX,2025-03-13,5.1,5.2,4.9,5.0,73481.0
ZAHINTEX,2025-03-12,5.1,5.1,5.0,5.1,18636.0
ZAHINTEX,2025-03-11,5.1,5.1,4.9,5.0,17656.0
ZAHINTEX,2025-03-10,5.0,5.1,4.7,4.9,81237.0
ZAHINTEX,2025-03-09,5.1,5.1,5.0,5.0,23528.0
ZAHINTEX,2025-03-06,5.1,5.1,5.0,5.0,53888.0
ZAHINTEX,2025-03-05,5.0,5.2,5.0,5.0,39630.0
ZAHINTEX,2025-03-04,5.2,5.3,5.1,5.1,82766.0
ZAHINTEX,2025-03-03,5.3,5.3,5.1,5.2,114566.0
ZAHINTEX,2025-03-02,5.4,5.4,5.2,5.3,115804.0
ZAHINTEX,2025-02-27,5.3,5.4,5.2,5.3,73158.0
ZAHINTEX,2025-02-26,5.3,5.3,5.1,5.2,141507.0
ZAHINTEX,2025-02-25,5.4,5.4,5.2,5.3,23548.0
ZAHINTEX,2025-02-24,5.3,5.6,5.3,5.4,276320.0
ZAHINTEX,2025-02-23,5.2,5.4,5.2,5.3,53401.0
ZAHINTEX,2025-02-20,5.1,5.3,5.1,5.2,155208.0
ZAHINTEX,2025-02-19,5.2,5.4,5.1,5.1,132811.0
ZAHINTEX,2025-02-18,5.2,5.5,5.2,5.2,44299.0
ZAHINTEX,2025-02-17,5.6,5.6,5.2,5.3,66668.0
ZAHINTEX,2025-02-16,5.4,5.7,5.4,5.5,474277.0
ZAHINTEX,2025-02-13,5.2,5.3,5.1,5.2,339661.0
ZAHINTEX,2025-02-12,4.9,5.2,4.9,5.0,87367.0
ZAHINTEX,2025-02-11,5.2,5.2,5.0,5.1,96745.0
ZAHINTEX,2025-02-10,5.0,5.1,4.9,5.1,80881.0
ZAHINTEX,2025-02-09,5.3,5.3,5.1,5.1,114592.0
ZAHINTEX,2025-02-06,5.4,5.4,5.0,5.0,100336.0
ZAHINTEX,2025-02-05,5.1,5.3,5.0,5.3,270002.0
ZAHINTEX,2025-02-04,4.8,5.2,4.8,4.9,13113.0
ZAHINTEX,2025-02-03,5.0,5.2,5.0,5.0,125387.0
ZAHINTEX,2025-02-02,4.7,5.1,4.7,5.1,72661.0
ZAHINTEX,2025-01-30,4.9,5.1,4.7,4.8,21087.0
ZAHINTEX,2025-01-29,5.1,5.3,4.9,5.0,50949.0
ZAHINTEX,2025-01-28,4.8,5.0,4.8,5.0,104744.0
ZAHINTEX,2025-01-27,4.6,4.8,4.6,4.8,56148.0
ZAHINTEX,2025-01-26,4.7,4.9,4.6,4.6,78473.0
ZAHINTEX,2025-01-23,4.8,4.9,4.7,4.8,54716.0
ZAHINTEX,2025-01-22,4.8,4.9,4.8,4.9,24831.0
ZAHINTEX,2025-01-21,4.7,5.0,4.7,4.8,82956.0
ZAHINTEX,2025-01-20,4.7,4.9,4.7,4.7,31151.0
ZAHINTEX,2025-01-19,4.7,4.9,4.6,4.7,46518.0
ZAHINTEX,2025-01-16,4.6,5.1,4.6,4.8,53104.0
ZAHINTEX,2025-01-15,5.1,5.1,4.8,4.9,30602.0
ZAHINTEX,2025-01-14,4.8,5.0,4.8,4.9,100714.0
ZAHINTEX,2025-01-13,4.8,5.0,4.8,4.9,5429.0
ZAHINTEX,2025-01-12,4.8,5.0,4.8,4.8,4318.0
ZAHINTEX,2025-01-09,5.1,5.1,4.9,5.0,17392.0
ZAHINTEX,2025-01-08,4.9,5.0,4.9,5.0,24844.0
ZAHINTEX,2025-01-07,4.6,5.0,4.6,4.9,31478.0
ZAHINTEX,2025-01-06,4.9,5.0,4.5,4.8,14541.0
ZAHINTEX,2025-01-05,4.5,4.9,4.5,4.7,16865.0
ZAHINTEX,2025-01-02,4.6,5.2,4.6,4.9,10072.0
ZAHINTEX,2025-01-01,4.5,4.8,4.5,4.8,12192.0
ZAHINTEX,2024-12-30,4.5,4.9,4.5,4.6,61301.0
ZAHINTEX,2024-12-29,4.6,4.9,4.5,4.6,20162.0
ZAHINTEX,2024-12-26,4.9,4.9,4.6,4.8,17766.0
ZAHINTEX,2024-12-24,5.0,5.0,4.7,4.7,46348.0
ZAHINTEX,2024-12-23,4.6,5.1,4.6,4.6,60285.0
ZAHINTEX,2024-12-22,5.0,5.2,4.6,4.7,67907.0
ZAHINTEX,2024-12-19,4.9,5.3,4.9,5.0,16046.0
ZAHINTEX,2024-12-18,5.0,5.2,5.0,5.0,26607.0
ZAHINTEX,2024-12-17,5.0,5.4,5.0,5.1,30333.0
ZAHINTEX,2024-12-15,5.0,5.4,5.0,5.2,10161.0
ZAHINTEX,2024-12-12,5.1,5.3,5.1,5.2,21657.0
ZAHINTEX,2024-12-11,5.1,5.5,5.1,5.2,27561.0
ZAHINTEX,2024-12-10,5.2,5.5,5.2,5.2,12077.0
ZAHINTEX,2024-12-09,5.0,5.6,5.0,5.2,42591.0
ZAHINTEX,2024-12-08,5.1,5.7,5.1,5.4,12728.0
ZAHINTEX,2024-12-05,5.4,5.4,5.2,5.3,18270.0
ZAHINTEX,2024-12-04,5.2,5.8,5.2,5.3,33323.0
ZAHINTEX,2024-12-03,5.3,5.6,5.2,5.3,8258.0
ZAHINTEX,2024-12-02,5.4,5.5,5.3,5.4,10721.0
ZAHINTEX,2024-12-01,5.2,5.5,5.2,5.4,7289.0
ZAHINTEX,2024-11-28,5.3,5.7,5.3,5.4,90157.0
ZAHINTEX,2024-11-27,4.8,5.5,4.8,5.3,74234.0
ZAHINTEX,2024-11-26,4.7,5.1,4.7,5.1,128709.0
ZAHINTEX,2024-11-25,4.6,5.1,4.6,4.7,33409.0
ZAHINTEX,2024-11-24,4.9,5.2,4.7,4.7,62630.0
ZAHINTEX,2024-11-21,5.3,5.3,5.0,5.0,52175.0
ZAHINTEX,2024-11-20,5.4,5.4,5.1,5.1,17981.0
ZAHINTEX,2024-11-19,5.4,5.4,5.2,5.2,9611.0
ZAHINTEX,2024-11-18,5.1,5.5,5.1,5.2,15989.0
ZAHINTEX,2024-11-17,5.2,5.4,5.1,5.2,34841.0
ZAHINTEX,2024-11-14,5.1,5.5,5.1,5.3,8597.0
ZAHINTEX,2024-11-13,5.0,5.5,5.0,5.2,42738.0
ZAHINTEX,2024-11-12,5.1,5.5,5.1,5.3,11331.0
ZAHINTEX,2024-11-11,5.2,5.6,5.2,5.4,25400.0
ZAHINTEX,2024-11-10,5.3,5.6,5.3,5.4,23142.0
ZAHINTEX,2024-11-07,5.2,5.7,5.2,5.4,68315.0
ZAHINTEX,2024-11-06,5.1,5.7,5.1,5.5,15165.0
ZAHINTEX,2024-11-05,5.3,5.7,5.3,5.5,41275.0
ZAHINTEX,2024-11-04,5.0,5.5,5.0,5.4,52952.0
ZAHINTEX,2024-11-03,5.3,5.5,5.3,5.5,17828.0
ZAHINTEX,2024-10-31,5.1,5.6,5.1,5.3,36044.0
ZAHINTEX,2024-10-30,4.8,5.5,4.8,5.4,58487.0
ZAHINTEX,2024-10-29,4.6,5.0,4.6,5.0,2044.0
ZAHINTEX,2024-10-28,4.6,4.9,4.6,4.8,23230.0
ZAHINTEX,2024-10-27,4.7,5.0,4.7,4.8,45332.0
ZAHINTEX,2024-10-24,4.6,5.0,4.6,4.9,12380.0
ZAHINTEX,2024-10-23,4.8,5.4,4.8,4.9,31834.0
ZAHINTEX,2024-10-22,4.7,5.2,4.7,5.0,15507.0
ZAHINTEX,2024-10-21,4.5,5.2,4.5,4.9,8260.0
ZAHINTEX,2024-10-20,4.8,5.0,4.7,4.8,19667.0
ZAHINTEX,2024-10-17,5.0,5.2,4.8,4.9,39495.0
ZAHINTEX,2024-10-16,5.0,5.3,5.0,5.0,72282.0
ZAHINTEX,2024-10-15,5.3,5.8,5.2,5.2,12764.0
ZAHINTEX,2024-10-14,5.3,5.6,5.3,5.5,2522.0
ZAHINTEX,2024-10-09,5.0,5.7,5.0,5.3,6741.0
ZAHINTEX,2024-10-08,4.9,5.5,4.9,5.3,5623.0
ZAHINTEX,2024-10-07,5.0,5.5,4.9,5.1,23869.0
ZAHINTEX,2024-10-06,5.1,5.5,5.1,5.3,21594.0
ZAHINTEX,2024-10-03,5.2,5.4,4.9,5.2,22502.0
ZAHINTEX,2024-10-02,4.9,5.3,4.9,5.0,24928.0
ZAHINTEX,2024-10-01,5.1,5.2,5.0,5.1,14507.0
ZAHINTEX,2024-09-30,5.4,5.6,5.0,5.3,36322.0
ZAHINTEX,2024-09-29,5.4,5.6,5.3,5.4,11298.0
ZAHINTEX,2024-09-26,5.3,5.7,5.3,5.4,40086.0
ZAHINTEX,2024-09-25,5.5,5.8,5.3,5.4,97984.0
ZAHINTEX,2024-09-24,5.6,6.0,5.5,5.5,48408.0
ZAHINTEX,2024-09-23,5.6,5.9,5.6,5.6,30638.0
ZAHINTEX,2024-09-22,5.9,5.9,5.6,5.7,75133.0
ZAHINTEX,2024-09-19,5.7,6.0,5.7,5.7,46215.0
ZAHINTEX,2024-09-18,5.9,5.9,5.8,5.8,65528.0
ZAHINTEX,2024-09-17,6.0,6.0,5.8,6.0,40236.0
ZAHINTEX,2024-09-15,6.0,6.2,5.8,5.9,64829.0
ZAHINTEX,2024-09-12,5.9,6.0,5.9,6.0,42529.0
ZAHINTEX,2024-09-11,5.7,6.2,5.7,6.0,74793.0
ZAHINTEX,2024-09-10,6.0,6.0,5.9,6.0,8082.0
ZAHINTEX,2024-09-09,6.0,6.0,5.7,5.8,9516.0
ZAHINTEX,2024-09-08,6.0,6.0,5.9,5.9,243529.0
ZAHINTEX,2024-09-05,6.2,6.2,5.9,6.0,22870.0
ZAHINTEX,2024-09-04,5.9,6.2,5.8,5.9,94961.0
ZAHINTEX,2024-09-03,6.1,6.2,5.9,6.0,55214.0
ZAHINTEX,2024-09-02,6.2,6.7,6.1,6.2,116120.0
ZAHINTEX,2024-09-01,6.4,6.4,6.2,6.2,49617.0
ZAHINTEX,2024-08-29,6.2,6.4,6.1,6.3,66313.0
ZAHINTEX,2024-08-28,6.2,6.2,6.0,6.1,63044.0
ZAHINTEX,2024-08-27,5.9,6.1,5.9,6.0,164607.0
ZAHINTEX,2024-08-25,6.5,6.5,6.0,6.0,40818.0
ZAHINTEX,2024-08-22,6.1,6.4,6.1,6.1,59357.0
ZAHINTEX,2024-08-21,6.4,6.4,6.2,6.2,3025.0
ZAHINTEX,2024-08-20,7.0,7.0,6.3,6.3,36792.0
ZAHINTEX,2024-08-19,6.4,6.7,6.4,6.4,41115.0
ZAHINTEX,2024-08-18,6.5,6.6,6.5,6.5,35866.0
ZAHINTEX,2024-08-15,7.1,7.1,6.6,6.7,41941.0
ZAHINTEX,2024-08-14,7.2,7.2,6.6,6.6,169932.0
ZAHINTEX,2024-08-13,6.9,6.9,6.5,6.8,291647.0
ZAHINTEX,2024-08-12,6.7,7.2,6.7,6.7,141814.0
ZAHINTEX,2024-08-11,7.4,7.4,6.7,6.9,726775.0
ZAHINTEX,2024-08-08,6.4,6.8,6.3,6.8,384134.0
ZAHINTEX,2024-08-07,6.2,6.2,5.7,6.2,194314.0
ZAHINTEX,2024-08-06,5.5,5.7,5.5,5.7,72752.0
ZAHINTEX,2024-08-04,5.2,5.2,5.2,5.2,4551.0
ZAHINTEX,2024-08-01,5.3,5.4,5.3,5.3,50563.0
ZAHINTEX,2024-07-31,5.4,5.4,5.4,5.4,35043.0
ZAHINTEX,2024-07-30,5.5,5.5,5.5,5.5,6924.0
ZAHINTEX,2024-07-29,5.7,5.7,5.6,5.6,15370.0
ZAHINTEX,2024-07-28,6.2,6.2,5.7,5.7,38598.0
ZAHINTEX,2024-07-25,5.8,6.1,5.8,5.8,42270.0
ZAHINTEX,2024-07-24,5.9,5.9,5.9,5.9,1150.0
ZAHINTEX,2024-07-18,6.0,6.0,6.0,6.0,4867.0
ZAHINTEX,2024-07-16,6.1,6.4,6.1,6.1,28203.0
ZAHINTEX,2024-07-15,6.2,6.4,6.2,6.2,29734.0
ZAHINTEX,2024-07-14,6.3,6.5,6.3,6.3,60450.0
ZAHINTEX,2024-07-11,6.4,6.6,6.4,6.4,31626.0
ZAHINTEX,2024-07-10,6.7,6.8,6.5,6.5,67271.0
ZAHINTEX,2024-07-09,6.4,6.8,6.4,6.7,100490.0
ZAHINTEX,2024-07-08,6.6,7.0,6.5,6.5,144993.0
ZAHINTEX,2024-07-07,6.8,6.9,6.6,6.6,383425.0
ZAHINTEX,2024-07-04,6.8,6.9,6.5,6.8,104330.0
ZAHINTEX,2024-07-03,6.5,6.9,6.4,6.5,189863.0
ZAHINTEX,2024-07-02,5.9,6.6,5.9,6.5,251942.0
ZAHINTEX,2024-06-30,6.0,6.0,6.0,6.0,2777.0
ZAHINTEX,2024-06-27,5.7,6.2,5.7,6.1,98970.0
ZAHINTEX,2024-06-26,5.8,5.8,5.8,5.8,2611.0
ZAHINTEX,2024-06-25,5.9,5.9,5.9,5.9,4105.0
ZAHINTEX,2024-06-24,6.2,6.2,5.7,6.0,151419.0
ZAHINTEX,2024-06-23,5.2,5.8,5.2,5.8,137327.0
ZAHINTEX,2024-06-20,5.4,5.6,5.3,5.3,13094.0
ZAHINTEX,2024-06-19,5.4,5.5,5.4,5.4,6238.0
ZAHINTEX,2024-06-13,5.5,5.5,5.5,5.5,1011.0
ZAHINTEX,2024-06-12,5.6,5.6,5.6,5.6,12375.0
ZAHINTEX,2024-06-11,6.1,6.1,5.6,5.7,18122.0
ZAHINTEX,2024-06-10,5.6,5.9,5.6,5.7,92615.0
ZAHINTEX,2024-06-09,5.6,6.0,5.6,5.7,166820.0
ZAHINTEX,2024-06-06,5.5,6.0,5.5,5.7,114345.0
ZAHINTEX,2024-06-05,5.1,5.6,5.1,5.6,321978.0
ZAHINTEX,2024-06-04,5.0,5.3,4.9,5.1,68189.0
ZAHINTEX,2024-06-03,5.0,5.2,4.9,5.0,26653.0
ZAHINTEX,2024-06-02,5.1,5.1,5.0,5.0,23911.0
ZAHINTEX,2024-05-30,4.9,5.5,4.9,5.1,23019.0
ZAHINTEX,2024-05-29,5.0,5.0,5.0,5.0,5311.0
ZAHINTEX,2024-05-28,5.2,5.2,5.1,5.1,35193.0
ZAHINTEX,2024-05-27,5.2,5.3,5.2,5.2,27491.0
ZAHINTEX,2024-05-26,5.3,5.3,5.3,5.3,13511.0
ZAHINTEX,2024-05-23,5.3,5.4,5.3,5.4,3650.0
ZAHINTEX,2024-05-21,5.4,5.5,5.3,5.4,42413.0
ZAHINTEX,2024-05-20,5.3,5.4,5.3,5.3,76750.0
ZAHINTEX,2024-05-19,5.5,5.5,5.3,5.4,45048.0
ZAHINTEX,2024-05-16,5.4,5.5,5.4,5.4,7105.0
ZAHINTEX,2024-05-15,5.4,5.6,5.4,5.5,47876.0
ZAHINTEX,2024-05-14,5.4,5.8,5.4,5.5,14556.0
ZAHINTEX,2024-05-13,5.8,5.8,5.5,5.5,66204.0
ZAHINTEX,2024-05-12,5.8,5.8,5.6,5.6,37748.0
ZAHINTEX,2024-05-09,5.7,5.9,5.7,5.7,93009.0
ZAHINTEX,2024-05-08,5.8,5.9,5.7,5.8,19335.0
ZAHINTEX,2024-05-07,6.0,6.0,5.7,5.8,56047.0
ZAHINTEX,2024-05-06,5.7,5.8,5.7,5.8,21510.0
ZAHINTEX,2024-05-05,5.8,5.8,5.6,5.7,33105.0
ZAHINTEX,2024-05-02,5.6,5.8,5.4,5.6,30954.0
ZAHINTEX,2024-04-30,5.5,5.5,5.4,5.4,22547.0
ZAHINTEX,2024-04-29,5.7,5.9,5.4,5.5,17837.0
ZAHINTEX,2024-04-28,5.3,5.5,5.3,5.4,33685.0
ZAHINTEX,2024-04-25,5.5,5.6,5.4,5.4,38361.0
ZAHINTEX,2024-04-24,5.8,5.8,5.4,5.5,56456.0
ZAHINTEX,2024-04-23,6.1,6.1,5.7,5.7,65346.0
ZAHINTEX,2024-04-22,6.2,6.3,6.1,6.1,53336.0
ZAHINTEX,2024-04-21,6.1,6.2,6.0,6.1,36613.0
ZAHINTEX,2024-04-18,6.7,6.7,6.0,6.1,311912.0
ZAHINTEX,2024-04-17,6.2,6.7,6.2,6.5,53337.0
ZAHINTEX,2024-04-16,6.3,6.4,6.2,6.2,44915.0
ZAHINTEX,2024-04-15,6.6,6.8,6.2,6.4,30977.0
ZAHINTEX,2024-04-09,7.0,7.0,6.5,6.8,33.0
ZAHINTEX,2024-04-08,6.5,6.8,6.5,6.6,43011.0
ZAHINTEX,2024-04-04,6.5,6.8,6.2,6.6,4716.0
ZAHINTEX,2024-04-03,6.3,6.7,6.3,6.6,25992.0
ZAHINTEX,2024-04-02,6.0,6.8,6.0,6.4,31142.0
ZAHINTEX,2024-04-01,6.3,6.9,6.3,6.5,25743.0
ZAHINTEX,2024-03-31,6.5,7.0,6.4,6.5,40001.0
ZAHINTEX,2024-03-28,6.3,6.7,6.3,6.6,21430.0
ZAHINTEX,2024-03-27,6.4,6.5,6.4,6.4,10199.0
ZAHINTEX,2024-03-25,6.3,6.9,6.3,6.5,12102.0
ZAHINTEX,2024-03-24,6.2,7.0,6.2,6.7,156901.0
ZAHINTEX,2024-03-21,6.5,6.8,6.5,6.7,20325.0
ZAHINTEX,2024-03-20,6.0,6.8,6.0,6.5,46737.0
ZAHINTEX,2024-03-19,6.0,6.9,6.0,6.3,49128.0
ZAHINTEX,2024-03-18,6.9,6.9,6.3,6.4,47947.0
ZAHINTEX,2024-03-14,6.3,6.8,6.3,6.5,15242.0
ZAHINTEX,2024-03-13,6.5,6.8,6.3,6.4,32913.0
ZAHINTEX,2024-03-12,6.8,6.8,6.6,6.6,14158.0
ZAHINTEX,2024-03-11,6.8,6.8,6.6,6.7,31701.0
ZAHINTEX,2024-03-10,7.0,7.0,6.8,6.8,26975.0
ZAHINTEX,2024-03-07,6.8,6.9,6.7,6.8,77724.0
ZAHINTEX,2024-03-06,6.8,7.0,6.8,7.0,11117.0
ZAHINTEX,2024-03-05,7.0,7.0,6.9,6.9,60369.0
ZAHINTEX,2024-03-04,7.0,7.1,6.9,7.0,25190.0
ZAHINTEX,2024-03-03,7.0,7.7,7.0,7.0,34985.0
ZAHINTEX,2024-02-29,7.3,7.3,7.0,7.0,86711.0
ZAHINTEX,2024-02-28,7.1,7.4,7.1,7.1,76467.0
ZAHINTEX,2024-02-27,7.1,7.3,7.1,7.2,42300.0
ZAHINTEX,2024-02-25,7.2,7.7,7.1,7.1,56769.0
ZAHINTEX,2024-02-22,7.1,7.5,6.9,7.3,176554.0
ZAHINTEX,2024-02-20,6.8,7.3,6.8,7.2,54211.0
ZAHINTEX,2024-02-19,7.4,7.4,7.0,7.0,40436.0
ZAHINTEX,2024-02-18,7.5,7.5,6.9,7.1,183962.0
ZAHINTEX,2024-02-15,7.6,7.9,7.5,7.6,177890.0
ZAHINTEX,2024-02-14,7.6,8.0,7.6,7.6,166069.0
ZAHINTEX,2024-02-13,8.1,8.1,7.7,7.7,217657.0
ZAHINTEX,2024-02-12,8.2,8.2,7.8,7.8,390551.0
ZAHINTEX,2024-02-11,8.3,8.3,7.9,8.0,271690.0
ZAHINTEX,2024-02-08,8.2,8.5,7.9,8.0,592659.0
ZAHINTEX,2024-02-07,7.5,8.1,7.5,8.0,265142.0
ZAHINTEX,2024-02-06,7.9,8.2,7.7,7.8,365558.0
ZAHINTEX,2024-02-05,7.6,8.3,7.5,8.0,358291.0
ZAHINTEX,2024-02-04,7.2,7.9,7.2,7.7,520521.0
ZAHINTEX,2024-02-01,7.0,7.4,6.9,7.3,279143.0
ZAHINTEX,2024-01-31,7.3,7.4,6.8,6.9,217756.0
ZAHINTEX,2024-01-30,7.7,7.7,7.0,7.2,204739.0
ZAHINTEX,2024-01-29,7.3,7.3,6.6,7.0,124422.0
ZAHINTEX,2024-01-28,7.3,7.5,6.8,6.9,221875.0
ZAHINTEX,2024-01-25,7.7,7.8,7.2,7.3,215237.0
ZAHINTEX,2024-01-24,8.0,8.2,7.3,7.5,232700.0
ZAHINTEX,2024-01-23,7.8,8.1,7.6,7.7,231478.0
ZAHINTEX,2024-01-22,7.3,7.9,7.3,7.8,607423.0
ZAHINTEX,2024-01-21,8.1,8.1,8.1,8.1,122666.0
ZAHINTEX,2024-01-18,0.0,0.0,0.0,9.0,0.0
ZAHINTEX,2024-01-17,9.0,9.0,9.0,9.0,1097.0
ZAHINTEX,2024-01-16,0.0,0.0,0.0,9.0,0.0
ZAHINTEX,2024-01-15,9.0,9.0,9.0,9.0,1000.0
ZAHINTEX,2024-01-14,9.0,9.0,9.0,9.0,37.0
ZAHINTEX,2024-01-11,9.0,9.0,9.0,9.0,4493.0
ZAHINTEX,2024-01-10,9.0,9.0,9.0,9.0,5029.0
ZAHINTEX,2024-01-09,9.0,9.0,9.0,9.0,1355.0
ZAHINTEX,2024-01-08,9.0,9.0,9.0,9.0,637.0
ZAHINTEX,2024-01-04,9.0,9.0,9.0,9.0,100.0
ZAHINTEX,2024-01-03,0.0,0.0,0.0,9.0,0.0
ZAHINTEX,2024-01-02,9.0,9.0,9.0,9.0,11100.0
ZAHINTEX,2024-01-01,9.0,9.0,9.0,9.0,10000.0
ZAHINTEX,2023-12-28,9.0,9.0,9.0,9.0,8905.0
ZAHINTEX,2023-12-27,9.0,9.0,9.0,9.0,1600.0
ZAHINTEX,2023-12-26,9.0,9.0,9.0,9.0,5282.0
ZAHINTEX,2023-12-24,9.0,9.0,9.0,9.0,5569.0
ZAHINTEX,2023-12-21,9.0,9.1,9.0,9.0,294490.0
ZAHINTEX,2023-12-20,9.1,9.5,9.0,9.0,2234207.0
