Model,Class,Precision,Recall,F1-Score,Total Support,Misclassified Count
Flow MLP Baseline,DDoS,0.5361802089013801,0.6391,0.5831337393644928,20000,7218
Flow MLP Baseline,DoS,0.5520529801324503,0.1042,0.17531019978969506,20000,17916
Flow MLP Baseline,Normal,0.24944933920704845,0.949685534591195,0.3951155691234191,477,24
Flow MLP Baseline,Reconnaissance,0.47727628489433865,0.9147,0.6272587004971713,10000,853
Flow MLP Baseline,Theft,0.023457419683834777,0.5822784810126582,0.045098039215686274,79,33
Spatial GCN,DDoS,0.547458111195735,0.57505,0.560914943425673,20000,8499
Spatial GCN,DoS,0.45029163116849075,0.34355,0.3897444624067614,20000,13129
Spatial GCN,Normal,0.19398711524695778,0.5681341719077568,0.2892209178228389,477,206
Spatial GCN,Reconnaissance,0.8148459383753501,0.8727,0.8427812650893288,10000,1273
Spatial GCN,Theft,0.03162236480293309,0.8734177215189873,0.06103494029190624,79,10
Spatial GraphSAGE,DDoS,0.5394469703468588,0.94325,0.686361899910862,20000,1135
Spatial GraphSAGE,DoS,0.7347670250896058,0.0615,0.11350004613823014,20000,18770
Spatial GraphSAGE,Normal,0.233451536643026,0.8280922431865828,0.36422314430613184,477,82
Spatial GraphSAGE,Reconnaissance,0.8097873579959219,0.834,0.8217153554362284,10000,1660
Spatial GraphSAGE,Theft,0.04114583333333333,1.0,0.07903951975987994,79,0
Temporal LSTM-GNN,DDoS,0.5720428591569152,0.40575,0.47475574796700404,20000,11885
Temporal LSTM-GNN,DoS,0.5144176706827309,0.64045,0.5705567928730513,20000,7191
Temporal LSTM-GNN,Normal,0.37569499602859413,0.9916142557651991,0.5449308755760369,477,4
Temporal LSTM-GNN,Reconnaissance,0.8824335723323492,0.8369,0.8590638472592896,10000,1631
Temporal LSTM-GNN,Theft,0.10866574965612105,1.0,0.19602977667493796,79,0
